"","RSG.Open","RSG.High","RSG.Low","RSG.Close","RSG.Volume","RSG.Adjusted"
"2020-10-05",93.800003,94.459999,93.169998,93.529999,1040200,91.072975
"2020-10-06",94.129997,94.379997,92.260002,92.480003,1008400,90.050552
"2020-10-07",93.099998,93.389999,92.480003,92.919998,1095700,90.479004
"2020-10-08",93.360001,94,92.870003,93.5,948900,91.04377
"2020-10-09",93.800003,93.949997,93.120003,93.139999,1091100,90.69323
"2020-10-12",93.43,94.809998,93.290001,94.5,1345900,92.017494
"2020-10-13",94.470001,95.190002,93.370003,93.620003,843900,91.160629
"2020-10-14",93.650002,94.480003,93.199997,93.449997,668700,90.995079
"2020-10-15",93.040001,93.739998,92.849998,93.419998,719300,90.965874
"2020-10-16",93.610001,94.339996,93.529999,93.57,818700,91.111923
"2020-10-19",94.300003,94.440002,92.029999,92.099998,718100,89.68055
"2020-10-20",92.709999,93.449997,92.25,92.279999,674600,89.85582
"2020-10-21",92.029999,92.540001,91.599998,91.669998,766700,89.261841
"2020-10-22",91.669998,92.730003,91.669998,91.769997,675900,89.359207
"2020-10-23",92.18,93.129997,91.82,92.870003,697000,90.430313
"2020-10-26",92.260002,92.769997,90.360001,90.860001,731600,88.473122
"2020-10-27",90.800003,90.860001,89.389999,89.419998,878600,87.070946
"2020-10-28",88.269997,88.650002,86.279999,86.709999,1243000,84.432137
"2020-10-29",86.75,88.32,86.18,87.400002,1284800,85.104019
"2020-10-30",87.199997,88.550003,87.080002,88.169998,1523600,85.853783
"2020-11-02",88.989998,90.43,88.879997,89.860001,1116600,87.49939
"2020-11-03",91.230003,92.830002,90.919998,92.400002,1992900,89.972656
"2020-11-04",92.779999,95.870003,92.779999,93.870003,1664900,91.404053
"2020-11-05",96,96.669998,94.980003,95.510002,1803600,93.000969
"2020-11-06",97.129997,99.290001,96.25,97.080002,1684000,94.529724
"2020-11-09",100.910004,103.790001,100.400002,100.410004,2114000,97.772247
"2020-11-10",100.769997,102.519997,100.209999,102.080002,1438800,99.398369
"2020-11-11",102.410004,102.919998,101.800003,102.57,985100,99.875511
"2020-11-12",102.080002,102.529999,100.260002,100.940002,996500,98.288322
"2020-11-13",101.599998,102,100.169998,101.059998,720000,98.405167
"2020-11-16",101.660004,102.349998,100.830002,101.75,868600,99.077049
"2020-11-17",101.269997,101.93,100.410004,101.260002,1101300,98.599915
"2020-11-18",101.400002,101.839996,99.93,99.980003,1436100,97.353554
"2020-11-19",99.57,100.089996,98.57,99.910004,1131600,97.285385
"2020-11-20",99.970001,100.190002,98.629997,98.860001,1144000,96.26297
"2020-11-23",98.949997,99.370003,97.510002,97.779999,1057000,95.211327
"2020-11-24",98.290001,98.709999,97.459999,97.779999,1264500,95.211327
"2020-11-25",97.980003,97.980003,96.889999,97.440002,1195200,94.880264
"2020-11-27",97.440002,97.809998,96.5,97.040001,598300,94.490776
"2020-11-30",96.669998,97.059998,96.019997,96.720001,3328500,94.179184
