"","ATO.Open","ATO.High","ATO.Low","ATO.Close","ATO.Volume","ATO.Adjusted"
"2020-08-28",99.389999,99.650002,98.059998,99.580002,582400,95.153297
"2020-08-31",99.510002,100.209999,99.120003,99.82,636800,95.382637
"2020-09-01",99.419998,99.419998,97.139999,97.43,839000,93.098877
"2020-09-02",97.510002,99.029999,97.160004,98.43,1160100,94.054428
"2020-09-03",98.949997,99.93,97.379997,98.089996,909800,93.729538
"2020-09-04",98.5,98.629997,96.470001,97.220001,788900,92.898216
"2020-09-08",97.629997,97.629997,95.120003,96.120003,939300,91.847107
"2020-09-09",96.690002,97.709999,96.32,96.650002,681700,92.353554
"2020-09-10",96.449997,96.449997,94.260002,94.269997,645500,90.079353
"2020-09-11",94.559998,94.559998,92.75,93.209999,681600,89.066467
"2020-09-14",93.959999,94.199997,93.040001,93.32,772900,89.17157
"2020-09-15",93.639999,94.589996,91.900002,92.349998,1081100,88.244705
"2020-09-16",92.5,94.5,92.110001,93.889999,1320200,89.71624
"2020-09-17",93.830002,94.190002,92.959999,93.419998,690100,89.267136
"2020-09-18",93.190002,93.669998,91.800003,92,1570700,87.910271
"2020-09-21",91.239998,92.480003,90.489998,92.269997,1218700,88.168251
"2020-09-22",92.330002,94.290001,92.230003,93.720001,929900,89.553802
"2020-09-23",93.580002,94.160004,92.720001,92.870003,856800,88.741577
"2020-09-24",92.809998,94.220001,92.510002,93.589996,716200,89.429581
"2020-09-25",93.230003,95.510002,92.889999,95.25,956900,91.015778
"2020-09-28",95.300003,95.760002,94.650002,95.040001,550200,90.815117
"2020-09-29",95.169998,95.93,94.889999,95.099998,927300,90.872459
"2020-09-30",95.82,95.949997,94.690002,95.589996,691000,91.34066
"2020-10-01",95.610001,96.339996,94.82,95.470001,1124600,91.226013
"2020-10-02",94.949997,97,94.589996,96.019997,1090700,91.751556
"2020-10-05",96.589996,96.589996,94.949997,95.220001,1040800,90.987114
"2020-10-06",95.360001,97.870003,95.360001,96.980003,863000,92.668877
"2020-10-07",97.07,97.419998,95.620003,96.379997,955300,92.095551
"2020-10-08",96.699997,97.279999,96.199997,96.790001,989900,92.48732
"2020-10-09",97.400002,97.800003,95.989998,96.510002,1258800,92.219772
"2020-10-12",96.309998,97.269997,96.110001,96.610001,896700,92.315331
"2020-10-13",96.32,96.43,94.309998,95.410004,669400,91.168678
"2020-10-14",95.32,96.050003,94.489998,95.040001,682500,90.815117
