"","ACN.Open","ACN.High","ACN.Low","ACN.Close","ACN.Volume","ACN.Adjusted"
"2020-11-17",243.369995,245.490005,241.279999,243.820007,1318100,238.658203
"2020-11-18",243.360001,243.820007,239.550003,239.729996,1613200,234.6548
"2020-11-19",241.509995,243.470001,238.690002,243.199997,1611700,238.051315
"2020-11-20",243.949997,246,242.259995,243.440002,1771900,238.28624
"2020-11-23",244.710007,246.669998,242.570007,246.199997,1288600,240.987808
"2020-11-24",247.410004,250.089996,245.899994,250,1899300,244.707352
"2020-11-25",250,250.410004,248.320007,249.330002,1434000,244.051544
"2020-11-27",250.080002,250.910004,248.509995,250.119995,888100,244.824814
"2020-11-30",249.059998,250.440002,246.289993,249.089996,2441400,243.81662
"2020-12-01",251.509995,253.929993,250.220001,252.270004,2078600,246.929306
"2020-12-02",250.710007,251.820007,248.130005,249.660004,1671100,244.374588
"2020-12-03",250,251.710007,248.860001,249.929993,1552300,244.638824
"2020-12-04",250.220001,253.460007,250.050003,253.440002,1852700,248.074539
"2020-12-07",249.850006,251,248.360001,249.300003,1973400,244.022186
"2020-12-08",249,250.559998,247.199997,249.860001,1825600,244.570328
"2020-12-09",250.119995,250.520004,245.559998,246.770004,2201500,241.545746
"2020-12-10",245.869995,247.820007,244.619995,246.160004,1874000,240.948654
"2020-12-11",245.889999,246.919998,244.550003,245.830002,1838900,240.625641
"2020-12-14",247.100006,249.389999,243.550003,243.75,2412500,238.589676
"2020-12-15",248.910004,248.910004,245.059998,247.050003,2415800,241.819824
"2020-12-16",247.020004,248.289993,246.220001,247.449997,2248000,242.211349
"2020-12-17",263.779999,271.179993,263.299988,264.470001,4855600,258.871033
"2020-12-18",263.890015,266.959991,258.619995,266.25,5948000,260.613342
"2020-12-21",261.119995,263.329987,257.73999,261.420013,2680500,255.88559
"2020-12-22",260.859985,261.119995,258.350006,259.470001,1602900,253.976868
"2020-12-23",260.829987,261.920013,257.329987,257.440002,1455900,251.989838
"2020-12-24",258,259.779999,256.279999,257.299988,528100,251.852814
"2020-12-28",259.730011,260.369995,258.390015,259.679993,1057100,254.182419
"2020-12-29",260.890015,261.029999,257.230011,257.76001,1065200,252.303101
"2020-12-30",258.670013,259.25,257.190002,257.540009,992800,252.087723
"2020-12-31",257.600006,261.320007,257.480011,261.209991,1325300,255.680023
"2021-01-04",261,261.660004,254.050003,256.459991,2505100,251.030594
"2021-01-05",256.399994,258.640015,255.139999,257.920013,1809200,252.459702
"2021-01-06",259.200012,263.589996,256.950012,260.73999,2535600,255.220016
"2021-01-07",260.359985,264.920013,260.339996,263.200012,2068200,257.62793
"2021-01-08",263.809998,266.529999,261.290009,264.160004,2010700,258.567566
"2021-01-11",262.829987,264.709991,260.269989,260.350006,1745100,254.838226
"2021-01-12",260.119995,261.220001,256.019989,258.399994,1898200,252.92952
"2021-01-13",256.450012,259.089996,256.450012,257.079987,1870700,252.497345
"2021-01-14",257.25,257.25,254.119995,255,2253200,250.454453
"2021-01-15",253.619995,255.970001,253.029999,253.649994,1915100,249.128479
"2021-01-19",254.410004,257.299988,253.75,255.839996,2249400,251.27948
"2021-01-20",257.98999,262.380005,257,261.670013,2081600,257.005585
"2021-01-21",260.459991,261.809998,256.910004,257.940002,1625600,253.342041
"2021-01-22",255.369995,256.369995,253.570007,254.770004,2049600,250.228546
"2021-01-25",251.860001,253.789993,249.059998,252.039993,1921600,247.547211
"2021-01-26",253.190002,254.410004,251.139999,252.990005,1345500,248.48027
"2021-01-27",248.660004,251.220001,244.389999,246.100006,1833100,241.71312
"2021-01-28",249.240005,252.800003,248.139999,249.339996,1794200,244.89534
"2021-01-29",248.240005,249.229996,241.729996,241.919998,2494400,237.607605
"2021-02-01",246.100006,248.899994,243.970001,247.570007,1559700,243.156891
"2021-02-02",250,251.429993,248.630005,248.75,2010300,244.315857
"2021-02-03",248.190002,250.110001,246.589996,248.369995,2470400,243.942627
"2021-02-04",249.559998,253.029999,246.910004,253.009995,1702200,248.499924
"2021-02-05",254.089996,255.75,252.160004,253.539993,1497700,249.020477
"2021-02-08",253.919998,257.350006,253.759995,257.309998,1508700,252.723282
"2021-02-09",256.309998,258.809998,255.610001,257.679993,1542600,253.08667
"2021-02-10",258.019989,259.190002,255.860001,256.940002,1428300,252.359879
"2021-02-11",258,259.98999,257.040009,258.970001,1285300,254.353668
"2021-02-12",257.450012,258.589996,255.410004,257.470001,1219200,252.880432
"2021-02-16",257.649994,259.48999,256.269989,257.049988,1606700,252.467896
"2021-02-17",256.649994,261.609985,255.770004,258.779999,1881000,254.167068
"2021-02-18",255.589996,258.100006,254.699997,257.630005,1664300,253.037567
"2021-02-19",258.459991,258.5,254.160004,254.289993,2038400,249.757095
"2021-02-22",252.690002,254.169998,250.089996,252.630005,1476000,248.126709
"2021-02-23",251.559998,257.929993,250.589996,256.190002,2191300,251.623245
"2021-02-24",253.210007,260.470001,252.820007,259.269989,2476300,254.648315
"2021-02-25",258.980011,259.109985,252.580002,253.779999,2157700,249.25621
"2021-02-26",255.240005,255.850006,249.809998,250.899994,2712800,246.427536
"2021-03-01",254,259.799988,254,258.160004,1954700,253.558136
"2021-03-02",258.160004,261.119995,257.109985,259.230011,2099800,254.609085
"2021-03-03",259.899994,260,254.050003,254.179993,2114400,249.649048
"2021-03-04",252.830002,254.639999,245.169998,247,2590400,242.597046
"2021-03-05",249.240005,250.679993,244.440002,249.509995,3236500,245.062302
"2021-03-08",254.600006,255.789993,249.229996,249.389999,2856100,244.944443
"2021-03-09",252.520004,257.459991,251.639999,254.369995,2729200,249.835648
"2021-03-10",256.290009,258.23999,254.610001,257.140015,2046000,252.556305
"2021-03-11",260,268.109985,260,266.369995,2972000,261.621765
"2021-03-12",264.980011,266.25,262.700012,264.950012,1828600,260.227081
"2021-03-15",263.690002,266.589996,263.480011,266.26001,2295700,261.513733
"2021-03-16",267.220001,267.26001,263.100006,263.519989,2185600,258.82254
"2021-03-17",263.529999,266.279999,261.630005,264.269989,2626500,259.559174
"2021-03-18",267.220001,271.51001,264.079987,266.890015,4089900,262.132538
"2021-03-19",266.350006,269.109985,261.130005,263.779999,4460500,259.077911
"2021-03-22",263.149994,265.929993,262.350006,265.200012,2295700,260.472626
"2021-03-23",265.5,267.130005,264.369995,266.029999,2160300,261.287781
"2021-03-24",265.920013,269.790009,265.700012,267.549988,2160600,262.780701
"2021-03-25",266.179993,269.5,265.809998,268.609985,1714700,263.821808
"2021-03-26",268.48999,281.299988,268.48999,280.769989,3171900,275.765076
"2021-03-29",278.220001,281.290009,277.73999,279.540009,2398700,274.557037
"2021-03-30",279.790009,280.079987,276.519989,278.549988,1763100,273.584625
"2021-03-31",278.5,279.269989,276.100006,276.25,2375800,271.325623
"2021-04-01",278.619995,278.779999,276.070007,278.339996,2301900,273.378387
