"","J.Open","J.High","J.Low","J.Close","J.Volume","J.Adjusted"
"2020-11-13",100.279999,103.559998,100.25,103.269997,713400,102.063133
"2020-11-16",105,107.239998,103.639999,107.209999,769000,105.9571
"2020-11-17",106.5,106.730003,103.629997,105.300003,610900,104.069412
"2020-11-18",105.82,108.169998,105.239998,105.239998,811000,104.010117
"2020-11-19",104.699997,105.769997,103.25,105.150002,545600,103.921173
"2020-11-20",105.059998,105.129997,103.410004,103.800003,564500,102.586952
"2020-11-23",104.730003,105.57,103.25,104.510002,1057500,103.288651
"2020-11-24",106.029999,109.459999,104.459999,107.529999,1195900,106.273346
"2020-11-25",107.129997,107.650002,105.870003,106.349998,496700,105.107155
"2020-11-27",106.68,106.68,105.379997,105.860001,275600,104.622871
"2020-11-30",106.160004,107.989998,105.870003,107.839996,1180300,106.57972
"2020-12-01",109.5,110.889999,108.220001,108.730003,789800,107.459343
"2020-12-02",107.900002,108.32,105.900002,106.889999,511500,105.640831
"2020-12-03",107.230003,108.879997,107,107.790001,639400,106.530319
"2020-12-04",108.230003,111.099998,107.779999,108.959999,655200,107.686646
"2020-12-07",108.610001,110.120003,108.43,109.849998,614500,108.566254
"2020-12-08",108.690002,110.129997,108.349998,109.599998,454600,108.319168
"2020-12-09",110,111.169998,109.300003,109.699997,764300,108.417992
"2020-12-10",108.720001,109.139999,107.720001,108.709999,387500,107.439568
"2020-12-11",108.589996,109.470001,108.07,108.650002,494400,107.380264
"2020-12-14",109.620003,109.790001,105.150002,105.260002,604900,104.029884
"2020-12-15",106.389999,106.639999,105.43,105.910004,727200,104.672302
"2020-12-16",106.440002,106.599998,105.400002,106.230003,626900,104.988548
"2020-12-17",106.580002,107.900002,106.349998,107,565500,105.749542
"2020-12-18",106.709999,107.349998,105.650002,106.580002,1694700,105.334465
"2020-12-21",105.110001,107.300003,104.589996,106.660004,753400,105.413536
"2020-12-22",106.660004,106.910004,105.639999,106.110001,649000,104.869965
"2020-12-23",106.849998,108.169998,106.529999,106.849998,366100,105.601311
"2020-12-24",106.839996,107.330002,106.559998,107.279999,144500,106.026276
"2020-12-28",108.050003,108.5,106.660004,106.82,325600,105.571655
"2020-12-29",106.82,107.860001,106,107.230003,415000,105.97686
"2020-12-30",106.989998,108.449997,106.959999,107.489998,303200,106.233826
"2020-12-31",107.580002,109.139999,107.099998,108.959999,317700,107.686646
"2021-01-04",109,109.970001,106.019997,106.110001,867000,104.869965
"2021-01-05",105,107.779999,105,107.160004,646500,105.907677
"2021-01-06",108.889999,116.730003,108.830002,114.760002,1538100,113.418854
"2021-01-07",115.129997,116.559998,112.669998,114.82,816500,113.478165
"2021-01-08",114.610001,114.660004,112.110001,113.519997,856000,112.193359
"2021-01-11",112.489998,114.279999,112.459999,113.010002,475800,111.689316
"2021-01-12",113.360001,114.190002,112.169998,113.580002,456000,112.252655
"2021-01-13",114.129997,114.389999,112.370003,112.769997,441900,111.452118
"2021-01-14",113.57,114.150002,111.580002,111.989998,938300,110.681229
"2021-01-15",111.18,111.339996,109.099998,110.190002,687400,108.902275
"2021-01-19",111.349998,112.900002,110.989998,111.690002,502000,110.38475
"2021-01-20",111.959999,112.349998,110.980003,111.989998,366800,110.681229
"2021-01-21",112.279999,112.900002,110.830002,111.120003,428700,109.821411
"2021-01-22",110.809998,111.410004,109.410004,111.010002,412600,109.712692
"2021-01-25",110.699997,111,109.190002,110.290001,366100,109.001099
"2021-01-26",111.010002,111.110001,108.459999,108.809998,426100,107.538391
"2021-01-27",106.449997,106.949997,103.510002,104.5,1127000,103.278778
"2021-01-28",106,106,103.650002,104.629997,1127100,103.407242
"2021-01-29",103.800003,104.300003,100.110001,100.959999,1060900,99.780136
"2021-02-01",102.339996,102.339996,100.050003,101.660004,935200,100.471954
"2021-02-02",103.080002,106.300003,102.589996,105.550003,607100,104.316513
"2021-02-03",105.040001,106.919998,104.669998,106.089996,618400,104.850174
"2021-02-04",106.400002,107.839996,106.139999,107.75,680200,106.490776
"2021-02-05",108.989998,109.699997,106.290001,107.449997,580600,106.19429
"2021-02-08",108.290001,109.269997,108.050003,109.129997,691100,107.85466
"2021-02-09",110.080002,113.419998,109.400002,112.040001,1040600,110.730652
"2021-02-10",112.400002,112.57,109.470001,110.709999,591800,109.416191
"2021-02-11",111.449997,115.190002,110.940002,115,769200,113.656059
"2021-02-12",114.510002,115.459999,113.720001,114.900002,513300,113.557228
"2021-02-16",114.559998,116.07,112.529999,113.230003,583000,111.906746
"2021-02-17",112.669998,113.059998,110.529999,112.809998,572900,111.491653
"2021-02-18",111.779999,113.18,109.730003,112.510002,944400,111.19516
"2021-02-19",113.370003,113.919998,112.25,112.410004,389800,111.096329
"2021-02-22",112.309998,116.169998,111.730003,115.75,808100,114.397293
"2021-02-23",115.739998,116.720001,114.150002,116.230003,565400,114.871689
"2021-02-24",116.830002,120.349998,116.059998,119.75,809500,118.35054
"2021-02-25",119.800003,120.440002,117.300003,117.699997,517900,116.528847
"2021-02-26",117.900002,118.059998,115.019997,115.080002,701800,113.934921
"2021-03-01",116.989998,117.629997,115.089996,115.18,716400,114.03392
"2021-03-02",115.169998,116,114.160004,114.550003,556100,113.410194
"2021-03-03",114.699997,116.82,114.050003,115.07,459200,113.925011
"2021-03-04",115.57,116.370003,111.839996,112.879997,678300,111.756813
"2021-03-05",113.540001,116.239998,112.129997,115.519997,624700,114.370544
"2021-03-08",117.07,119.980003,116.669998,118.25,710500,117.07338
"2021-03-09",118.720001,121.709999,117.739998,121.650002,839700,120.439552
"2021-03-10",122.5,124.980003,121.529999,124.75,731000,123.508698
"2021-03-11",124.540001,127,124.32,125.059998,776500,123.815613
"2021-03-12",125.110001,126.75,125.110001,126.459999,480500,125.201698
"2021-03-15",126.040001,126.489998,124.220001,125.879997,511600,124.627464
"2021-03-16",125.760002,125.760002,123.650002,124.529999,388300,123.290894
"2021-03-17",125.089996,125.739998,123.639999,125.32,413900,124.073036
"2021-03-18",125.57,127.440002,124.269997,124.620003,550400,123.380005
"2021-03-19",124.129997,124.379997,121.43,123.370003,981400,122.142441
"2021-03-22",122.379997,123.300003,121,123.190002,593400,121.964233
"2021-03-23",122.660004,123.720001,121.400002,121.800003,448900,120.588066
"2021-03-24",122.07,124.629997,121.739998,123.300003,483000,122.073143
"2021-03-25",123.779999,126.730003,121.769997,126.150002,542300,124.894783
"2021-03-26",126.279999,128.740005,123.860001,128.619995,524700,127.340187
"2021-03-29",127.809998,129,126.580002,127.370003,548600,126.102638
"2021-03-30",127.370003,128.490005,127.120003,128.130005,453900,126.855072
"2021-03-31",128.770004,129.699997,127.400002,129.270004,620500,127.983734
"2021-04-01",130,131.240005,128.979996,129.949997,570800,128.656967
"2021-04-05",131.660004,133.100006,130.75,132.679993,660700,131.359802
"2021-04-06",131.630005,133.759995,131.630005,131.960007,650000,130.646973
"2021-04-07",131.789993,132.059998,130.389999,131.449997,554500,130.142014
"2021-04-08",131.559998,132.970001,130.130005,132.770004,550900,131.448898
"2021-04-09",133.520004,135.169998,132.539993,135.110001,481700,133.765625
"2021-04-12",135.259995,136.190002,134,134.429993,1176800,133.092377
"2021-04-13",133.850006,133.850006,131.089996,131.580002,891200,130.270767
"2021-04-14",131.690002,132.020004,130.339996,131.320007,1184900,130.013336
"2021-04-15",131.25,134.039993,130.789993,133.910004,833500,132.577576
"2021-04-16",135.100006,135.110001,133.229996,133.779999,669400,132.448853
"2021-04-19",134.289993,134.529999,132.619995,133.720001,628100,132.38945
"2021-04-20",133.720001,134.169998,131.509995,133.190002,419600,131.864731
"2021-04-21",133.550003,135.679993,132.789993,135.460007,433400,134.112152
"2021-04-22",135.990005,137.300003,134.960007,135.169998,567800,133.825027
"2021-04-23",135.539993,137.830002,135.350006,137.139999,437900,135.775436
"2021-04-26",137.410004,138.539993,135.929993,136.440002,502300,135.082397
"2021-04-27",136.529999,137.119995,135.410004,136.710007,433800,135.349701
"2021-04-28",137.100006,137.229996,135.75,136,300100,134.646759
"2021-04-29",136.139999,136.139999,135.139999,135.369995,702500,134.023026
"2021-04-30",135.179993,135.809998,133.110001,133.610001,1008500,132.280563
"2021-05-03",135,136.229996,133.770004,135.740005,1257100,134.389359
"2021-05-04",135.149994,138.300003,134.839996,138.259995,528200,136.884247
"2021-05-05",138.509995,138.820007,136.539993,138.169998,438300,136.795166
"2021-05-06",138.529999,139,137.360001,138.449997,512700,137.072388
"2021-05-07",137.490005,141.070007,136.619995,139.949997,844300,138.557449
"2021-05-10",141.669998,145.970001,140.440002,142.360001,1063500,140.943466
"2021-05-11",141.589996,141.669998,138.399994,140.139999,507600,138.745544
"2021-05-12",139.830002,140.699997,135.190002,135.399994,574900,134.052719
"2021-05-13",135.210007,139.699997,135.160004,139.059998,455700,137.676315
"2021-05-14",140.070007,140.690002,138.190002,138.449997,636300,137.072388
"2021-05-17",138.110001,139.419998,137.440002,139.100006,373500,137.715942
"2021-05-18",139.059998,139.259995,135.520004,135.570007,545800,134.221054
"2021-05-19",135,136.619995,133.320007,136.449997,713000,135.0923
"2021-05-20",136.75,137.339996,135.75,136.630005,585800,135.270493
"2021-05-21",137.309998,139.389999,137.309998,138.559998,520300,137.18129
"2021-05-24",139.309998,139.979996,138.559998,139.649994,446700,138.260452
"2021-05-25",139.490005,140.720001,139.020004,139.270004,673400,137.884232
"2021-05-26",139.240005,141.539993,139,140.490005,874800,139.092072
"2021-05-27",141.820007,142.080002,139.779999,140.559998,693500,139.369705
"2021-05-28",142.559998,142.570007,140.789993,142.080002,498400,140.876846
"2021-06-01",143.509995,143.589996,141.970001,142.330002,369200,141.124725
"2021-06-02",142.160004,142.320007,140.729996,141.399994,326200,140.202606
"2021-06-03",140.850006,142.029999,139.410004,141.720001,322800,140.519882
"2021-06-04",142.130005,143.479996,141.710007,143.399994,289500,142.185669
"2021-06-07",143.399994,143.990005,141.550003,141.679993,356500,140.480225
"2021-06-08",141.669998,143.100006,141.229996,142.619995,309700,141.412277
"2021-06-09",142.100006,142.589996,141.470001,141.520004,375800,140.321594
"2021-06-10",142.110001,142.5,140.509995,141.259995,509800,140.063782
"2021-06-11",141.75,142.350006,139.600006,140.149994,714900,138.963181
"2021-06-14",140,140.350006,137.610001,138.559998,691700,137.386642
"2021-06-15",138.460007,139.320007,137.789993,138.639999,468200,137.465973
"2021-06-16",138.589996,139.289993,137.339996,137.770004,495500,136.603333
"2021-06-17",137.729996,138.25,133.070007,133.809998,609300,132.67688
"2021-06-18",131.139999,132.289993,129.580002,129.679993,1314300,128.581848
"2021-06-21",131.089996,133.5,130.779999,132.820007,739800,131.695267
"2021-06-22",133.119995,133.320007,131.580002,132.75,844900,131.625854
"2021-06-23",133.440002,133.539993,131.309998,131.910004,610000,130.792953
"2021-06-24",132.690002,135.830002,131.490005,135.240005,767500,134.094788
"2021-06-25",135.960007,136.990005,135.429993,136.839996,818800,135.681213
"2021-06-28",136.630005,137.960007,132.669998,133.899994,754000,132.766113
"2021-06-29",133.990005,134.710007,131.440002,131.809998,945400,130.693787
"2021-06-30",131.779999,133.630005,131.220001,133.419998,438900,132.290161
"2021-07-01",134.490005,134.839996,133.720001,134.309998,385200,133.172623
"2021-07-02",134.490005,134.649994,132.660004,132.729996,664200,131.606033
"2021-07-06",132.639999,132.729996,130.009995,131.740005,678800,130.624405
"2021-07-07",131.369995,133.779999,131.369995,133.570007,390700,132.438919
"2021-07-08",131.339996,133.759995,130.669998,132.300003,376200,131.179672
"2021-07-09",134.360001,135.100006,133.490005,134.649994,423800,133.50975
"2021-07-12",133.880005,135.839996,133.240005,135.539993,457100,134.392212
"2021-07-13",135.289993,135.720001,132.729996,132.889999,412200,131.764648
"2021-07-14",133.240005,134.669998,132.339996,132.899994,417500,131.774567
"2021-07-15",131.899994,133.410004,131.899994,132.649994,713000,131.526718
"2021-07-16",133.380005,133.389999,131.5,132.039993,484900,130.921844
"2021-07-19",130.009995,130.25,127.349998,128.570007,625300,127.481247
"2021-07-20",128.800003,133.259995,128.610001,132.229996,557300,131.110245
"2021-07-21",133.440002,134.639999,132.949997,133.690002,333600,132.557892
"2021-07-22",133.720001,133.839996,131.690002,132.279999,224300,131.159836
"2021-07-23",133.690002,133.970001,132.369995,133.899994,202500,132.766113
"2021-07-26",134.220001,134.710007,132.830002,133.309998,263800,132.181107
"2021-07-27",132.479996,134.320007,131.800003,133.660004,370000,132.528152
"2021-07-28",133.779999,135.830002,132.320007,135.110001,413700,133.965866
"2021-07-29",136.550003,137.350006,135.039993,136.520004,575100,135.574677
"2021-07-30",136.199997,136.820007,134.899994,135.25,403400,134.313446
"2021-08-02",135.919998,138.529999,133.869995,133.899994,1007700,132.972778
"2021-08-03",133.070007,133.190002,128.899994,129.460007,1039900,128.563553
"2021-08-04",128.009995,129.539993,126.620003,128.699997,680400,127.808792
"2021-08-05",129.929993,130.899994,128.389999,128.740005,373000,127.848534
"2021-08-06",129.550003,130.259995,128.380005,128.889999,604800,127.99749
"2021-08-09",129.009995,131.309998,128.009995,130.360001,630500,129.457306
"2021-08-10",130.350006,132.479996,129.649994,131.720001,497400,130.807877
"2021-08-11",132.570007,136.320007,132.070007,136.149994,773700,135.207199
"2021-08-12",136.539993,139.600006,136,139.559998,1157800,138.593597
"2021-08-13",140,140.080002,137.679993,138.070007,804500,137.113922
"2021-08-16",137.649994,138.809998,135.830002,138.139999,497900,137.183426
"2021-08-17",137.229996,137.279999,134.639999,135.75,724500,134.809982
"2021-08-18",134.960007,136.509995,133.839996,133.910004,462400,132.982727
"2021-08-19",132.520004,133.720001,131.520004,131.929993,453800,131.016449
"2021-08-20",131.789993,132.960007,131.039993,132.75,416300,131.830765
"2021-08-23",133.139999,133.699997,132.089996,132.940002,462600,132.019424
"2021-08-24",133.009995,134.619995,132.960007,134.529999,323900,133.598434
"2021-08-25",135.050003,135.869995,134.649994,135.389999,311100,134.452454
"2021-08-26",135.25,135.259995,133.479996,133.679993,274000,132.754303
"2021-08-27",133.910004,136.289993,133.839996,136.009995,284400,135.068161
"2021-08-30",136.169998,136.199997,135.100006,135.369995,352100,134.432602
"2021-08-31",135.300003,135.910004,134.339996,134.960007,389600,134.025452
"2021-09-01",135.389999,135.600006,133.580002,134.720001,470500,133.787125
"2021-09-02",135.600006,136.759995,135.110001,136.289993,313400,135.346237
"2021-09-03",136.600006,137.699997,135.929993,137.100006,343000,136.150635
"2021-09-07",136.869995,137.190002,133.279999,133.300003,587200,132.376953
"2021-09-08",133.050003,135.929993,132.630005,135.820007,498000,134.879501
"2021-09-09",135.869995,137.520004,135.399994,135.550003,404700,134.611374
"2021-09-10",135.850006,136.619995,133.130005,133.320007,444600,132.39682
"2021-09-13",134.619995,135.539993,133.410004,134.550003,353800,133.618286
"2021-09-14",135.479996,135.529999,132.940002,133.009995,467300,132.088959
"2021-09-15",132.690002,136.240005,132.460007,136,571600,135.058243
"2021-09-16",135.639999,136.789993,133.610001,133.690002,529200,132.764252
"2021-09-17",132.580002,133.779999,130.300003,130.550003,1176300,129.645996
"2021-09-20",128.220001,129.429993,125.82,127.879997,571900,126.994469
"2021-09-21",128.380005,128.649994,126.370003,126.739998,449500,125.862366
"2021-09-22",128.360001,130.979996,127.75,130.539993,566200,129.636063
"2021-09-23",131.259995,135.039993,131.119995,134.809998,722200,133.876495
"2021-09-24",134.149994,136.759995,134.149994,136,555800,135.058243
"2021-09-27",136.949997,138.880005,136,138.270004,587700,137.312546
"2021-09-28",138.5,138.729996,135.410004,136.070007,605300,135.127762
"2021-09-29",136.380005,137.580002,135.210007,136.419998,532800,135.475357
"2021-09-30",136.740005,136.740005,132.529999,132.529999,823400,131.612289
"2021-10-01",133.479996,135.520004,131.880005,134.660004,639000,133.727539
"2021-10-04",134.300003,136.369995,130.279999,131.360001,826800,130.450394
"2021-10-05",131.619995,133.419998,130.369995,132.279999,460900,131.364014
"2021-10-06",130.139999,132.809998,129.339996,132.240005,539800,131.32431
"2021-10-07",133.440002,135.869995,133.440002,134.850006,375500,133.916214
"2021-10-08",134.699997,135.970001,134.229996,135.350006,285100,134.412766
"2021-10-11",135.479996,136.440002,133.990005,133.990005,367700,133.06218
"2021-10-12",134.160004,134.919998,132.690002,133,476000,132.079041
"2021-10-13",133.029999,133.899994,131.509995,133.270004,357900,132.347153
"2021-10-14",134.449997,134.960007,133.479996,134.479996,566100,133.759552
"2021-10-15",135.75,136,133.740005,133.960007,522100,133.24234
"2021-10-18",132.940002,134.350006,132.300003,134.070007,563800,133.351761
"2021-10-19",134.779999,135.119995,133.570007,133.820007,462100,133.103088
"2021-10-20",134.199997,137.089996,134.199997,136.410004,605900,135.679214
"2021-10-21",136.330002,136.929993,135.449997,136.869995,383900,136.136749
"2021-10-22",137.350006,138.089996,136.630005,136.929993,356500,136.196426
"2021-10-25",137.139999,139.339996,136.509995,139.139999,677700,138.394577
"2021-10-26",139.899994,140.160004,138.169998,138.270004,394100,137.529251
"2021-10-27",138.009995,138.059998,135.839996,136,425600,135.271408
"2021-10-28",136.639999,141.660004,136.639999,139.279999,488100,138.533844
"2021-10-29",139,141.050003,138.949997,140.419998,454700,139.667725
"2021-11-01",141.339996,142.289993,140.139999,140.710007,456700,139.956192
"2021-11-02",141.429993,141.479996,138.970001,140.630005,513000,139.876617
"2021-11-03",140.580002,141.300003,138.639999,141.149994,362400,140.393814
"2021-11-04",141.289993,142.929993,140.740005,141.75,305000,140.990601
"2021-11-05",143,144.990005,142.199997,142.630005,592100,141.865891
"2021-11-08",143.979996,146.100006,143.119995,144.990005,729000,144.213257
"2021-11-09",144.660004,146.289993,144.300003,144.509995,391100,143.735809
"2021-11-10",144.770004,145.919998,144.25,145.520004,609300,144.740417
"2021-11-11",145.929993,146.210007,144.320007,144.600006,386400,143.825348
"2021-11-12",145.339996,145.559998,143.759995,145.419998,461000,144.64093
"2021-11-15",146.229996,147.630005,145.149994,145.440002,443300,144.660843
"2021-11-16",146.110001,147.820007,145.75,147.210007,363300,146.421356
"2021-11-17",146.759995,147.050003,144.520004,145.410004,599400,144.630997
"2021-11-18",145.839996,147.910004,144.630005,147.220001,609400,146.431305
"2021-11-19",147.690002,148.860001,146.320007,146.419998,656100,145.63559
"2021-11-22",146.990005,148.720001,146.330002,146.570007,885900,145.78479
"2021-11-23",144.300003,144.639999,139.509995,144,1443700,143.228561
"2021-11-24",144.369995,149.550003,143.300003,148.449997,932000,147.654709
"2021-11-26",145.039993,146.740005,144.080002,145.729996,512800,144.94928
"2021-11-29",147.009995,148.149994,145.080002,146.089996,554000,145.307358
"2021-11-30",144.949997,145.899994,142.070007,142.559998,944900,141.796249
