"","JCI.Open","JCI.High","JCI.Low","JCI.Close","JCI.Volume","JCI.Adjusted"
"2020-10-20",42.84,43.700001,42.630001,43.099998,3349000,41.621738
"2020-10-21",43.450001,43.970001,43.150002,43.720001,4760900,42.22047
"2020-10-22",43.77,44.509998,43.77,44.48,5164400,42.954407
"2020-10-23",44.57,44.759998,43.959999,44.400002,3599700,42.877155
"2020-10-26",43.720001,43.82,42.529999,42.959999,3632500,41.486546
"2020-10-27",42.91,43.09,42.07,42.18,2835200,40.733295
"2020-10-28",41.52,42.439999,41.099998,41.139999,4711100,39.728966
"2020-10-29",41.189999,42.48,40.919998,42.310001,3909100,40.858841
"2020-10-30",42.330002,42.860001,41.369999,42.209999,4632600,40.762268
"2020-11-02",42.939999,44.09,42.880001,43.939999,5877100,42.43293
"2020-11-03",44.049999,45.080002,43.400002,44.220001,6147500,42.703331
"2020-11-04",44,44.060001,41.689999,41.799999,10159000,40.366325
"2020-11-05",42.48,43.900002,42,43.48,7535000,41.988712
"2020-11-06",43.380001,43.889999,43.25,43.740002,5828200,42.239788
"2020-11-09",45.919998,47.580002,44.400002,44.419998,7864100,42.896465
"2020-11-10",44.740002,45.310001,44.240002,44.419998,7835400,42.896465
"2020-11-11",44.799999,44.970001,43.919998,44,8088400,42.490875
"2020-11-12",43.84,44.029999,43.459999,43.82,5238700,42.317047
"2020-11-13",44.189999,45,44.189999,44.650002,6850200,43.118576
"2020-11-16",45.32,45.5,44.740002,45.360001,9023800,43.804226
"2020-11-17",44.990002,45.369999,44.110001,44.709999,14183400,43.176514
"2020-11-18",44.919998,46.299999,44.84,45.959999,6541300,44.383652
"2020-11-19",45.790001,45.900002,45.119999,45.709999,4792000,44.142216
"2020-11-20",45.52,45.759998,45.029999,45.290001,3366700,43.736633
"2020-11-23",45.59,46.060001,45.459999,45.650002,3645400,44.084278
"2020-11-24",46.27,47.009998,45.889999,46.66,3314400,45.059635
"2020-11-25",46.310001,46.549999,45.82,46.41,2808300,44.818214
"2020-11-27",46.380001,46.669998,45.889999,45.970001,1810800,44.393311
"2020-11-30",45.939999,46.549999,45.830002,46.040001,7699600,44.460907
"2020-12-01",46.759998,47.299999,46.23,46.27,4760500,44.683014
"2020-12-02",46.16,46.68,45.610001,45.889999,4471100,44.316051
"2020-12-03",45.970001,46.189999,45.450001,45.73,5228100,44.161533
"2020-12-04",45.970001,46.32,45.59,45.889999,5273200,44.316051
"2020-12-07",45.849998,45.849998,45.150002,45.25,3575700,43.698002
"2020-12-08",45.099998,45.57,45.080002,45.259998,4645200,43.707657
"2020-12-09",45.709999,45.990002,45.330002,45.790001,6058900,44.219486
"2020-12-10",45.400002,45.889999,45.040001,45.689999,3417600,44.122906
"2020-12-11",45.43,45.700001,45.25,45.549999,4008300,43.987709
"2020-12-14",45.68,46.110001,45.02,45.099998,4690700,43.553146
"2020-12-15",45.169998,46.040001,44.91,46.040001,4695600,44.460907
"2020-12-16",46.080002,46.25,45.41,45.77,4755300,44.200172
"2020-12-17",46.080002,46.560001,45.830002,46.450001,3906300,44.856842
"2020-12-18",46.450001,46.73,45.91,46.240002,11405800,44.905407
"2020-12-21",45.5,46.220001,45.349998,45.950001,4485200,44.623775
"2020-12-22",46.119999,46.220001,45.560001,45.639999,3298400,44.322716
"2020-12-23",45.709999,46.169998,45.490002,45.919998,4227100,44.594635
"2020-12-24",46.200001,46.200001,45.68,45.93,842500,44.604351
"2020-12-28",46.18,46.689999,46.029999,46.110001,2504700,44.779152
"2020-12-29",46.380001,46.509998,45.549999,45.900002,2436700,44.575214
"2020-12-30",46.049999,46.810001,45.950001,46.419998,2281200,45.080204
"2020-12-31",46.32,46.650002,45.990002,46.59,1934200,45.2453
"2021-01-04",46.610001,47.23,45.91,46.18,5389300,44.847134
"2021-01-05",46.02,47.549999,46.02,47.52,5564000,46.14846
"2021-01-06",48,50.259998,47.84,49.75,10215100,48.314091
"2021-01-07",50.360001,51.389999,49.490002,51.18,5068800,49.70282
"2021-01-08",51.400002,51.57,50.560001,51.299999,5098600,49.819351
"2021-01-11",49.049999,51.290001,49,50.990002,3906000,49.518303
"2021-01-12",51.220001,51.959999,50.389999,51.84,3982200,50.343769
"2021-01-13",51.990002,52.32,51.439999,52.009998,5697000,50.508862
"2021-01-14",52.150002,52.919998,52.02,52.450001,3010600,50.936161
"2021-01-15",52.09,52.150002,51.060001,51.810001,3855600,50.31464
"2021-01-19",52.369999,52.830002,51.610001,51.630001,3135900,50.139828
"2021-01-20",51.82,52.41,51.450001,52.389999,5056800,50.877895
"2021-01-21",52.060001,52.349998,51.630001,52.16,3968900,50.654533
"2021-01-22",51.830002,52.700001,51.59,52.349998,5810900,50.839046
"2021-01-25",51.939999,52.18,51.150002,51.459999,4047300,49.974735
"2021-01-26",51.529999,51.919998,50.290001,50.360001,3667600,48.906483
"2021-01-27",49.919998,49.919998,48.110001,48.400002,4765900,47.003059
"2021-01-28",49.130001,50,48.549999,49.34,4501600,47.915928
"2021-01-29",49.009998,50.110001,48.220001,49.82,6002100,48.382072
"2021-02-01",50.240002,51.529999,50.220001,50.91,5785600,49.440613
"2021-02-02",51.220001,51.630001,50.709999,50.709999,3189900,49.246384
"2021-02-03",50.549999,50.84,50.060001,50.619999,4290100,49.158978
"2021-02-04",50.619999,51.509998,50.619999,51.200001,3335200,49.722244
"2021-02-05",51.41,51.619999,50.82,51.049999,3890400,49.576572
"2021-02-08",51.110001,51.759998,50.98,51.709999,2740500,50.217518
"2021-02-09",51.380001,52.02,51.290001,51.599998,3657600,50.110691
"2021-02-10",51.889999,52.27,51.360001,52.040001,3303300,50.537998
"2021-02-11",52.18,52.93,51.59,52.889999,4821400,51.363461
"2021-02-12",52.599998,53.66,52.41,53.580002,5962900,52.03355
"2021-02-16",53.82,54.060001,52.990002,53,4050600,51.470291
"2021-02-17",52.779999,55.330002,52.66,55.200001,5815300,53.606789
"2021-02-18",55.299999,55.93,54.810001,55.669998,4850800,54.063225
"2021-02-19",56.169998,56.830002,55.880001,56.02,4800300,54.403122
"2021-02-22",56,56.700001,55.41,56.32,5937900,54.694466
"2021-02-23",56.48,56.48,55.32,55.98,3752800,54.364277
"2021-02-24",56,56.560001,55.459999,56.099998,3965100,54.480812
"2021-02-25",56.150002,56.599998,55.330002,55.599998,3617300,53.995247
"2021-02-26",55.650002,56.439999,55.139999,55.790001,6865000,54.179768
"2021-03-01",56.360001,57.580002,56.360001,57.18,3275300,55.52964
"2021-03-02",57.34,57.560001,56.43,57.450001,4509800,55.791851
"2021-03-03",57.490002,58.299999,57.200001,57.950001,5193700,56.27742
"2021-03-04",57.630001,58.209999,55.830002,57.27,5967600,55.617043
"2021-03-05",57.799999,59.310001,56.970001,59.200001,5304300,57.491341
"2021-03-08",59.380001,60.939999,59.009998,60.220001,5113200,58.481903
"2021-03-09",60.080002,60.299999,59.209999,59.220001,3698000,57.510765
"2021-03-10",59.25,60.549999,58.959999,60.23,3991900,58.491611
"2021-03-11",60.459999,61.41,60.200001,61.09,6168400,59.32679
"2021-03-12",61.080002,61.91,60.84,61.810001,5318300,60.026009
"2021-03-15",61.52,62.400002,60.720001,62.290001,3680400,60.492157
"2021-03-16",62.07,62.27,60.049999,60.57,5524200,58.8218
"2021-03-17",60.740002,60.849998,59.900002,60.52,5740600,58.773247
"2021-03-18",60.529999,62.150002,60.529999,61.52,4627500,59.744381
"2021-03-19",60.959999,61.07,59.419998,60,8218300,58.525108
"2021-03-22",59.799999,60.470001,59.41,59.959999,6027100,58.486088
"2021-03-23",59.389999,59.93,58.200001,58.439999,4325600,57.003448
"2021-03-24",59.220001,59.52,58.470001,58.59,4981700,57.149769
"2021-03-25",58.619999,59.689999,58.150002,59.380001,5505800,57.920353
"2021-03-26",60,60.130001,59.389999,59.990002,5218900,58.51535
"2021-03-29",60.84,61.099998,59.889999,60.470001,5501300,58.983559
"2021-03-30",60.25,60.860001,60.119999,60.73,2535400,59.237164
"2021-03-31",60.560001,60.860001,59.630001,59.669998,5172400,58.203217
"2021-04-01",59.950001,60.07,59.529999,59.900002,3049000,58.427567
"2021-04-05",60.490002,61.360001,60.330002,60.889999,2726200,59.39323
"2021-04-06",60.950001,61.369999,60.75,60.970001,2619900,59.471268
"2021-04-07",60.75,61.009998,60.060001,60.150002,3222200,58.671417
"2021-04-08",60.080002,60.52,59.529999,60.450001,3415700,58.96405
"2021-04-09",61.110001,61.919998,60.490002,61.759998,4073600,60.241844
