"","LNT.Open","LNT.High","LNT.Low","LNT.Close","LNT.Volume","LNT.Adjusted"
"2020-10-13",54.380001,54.5,53.66,54.080002,898600,51.030495
"2020-10-14",54.290001,54.529999,53.759998,54.049999,698000,51.002182
"2020-10-15",53.709999,54.880001,53.619999,54.549999,874600,51.473988
"2020-10-16",54.490002,55.23,54.209999,54.889999,1339700,51.794819
"2020-10-19",54.98,55.220001,54.560001,54.720001,1599800,51.634407
"2020-10-20",54.889999,55.380001,54.619999,55.139999,875600,52.030716
"2020-10-21",55,56.080002,54.98,55.639999,1527000,52.502525
"2020-10-22",55.5,56.650002,55.330002,56.459999,1256000,53.276283
"2020-10-23",56.849998,56.860001,56.130001,56.669998,832200,53.474445
"2020-10-26",56.290001,57.009998,56.099998,56.830002,797800,53.625423
"2020-10-27",57.049999,57.52,56.630001,57.16,978600,53.936813
"2020-10-28",56.189999,57.060001,55.43,55.52,1267500,52.389294
"2020-10-29",54.779999,56.27,54.150002,55.57,967500,52.797844
"2020-10-30",55.419998,55.740002,54.639999,55.279999,1348000,52.522308
"2020-11-02",56.060001,56.93,55.389999,56.689999,1342500,53.861973
"2020-11-03",55.919998,57.52,55.709999,56.439999,1951500,53.624443
"2020-11-04",56.299999,57.48,55.119999,55.34,1552700,52.579319
"2020-11-05",55.860001,56.169998,54.650002,54.880001,1145900,52.142265
"2020-11-06",55.25,55.790001,54.049999,54.57,1047800,51.847725
"2020-11-09",56.41,58.099998,56.299999,56.630001,1551000,53.804962
"2020-11-10",56.41,57.380001,56.41,56.959999,1132500,54.1185
"2020-11-11",57.169998,57.779999,56.98,57.419998,733900,54.555557
"2020-11-12",57.169998,57.389999,55.860001,56.130001,1282000,53.32991
"2020-11-13",56.509998,56.799999,55.849998,56.200001,978000,53.396412
"2020-11-16",57.009998,57.119999,55.790001,56.439999,1032600,53.624443
"2020-11-17",56.23,56.549999,54.66,54.73,1405600,51.999748
"2020-11-18",54.98,55.110001,53.009998,53.060001,1501800,50.413059
"2020-11-19",53.599998,53.709999,52.220001,52.470001,1022600,49.852493
"2020-11-20",52.52,53.150002,52.16,52.869999,1667800,50.232536
"2020-11-23",53.16,53.400002,52.599998,52.75,1049000,50.118515
"2020-11-24",53.040001,53.5,52.549999,53.369999,1208600,50.707588
"2020-11-25",53.419998,53.869999,52.759998,53.509998,1282500,50.840611
"2020-11-27",53.389999,53.709999,52.560001,52.759998,461200,50.128025
"2020-11-30",52.610001,52.950001,52.110001,52.599998,2092700,49.976006
"2020-12-01",52.959999,53.700001,52.810001,53.369999,1355900,50.707588
"2020-12-02",53.150002,53.849998,52.689999,53.82,1412100,51.135143
"2020-12-03",53.689999,53.689999,52.880001,53.360001,1485100,50.698093
"2020-12-04",53.34,53.77,52.66,52.880001,1270000,50.242035
"2020-12-07",53.02,53.369999,52.740002,53.34,1267000,50.679089
"2020-12-08",53.099998,53.32,52.549999,52.759998,1177000,50.128025
"2020-12-09",52.810001,52.849998,51.919998,52.299999,1161800,49.690971
"2020-12-10",51.990002,52.360001,51.490002,51.860001,1016100,49.272923
"2020-12-11",51.580002,51.830002,51.43,51.709999,810200,49.130398
"2020-12-14",52.200001,52.470001,51.32,51.34,677700,48.778862
"2020-12-15",51.560001,52.580002,51.209999,52.380001,1101600,49.766975
"2020-12-16",52.580002,52.860001,51.619999,51.639999,1378800,49.063892
"2020-12-17",51.84,52.310001,51.669998,51.73,1224100,49.149403
"2020-12-18",51.57,51.889999,50.669998,51.049999,2601900,48.503326
"2020-12-21",50.540001,50.810001,49.360001,50.34,1692300,47.828747
"2020-12-22",50.310001,50.34,49.91,50.18,1059700,47.676727
"2020-12-23",50.470001,50.68,49.540001,49.540001,1005300,47.068657
"2020-12-24",49.580002,50.07,47.610001,50.02,743200,47.524708
"2020-12-28",50.349998,50.82,50.130001,50.310001,743600,47.80024
"2020-12-29",50.610001,50.91,50.259998,50.48,1048600,47.961761
"2020-12-30",50.52,51,50.360001,50.759998,563800,48.227795
"2020-12-31",50.490002,51.610001,50.419998,51.529999,916200,48.959381
"2021-01-04",51.529999,51.540001,50.27,50.490002,807700,47.971268
"2021-01-05",50.5,50.790001,50.02,50.25,968100,47.743237
"2021-01-06",50.580002,51.279999,50.23,51,969900,48.455826
"2021-01-07",50.950001,50.950001,49.09,49.110001,1317600,46.660103
"2021-01-08",49.200001,49.470001,48.66,49.349998,1183500,46.88813
"2021-01-11",49.330002,49.560001,48.23,48.549999,1022900,46.128036
"2021-01-12",48.400002,48.540001,47.209999,48.029999,920700,45.63398
"2021-01-13",48.189999,48.950001,47.98,48.75,951500,46.318062
"2021-01-14",48.68,48.700001,47.560001,48.09,936400,45.69099
"2021-01-15",47.939999,49.57,47.709999,49.470001,1652400,47.002155
"2021-01-19",49.860001,50.119999,49.029999,49.630001,1934200,47.154167
"2021-01-20",49.310001,50.150002,49.220001,49.919998,1867000,47.429695
"2021-01-21",49.77,50.16,49.509998,49.75,920300,47.268177
"2021-01-22",49.82,49.82,48.709999,49.41,1283500,46.945141
"2021-01-25",49.41,50.68,49.049999,50.5,2205300,47.980766
"2021-01-26",50.5,50.5,49.549999,49.84,1077400,47.353687
"2021-01-27",49.560001,50.110001,48.509998,48.98,1452400,46.536587
"2021-01-28",48.919998,49.919998,48.57,48.959999,1236500,46.903496
"2021-01-29",48.84,49.139999,48.07,48.650002,1800400,46.606525
"2021-02-01",48.740002,49.41,48.25,48.950001,1236500,46.893925
"2021-02-02",49.130001,49.91,48.77,49.02,1065800,46.960983
"2021-02-03",49.400002,49.939999,49.040001,49.110001,1229000,47.047199
"2021-02-04",48.93,49.75,48.700001,49.459999,924800,47.382504
"2021-02-05",49.450001,49.869999,49.310001,49.68,778500,47.593254
"2021-02-08",49.669998,50,48.950001,49.060001,875700,46.999302
"2021-02-09",49.279999,49.439999,48.25,48.84,834500,46.788544
"2021-02-10",49.139999,49.52,48.860001,49.119999,800400,47.056782
"2021-02-11",49.130001,49.400002,48.5,48.709999,912800,46.664005
"2021-02-12",48.669998,48.849998,48.119999,48.290001,1269100,46.261642
"2021-02-16",48.549999,48.669998,47.740002,47.82,1128300,45.811386
"2021-02-17",47.990002,48.380001,47.849998,48.23,999100,46.204163
"2021-02-18",47.939999,48.689999,47.939999,48.610001,1045700,46.568203
"2021-02-19",49.990002,49.990002,47.540001,47.630001,1901100,45.629372
"2021-02-22",47.5,47.77,46.490002,47.130001,1337800,45.150368
"2021-02-23",47.540001,48.68,47.360001,48.23,1880000,46.204163
"2021-02-24",48.41,48.41,47.290001,47.529999,1495500,45.533566
"2021-02-25",47.41,47.759998,47.099998,47.369999,1289700,45.380287
"2021-02-26",47.540001,48.029999,45.990002,46.16,1700800,44.221111
"2021-03-01",46.549999,47.639999,46.549999,47.09,1448500,45.112049
"2021-03-02",47.290001,47.32,46.369999,47.110001,1092400,45.131207
"2021-03-03",47.130001,47.139999,46.060001,46.91,1303600,44.939613
"2021-03-04",46.919998,48.099998,46.759998,47.200001,1286300,45.217434
"2021-03-05",47.540001,48.639999,47.259998,48.389999,1595700,46.357441
"2021-03-08",48.759998,49.830002,48.200001,49.709999,1678600,47.622002
"2021-03-09",49.650002,50.07,49.52,49.880001,1713400,47.784863
"2021-03-10",49.880001,50.709999,49.689999,50.389999,1785400,48.273438
"2021-03-11",50.18,50.75,49.959999,49.990002,1350600,47.89024
"2021-03-12",50.189999,51.700001,49.990002,51.119999,2502600,48.972775
"2021-03-15",51.32,53.41,51.32,52.700001,3134100,50.486408
"2021-03-16",52.580002,53.189999,52.360001,52.700001,1852500,50.486408
"2021-03-17",53.07,53.07,51.57,51.709999,1965800,49.537994
"2021-03-18",51.700001,52.16,50.98,51.779999,1964800,49.605049
"2021-03-19",51.84,52.290001,51.119999,51.77,5167200,49.595474
"2021-03-22",51.73,52.029999,51.169998,51.509998,1697700,49.346394
"2021-03-23",51.509998,53.299999,51.32,53.07,1856600,50.840866
"2021-03-24",53.110001,53.77,52.82,53.32,2130400,51.080368
"2021-03-25",53.470001,54.27,52.93,53.75,1630300,51.492306
"2021-03-26",53.560001,54.049999,53.25,53.970001,1297700,51.703068
"2021-03-29",53.860001,54.900002,53.650002,54.639999,1087900,52.344921
"2021-03-30",54.369999,54.549999,53.560001,54.16,1067800,51.885082
"2021-03-31",54.18,54.299999,53.84,54.16,1417700,51.885082
"2021-04-01",53.869999,54.389999,53.59,54.360001,894100,52.076679
"2021-04-05",54.52,55.240002,54.43,54.84,823700,52.536522
"2021-04-06",54.5,54.889999,54.220001,54.82,993400,52.517361
"2021-04-07",54.900002,55.18,54.32,54.389999,1276800,52.105423
"2021-04-08",54.759998,54.849998,54.080002,54.150002,1430900,51.875504
"2021-04-09",54.43,54.82,53.970001,54.009998,987700,51.741375
"2021-04-12",54.099998,54.610001,53.959999,54.209999,1267600,51.932983
"2021-04-13",54.029999,54.630001,53.799999,54.509998,1151700,52.220383
"2021-04-14",54.240002,54.91,54.130001,54.880001,964000,52.574841
"2021-04-15",54.939999,55.790001,54.790001,55.68,1113400,53.34124
"2021-04-16",56.049999,56.369999,55.759998,56.16,1181400,53.801079
"2021-04-19",56.16,56.369999,55.799999,56.189999,1590900,53.829815
"2021-04-20",56.439999,57.560001,56.389999,57.419998,1423200,55.008148
"2021-04-21",57.509998,57.810001,56.790001,57.080002,930000,54.682434
"2021-04-22",57.07,57.389999,56.610001,56.849998,938700,54.462093
"2021-04-23",57.029999,57.029999,56.419998,56.439999,983800,54.069313
"2021-04-26",56.560001,56.560001,56.060001,56.240002,769000,53.877716
"2021-04-27",56.060001,56.099998,55.419998,55.52,985300,53.187962
"2021-04-28",55.599998,55.77,55.009998,55.299999,1309100,52.977196
"2021-04-29",55.200001,55.610001,55.130001,55.380001,2016500,53.44331
"2021-04-30",55.639999,56.23,55.299999,56.169998,1653100,54.205685
"2021-05-03",56.080002,56.73,55.950001,56.169998,1673400,54.205685
"2021-05-04",56.110001,56.549999,55.880001,56.540001,1167100,54.56274
"2021-05-05",56.68,56.68,54.880001,55.610001,1264800,53.665264
"2021-05-06",55.77,56.57,55.59,56.57,1355200,54.59169
"2021-05-07",56.189999,57,56.139999,56.740002,1722400,54.755749
"2021-05-10",57.240002,58.18,57,57.950001,1640700,55.923435
"2021-05-11",57.98,58.189999,56.389999,56.970001,1577900,54.977707
"2021-05-12",56.919998,56.959999,55.720001,55.810001,1237800,53.858269
"2021-05-13",55.689999,57.169998,55.470001,56.880001,978800,54.890854
"2021-05-14",57.02,57.540001,56.75,56.759998,1106600,54.775047
"2021-05-17",57.09,57.25,56.369999,56.48,1339600,54.504841
"2021-05-18",57.59,58.040001,56.889999,57.599998,2958400,55.58567
"2021-05-19",57.57,57.779999,57.060001,57.700001,1823700,55.682178
"2021-05-20",57.720001,58.25,57.66,57.759998,1481900,55.740074
"2021-05-21",57.490002,58.25,57.490002,58.110001,1866300,56.077835
"2021-05-24",58.380001,58.529999,58.02,58.060001,1239000,56.029591
"2021-05-25",58.029999,58.099998,57.43,57.599998,1501900,55.58567
"2021-05-26",57.580002,57.919998,57.349998,57.509998,1746500,55.498817
"2021-05-27",57.610001,57.810001,56.75,56.75,7705900,54.765396
"2021-05-28",57.049999,57.450001,56.900002,57.150002,1506000,55.151409
"2021-06-01",57.27,57.650002,56.779999,56.990002,1072800,54.997002
"2021-06-02",57.040001,57.830002,56.759998,57.599998,1048100,55.58567
"2021-06-03",57.279999,58.380001,57.279999,58.130001,1450000,56.097137
"2021-06-04",58.290001,58.43,57.880001,58.110001,754700,56.077835
"2021-06-07",58.23,58.380001,57.91,58.099998,1046000,56.068184
"2021-06-08",58.139999,58.32,57.119999,57.59,1915600,55.576019
"2021-06-09",57.830002,58.380001,57.630001,58.299999,964000,56.261192
"2021-06-10",58.439999,58.66,58.200001,58.540001,818200,56.492802
"2021-06-11",58.52,58.639999,58.259998,58.580002,845200,56.531403
"2021-06-14",58.509998,58.639999,58.150002,58.57,1071700,56.521751
"2021-06-15",58.490002,59.099998,58.240002,58.75,753000,56.695454
"2021-06-16",58.599998,58.959999,57.540001,57.57,1293900,55.556721
"2021-06-17",57.470001,58.25,57.290001,58.119999,1143200,56.087486
"2021-06-18",58.110001,58.189999,56.18,56.330002,2171500,54.360088
"2021-06-21",56.369999,57.470001,56.139999,57.330002,1402600,55.325115
"2021-06-22",57.310001,57.740002,57.18,57.23,1146100,55.228611
"2021-06-23",57.299999,57.450001,56.380001,56.75,1597400,54.765396
"2021-06-24",56.830002,56.830002,56.25,56.419998,1008500,54.446938
"2021-06-25",56.290001,57.150002,56.279999,57.130001,823500,55.132111
"2021-06-28",57.259998,57.560001,56.93,57.110001,722500,55.112808
"2021-06-29",56.98,57.330002,55.57,55.740002,1295700,53.790718
"2021-06-30",55.759998,55.950001,55.330002,55.759998,958400,53.810017
"2021-07-01",56.119999,56.59,55.59,56.27,1116900,54.302181
"2021-07-02",56.209999,56.470001,56.009998,56.419998,917500,54.446938
"2021-07-06",55.830002,56.439999,55.169998,56.389999,1279800,54.417988
"2021-07-07",56.490002,56.889999,56.049999,56.830002,812300,54.842598
"2021-07-08",56.549999,57.139999,56.490002,56.84,766100,54.852249
"2021-07-09",56.709999,56.98,55.84,56.759998,2105200,54.775047
"2021-07-12",56.639999,57.09,56.299999,56.939999,927900,54.948753
"2021-07-13",56.889999,56.990002,56.279999,56.529999,835000,54.553089
"2021-07-14",56.68,57.400002,56.330002,57.23,771400,55.228611
"2021-07-15",56.990002,57.849998,56.93,57.810001,969700,55.788326
"2021-07-16",57.810001,58.889999,57.779999,58.549999,1078400,56.502445
"2021-07-19",58.5,58.790001,57.360001,58.049999,1473800,56.019932
"2021-07-20",58.16,59.23,58.09,58.310001,1165800,56.270844
"2021-07-21",58.09,58.529999,57.380001,57.419998,992100,55.411968
"2021-07-22",57.34,57.82,57.169998,57.560001,994500,55.547073
"2021-07-23",57.610001,58.650002,57.610001,58.610001,762200,56.560352
"2021-07-26",58.68,58.889999,58.07,58.599998,770000,56.550701
"2021-07-27",58.560001,59.91,58.400002,59.73,1028600,57.641182
"2021-07-28",59.720001,59.84,58.950001,59.369999,1226600,57.293774
"2021-07-29",59.09,59.25,58.599998,58.900002,731200,57.228676
"2021-07-30",58.889999,59.43,58.450001,58.529999,932500,56.869171
"2021-08-02",58.560001,59.189999,58.419998,59.150002,928400,57.471584
"2021-08-03",59.25,60.029999,59.040001,59.98,1482000,58.27803
"2021-08-04",59.75,60,59.029999,59.93,1132700,58.229446
"2021-08-05",60.150002,60.549999,59.709999,60.470001,1210100,58.754124
"2021-08-06",59.709999,61.220001,59.290001,60.799999,1185600,59.07476
"2021-08-09",61.099998,61.200001,60.369999,60.689999,746800,58.96788
"2021-08-10",60.669998,60.75,60.389999,60.509998,711400,58.792992
"2021-08-11",60.759998,61.16,60.450001,60.830002,832200,59.103912
"2021-08-12",60.799999,61.060001,60.59,60.66,856100,58.938736
"2021-08-13",60.860001,61.130001,60.66,61.07,831900,59.337097
"2021-08-16",61.349998,61.82,60.939999,61.639999,1090000,59.890926
"2021-08-17",60.970001,61.75,60.970001,61.740002,1016900,59.988087
"2021-08-18",61.720001,61.84,61.099998,61.419998,924900,59.677166
"2021-08-19",61.290001,61.82,61.27,61.48,936800,59.735466
"2021-08-20",61.459999,62.349998,61.130001,62.18,1180900,60.415604
"2021-08-23",62.18,62.18,60.939999,60.970001,1106700,59.239941
"2021-08-24",60.900002,61.02,60.150002,60.66,1000300,58.938736
"2021-08-25",60.560001,60.830002,60.220001,60.560001,936300,58.841572
"2021-08-26",60.610001,60.740002,60.220001,60.59,853200,58.87072
"2021-08-27",60.779999,61.139999,60.48,60.84,671200,59.113628
"2021-08-30",60.700001,61.049999,60.59,60.889999,580200,59.162205
"2021-08-31",60.919998,61.349998,60.5,60.790001,954400,59.065041
"2021-09-01",60.970001,61.950001,60.740002,61.639999,921200,59.890926
"2021-09-02",61.810001,62.16,61.669998,62.049999,847900,60.289295
"2021-09-03",61.98,62.02,61.419998,61.470001,681600,59.725754
"2021-09-07",60.959999,61.02,59.700001,59.75,1220000,58.054558
"2021-09-08",59.619999,61.5,59.509998,61.080002,1250400,59.346817
"2021-09-09",60.919998,61.18,60.599998,60.700001,1059100,58.977596
"2021-09-10",60.700001,60.830002,59.700001,59.77,958100,58.073986
"2021-09-13",60.259998,60.419998,59.25,59.43,825000,57.743637
"2021-09-14",59.439999,59.66,59.080002,59.279999,631900,57.597889
"2021-09-15",59.02,59.73,58.91,59.27,893700,57.588177
"2021-09-16",59.599998,59.599998,58.59,58.650002,820000,56.985771
"2021-09-17",58.549999,58.970001,57.630001,57.830002,2231000,56.189041
"2021-09-20",57.950001,58.380001,57.310001,57.900002,1017500,56.257053
"2021-09-21",58.110001,58.450001,57.459999,57.52,669400,55.887836
"2021-09-22",57.720001,57.93,57.130001,57.439999,700700,55.810101
"2021-09-23",57.48,57.98,57.189999,57.25,630900,55.625496
"2021-09-24",57.369999,57.68,57.07,57.110001,799000,55.489464
"2021-09-27",57.07,57.669998,56.139999,56.200001,1179900,54.605293
"2021-09-28",56.189999,56.330002,55.540001,55.810001,1153400,54.226357
"2021-09-29",55.82,56.950001,55.740002,56.75,1180700,55.139683
"2021-09-30",57,57,55.580002,55.98,1294500,54.391537
"2021-10-01",56.41,56.41,55.509998,55.779999,1128700,54.197205
"2021-10-04",55.700001,57.09,55.599998,56.82,1218400,55.207695
"2021-10-05",57.150002,57.150002,56.209999,56.41,1309900,54.80933
"2021-10-06",56.16,57.110001,55.830002,57.080002,1028100,55.46032
"2021-10-07",57.169998,57.720001,56.52,56.66,980200,55.052235
"2021-10-08",56.5,56.599998,55.84,55.959999,892000,54.372097
"2021-10-11",55.959999,56.040001,54.529999,54.66,1479500,53.108986
"2021-10-12",54.75,55.330002,54.529999,54.990002,1175700,53.429626
"2021-10-13",55,55.490002,54.459999,55.459999,1125200,53.886284
"2021-10-14",55.57,56.189999,55.459999,56.139999,849500,54.546993
"2021-10-15",56.209999,56.220001,55.639999,55.77,956700,54.187492
"2021-10-18",55.5,55.599998,54.869999,55.330002,1045000,53.759979
"2021-10-19",55.610001,55.830002,55.400002,55.669998,1184400,54.090324
"2021-10-20",55.869999,56.759998,55.790001,56.450001,1142200,54.848194
"2021-10-21",56.529999,56.810001,56.400002,56.75,789900,55.139683
"2021-10-22",57,57.509998,56.919998,57.380001,741300,55.751804
"2021-10-25",57.32,57.32,56.450001,56.5,680100,54.896774
"2021-10-26",56.5,57.290001,56.310001,56.810001,1497600,55.197979
"2021-10-27",56.900002,57.02,56.439999,56.509998,994000,54.906494
"2021-10-28",56.48,56.900002,56.310001,56.84,648100,55.227131
"2021-10-29",56.389999,57.060001,56.119999,56.57,1374900,55.357277
"2021-11-01",56.52,56.91,56.07,56.849998,982500,55.631275
"2021-11-02",57,57.220001,56.48,57.080002,1089200,55.856346
"2021-11-03",57.16,57.529999,56.130001,56.43,958900,55.220284
"2021-11-04",56.389999,56.779999,54.950001,55.650002,1421400,54.457001
"2021-11-05",56.889999,57.110001,55.700001,56.419998,1869400,55.210495
"2021-11-08",56.419998,56.419998,54.91,55.279999,1320200,54.094933
"2021-11-09",55.360001,55.650002,55.02,55.43,841100,54.241718
"2021-11-10",55.650002,56.119999,55.459999,56.080002,947800,54.877785
"2021-11-11",56,56,54.900002,55.310001,989200,54.12429
"2021-11-12",55.310001,55.450001,54.900002,55.290001,831500,54.104717
"2021-11-15",55.459999,56.259998,55.34,56.240002,1341200,55.034359
"2021-11-16",56.450001,56.740002,55.869999,55.990002,1365800,54.789711
"2021-11-17",55.82,56.23,55.25,56.110001,1319500,54.907143
"2021-11-18",55.98,56.209999,55.07,55.25,1335800,54.065578
"2021-11-19",55.580002,57.029999,55.43,56.790001,3359900,55.572563
"2021-11-22",56.73,57.990002,56.5,57.869999,1516400,56.62941
"2021-11-23",58.040001,58.27,57.509998,57.860001,1135400,56.619625
"2021-11-24",58,58.099998,57.43,57.619999,774700,56.384766
"2021-11-26",57.369999,57.790001,56.52,56.740002,638100,55.523636
"2021-11-29",56.889999,57.369999,56.419998,57.279999,1044000,56.052055
"2021-11-30",56.939999,56.990002,54.529999,54.790001,3439400,53.61544
"2021-12-01",55.290001,56.689999,55.009998,55.360001,1285000,54.173218
"2021-12-02",55.32,56.48,55.32,55.93,953600,54.730999
"2021-12-03",56.310001,57.029999,55.529999,56.939999,1535600,55.719345
"2021-12-06",57.689999,58.720001,57.43,57.93,982200,56.688126
"2021-12-07",57.830002,58.5,57.59,58.330002,1046300,57.079552
"2021-12-08",58.389999,58.68,57.93,58.330002,1000100,57.079552
"2021-12-09",58.560001,58.599998,57.700001,58.139999,921900,56.893623
"2021-12-10",58.450001,59.130001,58.139999,58.889999,872200,57.627541
"2021-12-13",58.869999,59.990002,58.869999,59.650002,1038500,58.371254
"2021-12-14",59.509998,60.009998,59.279999,59.540001,1253700,58.263607
"2021-12-15",59.669998,60.880001,59.669998,60.490002,1199200,59.193249
"2021-12-16",60.549999,61.279999,60.380001,60.98,854800,59.672737
"2021-12-17",60.82,60.959999,59.369999,59.77,2205100,58.488678
"2021-12-20",59.439999,60,58.75,59.93,930400,58.645248
"2021-12-21",60.119999,60.48,59.240002,59.400002,794700,58.126614
"2021-12-22",59.139999,59.68,59.080002,59.580002,716000,58.302753
"2021-12-23",59.68,60.080002,59.450001,59.549999,609600,58.273392
"2021-12-27",59.57,60,59.32,59.990002,458800,58.70396
"2021-12-28",60.18,60.689999,60.040001,60.68,475300,59.379173
"2021-12-29",60.900002,61.259998,60.560001,61.110001,519200,59.799953
"2021-12-30",61.32,61.560001,60.939999,61.450001,601500,60.132664
"2021-12-31",61.360001,61.75,61.040001,61.470001,580400,60.152237
"2022-01-03",61.369999,61.369999,60.09,60.849998,885400,59.545525
"2022-01-04",60.580002,61.73,60.57,60.720001,1003800,59.418312
"2022-01-05",60.689999,61.919998,60.610001,61.259998,925600,59.946732
"2022-01-06",61.490002,61.849998,60.950001,61.009998,750000,59.702091
"2022-01-07",60.860001,61.450001,60.240002,60.990002,811100,59.682526
"2022-01-10",61.860001,61.860001,60.470001,60.630001,980400,59.330242
"2022-01-11",60.720001,60.959999,59.450001,59.799999,1464700,58.518032
"2022-01-12",59.669998,60.23,59.459999,60.130001,874800,58.840965
"2022-01-13",60.189999,60.900002,59.990002,60.639999,943300,59.340027
"2022-01-14",60.830002,60.950001,59.82,60.07,1153000,58.782246
"2022-01-18",59.91,59.950001,58.630001,59.669998,952000,58.39082
"2022-01-19",59.41,59.970001,58.880001,59.419998,1619400,58.146179
"2022-01-20",59.73,60.23,59.389999,59.73,1002500,58.449535
