"","AXP.Open","AXP.High","AXP.Low","AXP.Close","AXP.Volume","AXP.Adjusted"
"2021-01-26",118.75,120.290001,115.720001,116.150002,8932500,114.173126
"2021-01-27",114.860001,116.800003,112.099998,114.089996,5816900,112.148178
"2021-01-28",117.43,120.379997,116.599998,118.970001,5788500,116.945129
"2021-01-29",117.739998,118.389999,115.809998,116.260002,5059300,114.281258
"2021-02-01",117.699997,119.290001,117,117.029999,3359800,115.038147
"2021-02-02",118.290001,122.419998,118.279999,120.699997,4036700,118.645668
"2021-02-03",120.080002,120.980003,119.559998,120.440002,2782500,118.390106
"2021-02-04",120.989998,125.410004,120.800003,124.900002,3915900,122.7742
"2021-02-05",126.620003,127.339996,125.629997,126.279999,3184200,124.130699
"2021-02-08",126.870003,128.399994,126.75,127.989998,3360900,125.8116
"2021-02-09",127.650002,127.660004,126.199997,126.68,2175000,124.523903
"2021-02-10",127.629997,128.699997,126.839996,128.229996,2929100,126.047523
"2021-02-11",127.449997,129.119995,126.980003,128.309998,3733000,126.126152
"2021-02-12",128.190002,130.460007,128,129.619995,2873300,127.413872
"2021-02-16",128.910004,130.910004,128.25,130.679993,2730600,128.455795
"2021-02-17",130.080002,131.160004,128.440002,128.559998,3088800,126.371902
"2021-02-18",127.489998,128.830002,126.080002,128.490005,2269700,126.303093
"2021-02-19",129.490005,133.360001,129.490005,131.710007,3419500,129.468292
"2021-02-22",131.509995,136.470001,131.369995,135.949997,3923100,133.636108
"2021-02-23",136.470001,138.309998,134.279999,136.940002,4814400,134.609268
"2021-02-24",137.199997,140.949997,136.809998,139.889999,4099500,137.509064
"2021-02-25",140.619995,140.639999,136.369995,137.080002,3607500,134.746887
"2021-02-26",137.100006,138.25,133.789993,135.259995,3654800,132.95787
"2021-03-01",138.179993,139.770004,138.119995,138.710007,2972100,136.349152
"2021-03-02",138.240005,140.190002,138.080002,139.25,2929100,136.879959
"2021-03-03",140,144.25,140,142.589996,4393700,140.163116
"2021-03-04",142.149994,144.110001,139.949997,142.679993,4461700,140.251572
"2021-03-05",144.660004,147.960007,142.080002,147.330002,5048300,144.822433
"2021-03-08",147.279999,151.460007,146.720001,150.270004,4283400,147.712402
"2021-03-09",148.580002,149.080002,144.110001,145.100006,5806100,142.630402
"2021-03-10",145.699997,148.289993,145.440002,146.75,3049800,144.252304
"2021-03-11",146,147.820007,145.130005,147.75,3147700,145.235291
"2021-03-12",149.100006,150.639999,148.020004,148.539993,2420100,146.011841
"2021-03-15",148.039993,148.919998,146.029999,146.990005,2586300,144.488235
"2021-03-16",147.25,147.259995,142.820007,143.300003,4031000,140.861023
"2021-03-17",144.759995,144.820007,141.899994,144.679993,3278500,142.217529
"2021-03-18",145.490005,145.5,142.070007,142.580002,3173600,140.15329
"2021-03-19",141.899994,141.940002,139.740005,140.710007,5098300,138.315094
"2021-03-22",139.490005,140.990005,138.809998,139.949997,2274100,137.568039
"2021-03-23",138.940002,139.5,135.130005,136.080002,4905400,133.763916
"2021-03-24",137.970001,140.039993,137.610001,138.419998,2638900,136.064102
"2021-03-25",137.949997,142.529999,136.759995,142.279999,2766400,139.858383
"2021-03-26",143.740005,143.979996,141.050003,143.729996,2687500,141.283722
"2021-03-29",141.979996,143.070007,140.309998,142.369995,2220600,139.946854
"2021-03-30",142.899994,144.479996,142.610001,143.490005,2034500,141.047791
"2021-03-31",142.979996,143.259995,141.350006,141.440002,2957300,139.450577
"2021-04-01",142.339996,144.630005,142.210007,144.570007,2629200,142.53656
"2021-04-05",146.910004,147.479996,145.610001,146.059998,2960100,144.005585
"2021-04-06",145.979996,146.529999,144.380005,146.149994,2851200,144.094315
"2021-04-07",147.419998,148.360001,145.720001,147.130005,2399500,145.060547
"2021-04-08",146.800003,147.160004,144.679993,147.039993,2295600,144.971817
"2021-04-09",148.210007,148.440002,146.690002,147.779999,1783400,145.701385
"2021-04-12",147.259995,147.770004,146.410004,147.570007,1869000,145.494385
"2021-04-13",146.550003,146.600006,143.839996,145.990005,2132100,143.936569
"2021-04-14",145.809998,148.75,145.699997,147.419998,2141800,145.346481
"2021-04-15",147.509995,148.589996,145.5,148.529999,2901200,146.440857
"2021-04-16",149.710007,150.449997,148.690002,149.990005,3480000,147.880341
"2021-04-19",149.190002,149.509995,147.800003,148.539993,2259100,146.450714
"2021-04-20",147.210007,147.5,144.509995,145.100006,2526700,143.059113
