"","TXT.Open","TXT.High","TXT.Low","TXT.Close","TXT.Volume","TXT.Adjusted"
"2020-08-20",37.139999,37.540001,37.119999,37.419998,859800,37.317913
"2020-08-21",37.279999,37.73,37.259998,37.599998,1070400,37.497417
"2020-08-24",37.740002,39.299999,37.740002,39.290001,1105500,39.182808
"2020-08-25",39.630001,39.720001,38.459999,38.66,706900,38.554531
"2020-08-26",38.380001,38.919998,38.029999,38.830002,868400,38.724064
"2020-08-27",38.84,39.900002,38.84,39.32,850900,39.212727
"2020-08-28",39.380001,39.990002,39.34,39.970001,626900,39.860958
"2020-08-31",40,40,39.25,39.43,1364300,39.322426
"2020-09-01",38.939999,39.540001,38.759998,39.400002,1767500,39.292515
"2020-09-02",39.5,40.669998,39.41,40.610001,1611100,40.499207
"2020-09-03",40.82,41.080002,38.700001,39.009998,1089600,38.903568
"2020-09-04",39.790001,40.049999,38.689999,38.939999,1417500,38.833759
"2020-09-08",38.59,38.759998,37.630001,38.27,1643400,38.165588
"2020-09-09",38.57,38.939999,38.189999,38.529999,1029000,38.424881
"2020-09-10",38.549999,39.200001,38.48,38.52,1101000,38.434856
"2020-09-11",38.630001,39.16,38.400002,38.740002,1214200,38.654381
"2020-09-14",39,39.509998,38.66,39.330002,1112600,39.243073
"2020-09-15",39.389999,39.59,38.77,39.07,922900,38.98365
"2020-09-16",39.099998,40.119999,38.830002,39.610001,1498700,39.522453
"2020-09-17",39.049999,39.5,38.599998,39.110001,1599800,39.023563
"2020-09-18",38.779999,39.279999,37.48,37.650002,2979900,37.566784
"2020-09-21",36.560001,36.740002,35.23,35.669998,1530600,35.591156
"2020-09-22",35.799999,36.380001,35.279999,35.599998,1079800,35.521313
"2020-09-23",35.799999,36.330002,34.77,34.799999,1184900,34.723083
"2020-09-24",34.650002,35.439999,33.759998,34.68,1413900,34.603352
"2020-09-25",34.279999,35.509998,34.23,35.27,819700,35.192043
"2020-09-28",36.07,37.169998,36.07,36.810001,956000,36.728638
"2020-09-29",36.57,37.09,36.419998,36.77,968200,36.688728
"2020-09-30",36.860001,37.400002,35.830002,36.09,1101200,36.010239
"2020-10-01",35.630001,36.549999,34.779999,35.110001,1580200,35.032398
"2020-10-02",34.290001,36.439999,34.18,35.720001,1643800,35.641045
"2020-10-05",36.259998,36.73,36.040001,36.400002,669200,36.31955
"2020-10-06",36.799999,37.080002,35.650002,35.720001,976500,35.641045
"2020-10-07",36.209999,36.59,35.919998,36.439999,1454400,36.359459
"2020-10-08",36.77,37.240002,36.259998,37.02,1033600,36.938179
"2020-10-09",37.490002,37.66,36.689999,36.759998,887700,36.678753
"2020-10-12",36.66,36.970001,36.330002,36.869999,1049700,36.788506
"2020-10-13",36.459999,36.599998,35.669998,35.990002,648700,35.910446
"2020-10-14",35.830002,36.5,35.77,35.990002,2064300,35.910446
"2020-10-15",35.57,36.450001,35.110001,36.34,1257300,36.259682
"2020-10-16",36.689999,36.860001,36.16,36.27,968700,36.189835
"2020-10-19",36.5,36.59,35.279999,35.490002,771700,35.411556
"2020-10-20",35.869999,36.130001,34.919998,34.98,1269800,34.902687
"2020-10-21",34.700001,35.009998,34.419998,34.529999,947600,34.453674
"2020-10-22",34.549999,34.950001,34.369999,34.860001,785900,34.782955
"2020-10-23",35.259998,35.77,34.970001,35.189999,1321600,35.112217
"2020-10-26",34.57,34.59,33.150002,34.009998,1000600,33.934826
"2020-10-27",33.759998,34.009998,32.939999,32.950001,1903800,32.877171
"2020-10-28",32.139999,33.16,31.82,32.09,2236100,32.01907
"2020-10-29",32.330002,34.630001,32.200001,34.07,2266100,33.994698
"2020-10-30",34.130001,35.810001,34.130001,35.799999,2022600,35.720871
"2020-11-02",36.310001,37.82,35.990002,37.720001,1554400,37.636631
"2020-11-03",38.360001,39.799999,38.07,39.439999,1525300,39.352829
"2020-11-04",38.84,39.720001,37.82,38.060001,1440800,37.975876
"2020-11-05",38.23,39.02,38.23,38.77,1267200,38.684307
"2020-11-06",38.52,39.150002,38.41,38.830002,850300,38.744175
"2020-11-09",43.759998,45.02,42,42.490002,3750900,42.396088
"2020-11-10",42.77,44.290001,42.490002,43.889999,1311000,43.792992
"2020-11-11",43.880001,43.919998,41.709999,41.849998,1385800,41.7575
"2020-11-12",41.240002,42.529999,41.009998,41.549999,1213800,41.458157
"2020-11-13",42.110001,43.689999,42,43.529999,817500,43.433784
"2020-11-16",45,45.77,44.189999,45.759998,1728900,45.658859
"2020-11-17",45.970001,46.439999,45.060001,45.599998,1621900,45.49921
"2020-11-18",46,46.900002,45.709999,46.009998,959600,45.908298
"2020-11-19",45.34,45.52,44.73,45.450001,829700,45.349545
"2020-11-20",45.189999,45.209999,44.34,44.810001,1145700,44.710957
"2020-11-23",45.27,46.73,45.150002,46.470001,1065900,46.36729
"2020-11-24",47.490002,48.959999,47.049999,48.490002,1365000,48.382828
"2020-11-25",48.540001,48.540001,46.919998,47.200001,1206400,47.095676
"2020-11-27",47.380001,47.52,46.639999,46.869999,627500,46.766403
"2020-11-30",46.43,46.900002,45,45.099998,1653200,45.000317
"2020-12-01",46.380001,46.720001,45.599998,45.630001,1292500,45.529144
"2020-12-02",45.200001,46.450001,44.720001,46.130001,930700,46.028042
"2020-12-03",46.330002,47.98,46.130001,47.32,1258400,47.215408
"2020-12-04",47.5,48.139999,47.34,47.799999,1000100,47.694344
"2020-12-07",47.59,47.830002,47.18,47.700001,1168600,47.594574
"2020-12-08",47.299999,48.240002,47.299999,48.16,1079600,48.053555
"2020-12-09",48.380001,48.810001,47.970001,48.07,1061200,47.963757
"2020-12-10",47.290001,48.209999,47.18,48.029999,1365600,47.943787
"2020-12-11",47.77,48.049999,47.099998,47.630001,921900,47.544506
"2020-12-14",48.200001,48.25,46.720001,46.740002,1009900,46.656105
"2020-12-15",47.029999,48.110001,46.509998,48.060001,961200,47.973736
"2020-12-16",48.130001,48.130001,46.709999,46.740002,1071800,46.656105
"2020-12-17",46.939999,47.279999,46.669998,46.990002,800900,46.905655
"2020-12-18",46.82,47.59,46.740002,47.369999,2240500,47.284977
"2020-12-21",46.490002,47.459999,46,47.119999,925000,47.035419
"2020-12-22",47.169998,47.490002,46.799999,46.82,707300,46.735954
"2020-12-23",47.169998,48.619999,47.169998,48.310001,722900,48.223282
"2020-12-24",48.439999,48.5,47.869999,48.07,197500,47.983715
"2020-12-28",48.360001,48.950001,47.560001,47.700001,559800,47.614384
"2020-12-29",47.990002,48.009998,46.959999,47.509998,654100,47.424717
"2020-12-30",47.549999,48.810001,47.509998,48.439999,822100,48.353046
"2020-12-31",48.360001,48.419998,47.880001,48.330002,470900,48.243252
"2021-01-04",48.16,48.470001,46.099998,46.380001,975200,46.296749
"2021-01-05",46.57,47.400002,46.450001,47.029999,1047200,46.94558
"2021-01-06",47.459999,48.32,47.060001,47.599998,1253100,47.514561
"2021-01-07",47.040001,48.93,46.700001,48.799999,1319500,48.712406
"2021-01-08",48.700001,48.84,47.369999,48.419998,702700,48.333084
"2021-01-11",47.709999,48.880001,47.599998,48.59,1153500,48.502785
"2021-01-12",48.639999,50.32,48.220001,49.75,1160600,49.660698
"2021-01-13",49.5,49.650002,48.18,48.939999,772600,48.85215
"2021-01-14",49.360001,50.860001,49.209999,50.189999,1056500,50.099911
"2021-01-15",49.700001,49.950001,48.740002,48.939999,968500,48.85215
"2021-01-19",49.52,50.09,49.09,49.369999,687100,49.28138
"2021-01-20",49.59,49.900002,49.290001,49.630001,603200,49.540916
"2021-01-21",49.279999,49.91,48.860001,49.16,694100,49.071762
"2021-01-22",48.73,49.91,48.130001,49.73,1131500,49.640732
"2021-01-25",49.27,50.459999,48.799999,49.959999,2005100,49.870319
"2021-01-26",50.48,50.650002,49.349998,49.59,2300700,49.500988
"2021-01-27",48.5,49.939999,45.610001,45.889999,2088300,45.807629
"2021-01-28",46.040001,47.52,46,46.91,1447800,46.825794
"2021-01-29",46.610001,46.759998,45.16,45.259998,1430100,45.178761
"2021-02-01",45.700001,45.700001,44.360001,45.34,1065400,45.258621
"2021-02-02",45.990002,46.639999,45.68,45.900002,978300,45.817612
"2021-02-03",45.599998,46.470001,45.360001,46.299999,652600,46.216896
"2021-02-04",46.439999,47.470001,46.389999,47.279999,1046400,47.195129
"2021-02-05",47.889999,48.52,47.419998,48.060001,944000,47.973736
"2021-02-08",48.5,49.810001,48.5,49.740002,987800,49.650723
"2021-02-09",49.400002,49.91,49.049999,49.279999,547000,49.191547
"2021-02-10",49.34,49.639999,48.57,49.32,718600,49.231476
"2021-02-11",49.439999,50.669998,49.259998,50.639999,1087800,50.549103
"2021-02-12",50.360001,51.130001,50.360001,50.889999,817300,50.798649
"2021-02-16",50.91,51.439999,50.669998,51.299999,771800,51.207916
"2021-02-17",51.34,51.34,50.610001,50.779999,1141900,50.688854
"2021-02-18",50.259998,50.330002,49,49.029999,873200,48.941994
"2021-02-19",49.490002,50.849998,49.48,50.810001,1259800,50.718803
"2021-02-22",50.5,51.68,50.290001,50.610001,1412200,50.519161
"2021-02-23",50.82,52.209999,50.150002,52.200001,1293600,52.106304
"2021-02-24",52.02,53.91,52.02,53.48,1002300,53.384003
"2021-02-25",53.299999,53.68,50.369999,50.57,1151600,50.479233
"2021-02-26",50.43,51.040001,49.380001,50.34,1564900,50.249645
"2021-03-01",51.369999,52.07,51,51.560001,1097800,51.467453
"2021-03-02",51.34,51.860001,51.09,51.43,802000,51.337688
"2021-03-03",51.400002,52.540001,51.040001,51.07,1150000,50.978329
"2021-03-04",51.169998,51.459999,48.830002,50,1175800,49.910252
"2021-03-05",50.810001,52.169998,48.830002,51.91,990500,51.816822
"2021-03-08",52.330002,53.290001,51.73,52.119999,1187900,52.026443
"2021-03-09",52.740002,52.740002,50.939999,50.990002,971500,50.898476
"2021-03-10",51.029999,52.98,51.029999,52.75,915100,52.655312
"2021-03-11",52.720001,54.16,52.650002,53.220001,1251900,53.144627
