"","GL.Open","GL.High","GL.Low","GL.Close","GL.Volume","GL.Adjusted"
"2020-09-10",82.160004,82.699997,80.07,80.07,480300,78.730812
"2020-09-11",80.080002,81.900002,79.550003,81.470001,368700,80.107391
"2020-09-14",82.239998,83.830002,82.239998,83.230003,346000,81.837959
"2020-09-15",83.150002,84.010002,82.379997,83.389999,576500,81.99527
"2020-09-16",83.25,85.18,83.25,83.809998,591000,82.408249
"2020-09-17",83,84.150002,82.559998,83.400002,542200,82.005112
"2020-09-18",82.980003,84.019997,82.360001,82.459999,836900,81.080833
"2020-09-21",80.470001,81.32,78.220001,79.290001,861400,77.963852
"2020-09-22",78.989998,80.669998,78.989998,79.470001,786600,78.140846
"2020-09-23",79.879997,80.959999,77.309998,77.410004,443700,76.115295
"2020-09-24",77.370003,79.18,75.389999,77.779999,463800,76.479111
"2020-09-25",77,78.919998,76.870003,78.470001,326000,77.15757
"2020-09-28",79.879997,80.709999,79.260002,79.849998,450600,78.514488
"2020-09-29",79.389999,80.029999,78.720001,79.010002,414600,77.688545
"2020-09-30",79.370003,80.650002,79.110001,79.900002,511100,78.56366
"2020-10-01",79.790001,80.769997,78.889999,80.519997,415900,79.173264
"2020-10-02",79.260002,81.620003,79.080002,80.790001,372200,79.624672
"2020-10-05",81.910004,82.800003,81.459999,82.169998,323200,80.984764
"2020-10-06",82.860001,83.779999,80.910004,81.059998,409400,79.890785
"2020-10-07",81.940002,83.040001,81.709999,82.139999,399400,80.9552
"2020-10-08",82.900002,83.599998,82.190002,82.970001,457000,81.773224
"2020-10-09",83.830002,84,81.769997,81.790001,300600,80.610245
"2020-10-12",81.75,82.989998,81.75,82.440002,266600,81.250885
"2020-10-13",81.75,82.400002,80.779999,81.32,537800,80.147034
"2020-10-14",81.860001,83.019997,81.440002,81.519997,451200,80.344139
"2020-10-15",80.43,83.260002,80.230003,82.870003,428700,81.674667
"2020-10-16",82.989998,83.809998,82.300003,83.239998,414000,82.039337
"2020-10-19",83.220001,84.57,82.440002,82.68,398100,81.487411
"2020-10-20",83.25,84.599998,83.129997,83.449997,440300,82.2463
"2020-10-21",83.459999,84.669998,83.459999,84.129997,591000,82.916496
"2020-10-22",84.080002,86.989998,81.980003,86.480003,814900,85.232605
"2020-10-23",87.160004,87.75,85.400002,86.139999,499300,84.897491
"2020-10-26",85,85,83.480003,83.830002,472000,82.620827
"2020-10-27",83.360001,83.940002,81.260002,81.349998,414900,80.176598
"2020-10-28",79.809998,80.620003,78.620003,78.790001,513100,77.653534
"2020-10-29",78.480003,80.470001,77.709999,79.769997,484100,78.619385
"2020-10-30",79.580002,81.629997,79.349998,81.089996,731600,79.920341
"2020-11-02",82.529999,83.739998,81.660004,83.25,379700,82.049187
"2020-11-03",84.860001,86.339996,84.269997,85.150002,478400,83.921783
"2020-11-04",83.010002,86.360001,82.25,83.75,361900,82.541985
"2020-11-05",84.269997,86.75,84.269997,86.300003,326900,85.055199
"2020-11-06",86.720001,87.349998,84.230003,84.699997,283400,83.478271
"2020-11-09",93.010002,93.589996,90.029999,91.470001,744900,90.15062
"2020-11-10",91.830002,93.400002,91.440002,92.769997,388500,91.43187
"2020-11-11",93.18,93.18,90.769997,91.989998,340100,90.663124
"2020-11-12",91.029999,91.400002,88.57,89.349998,342600,88.061203
"2020-11-13",90.440002,92.57,90.360001,92.040001,331000,90.712395
"2020-11-16",94.57,94.970001,92.93,94.260002,369600,92.900375
"2020-11-17",92.989998,94.220001,92.25,93.790001,334500,92.437164
"2020-11-18",93.889999,95.209999,92.379997,92.459999,381900,91.12635
