"","MDT.Open","MDT.High","MDT.Low","MDT.Close","MDT.Volume","MDT.Adjusted"
"2020-11-18",110.129997,110.889999,109.440002,109.470001,4393100,105.190399
"2020-11-19",109.68,111.309998,108.599998,111,4477800,106.660599
"2020-11-20",110.739998,111.019997,109.57,110.160004,4380600,105.853424
"2020-11-23",111.760002,112.110001,110.389999,110.970001,3507200,106.63176
"2020-11-24",112.129997,115.239998,111.970001,114.059998,6673800,109.60096
"2020-11-25",113.760002,114.529999,112.690002,113.309998,3266700,108.88028
"2020-11-27",113.739998,114.739998,112.75,114.589996,2082100,110.110237
"2020-11-30",114.040001,114.449997,113.059998,113.699997,5797300,109.255035
"2020-12-01",114.580002,115.129997,111.919998,112.139999,5035500,107.75602
"2020-12-02",112.040001,113.760002,111.110001,113.599998,5116800,109.158943
"2020-12-03",113.269997,113.540001,112.110001,112.470001,3441400,108.073128
"2020-12-04",112.230003,113.860001,111.699997,113.849998,4077900,109.399178
"2020-12-07",113.459999,113.739998,111.919998,112.610001,3047800,108.207642
"2020-12-08",112.050003,112.25,110.059998,111.18,5768100,106.833549
"2020-12-09",111.540001,113.449997,111.300003,112.949997,5574900,108.53434
"2020-12-10",112.870003,113.720001,111.699997,112.68,3398300,108.27491
"2020-12-11",111.589996,112.650002,111.489998,112.379997,3843400,107.986633
"2020-12-14",113.18,113.75,111.900002,111.970001,5414700,107.592674
"2020-12-15",114.330002,115.720001,113.349998,114.889999,7534000,110.398499
"2020-12-16",114.769997,116.07,114.019997,114.970001,3356600,110.47538
"2020-12-17",115.25,115.739998,114.550003,115.339996,2944600,110.830902
"2020-12-18",115.279999,117.510002,114.800003,116.709999,10211600,112.147362
"2020-12-21",114.699997,114.959999,112.650002,114.449997,4308600,110.524971
"2020-12-22",114.540001,115.940002,114.07,114.629997,3953300,110.698807
"2020-12-23",114.879997,115.589996,113.919998,113.940002,2373400,110.032463
"2020-12-24",114.080002,114.529999,113.610001,114.029999,1025200,110.119377
"2020-12-28",114.879997,115.809998,114.760002,115.129997,2286400,111.181656
"2020-12-29",116,116.589996,115.349998,115.57,2717600,111.606575
"2020-12-30",115.5,116.629997,115.260002,115.639999,2055200,111.674164
"2020-12-31",115.75,117.239998,115.480003,117.139999,2544100,113.122726
"2021-01-04",117.199997,117.779999,114.440002,116.019997,4579200,112.04113
"2021-01-05",116,117.639999,115.330002,116.949997,3395200,112.939247
"2021-01-06",116.57,119.559998,116.57,118.860001,4493900,114.783737
"2021-01-07",118.879997,119.730003,117.959999,118.699997,3908900,114.629227
"2021-01-08",118.910004,119.870003,118.389999,119.709999,3529900,115.604591
"2021-01-11",118.559998,119.480003,117.580002,118.5,3712700,114.436089
"2021-01-12",118.120003,118.300003,116.589996,117.290001,3213100,113.267578
"2021-01-13",117.699997,119.709999,117.120003,118.720001,4070900,114.648537
"2021-01-14",118.290001,119.269997,117.550003,117.769997,4281600,113.73111
"2021-01-15",117.540001,118.300003,116.589996,116.809998,5659500,112.804031
"2021-01-19",117.650002,119,117.230003,118.309998,4508500,114.252594
"2021-01-20",118.559998,119.5,117.959999,119.290001,4062500,115.19899
"2021-01-21",118.900002,119.290001,117.110001,117.910004,3806000,113.866318
"2021-01-22",117.699997,117.760002,116.559998,116.580002,3028300,112.58194
"2021-01-25",116.730003,116.989998,115.82,116.900002,3287600,112.890953
"2021-01-26",117.029999,117.540001,116.57,116.75,3371600,112.746101
"2021-01-27",115.209999,115.449997,111.129997,111.5,6894600,107.676147
"2021-01-28",112.160004,115.860001,112.160004,114.769997,4236900,110.834
