"","HCA.Open","HCA.High","HCA.Low","HCA.Close","HCA.Volume","HCA.Adjusted"
"2020-12-09",158.860001,161.419998,158.270004,159.929993,1531900,157.466949
"2020-12-10",159.389999,164.220001,159.389999,161.789993,1401600,159.298294
"2020-12-11",160.320007,161.440002,156.669998,157.570007,1153200,155.143311
"2020-12-14",163.869995,165.240005,159.720001,160.860001,1833500,158.382614
"2020-12-15",163.130005,163.440002,159.25,160.949997,1625600,158.471237
"2020-12-16",160.679993,162.550003,159.669998,161.559998,1107100,159.071838
"2020-12-17",162.779999,165.740005,162.610001,164.75,1371300,162.212708
"2020-12-18",165.190002,165.979996,163.210007,164.339996,3119900,161.809052
"2020-12-21",161.190002,164.339996,158.889999,163.089996,1831100,160.578278
"2020-12-22",163.5,164.419998,161.880005,163.270004,1813100,160.755508
"2020-12-23",164.639999,166.860001,164.419998,165.860001,1904800,163.305618
"2020-12-24",166.869995,166.869995,164.080002,164.240005,288900,161.97229
"2020-12-28",165.559998,165.649994,163.190002,164,906600,161.735596
"2020-12-29",164.229996,165.029999,162.529999,163.830002,915500,161.567947
"2020-12-30",163.279999,163.919998,161.539993,162.350006,879400,160.108398
"2020-12-31",163.070007,165,161.779999,164.460007,958200,162.189255
"2021-01-04",163.369995,164.940002,158.369995,163.639999,1617000,161.380569
"2021-01-05",163.110001,166.740005,162.220001,165.009995,1142300,162.731659
"2021-01-06",168.130005,174.100006,168.130005,170.559998,3093800,168.205017
"2021-01-07",171.039993,174.369995,171.039993,173.600006,2094100,171.203064
"2021-01-08",174,174.550003,169.580002,172.279999,1063600,169.901276
"2021-01-11",170.580002,173.080002,169.660004,171.369995,854900,169.003845
"2021-01-12",171.039993,172.399994,169.539993,172.240005,982800,169.861832
"2021-01-13",172.059998,172.889999,168.589996,170.470001,862400,168.116287
"2021-01-14",170.779999,171.410004,167.619995,168.270004,1489400,165.946655
"2021-01-15",167.279999,169.479996,166.360001,168.770004,1111800,166.439774
"2021-01-19",170.550003,171.600006,166.059998,166.100006,1385500,163.806625
"2021-01-20",166.020004,168.990005,164.649994,167.949997,942100,165.631073
"2021-01-21",168.729996,168.729996,166.770004,167.399994,1014700,165.088654
"2021-01-22",166.479996,167.350006,165.309998,166.970001,1023000,164.664581
"2021-01-25",166.089996,168.779999,164.580002,168.429993,1180500,166.104431
"2021-01-26",169.360001,170.149994,164.020004,164.130005,1221100,161.863831
"2021-01-27",161.570007,162.600006,156.429993,157.020004,2287600,154.85199
"2021-01-28",159.589996,166.639999,158.960007,163.800003,1709900,161.538361
"2021-01-29",162.830002,165.869995,159.699997,162.479996,1531400,160.236588
"2021-02-01",164.470001,169.419998,163.380005,166.929993,1811300,164.625137
"2021-02-02",168.710007,170.919998,165.009995,165.850006,3077700,163.560089
"2021-02-03",166.190002,173.960007,165.139999,173.119995,2600200,170.729691
"2021-02-04",173.979996,179.5,173.360001,179.300003,2338000,176.824356
"2021-02-05",179.449997,181.009995,175.639999,176.789993,2165200,174.34903
"2021-02-08",176.440002,179.880005,176.440002,178.940002,1594000,176.46933
"2021-02-09",179.25,179.820007,174.899994,175.419998,1737900,172.99791
"2021-02-10",176.410004,177,174.059998,174.789993,1358600,172.376633
"2021-02-11",175.820007,177.119995,174.529999,175.550003,985000,173.126144
"2021-02-12",175,175.720001,172.029999,173.509995,1106900,171.114304
"2021-02-16",174.110001,174.740005,171.809998,174,1097300,171.597534
"2021-02-17",173.710007,176.979996,172.5,176.440002,1068000,174.00386
"2021-02-18",175.210007,175.759995,173.729996,174.610001,1179500,172.199097
"2021-02-19",175.059998,177.850006,174.639999,177.369995,1090800,174.921005
"2021-02-22",170.389999,176.660004,170.130005,174.820007,1761700,172.406219
"2021-02-23",175.279999,176.600006,173.009995,175.070007,2355700,172.652771
"2021-02-24",174,178.759995,173.639999,175.429993,1995900,173.007782
"2021-02-25",176.710007,176.929993,173.009995,175.029999,1247700,172.613312
"2021-02-26",174.669998,176.460007,171.919998,172.029999,1750600,169.654739
"2021-03-01",173.880005,177.089996,173.880005,175.460007,1662500,173.037384
"2021-03-02",175.490005,178.940002,175.490005,178.179993,1191700,175.719803
"2021-03-03",175.880005,179.410004,175.110001,175.580002,1436800,173.155716
"2021-03-04",175.5,180.979996,174.570007,176.339996,1877500,173.905212
"2021-03-05",177.740005,184.860001,176.130005,183.710007,2059400,181.173462
"2021-03-08",184.800003,190.229996,184.169998,189.210007,2603500,186.597534
"2021-03-09",191.020004,194.009995,183.869995,184.330002,2979800,181.784912
"2021-03-10",186.179993,188.229996,184.419998,185.369995,1447200,182.810532
"2021-03-11",184.779999,186.690002,184.559998,185.229996,1409800,182.672455
"2021-03-12",186.460007,190.5,185.210007,189.429993,1188500,186.814484
"2021-03-15",189.759995,192.949997,189.009995,191.820007,1415200,189.171494
"2021-03-16",191.179993,191.559998,185.320007,185.520004,1606900,183.417465
"2021-03-17",186.259995,188.169998,184.940002,185.5,1801800,183.397659
"2021-03-18",185.740005,191,185.179993,188.029999,1566200,185.898987
"2021-03-19",187.479996,192.339996,187.009995,188.600006,2674000,186.46254
"2021-03-22",188.860001,189.25,187.149994,188.179993,1232500,186.047287
"2021-03-23",186.5,188.830002,181.910004,183.660004,1475900,181.578522
"2021-03-24",184.789993,189.059998,183.979996,184.589996,1287800,182.497971
"2021-03-25",184.960007,188.770004,183.220001,187.350006,1436300,185.226715
"2021-03-26",188.850006,191.259995,187.360001,191.070007,1553200,188.904541
"2021-03-29",191.330002,192.679993,185.5,187.190002,1470100,185.068497
"2021-03-30",186.729996,190.270004,186.270004,188.539993,1317000,186.403198
"2021-03-31",189.050003,191.410004,186.779999,188.339996,1724500,186.205475
"2021-04-01",188.259995,188.940002,185.410004,186.149994,1402700,184.040298
"2021-04-05",187.339996,188.979996,187.339996,188,1138400,185.869339
"2021-04-06",188.289993,190.039993,185.850006,186.380005,1288300,184.2677
"2021-04-07",186.300003,188.160004,185.820007,186.770004,1583200,184.65329
"2021-04-08",186.649994,188.559998,185.210007,188.039993,1110400,185.908875
"2021-04-09",188.889999,191.149994,188.289993,190.880005,1370800,188.716705
"2021-04-12",190.880005,193.339996,190.880005,191.660004,1112200,189.487869
"2021-04-13",190.710007,190.990005,188.149994,188.580002,1586000,186.442749
"2021-04-14",189.369995,193.550003,189.029999,190.949997,1246200,188.785904
"2021-04-15",192.210007,194.289993,190.380005,193.490005,1322900,191.297134
"2021-04-16",194.860001,197.210007,194.630005,196.929993,1523800,194.69812
"2021-04-19",195.610001,197.25,192.199997,194.889999,1484200,192.681244
"2021-04-20",194.320007,195.800003,192.880005,192.940002,1409300,190.753342
"2021-04-21",193.600006,198.509995,193.350006,197.529999,1328200,195.291336
"2021-04-22",203,205.580002,198.729996,201.509995,2607100,199.226196
"2021-04-23",202.610001,204.210007,198.210007,202.5,1672100,200.205002
"2021-04-26",196.229996,201.110001,196.220001,200.559998,1461600,198.286987
"2021-04-27",200.850006,201.029999,197.410004,198.960007,1809900,196.705139
"2021-04-28",199.279999,200.899994,197.550003,198.490005,2274900,196.240463
"2021-04-29",199.649994,203.550003,199.559998,201.940002,1388500,199.651337
"2021-04-30",201.710007,203.710007,200.570007,201.059998,1394800,198.781326
