"","CNC.Open","CNC.High","CNC.Low","CNC.Close","CNC.Volume","CNC.Adjusted"
"2021-11-01",70.389999,72.300003,70.290001,71.739998,4716500,71.739998
"2021-11-02",71.699997,71.879997,69.019997,69.339996,4841600,69.339996
"2021-11-03",68.82,74.849998,68.449997,73.900002,7585900,73.900002
"2021-11-04",74.379997,74.839996,73.410004,73.769997,5101900,73.769997
"2021-11-05",73.809998,74.919998,73.510002,74.169998,2719500,74.169998
"2021-11-08",74.139999,74.25,73.419998,74.080002,1817300,74.080002
"2021-11-09",73.970001,74.830002,73.5,74.769997,2596500,74.769997
"2021-11-10",74.790001,75.830002,74.32,75.059998,4150900,75.059998
"2021-11-11",74.940002,75.589996,74.5,75.290001,1989000,75.290001
"2021-11-12",75.75,76.169998,74.910004,75.860001,2352800,75.860001
"2021-11-15",75.68,76.050003,74.800003,75.099998,2613800,75.099998
"2021-11-16",75.169998,75.639999,74.199997,74.980003,3481500,74.980003
"2021-11-17",75.150002,76.82,74.980003,76.18,6264200,76.18
"2021-11-18",76.400002,77.650002,75.07,75.370003,7428400,75.370003
"2021-11-19",75.309998,75.309998,72.629997,73.010002,3801900,73.010002
"2021-11-22",72.989998,74.480003,72.419998,74.080002,2459700,74.080002
"2021-11-23",74.269997,76.260002,74.25,76.029999,3050600,76.029999
"2021-11-24",75.760002,76.150002,75.43,75.610001,3072600,75.610001
"2021-11-26",74.559998,74.860001,72.839996,73.900002,1992100,73.900002
"2021-11-29",73.830002,74.260002,73.220001,73.769997,3133000,73.769997
"2021-11-30",73.360001,73.5,71.010002,71.410004,4527100,71.410004
"2021-12-01",72.300003,73.07,70.089996,70.18,3372400,70.18
"2021-12-02",70.410004,71.709999,69.510002,71.419998,3798200,71.419998
"2021-12-03",71.709999,72.550003,70.309998,71.050003,3440200,71.050003
"2021-12-06",72,74.290001,71.690002,71.769997,5306800,71.769997
"2021-12-07",72.25,73.709999,71.889999,73.400002,5260400,73.400002
"2021-12-08",73.5,74.32,73.25,73.879997,4658000,73.879997
"2021-12-09",73.760002,75.18,73.150002,74.870003,4887400,74.870003
"2021-12-10",76.5,79.739998,76.410004,78.449997,7261200,78.449997
"2021-12-13",78.900002,79.32,77.419998,78.150002,4496100,78.150002
"2021-12-14",78.800003,82.220001,78.800003,81.849998,10930900,81.849998
"2021-12-15",81.959999,83.589996,80.809998,83.330002,6717100,83.330002
"2021-12-16",83.839996,84.75,82.849998,83,6306200,83
"2021-12-17",83.120003,84.099998,82.150002,83.019997,7823300,83.019997
"2021-12-20",82.230003,82.959999,80.949997,82.419998,4470600,82.419998
"2021-12-21",82.940002,83.75,81.879997,82.989998,3489700,82.989998
"2021-12-22",82.82,84.550003,82.290001,84.370003,3245300,84.370003
"2021-12-23",84.440002,85.440002,84.080002,84.720001,2254400,84.720001
"2021-12-27",84.959999,85.029999,83.370003,84.370003,2910900,84.370003
"2021-12-28",84.300003,85.199997,84.230003,84.449997,1784800,84.449997
"2021-12-29",84.5,85.120003,83.970001,84.220001,1878700,84.220001
"2021-12-30",84.269997,84.610001,83.769997,83.989998,2019100,83.989998
"2021-12-31",84.110001,84.150002,82.360001,82.400002,2965600,82.400002
"2022-01-03",83.139999,83.139999,81.699997,82.650002,3421200,82.650002
"2022-01-04",82.080002,83.040001,80.82,81.080002,2536900,81.080002
"2022-01-05",81.32,82.25,79.75,79.790001,3550500,79.790001
"2022-01-06",78,79.769997,75.150002,76.339996,6784500,76.339996
