"","WYNN.Open","WYNN.High","WYNN.Low","WYNN.Close","WYNN.Volume","WYNN.Adjusted"
"2020-12-24",114.410004,115.449997,113.610001,114.389999,850900,114.389999
"2020-12-28",114.959999,117.400002,114.120003,115.470001,1912000,115.470001
"2020-12-29",116.279999,116.589996,113.839996,114.309998,1262500,114.309998
"2020-12-30",114.18,115.949997,112.540001,113.400002,2087100,113.400002
"2020-12-31",112.769997,113.919998,110.059998,112.830002,2103400,112.830002
"2021-01-04",113.150002,113.510002,106.18,106.900002,3596800,106.900002
"2021-01-05",106.279999,111.519997,106.010002,110.190002,1814600,110.190002
"2021-01-06",110.650002,113.379997,109.050003,110.849998,2433700,110.849998
"2021-01-07",112.419998,112.709999,108.510002,109.75,3846700,109.75
"2021-01-08",109.900002,110.699997,108.080002,109.029999,2812400,109.029999
"2021-01-11",106.620003,108.419998,104.07,108.029999,2525200,108.029999
"2021-01-12",108.489998,110.870003,106.800003,110,2104800,110
"2021-01-13",109.550003,109.68,106.800003,107.900002,2775300,107.900002
"2021-01-14",108.599998,111.349998,108.199997,109,2643700,109
"2021-01-15",108.43,108.43,105.769997,106.230003,2836300,106.230003
"2021-01-19",107.540001,108.279999,105.75,107.169998,3576900,107.169998
"2021-01-20",108.269997,112.860001,107.269997,110.07,4020500,110.07
"2021-01-21",110.339996,111.949997,108.699997,109.160004,2101900,109.160004
"2021-01-22",106.730003,108.080002,104.5,107.449997,5038400,107.449997
"2021-01-25",106.589996,109.5,104.660004,108.059998,3289100,108.059998
"2021-01-26",109.25,109.949997,105.580002,105.910004,2056800,105.910004
"2021-01-27",104,105.769997,100.190002,100.800003,3433800,100.800003
"2021-01-28",102.099998,104.800003,99,102.050003,2980100,102.050003
"2021-01-29",102,102.779999,99.360001,99.529999,2251900,99.529999
"2021-02-01",100.919998,102.580002,100.139999,101.760002,1770800,101.760002
"2021-02-02",103.75,107.050003,103.129997,106.099998,2442500,106.099998
"2021-02-03",106.699997,109.480003,106.019997,108.419998,2161100,108.419998
"2021-02-04",109.279999,110.190002,106.529999,108.690002,2378400,108.690002
"2021-02-05",112.080002,119.5,111.910004,116.989998,5400800,116.989998
"2021-02-08",114.849998,117.949997,113.550003,117.410004,2797300,117.410004
"2021-02-09",115.800003,117.019997,113.059998,113.379997,5642500,113.379997
"2021-02-10",114.5,119.809998,114.07,116.440002,6098600,116.440002
"2021-02-11",116.440002,116.889999,113,114.580002,2806500,114.580002
"2021-02-12",114.68,118.199997,113.5,117.849998,2124600,117.849998
"2021-02-16",119.790001,123.510002,118.800003,121.419998,3785200,121.419998
"2021-02-17",121.110001,124,119.349998,122.169998,2296000,122.169998
"2021-02-18",120.489998,122.010002,117.510002,119.870003,2042200,119.870003
"2021-02-19",120.550003,124.370003,120.5,123.660004,2371700,123.660004
"2021-02-22",124.769997,131.970001,124.540001,126.75,4363100,126.75
"2021-02-23",130.059998,138.259995,125.68,136.479996,7016000,136.479996
"2021-02-24",136.580002,137.389999,132.080002,134.210007,3286800,134.210007
"2021-02-25",134,135.740005,127.199997,128.660004,2753400,128.660004
"2021-02-26",129.259995,132.940002,128.169998,131.729996,2251500,131.729996
"2021-03-01",135.410004,135.850006,131.199997,131.789993,1934600,131.789993
"2021-03-02",133.289993,135.190002,131.850006,133,1428800,133
"2021-03-03",136.270004,139.479996,133.75,135.619995,3572700,135.619995
"2021-03-04",136.089996,136.360001,126.830002,132.889999,3407500,132.889999
"2021-03-05",133.690002,133.899994,126.18,133.320007,3350700,133.320007
"2021-03-08",134.570007,137.199997,133.509995,133.740005,1987000,133.740005
"2021-03-09",136.889999,136.889999,133.029999,134,1438200,134
"2021-03-10",134.179993,136.679993,133.529999,134.839996,1554900,134.839996
"2021-03-11",135.949997,142.610001,134.800003,137.919998,3151900,137.919998
"2021-03-12",137.5,139.410004,136,137.050003,2020000,137.050003
"2021-03-15",139.820007,143.880005,139.100006,139.800003,3377800,139.800003
"2021-03-16",140.669998,140.669998,135.169998,137.570007,2129800,137.570007
"2021-03-17",135.350006,140.050003,135.110001,140,1407000,140
"2021-03-18",139.990005,140,134.800003,135.649994,2015000,135.649994
"2021-03-19",135.410004,136,131.240005,135.479996,2797300,135.479996
"2021-03-22",135.110001,135.330002,131.320007,132.869995,1703300,132.869995
"2021-03-23",129.600006,131.220001,124.370003,125.150002,3297400,125.150002
"2021-03-24",125.980003,130.369995,125,125.18,2154900,125.18
"2021-03-25",121.790001,129.039993,120.809998,128.100006,2121000,128.100006
"2021-03-26",129.75,130.25,123.43,127.43,1691000,127.43
"2021-03-29",126.230003,127.720001,122.75,123.5,1772600,123.5
"2021-03-30",123.75,126.870003,123.050003,125.449997,1517900,125.449997
"2021-03-31",125.059998,126.279999,123.75,125.370003,1582500,125.370003
"2021-04-01",126.889999,130.369995,126.279999,128.100006,2213800,128.100006
"2021-04-05",131.899994,134.229996,130.589996,131.070007,2729300,131.070007
"2021-04-06",133.110001,137.429993,132.529999,136.369995,3851500,136.369995
"2021-04-07",135.770004,136.589996,131.100006,132.679993,2708800,132.679993
"2021-04-08",132.949997,133.570007,131.169998,133.490005,2925600,133.490005
"2021-04-09",132.050003,132.669998,129.889999,131.389999,1698700,131.389999
"2021-04-12",131,131.429993,128.880005,129.940002,1480700,129.940002
"2021-04-13",128.509995,130.289993,125.360001,129.820007,1941600,129.820007
"2021-04-14",130.139999,131.850006,128.649994,129.050003,2409700,129.050003
"2021-04-15",129.720001,130.169998,127.120003,127.919998,1394100,127.919998
"2021-04-16",127.639999,129.020004,126.25,127.279999,1296100,127.279999
"2021-04-19",126.57,127.669998,125.5,126.279999,1377300,126.279999
"2021-04-20",125.110001,125.720001,119.739998,121.639999,2812600,121.639999
