"","MSCI.Open","MSCI.High","MSCI.Low","MSCI.Close","MSCI.Volume","MSCI.Adjusted"
"2021-09-09",661.059998,663.559998,651.909973,652.859985,211200,648.826355
"2021-09-10",655.780029,658.619995,650.559998,650.869995,212100,646.848633
"2021-09-13",656.179993,656.26001,635.26001,643.25,320800,639.275696
"2021-09-14",647.179993,656.340027,643.599976,653.27002,277900,649.233826
"2021-09-15",653.049988,656.219971,646.73999,647.359985,305000,643.360291
"2021-09-16",649.330017,653.150024,644.429993,652.150024,506400,648.120728
"2021-09-17",645.400024,651.400024,638.590027,641.659973,562100,637.695557
"2021-09-20",631.049988,638.159973,624.929993,634.590027,446800,630.66925
"2021-09-21",640.599976,645.51001,637.049988,640.700012,249100,636.741516
"2021-09-22",646.530029,647.960022,636.919983,645.150024,224900,641.164001
"2021-09-23",650.390015,654.539978,647.679993,653.580017,266400,649.54187
"2021-09-24",650.75,661.73999,646.799988,661.369995,215000,657.283752
"2021-09-27",655.840027,656.570007,629.419983,638.679993,288000,634.733887
"2021-09-28",627.119995,629.179993,596.409973,597.799988,717500,594.106506
"2021-09-29",604.710022,613.469971,600.190002,610.700012,359100,606.926819
"2021-09-30",615.599976,623.070007,605.039978,608.340027,321100,604.581421
"2021-10-01",611.349976,614.869995,595,610.700012,298600,606.926819
"2021-10-04",607.619995,609.76001,580.190002,587.299988,481900,583.671387
"2021-10-05",591.440002,604.820007,591.190002,602.119995,301500,598.399841
"2021-10-06",596.049988,601.900024,588.030029,599.940002,252200,596.233276
"2021-10-07",605.280029,614.26001,604.119995,608.5,287600,604.740417
"2021-10-08",609.409973,610.98999,598.27002,600.119995,184400,596.412231
"2021-10-11",596.070007,612.909973,593.719971,597.210022,221000,593.520203
"2021-10-12",602.619995,602.619995,592.23999,595.25,164900,591.572266
"2021-10-13",601.390015,603.460022,593.320007,598.299988,218800,594.603394
"2021-10-14",606.48999,614.01001,605.25,612.650024,217000,608.864746
"2021-10-15",620.169983,620.169983,614.049988,616.080017,215200,612.273621
"2021-10-18",616.119995,621.299988,613,619.820007,181000,615.990479
"2021-10-19",624.5,634.609985,622.340027,630.960022,237700,627.061646
"2021-10-20",633.280029,636.48999,618.830017,623.359985,291300,619.508545
"2021-10-21",623.320007,637.440002,621.700012,636.429993,256300,632.497864
"2021-10-22",638.73999,649.190002,638.73999,649.090027,270000,645.079651
"2021-10-25",649.619995,662.669983,640.77002,652.030029,386700,648.001526
"2021-10-26",652.169983,660.219971,641.869995,643.119995,310000,639.146545
"2021-10-27",646.51001,659.210022,636.469971,637,357700,633.064331
"2021-10-28",637.190002,656.01001,637.190002,655.330017,291700,651.281128
"2021-10-29",649.929993,666.150024,649.830017,664.880005,253600,660.772095
"2021-11-01",668.940002,669.719971,643,657.109985,229700,653.050049
"2021-11-02",657,661.719971,653.090027,654.330017,343000,650.287354
"2021-11-03",654,658.070007,638.780029,645.659973,265800,641.670837
"2021-11-04",646.5,667.23999,645.950012,661.669983,217000,657.581848
"2021-11-05",665.73999,666,652.940002,653.340027,271200,649.303406
"2021-11-08",655.429993,655.700012,645.280029,653.809998,245400,649.770447
"2021-11-09",654,660,648.880005,652.820007,289000,648.786621
"2021-11-10",648.799988,651.580017,635.98999,642,267300,639.051514
"2021-11-11",646.690002,647.76001,639.219971,641.289978,141600,638.344727
"2021-11-12",644,652.75,635.5,652.570007,321300,649.572998
"2021-11-15",654.450012,664.679993,650.76001,660.950012,165900,657.91449
"2021-11-16",660.429993,679.849976,660.429993,675.150024,294100,672.049316
"2021-11-17",675.659973,678,662.140015,666.419983,252900,663.359375
"2021-11-18",669.099976,670.210022,661.469971,665.429993,170700,662.373901
"2021-11-19",665,667.76001,655.159973,656.880005,277000,653.86322
"2021-11-22",657,657.960022,636.799988,636.900024,379400,633.974976
"2021-11-23",635.650024,638.929993,622.039978,632.340027,343400,629.435913
