"","ODFL.Open","ODFL.High","ODFL.Low","ODFL.Close","ODFL.Volume","ODFL.Adjusted"
"2021-06-10",251.470001,251.910004,247.610001,248.410004,692700,247.583405
"2021-06-11",249.160004,252.259995,249.160004,251.029999,657500,250.194687
"2021-06-14",252,253.270004,249.020004,250.130005,531000,249.297699
"2021-06-15",250.960007,254.429993,249.820007,253.410004,516900,252.566772
"2021-06-16",253.619995,253.850006,250.130005,252.440002,467100,251.600006
"2021-06-17",252.580002,253.339996,245.889999,249.190002,541500,248.360809
"2021-06-18",246.779999,248.740005,245.559998,246.350006,875600,245.530258
"2021-06-21",248.160004,252.070007,247.449997,251.399994,497500,250.563446
"2021-06-22",252.029999,255.580002,250.949997,252.929993,496500,252.088364
"2021-06-23",252.850006,255.139999,251.169998,252.960007,321100,252.118256
"2021-06-24",254.369995,255.759995,251.339996,252.100006,522900,251.261139
"2021-06-25",252.369995,255.949997,251.830002,253.610001,1213800,252.766083
"2021-06-28",253.429993,255.710007,251.110001,255.580002,532600,254.729538
"2021-06-29",255.270004,256.459991,254.080002,255.029999,604400,254.181381
"2021-06-30",254.899994,255.899994,253.089996,253.800003,889100,252.95549
"2021-07-01",254.139999,258.609985,253.350006,258,756700,257.141479
"2021-07-02",259.109985,259.609985,257.380005,258,490500,257.141479
"2021-07-06",257.880005,258.859985,251.5,254.529999,691200,253.683029
"2021-07-07",255.240005,259.589996,254.539993,259.170013,652500,258.307617
"2021-07-08",255.639999,259.040009,251.479996,256.440002,600100,255.586685
"2021-07-09",259.369995,261.130005,257.839996,260.579987,638700,259.712891
"2021-07-12",259.720001,260.589996,256.059998,257.619995,655800,256.762756
"2021-07-13",259.109985,259.329987,255.820007,257.579987,502200,256.7229
"2021-07-14",258.019989,260.049988,255.949997,258.76001,498100,257.898956
"2021-07-15",256.529999,261.339996,255.619995,258.809998,413300,257.948792
"2021-07-16",258.820007,260.040009,253.460007,253.940002,749800,253.095001
"2021-07-19",250.539993,250.940002,246.679993,250.149994,583200,249.317612
"2021-07-20",250.800003,255.289993,250.050003,253.039993,572200,252.197983
"2021-07-21",253.970001,254.889999,250.880005,254.410004,432800,253.563431
"2021-07-22",255.270004,256.429993,254.199997,255.339996,290300,254.490326
"2021-07-23",255.509995,261.5,254.429993,261.079987,416800,260.211243
"2021-07-26",261.160004,263.070007,258.170013,258.779999,450300,257.918915
"2021-07-27",257.76001,262.450012,256.329987,259.269989,786800,258.407257
"2021-07-28",253.460007,259.339996,250.300003,259.029999,826000,258.16806
"2021-07-29",260.880005,273.380005,259.75,267.98999,673100,267.098236
"2021-07-30",267.170013,269.809998,265.690002,269.149994,507000,268.254395
"2021-08-02",269.220001,270.399994,266.320007,266.790009,442700,265.902252
"2021-08-03",265.48999,273.940002,265.309998,273.820007,530700,272.908844
"2021-08-04",273.98999,274.130005,269.720001,270.359985,489800,269.460358
"2021-08-05",271.899994,274.790009,270.890015,272.190002,388400,271.284271
"2021-08-06",272.970001,273.880005,271.200012,272.720001,262900,271.812531
"2021-08-09",272.899994,273.220001,269.920013,272.190002,292900,271.284271
"2021-08-10",272.690002,275.420013,271.75,272.410004,414900,271.50354
"2021-08-11",272.529999,276.579987,272,276.329987,412100,275.410492
"2021-08-12",275.529999,280.160004,275.529999,279.049988,317800,278.121429
"2021-08-13",278.799988,281.679993,277.559998,281,329200,280.064941
"2021-08-16",279.440002,281.850006,277.01001,281.679993,341700,280.742706
"2021-08-17",280.850006,280.850006,275.209991,279.799988,333900,278.868958
"2021-08-18",278.339996,282.140015,276.019989,276.470001,563400,275.550049
"2021-08-19",274.029999,279.829987,272.730011,279.51001,500600,278.579926
"2021-08-20",279.880005,283.98999,279.309998,282.51001,391900,281.569946
"2021-08-23",283.380005,286.929993,282.859985,284.140015,355200,283.194519
"2021-08-24",285.279999,287.079987,283.910004,285.529999,266600,284.579865
"2021-08-25",284.75,287.369995,284.730011,286.059998,350500,285.108124
"2021-08-26",287.670013,287.670013,283.75,286.100006,441900,285.14798
"2021-08-27",286.420013,292.570007,285.149994,289.779999,438200,288.815735
"2021-08-30",289.779999,294.48999,287.76001,293.839996,429800,292.862213
"2021-08-31",293.579987,294.769989,288.149994,288.720001,1011200,287.955261
"2021-09-01",289.910004,293.910004,285.880005,292.890015,565600,292.114258
"2021-09-02",294,300.019989,293.170013,299.890015,636200,299.095703
"2021-09-03",300.130005,304.220001,297.709991,301.149994,456900,300.352325
"2021-09-07",301.790009,303.950012,299.73999,301.959991,683200,301.160187
"2021-09-08",301.5,301.5,295.700012,299.730011,603500,298.936127
"2021-09-09",296.48999,296.790009,285.459991,289.649994,1179700,288.882782
"2021-09-10",291.910004,294.070007,290.820007,291.459991,689600,290.687988
"2021-09-13",294.25,294.25,287.359985,289.869995,621300,289.102203
"2021-09-14",291.100006,291.100006,287.920013,288.660004,569000,287.895416
"2021-09-15",289.48999,293.420013,285.23999,290.779999,712100,290.009827
"2021-09-16",291.049988,292.820007,290.160004,291.5,430700,290.727875
"2021-09-17",290.690002,291.959991,288,289.649994,989100,288.882782
"2021-09-20",284.589996,291.690002,283.829987,291.48999,643700,290.717926
"2021-09-21",294.809998,300.079987,292.839996,298.200012,917100,297.410187
"2021-09-22",298.950012,300.910004,295.940002,296.730011,561100,295.944092
"2021-09-23",298.279999,302.549988,298.26001,299.670013,523100,298.876282
"2021-09-24",298.850006,303.190002,297.399994,302.970001,402500,302.16748
"2021-09-27",302.660004,304.079987,297.779999,298.529999,458800,297.739288
"2021-09-28",296.470001,296.630005,292.149994,293.51001,465000,292.732574
"2021-09-29",296.059998,297.230011,291.049988,293.170013,457300,292.393494
"2021-09-30",295.029999,297.269989,285.339996,285.980011,864600,285.222534
"2021-10-01",287.5,287.940002,279.01001,285.529999,510700,284.773712
"2021-10-04",285.390015,287,282.51001,283.359985,542900,282.609436
"2021-10-05",285.269989,290.980011,284.179993,289.600006,720000,288.832916
"2021-10-06",288.160004,293.130005,286.640015,292.839996,337700,292.064331
"2021-10-07",294.709991,297.529999,292.700012,293.720001,581400,292.942047
"2021-10-08",293.359985,295.829987,285.549988,287.670013,536300,286.908081
"2021-10-11",288.970001,289.929993,286.660004,286.950012,278100,286.189972
"2021-10-12",287.829987,288.98999,283.670013,285.769989,372700,285.013062
"2021-10-13",286.179993,287.040009,282.380005,284.769989,388000,284.015717
"2021-10-14",288.649994,295.950012,286.549988,295.579987,539900,294.797058
"2021-10-15",298.399994,304.790009,297.75,302.51001,621700,301.708771
"2021-10-18",302.51001,307.929993,302.51001,307.670013,437000,306.855072
"2021-10-19",310.26001,311.440002,305.320007,308.029999,309900,307.214111
"2021-10-20",309.700012,314,308,313.179993,488800,312.350464
"2021-10-21",314.570007,320,313.600006,318.690002,558200,317.845886
"2021-10-22",320,323.839996,320,321.730011,540700,320.877838
"2021-10-25",322.51001,328.179993,321.899994,324.700012,542800,323.839996
"2021-10-26",327.320007,329.5,324.149994,325.76001,564500,324.897156
"2021-10-27",314.769989,329.25,305.119995,323.890015,630700,323.032104
"2021-10-28",326.540009,335.869995,326.440002,335.019989,421900,334.132629
"2021-10-29",332.799988,344.160004,332.799988,341.350006,523200,340.445862
"2021-11-01",343.75,346.23999,340.410004,344.929993,525500,344.016357
"2021-11-02",345.179993,349.410004,339.350006,346.910004,476200,345.991119
"2021-11-03",346.190002,349.190002,342.25,348.329987,545600,347.407349
