"","CMS.Open","CMS.High","CMS.Low","CMS.Close","CMS.Volume","CMS.Adjusted"
"2020-10-20",65.029999,65.190002,64.300003,65.010002,1599800,61.916332
"2020-10-21",65.010002,65.849998,64.949997,65.18,1419000,62.078236
"2020-10-22",65.370003,65.959999,64.919998,65.75,1616400,62.621105
"2020-10-23",66.169998,66.330002,65.519997,65.849998,1188800,62.716358
"2020-10-26",65.480003,66.25,64.82,66.150002,1533500,63.002083
"2020-10-27",66.339996,66.559998,65.480003,65.68,2341800,62.554443
"2020-10-28",64.830002,65.730003,63.939999,63.970001,2067400,60.925816
"2020-10-29",64.099998,65.32,63.34,63.5,1818000,60.478184
"2020-10-30",63.189999,63.93,62.630001,63.330002,1917700,60.316269
"2020-11-02",63.93,64.43,63.580002,64.349998,1320300,61.287731
"2020-11-03",64.860001,65.910004,64.769997,65.300003,1282100,62.192524
"2020-11-04",65.32,66.32,64.389999,64.559998,1236900,61.487732
"2020-11-05",64.889999,65.980003,64.379997,64.440002,1197400,61.763783
"2020-11-06",64.540001,65.120003,64.120003,64.18,1057400,61.514572
"2020-11-09",67.199997,67.980003,65.910004,66.139999,1651800,63.393177
"2020-11-10",66.190002,67.610001,66,67.110001,1208100,64.322899
"2020-11-11",67.410004,67.75,66.620003,67.010002,1123500,64.227043
"2020-11-12",66.629997,66.68,64.379997,64.830002,1988900,62.137577
"2020-11-13",64.830002,65.239998,64.519997,65.07,2058100,62.367611
"2020-11-16",65.860001,66.110001,64.910004,66.059998,2297600,63.316494
"2020-11-17",65.480003,65.959999,63.810001,63.830002,1770400,61.179108
"2020-11-18",64.129997,64.75,61.439999,61.5,2768300,58.945877
"2020-11-19",61.549999,61.669998,60.009998,60.580002,2311800,58.064087
"2020-11-20",60.610001,61.48,60.310001,61.25,2889900,58.706261
"2020-11-23",61.209999,61.5,60.619999,61.439999,1906900,58.888367
"2020-11-24",61.720001,62.529999,61.52,62.310001,2359000,59.72224
"2020-11-25",62.349998,62.950001,61.57,62.700001,1830400,60.096039
"2020-11-27",62.59,62.669998,61.689999,61.98,751100,59.405945
"2020-11-30",61.75,61.98,60.959999,61.540001,3322000,58.984215
"2020-12-01",61.759998,62.25,61.34,61.509998,1679500,58.95546
"2020-12-02",61.34,61.860001,60.93,61.790001,1581300,59.223827
"2020-12-03",61.540001,61.700001,60.830002,60.950001,1346900,58.41872
"2020-12-04",60.91,61.25,59.689999,59.77,1111600,57.287724
"2020-12-07",59.470001,60.709999,59.369999,60.700001,1809600,58.1791
"2020-12-08",60.240002,60.689999,59.740002,60.200001,1508100,57.699867
"2020-12-09",60.200001,60.459999,59.27,59.799999,1185900,57.316471
"2020-12-10",60.09,60.23,59.27,59.439999,1411400,56.971424
"2020-12-11",59.099998,59.5,58.830002,59.380001,1565500,56.913925
"2020-12-14",59.869999,60.490002,59.200001,59.220001,1358000,56.760567
"2020-12-15",59.48,60.279999,59.259998,60,1776900,57.508171
"2020-12-16",60.419998,60.73,59.139999,59.25,1347400,56.789318
"2020-12-17",59.459999,59.970001,59.330002,59.509998,1579100,57.038521
"2020-12-18",59.57,59.880001,58.869999,59.23,2939600,56.770149
"2020-12-21",58.689999,58.799999,57.349998,58,2156200,55.591232
"2020-12-22",57.849998,58.119999,57.48,57.599998,1500200,55.207848
"2020-12-23",57.84,58.290001,57.529999,57.610001,1108400,55.21743
"2020-12-24",57.5,58.200001,57.450001,58.16,674200,55.744591
"2020-12-28",58.470001,59.02,58.310001,58.82,1289400,56.377178
"2020-12-29",58.880001,59.57,58.830002,59.16,1416300,56.70306
"2020-12-30",59.02,60.099998,58.959999,59.91,2538400,57.421909
"2020-12-31",59.939999,61.09,59.66,61.009998,1872300,58.476219
"2021-01-04",60.639999,60.799999,59.360001,59.610001,1821600,57.134369
"2021-01-05",59.709999,59.849998,58.389999,58.549999,2745100,56.118389
"2021-01-06",58.529999,59.830002,58.310001,59.73,2296600,57.249382
"2021-01-07",59.880001,59.990002,57.939999,57.950001,2023900,55.543312
"2021-01-08",57.889999,58.040001,57.099998,57.68,2471600,55.284523
