"","PSA.Open","PSA.High","PSA.Low","PSA.Close","PSA.Volume","PSA.Adjusted"
"2020-12-18",232.720001,232.940002,227.710007,228.929993,1421900,211.530792
"2020-12-21",227.580002,230.199997,226.110001,228.710007,707800,211.327499
"2020-12-22",228.970001,232.350006,228.169998,232.190002,783100,214.543045
"2020-12-23",231.529999,232.75,226.770004,227,720800,209.747482
"2020-12-24",227.440002,228.979996,227.070007,228.850006,154600,211.456894
"2020-12-28",229.779999,230.600006,227.220001,229.139999,569900,211.724838
"2020-12-29",230.089996,231.259995,226.419998,227.800003,677400,210.486679
"2020-12-30",227.360001,230.889999,227.360001,228.929993,559200,211.530792
"2020-12-31",229.210007,231.080002,226.520004,230.929993,495700,213.378784
"2021-01-04",230.320007,231.970001,219.949997,220.199997,911800,203.464294
"2021-01-05",219.330002,221.610001,216.149994,217.369995,1094800,200.849365
"2021-01-06",216.350006,217.899994,212.220001,213.820007,1506100,197.569199
"2021-01-07",214.110001,218.520004,213.050003,217.449997,1224300,200.923279
"2021-01-08",218.490005,223.630005,218.490005,222.619995,805500,205.700363
"2021-01-11",221.940002,222.710007,217.869995,221.25,738900,204.434494
"2021-01-12",220.169998,222.869995,219.029999,222.240005,690200,205.349258
"2021-01-13",222.25,225.630005,222.25,224.789993,785400,207.705444
"2021-01-14",224.770004,224.770004,220.839996,221.229996,773100,204.416
"2021-01-15",221.289993,225.380005,220.100006,224.389999,1864200,207.335846
"2021-01-19",225.830002,225.830002,219.130005,220.619995,1145000,203.852386
"2021-01-20",219.539993,226,218.580002,224.979996,1326600,207.880997
"2021-01-21",223.210007,225.139999,221.410004,221.970001,1284000,205.099762
"2021-01-22",222.850006,223.850006,221.580002,222.789993,1079100,205.857452
"2021-01-25",223.440002,226.5,221.940002,225.820007,830000,208.657166
"2021-01-26",225.860001,228.690002,225.330002,227.839996,825900,210.523621
"2021-01-27",227.330002,228.979996,224.889999,228.050003,822000,210.717697
"2021-01-28",228.070007,230.149994,225.449997,227.509995,791600,210.218689
"2021-01-29",226.660004,230.089996,224.820007,227.619995,1052400,210.320343
"2021-02-01",229.130005,232.770004,226.289993,232.690002,763700,215.005051
"2021-02-02",231.850006,232.660004,229.830002,230.300003,949800,212.796692
"2021-02-03",229.139999,232.789993,226.800003,231.300003,703300,213.720673
"2021-02-04",232.139999,235.979996,230.300003,230.850006,1165800,213.304871
"2021-02-05",231.509995,231.509995,228.75,229.339996,777100,211.909637
