"","DVA.Open","DVA.High","DVA.Low","DVA.Close","DVA.Volume","DVA.Adjusted"
"2020-10-14",88.540001,90.470001,88.440002,88.870003,528400,88.870003
"2020-10-15",87.739998,89.150002,87.279999,88.910004,509100,88.910004
"2020-10-16",89.190002,91.699997,89.190002,90.779999,1219800,90.779999
"2020-10-19",90.800003,91.610001,89.190002,89.559998,703800,89.559998
"2020-10-20",89.870003,90.68,89.419998,89.699997,617100,89.699997
"2020-10-21",89.620003,90.510002,89.029999,89.610001,639700,89.610001
"2020-10-22",90.099998,91.290001,89.650002,90.68,510600,90.68
"2020-10-23",90.760002,91.620003,90.370003,91.050003,532300,91.050003
"2020-10-26",90.199997,90.82,89.220001,89.709999,665100,89.709999
"2020-10-27",90.099998,90.300003,89.029999,89.150002,502000,89.150002
"2020-10-28",87.93,88.669998,86.139999,86.269997,889400,86.269997
"2020-10-29",85.970001,86.449997,84.139999,85.769997,1099400,85.769997
"2020-10-30",85.800003,88.400002,85,86.25,1085200,86.25
"2020-11-02",87.459999,90.160004,87.150002,89.07,1056800,89.07
"2020-11-03",90.040001,93.830002,90.040001,92.949997,1042800,92.949997
"2020-11-04",95.650002,97.900002,95.269997,96.040001,1013700,96.040001
"2020-11-05",98.529999,99.860001,97.5,98.150002,909400,98.150002
"2020-11-06",97.989998,99.449997,97.5,98.620003,517100,98.620003
"2020-11-09",101.220001,104,100.610001,102.330002,1235100,102.330002
"2020-11-10",102,108.099998,101.5,107.169998,1019300,107.169998
"2020-11-11",107.25,108.059998,106.160004,106.32,959000,106.32
"2020-11-12",105.709999,109.900002,105.529999,107.18,1062900,107.18
"2020-11-13",107.480003,110.980003,107.260002,110.550003,772000,110.550003
"2020-11-16",111.629997,113.389999,110.400002,113.139999,887400,113.139999
"2020-11-17",111.839996,114.129997,110.43,113.389999,872700,113.389999
"2020-11-18",113.669998,113.959999,108.269997,108.32,1161100,108.32
"2020-11-19",108.389999,108.940002,106,107.629997,1189800,107.629997
"2020-11-20",107.879997,110.489998,107.879997,109.849998,717700,109.849998
"2020-11-23",109.790001,110.489998,108.919998,110.019997,976600,110.019997
"2020-11-24",110.57,110.650002,108.699997,109.669998,862200,109.669998
"2020-11-25",109.610001,110.32,108.709999,109.599998,766200,109.599998
"2020-11-27",110.040001,111.470001,109.760002,109.879997,263500,109.879997
"2020-11-30",109.580002,110.510002,109.5,109.849998,1188500,109.849998
"2020-12-01",110.699997,111.059998,108.489998,108.589996,583400,108.589996
"2020-12-02",108.809998,109.650002,108.07,108.360001,772300,108.360001
"2020-12-03",108.050003,108.050003,104.510002,105.419998,1403600,105.419998
"2020-12-04",106.120003,109.300003,106,109.300003,602000,109.300003
"2020-12-07",109.339996,109.550003,107.669998,108.459999,770700,108.459999
"2020-12-08",108.050003,110.669998,108.050003,110.379997,516800,110.379997
"2020-12-09",110.720001,111.940002,110.339996,111.300003,569400,111.300003
"2020-12-10",110.510002,112.370003,110.389999,111.910004,506500,111.910004
"2020-12-11",111.68,112.080002,108.18,108.32,645600,108.32
"2020-12-14",109.410004,111.559998,108.980003,109.190002,872800,109.190002
"2020-12-15",109.809998,113.040001,109.669998,112.389999,592600,112.389999
"2020-12-16",112.940002,114.150002,111.910004,113.040001,639400,113.040001
"2020-12-17",113.199997,115.739998,113.199997,115.730003,625500,115.730003
"2020-12-18",115.540001,115.730003,114.529999,115.360001,2538100,115.360001
"2020-12-21",113.5,115.769997,112.690002,115.75,758900,115.75
"2020-12-22",116,116.400002,114.949997,115.18,597300,115.18
"2020-12-23",115.860001,115.940002,114.849998,115,522000,115
"2020-12-24",114.989998,115.68,114.620003,115.129997,161900,115.129997
"2020-12-28",116,116.18,115.029999,115.449997,397300,115.449997
"2020-12-29",116.029999,116.510002,115.459999,116,549300,116
"2020-12-30",116.300003,117.650002,115.400002,115.5,386500,115.5
"2020-12-31",115.07,117.589996,115,117.400002,324100,117.400002
"2021-01-04",117.559998,118.68,114.349998,116.5,784900,116.5
"2021-01-05",114.629997,117.389999,114,116.550003,660500,116.550003
"2021-01-06",116.089996,121.150002,116,120.550003,956600,120.550003
"2021-01-07",121.290001,122.870003,120.480003,122.209999,857600,122.209999
"2021-01-08",122.370003,124.669998,122.080002,123.889999,551200,123.889999
"2021-01-11",123.279999,124.540001,121.889999,123.120003,507900,123.120003
"2021-01-12",123.5,125.279999,123.029999,123.800003,669700,123.800003
"2021-01-13",123.82,124.480003,120.730003,120.760002,775000,120.760002
"2021-01-14",121.410004,121.410004,119.489998,119.639999,546500,119.639999
"2021-01-15",119.190002,119.839996,117.650002,118.75,693300,118.75
"2021-01-19",119.690002,119.910004,118.029999,118.099998,514400,118.099998
"2021-01-20",118.099998,120.699997,117.589996,120.32,571400,120.32
"2021-01-21",120.25,120.470001,119.050003,119.32,366600,119.32
"2021-01-22",118.900002,120.099998,118.849998,119.589996,345300,119.589996
"2021-01-25",119.099998,119.949997,117.919998,118.559998,429700,118.559998
"2021-01-26",118.699997,119.949997,117.860001,119.260002,416000,119.260002
"2021-01-27",117.760002,118.959999,116.900002,117.849998,616400,117.849998
"2021-01-28",119.190002,122.389999,117.849998,117.889999,607500,117.889999
"2021-01-29",117.5,118.550003,116.010002,117.370003,915500,117.370003
"2021-02-01",118.019997,120,116.919998,118.809998,798600,118.809998
"2021-02-02",114,116.169998,111.639999,111.639999,1478000,111.639999
"2021-02-03",111.279999,111.690002,108.040001,110.489998,1544700,110.489998
"2021-02-04",110.529999,110.800003,108.589996,109.540001,753400,109.540001
"2021-02-05",110.309998,110.580002,108.379997,109.18,793200,109.18
"2021-02-08",109.470001,110.589996,109.019997,110.199997,1296100,110.199997
"2021-02-09",110.620003,112.300003,110.290001,111,947700,111
"2021-02-10",111.900002,113.449997,110.769997,113.389999,769800,113.389999
"2021-02-11",113.93,114.309998,112.330002,113.330002,878300,113.330002
"2021-02-12",112.5,114.580002,104.779999,104.989998,1573300,104.989998
"2021-02-16",105.43,110.690002,103.279999,104.18,2291200,104.18
"2021-02-17",103.089996,104.720001,101.830002,103.110001,1118900,103.110001
"2021-02-18",102.620003,102.93,99.650002,100.120003,1202700,100.120003
"2021-02-19",99.82,102.339996,99.5,102.07,1061200,102.07
"2021-02-22",100.989998,101.690002,99.389999,99.980003,731100,99.980003
"2021-02-23",99.690002,101.580002,98.550003,101.279999,734200,101.279999
"2021-02-24",101.18,103.529999,101.18,102.889999,835800,102.889999
"2021-02-25",103.169998,103.870003,101.230003,102.139999,538400,102.139999
"2021-02-26",101.910004,103.760002,101.75,102.129997,849400,102.129997
"2021-03-01",103.220001,104.480003,102.739998,102.849998,702900,102.849998
"2021-03-02",103.489998,104.010002,102.5,103.519997,719300,103.519997
"2021-03-03",102.989998,103.360001,101.550003,102.779999,534000,102.779999
"2021-03-04",102.290001,104.639999,101.849998,103.82,1062400,103.82
"2021-03-05",104.720001,106.040001,103.779999,105.540001,751500,105.540001
"2021-03-08",105.5,108.199997,105.400002,107.610001,590800,107.610001
"2021-03-09",108.129997,110.309998,107.400002,107.629997,654000,107.629997
"2021-03-10",108.870003,109.089996,107.110001,107.110001,666800,107.110001
"2021-03-11",107.150002,108.349998,107.089996,107.68,466400,107.68
"2021-03-12",108.650002,108.839996,107.779999,108.440002,679400,108.440002
"2021-03-15",107.879997,109.239998,107.68,108.93,412300,108.93
"2021-03-16",109,109.300003,107.580002,107.639999,561100,107.639999
"2021-03-17",107.419998,108.529999,106.660004,107.730003,482200,107.730003
"2021-03-18",107.940002,109.949997,107.559998,109.190002,520600,109.190002
"2021-03-19",108.75,110.690002,108.699997,109.830002,1230500,109.830002
"2021-03-22",109.510002,110.339996,108.019997,110.040001,532600,110.040001
"2021-03-23",110.050003,110.32,106.889999,107.019997,627300,107.019997
"2021-03-24",107.199997,109.830002,106.949997,109.029999,488000,109.029999
"2021-03-25",108.949997,111.410004,107.550003,110.860001,627700,110.860001
"2021-03-26",108.330002,109.510002,107.599998,108.769997,856500,108.769997
"2021-03-29",108.800003,110.639999,108.690002,110.050003,817100,110.050003
"2021-03-30",110.120003,110.360001,108.489998,109.480003,475800,109.480003
"2021-03-31",109.290001,109.970001,107.599998,107.769997,663200,107.769997
"2021-04-01",107.510002,107.660004,105.080002,105.440002,1069100,105.440002
"2021-04-05",106,107.379997,105.470001,106.800003,1024700,106.800003
"2021-04-06",107.160004,107.970001,106.529999,106.949997,638600,106.949997
"2021-04-07",107.050003,108.089996,106.459999,106.690002,547900,106.690002
"2021-04-08",106.5,108.199997,106.290001,106.860001,862100,106.860001
"2021-04-09",107.239998,109.080002,106.900002,109,472800,109
"2021-04-12",109,110.919998,108.779999,109.879997,571000,109.879997
"2021-04-13",108.889999,109.160004,106.690002,107.459999,1028100,107.459999
"2021-04-14",108.339996,109.160004,107.370003,108.230003,654300,108.230003
