"","ALK.Open","ALK.High","ALK.Low","ALK.Close","ALK.Volume","ALK.Adjusted"
"2021-03-04",65.32,66.699997,61.849998,64.620003,1593000,64.620003
"2021-03-05",65.040001,65.290001,59.689999,64.889999,1784000,64.889999
"2021-03-08",65.989998,69.169998,65.610001,67.989998,2201400,67.989998
"2021-03-09",68.660004,68.75,66.209999,66.889999,1448800,66.889999
"2021-03-10",66.360001,67.68,65.150002,66.389999,1648300,66.389999
"2021-03-11",66.860001,66.989998,65.110001,65.690002,1998700,65.690002
"2021-03-12",66.010002,68.879997,65.800003,68.019997,1865600,68.019997
"2021-03-15",69.440002,72.620003,68.860001,71.980003,3736000,71.980003
"2021-03-16",72.410004,72.5,70.199997,70.599998,2045500,70.599998
"2021-03-17",70.050003,73.260002,69.760002,73.199997,1948900,73.199997
"2021-03-18",72.690002,73.75,70.209999,70.589996,1885800,70.589996
"2021-03-19",69.980003,71.690002,68.220001,70.779999,2414300,70.779999
"2021-03-22",70.419998,70.419998,68.239998,68.559998,1728300,68.559998
"2021-03-23",67.599998,68.790001,65.230003,65.660004,1669800,65.660004
"2021-03-24",66.699997,68.639999,65.370003,65.419998,1305200,65.419998
"2021-03-25",64.25,67.970001,63.5,67.75,2027900,67.75
"2021-03-26",68.599998,69.540001,66.879997,68.32,1222300,68.32
"2021-03-29",68.650002,68.830002,66.349998,67.5,1478900,67.5
"2021-03-30",68.010002,70.339996,67.75,69.940002,1601800,69.940002
"2021-03-31",70.019997,70.050003,68.57,69.209999,1184400,69.209999
"2021-04-01",69.669998,70.440002,68.949997,69.489998,810300,69.489998
"2021-04-05",70.739998,72.75,70.489998,71.089996,1427300,71.089996
"2021-04-06",72.440002,73.900002,71.849998,73.739998,2764200,73.739998
"2021-04-07",73.699997,74.25,71.720001,72.360001,1246700,72.360001
"2021-04-08",71.779999,72.949997,70.360001,72.690002,1278600,72.690002
"2021-04-09",72.699997,72.949997,71.589996,72.629997,909500,72.629997
"2021-04-12",72,72.470001,70.660004,71.300003,1024900,71.300003
"2021-04-13",70.519997,70.830002,67.760002,70.220001,3012600,70.220001
"2021-04-14",71.589996,72.400002,70.410004,70.57,1550200,70.57
"2021-04-15",71.510002,71.660004,68.470001,69.43,1750600,69.43
"2021-04-16",69.699997,70.550003,68.690002,69.330002,1465800,69.330002
"2021-04-19",69,69.18,67.879997,68.769997,1286300,68.769997
"2021-04-20",67.889999,68.029999,65.440002,66.900002,1749800,66.900002
"2021-04-21",66.5,68.830002,64.809998,68.830002,1668900,68.830002
"2021-04-22",70,70.239998,66.959999,66.959999,2410600,66.959999
"2021-04-23",67.550003,69.550003,67.199997,69.209999,1187300,69.209999
"2021-04-26",70.400002,70.949997,68.709999,69.480003,1824100,69.480003
"2021-04-27",69,69.720001,68.489998,69.080002,838300,69.080002
"2021-04-28",68.860001,69,68.050003,68.650002,1023000,68.650002
"2021-04-29",69.269997,69.510002,68.190002,68.57,889400,68.57
