"","ADSK.Open","ADSK.High","ADSK.Low","ADSK.Close","ADSK.Volume","ADSK.Adjusted"
"2020-12-08",281.690002,286.23999,280.309998,284.380005,939000,284.380005
"2020-12-09",288.970001,289.450012,278.070007,279.420013,1484300,279.420013
"2020-12-10",278.140015,282.179993,274.23999,281.160004,1160400,281.160004
"2020-12-11",280.25,280.48999,275.380005,279.679993,1251100,279.679993
"2020-12-14",281.570007,293.480011,280.049988,288.329987,1743800,288.329987
"2020-12-15",288.200012,290.660004,287.070007,287.529999,997300,287.529999
"2020-12-16",288.73999,293.100006,288.73999,292.170013,1054700,292.170013
"2020-12-17",294.649994,297.76001,292.380005,297.350006,1108500,297.350006
"2020-12-18",299.829987,305.950012,298.730011,305,2766100,305
"2020-12-21",302.839996,303.98999,296.700012,300.880005,1421500,300.880005
"2020-12-22",303.309998,304.299988,300,303.859985,1302800,303.859985
"2020-12-23",305.649994,307.220001,300,300.179993,689700,300.179993
"2020-12-24",300.399994,302.76001,298.769989,301.390015,323100,301.390015
"2020-12-28",304.25,305.440002,298.019989,299.649994,702600,299.649994
"2020-12-29",300,301.730011,296.029999,298.109985,672800,298.109985
"2020-12-30",300.25,301.51001,297.940002,299.410004,513700,299.410004
"2020-12-31",299,305.850006,299,305.339996,941700,305.339996
"2021-01-04",304.109985,307.829987,293.049988,296.839996,1406900,296.839996
"2021-01-05",297.839996,302.51001,296.540009,301.700012,1636900,301.700012
"2021-01-06",294.149994,309.950012,294.130005,302.869995,1557700,302.869995
"2021-01-07",305.450012,316.450012,305.01001,315.200012,1527600,315.200012
"2021-01-08",316.410004,320.429993,315.079987,319.850006,1196700,319.850006
"2021-01-11",317.429993,319.839996,313.75,317.809998,1232900,317.809998
"2021-01-12",320,320.940002,317.109985,320.130005,859500,320.130005
"2021-01-13",320.75,321.130005,313.070007,314.329987,1182000,314.329987
"2021-01-14",314.079987,316.109985,310.059998,311.109985,1269700,311.109985
"2021-01-15",311.73999,316.350006,308.029999,308.51001,1248300,308.51001
"2021-01-19",314.829987,315.470001,310.25,310.970001,1414000,310.970001
"2021-01-20",311.519989,315.26001,307.420013,308.579987,1794500,308.579987
"2021-01-21",309.23999,309.959991,305.339996,306.459991,2000800,306.459991
"2021-01-22",303,306.5,296.51001,299.170013,2590200,299.170013
"2021-01-25",301.76001,302.48999,289.519989,293.640015,2697900,293.640015
"2021-01-26",294,295.940002,291.320007,291.75,2134200,291.75
"2021-01-27",285.320007,285.320007,272.700012,273.470001,2714700,273.470001
"2021-01-28",277.160004,289.399994,276.700012,284.220001,1752700,284.220001
"2021-01-29",281.679993,283.630005,274.630005,277.429993,1611200,277.429993
"2021-02-01",280.410004,287.730011,279.329987,286.320007,1159900,286.320007
"2021-02-02",288.619995,296.769989,288.619995,294.609985,1146100,294.609985
"2021-02-03",294.450012,295.940002,292.730011,292.850006,856000,292.850006
"2021-02-04",294.359985,300.670013,291.720001,300.48999,930900,300.48999
"2021-02-05",302.98999,307.859985,301.880005,305.859985,1086200,305.859985
"2021-02-08",308.329987,310.070007,302.119995,302.809998,945200,302.809998
"2021-02-09",308.149994,308.149994,302.769989,304.5,1399900,304.5
"2021-02-10",305.559998,306.200012,299.649994,301.709991,1195600,301.709991
"2021-02-11",304.48999,305.480011,298.320007,300.209991,1612300,300.209991
"2021-02-12",297.929993,305.5,295.320007,305.140015,1529900,305.140015
"2021-02-16",307.950012,316.309998,307.299988,308.220001,1571900,308.220001
"2021-02-17",306.100006,307.190002,296.440002,302.519989,891000,302.519989
"2021-02-18",299,301.779999,292.859985,300.720001,1264600,300.720001
"2021-02-19",301.73999,310.049988,301.109985,305.399994,1208100,305.399994
"2021-02-22",301.459991,303.149994,297.670013,297.700012,954500,297.700012
"2021-02-23",292.410004,293.519989,284.559998,290.25,1487200,290.25
"2021-02-24",281.329987,299.149994,280.619995,298.910004,1397400,298.910004
"2021-02-25",294.809998,298.769989,282.25,284.029999,1489300,284.029999
"2021-02-26",283.450012,291.980011,274.820007,276,2529200,276
"2021-03-01",279.859985,284.720001,278.070007,284.269989,1831000,284.269989
"2021-03-02",285.549988,286.899994,277.329987,277.920013,1267200,277.920013
"2021-03-03",275.700012,276.820007,267.040009,269.299988,1409100,269.299988
"2021-03-04",266.799988,273.279999,263.019989,265.440002,1812600,265.440002
"2021-03-05",270.329987,270.329987,255.020004,267.390015,1835500,267.390015
"2021-03-08",265.209991,268.279999,252.600006,253.100006,1623200,253.100006
"2021-03-09",262.23999,266.429993,260.029999,263.970001,2708400,263.970001
"2021-03-10",269.76001,271.75,262.320007,263.640015,1420700,263.640015
"2021-03-11",270.920013,276,269.019989,274.359985,2029300,274.359985
"2021-03-12",270.070007,272,264.399994,268.109985,926000,268.109985
"2021-03-15",267.980011,273.75,266.299988,273.019989,864900,273.019989
"2021-03-16",275.209991,277.700012,272.01001,275.01001,1041300,275.01001
"2021-03-17",272.019989,275.309998,265.089996,272.839996,1092200,272.839996
"2021-03-18",265.559998,271,263.140015,263.440002,1355700,263.440002
"2021-03-19",261.790009,265.209991,258.850006,261.5,2320400,261.5
"2021-03-22",261.029999,269.290009,261.029999,265.959991,1863400,265.959991
"2021-03-23",268.910004,274.829987,267.01001,269,1313600,269
"2021-03-24",270,270.970001,262.970001,263.179993,1191700,263.179993
"2021-03-25",262.209991,263.339996,257.320007,262.190002,906200,262.190002
"2021-03-26",261.350006,269.220001,260.880005,269.01001,1642200,269.01001
"2021-03-29",266.970001,273.100006,265.5,270.779999,1311200,270.779999
"2021-03-30",268.179993,271.899994,264.470001,268.429993,904400,268.429993
"2021-03-31",269.790009,279.660004,269.649994,277.149994,1666100,277.149994
"2021-04-01",277.839996,285.640015,277.839996,283.899994,1509400,283.899994
"2021-04-05",285.73999,289.420013,284.290009,288.320007,950800,288.320007
"2021-04-06",286.859985,288.630005,284.649994,285.5,898400,285.5
"2021-04-07",286.829987,287.589996,283.23999,286.119995,718700,286.119995
"2021-04-08",290,297.76001,288.649994,293.429993,1220400,293.429993
"2021-04-09",292.559998,297.899994,290.380005,297.570007,1032700,297.570007
"2021-04-12",294,296.25,293,294.5,1378600,294.5
"2021-04-13",295.339996,298.660004,293.119995,295.350006,1007800,295.350006
"2021-04-14",297.23999,301.410004,293.790009,294.350006,881100,294.350006
"2021-04-15",299.779999,303.690002,298.220001,298.859985,1103500,298.859985
"2021-04-16",300.179993,301.359985,296.579987,300.160004,861100,300.160004
"2021-04-19",297.269989,299.459991,288.850006,290.200012,939200,290.200012
"2021-04-20",288.160004,289.049988,282.820007,286.359985,967300,286.359985
"2021-04-21",285.76001,289.730011,284.149994,288.869995,893500,288.869995
