"","TSN.Open","TSN.High","TSN.Low","TSN.Close","TSN.Volume","TSN.Adjusted"
"2021-01-11",64,65,63.799999,64.769997,2021800,62.636482
"2021-01-12",65.019997,65.809998,63.639999,64.010002,3261500,61.901512
"2021-01-13",63.700001,64.75,63.349998,64.089996,2496400,61.978874
"2021-01-14",64.459999,65.220001,64.010002,64.760002,1720100,62.626812
"2021-01-15",64.730003,65.150002,63.849998,64.75,1653600,62.617138
"2021-01-19",65.230003,65.330002,63.509998,63.900002,2639000,61.795139
"2021-01-20",64.599998,66.57,64.25,66.25,2788100,64.067734
"2021-01-21",66.389999,67.459999,65.739998,65.900002,2040300,63.729263
"2021-01-22",65.879997,67.07,65.5,66.519997,1911000,64.328835
"2021-01-25",66.32,67.25,65.949997,66.599998,1755800,64.406197
"2021-01-26",66.650002,67.099998,65.339996,66.57,1609100,64.37719
"2021-01-27",65.790001,66.639999,64.349998,64.779999,2227600,62.646152
"2021-01-28",64.550003,65.419998,64.540001,64.959999,1391200,62.820221
"2021-01-29",64.489998,64.779999,63.150002,64.309998,3402200,62.191631
"2021-02-01",64.559998,64.849998,62.59,64.190002,1917900,62.075584
"2021-02-02",64.5,64.760002,63.049999,64.220001,2028300,62.104603
"2021-02-03",64.449997,65.900002,64.089996,65.470001,1597200,63.313423
"2021-02-04",65.510002,66.440002,65.360001,66.220001,1324900,64.038719
"2021-02-05",66.440002,67.160004,66.019997,66.18,1667600,64.000038
"2021-02-08",68,69.139999,67.57,67.949997,2478200,65.711731
"2021-02-09",68.029999,69.849998,68.029999,69.5,2515700,67.210686
"2021-02-10",69.879997,70.57,68.639999,69.279999,3334000,66.997925
"2021-02-11",65,66.379997,63.220001,65.339996,6044200,63.187698
"2021-02-12",65.089996,66.410004,64.760002,65.559998,2705000,63.400459
"2021-02-16",66,66.040001,64.800003,65.669998,2594400,63.506828
"2021-02-17",65.599998,67.660004,65.379997,67.220001,2260100,65.005783
"2021-02-18",67.260002,68.379997,67.099998,67.629997,1907700,65.402267
"2021-02-19",67.779999,68.199997,67.230003,67.519997,1673200,65.295906
"2021-02-22",67.830002,68.989998,67.529999,68.360001,1832300,66.108223
"2021-02-23",68.779999,69.050003,67.919998,68.190002,2031100,65.943832
"2021-02-24",68.349998,69.379997,68.290001,68.870003,1379200,66.601425
"2021-02-25",68.849998,69.510002,67.43,68.309998,1667800,66.059868
"2021-02-26",68.190002,68.529999,67.32,67.669998,2087800,65.870056
"2021-03-01",68.279999,69.190002,68.279999,68.540001,1614400,66.716927
"2021-03-02",68.860001,69.25,68.260002,68.68,1811000,66.853195
"2021-03-03",69,70.610001,68.690002,69.959999,2573800,68.099144
"2021-03-04",70.279999,72.949997,69.769997,72.190002,4588300,70.269844
"2021-03-05",72.260002,73.790001,71.510002,72.709999,3362900,70.776001
"2021-03-08",73.470001,74.379997,72.769997,73.690002,2851000,71.729942
"2021-03-09",73.480003,73.970001,72.110001,72.389999,3763500,70.464523
"2021-03-10",72.790001,74.519997,72.220001,74.050003,2146500,72.080368
"2021-03-11",73,75.110001,73,73.980003,2469400,72.01223
"2021-03-12",74.5,75.989998,74.379997,75.510002,1506300,73.501534
"2021-03-15",75.599998,76.82,75.480003,76.580002,2337000,74.543068
"2021-03-16",75.860001,76.989998,75.5,76.260002,2025700,74.231583
"2021-03-17",76.760002,76.800003,75.849998,76.379997,1682000,74.348389
"2021-03-18",76.43,78.139999,76.370003,76.93,1793100,74.883751
"2021-03-19",76.470001,77.269997,76.209999,76.75,5884500,74.708549
"2021-03-22",76.360001,76.43,74.870003,75.470001,1976700,73.462601
"2021-03-23",75.620003,75.629997,73.07,73.410004,2267400,71.457397
"2021-03-24",73.110001,74.379997,72.709999,73.57,1736800,71.613129
"2021-03-25",73.919998,75.43,72.870003,75.349998,2099700,73.345779
"2021-03-26",75.300003,76.129997,74.360001,75.980003,1671800,73.95903
"2021-03-29",75.989998,76.75,75.669998,76.400002,1439900,74.367859
"2021-03-30",76.489998,76.870003,75.739998,75.949997,1439400,73.929832
"2021-03-31",75.68,76.040001,74.279999,74.300003,2346900,72.323715
"2021-04-01",74.18,75.199997,73.309998,74.870003,1985800,72.878555
"2021-04-05",75,75.459999,74.129997,74.620003,1832300,72.635201
"2021-04-06",74.629997,76.220001,74.529999,75.889999,1856700,73.871422
"2021-04-07",76.169998,76.730003,75.290001,75.720001,1755400,73.70594
"2021-04-08",75.309998,76.370003,74.870003,76.330002,1349100,74.299728
"2021-04-09",76.540001,76.919998,75.970001,76.559998,1547200,74.52359
"2021-04-12",76.760002,77.730003,76.699997,77.559998,1431300,75.496994
"2021-04-13",77.290001,77.540001,76.699997,76.970001,1415100,74.922699
"2021-04-14",77.410004,78.5,77.389999,78.260002,1726900,76.178383
"2021-04-15",78.480003,78.900002,78.059998,78.300003,1390900,76.217323
"2021-04-16",78.68,79.150002,78.379997,78.919998,1264800,76.820831
"2021-04-19",79.129997,79.269997,77.949997,78.550003,1067400,76.460663
"2021-04-20",78.68,79.279999,78.139999,78.529999,1486500,76.4412
"2021-04-21",78.699997,79.690002,78.400002,79.580002,1064200,77.463272
"2021-04-22",79.410004,79.769997,78.559998,79.040001,1742600,76.93763
"2021-04-23",78.779999,79.260002,78.519997,78.699997,1319400,76.606674
"2021-04-26",78.870003,78.870003,77.849998,77.949997,1156400,75.876617
"2021-04-27",77.790001,77.849998,76.370003,76.690002,2474900,74.650139
"2021-04-28",77.099998,77.660004,76.980003,77.330002,1229300,75.273117
"2021-04-29",77.529999,77.940002,76.879997,77.300003,1774800,75.243912
"2021-04-30",77.489998,77.699997,76.889999,77.449997,1847300,75.389915
"2021-05-03",77.760002,79.050003,77.739998,78.5,2105200,76.411995
"2021-05-04",78.32,78.82,77.059998,77.779999,2797400,75.711136
"2021-05-05",77.75,78.120003,76.910004,77.870003,2746300,75.798752
"2021-05-06",78.25,78.650002,77.919998,78.389999,1973700,76.304924
"2021-05-07",77.769997,78.93,77.68,78.82,3070200,76.72348
"2021-05-10",76.349998,79.379997,76,78.82,3637600,76.72348
"2021-05-11",78.300003,79.449997,77.43,79.440002,2751000,77.326996
"2021-05-12",79.620003,80.709999,78.809998,79.160004,2824300,77.054451
"2021-05-13",79.050003,80.839996,78.849998,80.559998,1954400,78.417198
"2021-05-14",81.019997,81.790001,80.279999,80.339996,1391200,78.203049
"2021-05-17",80.669998,80.989998,80.029999,80.610001,1296100,78.465874
"2021-05-18",80.470001,81.019997,79.82,79.860001,1077000,77.735817
"2021-05-19",79.879997,79.970001,78.43,79.639999,2206400,77.521675
"2021-05-20",79.889999,81.25,79.739998,80.580002,2601300,78.436676
"2021-05-21",80.769997,81.489998,80.199997,80.690002,1714900,78.543755
"2021-05-24",80.830002,81.169998,80.550003,80.559998,899600,78.417198
"2021-05-25",80.550003,80.709999,79.910004,80.209999,1207600,78.076515
"2021-05-26",80.269997,80.370003,79.220001,79.599998,1741700,77.482735
"2021-05-27",80.080002,81.309998,79.349998,79.510002,2281800,77.395134
"2021-05-28",79.440002,80.099998,79.300003,79.5,1453100,77.820946
"2021-06-01",79.760002,80.309998,79.300003,80.099998,2194200,78.408264
"2021-06-02",80.5,80.989998,79.669998,80.269997,1901200,78.574684
"2021-06-03",79.980003,80.18,78.25,79.169998,2136200,77.497902
"2021-06-04",79.260002,79.519997,78.330002,78.650002,1461000,76.988899
"2021-06-07",78.57,78.970001,77.650002,78.330002,1401300,76.675652
"2021-06-08",78.230003,78.489998,77.519997,78.32,1869500,76.665855
"2021-06-09",77.980003,78,77.309998,77.400002,1415500,75.765297
"2021-06-10",77.580002,77.650002,76.919998,76.940002,1189200,75.315018
"2021-06-11",77.139999,77.400002,76.610001,77.370003,1306900,75.735931
"2021-06-14",77.150002,77.5,76.489998,77.349998,1204000,75.716354
"2021-06-15",77.5,77.760002,75.650002,75.720001,1643700,74.120773
"2021-06-16",75.690002,75.800003,74.459999,74.639999,1941900,73.063583
"2021-06-17",74.639999,74.860001,73.470001,73.879997,2285600,72.319641
"2021-06-18",73.379997,73.410004,72.190002,72.760002,3017900,71.223289
"2021-06-21",73,73.620003,72.720001,73.57,1591900,72.01619
"2021-06-22",73.910004,74.839996,73.690002,74.209999,2017000,72.64267
"2021-06-23",74.389999,74.5,73.82,73.830002,1067800,72.270699
"2021-06-24",73.669998,74.470001,73.260002,74.279999,1873900,72.711182
"2021-06-25",74.300003,74.559998,73.629997,74.5,1653600,72.926537
"2021-06-28",74.559998,74.790001,73.330002,73.599998,1337600,72.045555
"2021-06-29",73.830002,74.209999,73.160004,73.32,1279000,71.771477
"2021-06-30",73.400002,73.849998,73.110001,73.760002,1423700,72.202171
"2021-07-01",73.93,74.459999,73.650002,73.839996,1298000,72.280479
"2021-07-02",73.879997,73.959999,73.330002,73.620003,1047400,72.065132
"2021-07-06",73.019997,73.300003,72.639999,73.029999,1911300,71.487587
"2021-07-07",72.830002,73.809998,72.599998,73.389999,1531000,71.839981
"2021-07-08",72.760002,73.07,72.309998,72.639999,1364100,71.105827
"2021-07-09",72.980003,73.769997,72.980003,73.550003,1430900,71.996613
"2021-07-12",73.330002,73.5,72.110001,72.550003,1624100,71.017731
"2021-07-13",72.669998,73.160004,71.610001,71.769997,1518200,70.254196
"2021-07-14",71.860001,72,70.68,71.169998,2256900,69.66687
"2021-07-15",70.75,71.849998,70.660004,71.769997,1478200,70.254196
"2021-07-16",72.089996,72.239998,71.290001,71.400002,1475200,69.892021
"2021-07-19",70.709999,71.349998,70.089996,70.919998,1750100,69.422157
