"","JBHT.Open","JBHT.High","JBHT.Low","JBHT.Close","JBHT.Volume","JBHT.Adjusted"
"2020-11-03",123.839996,129.169998,123.839996,128.720001,847700,126.978081
"2020-11-04",129,129.740005,125.779999,125.940002,907200,124.235695
"2020-11-05",126.989998,127.75,124.529999,125.959999,1058500,124.522385
"2020-11-06",125.959999,126.510002,123.709999,124.550003,851400,123.128471
"2020-11-09",128.559998,129.720001,124.239998,124.309998,1286600,122.891205
"2020-11-10",124,129.699997,121.849998,128.690002,1890100,127.221237
"2020-11-11",129.789993,130.190002,126.300003,127.959999,888100,126.499557
"2020-11-12",128.300003,128.539993,126.050003,126.989998,810300,125.540611
"2020-11-13",127.900002,131.169998,127.360001,129.149994,490800,127.675964
"2020-11-16",130.080002,132.929993,129.600006,132.589996,628400,131.076691
"2020-11-17",131.460007,134.259995,130.080002,133.039993,557400,131.521561
"2020-11-18",133.050003,134.770004,131.539993,132.210007,514000,130.70105
"2020-11-19",131.940002,134.300003,130.509995,133.779999,587500,132.253128
"2020-11-20",133.320007,135.309998,133.089996,133.839996,677900,132.312439
"2020-11-23",134.460007,135.360001,132.050003,133.830002,671700,132.302536
"2020-11-24",133.820007,137.279999,133.229996,136.679993,530400,135.12001
"2020-11-25",136.279999,136.589996,134.229996,135.850006,508400,134.299515
"2020-11-27",136.059998,136.789993,134.75,135.289993,252200,133.74588
"2020-11-30",135.779999,136.75,134.520004,135.279999,585900,133.735992
"2020-12-01",135.130005,137.309998,134.559998,135.660004,644300,134.111679
"2020-12-02",135.639999,135.820007,133.490005,135.029999,417400,133.488861
"2020-12-03",134.479996,136.369995,134.059998,134.380005,502800,132.846283
"2020-12-04",134.979996,137.550003,134.5,137.240005,561000,135.673645
"2020-12-07",137.100006,139.309998,136.550003,138.520004,743400,136.939026
"2020-12-08",138.649994,140.25,138.279999,139.619995,816800,138.026474
"2020-12-09",139.979996,140.949997,138.860001,139.509995,622700,137.917725
"2020-12-10",138.470001,138.800003,136,137.020004,537000,135.456146
"2020-12-11",136.330002,139.380005,136.330002,138.889999,618900,137.304794
"2020-12-14",140.169998,140.320007,133.770004,133.779999,576900,132.253128
"2020-12-15",134.740005,136.360001,133.619995,136.100006,571000,134.546661
"2020-12-16",136.410004,137.949997,135.130005,137.679993,507300,136.108612
"2020-12-17",137.830002,138.979996,136.509995,138.710007,739700,137.126862
"2020-12-18",139.330002,140.960007,138.5,140.460007,949000,138.856888
"2020-12-21",138.899994,141.410004,137.240005,140.779999,481400,139.173233
"2020-12-22",140.529999,141.029999,139.449997,139.860001,427200,138.263748
"2020-12-23",140.419998,141.139999,137.860001,138.440002,449300,136.85994
"2020-12-24",138.110001,138.649994,136.720001,137.419998,245300,135.851593
"2020-12-28",138.759995,139.119995,136.429993,136.740005,493100,135.179352
"2020-12-29",137.5,138.270004,135.649994,136.100006,491100,134.546661
"2020-12-30",135.910004,136.779999,134.949997,135.440002,395000,133.89418
"2020-12-31",135.410004,136.789993,135.029999,136.649994,361000,135.090347
"2021-01-04",136.229996,137.800003,133.979996,134.839996,834000,133.301041
"2021-01-05",135.149994,138.940002,134.380005,138.070007,678800,136.494186
"2021-01-06",142.690002,147.809998,141.630005,147.289993,928700,145.608917
"2021-01-07",147.619995,150.789993,146.199997,148.470001,880800,146.775452
"2021-01-08",149.139999,152.690002,148.369995,149.350006,675200,147.645416
"2021-01-11",149.070007,150.009995,147.649994,148.139999,456800,146.449219
"2021-01-12",148.229996,149.839996,147.100006,149.029999,644000,147.329056
"2021-01-13",150.320007,150.800003,147.869995,149.220001,726200,147.516907
"2021-01-14",150.669998,153.419998,150.089996,151.949997,632200,150.215744
"2021-01-15",151.5,152.089996,148.380005,151.509995,689800,149.780762
"2021-01-19",154.539993,156.740005,148,148.520004,1251900,146.824905
"2021-01-20",142.869995,150.789993,141.169998,150.020004,2103100,148.3078
"2021-01-21",150.309998,150.75,146.389999,147.300003,871700,145.618835
"2021-01-22",147,147.270004,144.949997,146.139999,617100,144.472046
"2021-01-25",146.25,147.759995,143.759995,146.740005,594900,145.065216
"2021-01-26",142.839996,146.509995,142.839996,143.460007,641600,141.822662
"2021-01-27",141.490005,142.389999,135.470001,135.729996,846600,134.180893
"2021-01-28",136.479996,139.630005,135.460007,136.779999,503100,135.218872
"2021-01-29",137.559998,137.559998,134.009995,134.660004,677700,133.123077
