"","SPG.Open","SPG.High","SPG.Low","SPG.Close","SPG.Volume","SPG.Adjusted"
"2020-08-24",65.050003,68.519997,63.860001,68.5,5515800,61.627926
"2020-08-25",69.360001,70.139999,66.519997,68.650002,5053500,61.762882
"2020-08-26",68.480003,68.610001,65.75,66.309998,4363500,59.657623
"2020-08-27",66.620003,69.099998,66.620003,67.57,4207400,60.791218
"2020-08-28",68.099998,69.900002,66.949997,69.839996,3676900,62.833485
"2020-08-31",69.809998,69.830002,67.440002,67.849998,4089900,61.043125
"2020-09-01",66.650002,67.879997,65.900002,67.199997,3485200,60.458347
"2020-09-02",66.639999,68.029999,65.959999,67.839996,3595200,61.03413
"2020-09-03",68.5,70.980003,66.870003,68,5310100,61.178093
"2020-09-04",69.5,72.480003,68.839996,70.239998,6858400,63.193356
"2020-09-08",69.459999,70.75,68.790001,70.050003,3899300,63.02243
"2020-09-09",69.940002,70.169998,67.959999,68.860001,4332700,61.951809
"2020-09-10",68.589996,69.830002,66,66.190002,4586200,59.549664
"2020-09-11",66.440002,66.459999,63.380001,64.150002,5096600,57.714329
"2020-09-14",65,67.93,64.529999,67.800003,3529100,60.998154
"2020-09-15",68.029999,71.830002,67.690002,71.07,6836300,63.94009
"2020-09-16",71.029999,75.199997,70.040001,74.120003,8906800,66.68412
"2020-09-17",71.470001,74.239998,70.879997,71.879997,4973200,64.668831
"2020-09-18",71.440002,71.900002,69.589996,69.830002,5821500,62.82449
"2020-09-21",67.07,67.220001,64.349998,64.870003,7010300,58.362099
"2020-09-22",65.019997,67.07,64.75,65.110001,6154600,58.578018
"2020-09-23",65.580002,66.800003,62.720001,62.889999,4440600,56.58073
"2020-09-24",62.049999,64.160004,59.599998,62.830002,5337500,56.526756
"2020-09-25",62,63.93,62,63.580002,2601500,57.201504
"2020-09-28",65.800003,66.540001,64.800003,65.790001,3771800,59.189796
"2020-09-29",65.330002,65.339996,62.900002,63.990002,3816800,57.570381
"2020-09-30",64.150002,66.120003,63.700001,64.68,4188200,58.191158
"2020-10-01",64.839996,66.559998,64.25,66.529999,3426200,59.855568
"2020-10-02",64.129997,68.5,64.050003,68.199997,5346800,61.358017
"2020-10-05",68.709999,69.330002,67.419998,68.760002,3688200,61.861843
"2020-10-06",69.75,72.629997,69.010002,69.980003,6512200,62.95945
"2020-10-07",70.32,72.160004,69.800003,71.029999,4167200,63.90411
"2020-10-08",70.830002,71.230003,69.400002,70.07,3721700,64.215698
"2020-10-09",70.139999,70.349998,67.510002,67.720001,3825400,62.062046
"2020-10-12",67.639999,68.110001,66.699997,68.019997,3040800,62.336979
"2020-10-13",66.970001,67.330002,65.470001,65.82,3705400,60.320786
"2020-10-14",65.889999,66.540001,65.260002,65.720001,2766800,60.229145
"2020-10-15",64.709999,66.519997,64.589996,65.120003,2900600,59.679276
"2020-10-16",65.529999,65.699997,64.150002,64.82,3939100,59.404339
"2020-10-19",65,65.349998,63.84,63.91,3587400,58.570366
"2020-10-20",64.889999,66.080002,64.43,64.459999,2902200,59.074413
"2020-10-21",64.120003,65.010002,63.34,64.209999,3137900,58.845299
"2020-10-22",64.010002,66.540001,63.900002,66.349998,2901400,60.806503
"2020-10-23",66.75,67.800003,65.919998,66.879997,3194500,61.292217
"2020-10-26",66.010002,66.099998,63.869999,64.68,3852700,59.276035
"2020-10-27",64.110001,64.580002,61.950001,61.98,3795000,56.801617
"2020-10-28",60.27,61.630001,59.349998,60.759998,6595600,55.68354
"2020-10-29",60.689999,64.110001,60.169998,63.41,5851500,58.112137
"2020-10-30",62.98,63.619999,60.830002,62.810001,3704500,57.562275
"2020-11-02",62.959999,64.879997,62.59,64.709999,3666000,59.303528
"2020-11-03",65.599998,66,64.400002,64.989998,3552600,59.560131
"2020-11-04",64.900002,64.910004,62.119999,62.279999,4431700,57.076546
"2020-11-05",62.93,64.099998,62.459999,63.470001,3283400,58.167133
"2020-11-06",63.5,64.830002,61.639999,61.860001,4872900,56.691647
"2020-11-09",74.870003,82.5,73.099998,79.099998,24996200,72.491257
"2020-11-10",76.699997,84.489998,75.309998,78.839996,14440400,72.252975
"2020-11-11",77.980003,78.5,72.519997,73.410004,6844600,67.276657
"2020-11-12",71.660004,72.629997,68.010002,69.139999,8143000,63.363403
"2020-11-13",71.629997,75.150002,70.800003,74.699997,7732900,68.458862
"2020-11-16",79.949997,82.419998,78.849998,78.959999,13224900,72.362961
"2020-11-17",77.949997,81.330002,76.980003,78.959999,6171800,72.362961
"2020-11-18",77.870003,81.040001,76.599998,76.610001,7493300,70.20929
"2020-11-19",75.989998,81.330002,75.489998,80.629997,16282200,73.893417
"2020-11-20",80.480003,81.790001,79.260002,81.120003,9733700,74.342484
"2020-11-23",84.75,86.300003,82.300003,85.410004,10874800,78.274071
"2020-11-24",88.739998,91.370003,88.419998,88.790001,9742200,81.371658
"2020-11-25",88.410004,88.879997,86.300003,87.190002,5973300,79.90535
"2020-11-27",87.959999,88.599998,85.529999,85.550003,2305900,78.402359
"2020-11-30",85.32,86.900002,82.400002,82.57,6987300,75.671341
"2020-12-01",84.650002,86.290001,83.889999,84.989998,4869700,77.889145
"2020-12-02",83.730003,87.989998,82.599998,87.25,4333200,79.96032
"2020-12-03",87.889999,91.699997,87.290001,89.629997,5490000,82.141479
"2020-12-04",92.239998,94.360001,90.709999,93.910004,5268500,86.063889
"2020-12-07",93.699997,93.800003,89,89.370003,6097000,81.903206
"2020-12-08",89.730003,91.949997,88.5,90.110001,4603100,82.581375
"2020-12-09",90.620003,92.160004,89.190002,90.839996,4596400,83.250389
"2020-12-10",89.120003,90.959999,89.080002,90.440002,3046000,82.883797
"2020-12-11",89.209999,89.93,86.290001,87.900002,4907600,80.556023
"2020-12-14",90,90.18,86.760002,87.32,4841400,80.024483
"2020-12-15",88.440002,89.760002,87.220001,89.739998,5295100,82.242287
"2020-12-16",88.339996,90.300003,88.129997,88.279999,3371600,80.904274
"2020-12-17",89.190002,89.230003,87.489998,89.029999,3002000,81.591606
"2020-12-18",88.739998,89.07,84.919998,85.43,6377100,78.292389
"2020-12-21",83.949997,84.5,82.25,83.650002,4629100,76.66111
"2020-12-22",85.5,85.559998,82.019997,83.720001,4139900,76.725266
"2020-12-23",83.339996,85.25,83.209999,83.650002,2768600,77.87027
"2020-12-24",84,84.589996,83.050003,84.370003,810700,78.540527
"2020-12-28",84.529999,86.150002,84.510002,85.480003,3105000,79.57383
"2020-12-29",85.790001,86.57,82.940002,83.290001,2281200,77.535141
"2020-12-30",83.209999,85.550003,83.209999,83.970001,2791400,78.168159
"2020-12-31",83.519997,85.349998,82.360001,85.279999,2488300,79.387642
"2021-01-04",85.660004,86.239998,82.059998,82.809998,4299400,77.088303
"2021-01-05",83.150002,84.32,82.93,83.169998,4647900,77.423424
"2021-01-06",84,86.480003,83.75,85.07,8356300,79.192154
"2021-01-07",85.839996,87.239998,84.510002,85.129997,4227800,79.248009
"2021-01-08",85.339996,86.5,83.699997,86.489998,3692500,80.514038
"2021-01-11",85.540001,85.599998,82.849998,83.139999,3988200,77.395515
"2021-01-12",83.839996,85.989998,83.209999,85.43,4103400,79.527283
"2021-01-13",85.400002,89.279999,85.400002,88.870003,4295600,82.729591
"2021-01-14",89.419998,95.75,89.309998,94.949997,7465800,88.389496
"2021-01-15",94,94.239998,92.330002,93,4006500,86.574234
"2021-01-19",93.099998,93.779999,90.739998,92.669998,3094500,86.267036
"2021-01-20",92.330002,96.010002,92.019997,95.290001,3904100,88.706017
"2021-01-21",94.989998,95.760002,93.699997,94.510002,3059400,87.979912
"2021-01-22",93,96,92.050003,95.489998,3692700,88.892197
"2021-01-25",94.660004,100.169998,94,97.480003,5322700,90.744705
"2021-01-26",98.5,99.660004,96.639999,99.050003,3720100,92.206223
"2021-01-27",98.230003,103.5,96.089996,96.639999,5775900,89.962738
"2021-01-28",97.239998,99.029999,96.690002,97.510002,3124700,90.772629
"2021-01-29",97.190002,97.830002,92.110001,92.93,4517400,86.509079
"2021-02-01",93.43,93.599998,90.559998,92.940002,3774100,86.518387
"2021-02-02",94.110001,94.110001,91.360001,92.459999,2987200,86.071564
"2021-02-03",92.360001,93.75,91.019997,93.379997,2986900,86.927986
"2021-02-04",93.379997,96.239998,93.379997,95.160004,2794000,88.585007
"2021-02-05",96.410004,97.900002,95.919998,96.75,2547700,90.065132
"2021-02-08",97.599998,99.470001,96.660004,98.940002,4464400,92.103821
"2021-02-09",102.5,105.010002,101.349998,102.550003,6002200,95.464394
"2021-02-10",104.389999,108.650002,103.099998,106.220001,4318300,98.880821
"2021-02-11",108.150002,111.419998,107.25,109.269997,4696700,101.72007
"2021-02-12",108.529999,110.639999,107.709999,109.260002,2264400,101.710777
"2021-02-16",108.940002,111.419998,108.629997,109.980003,3719700,102.38102
"2021-02-17",109.5,110.489998,107.099998,108.230003,2752700,100.751938
"2021-02-18",107.389999,108.639999,105.720001,106.519997,3314300,99.16008
"2021-02-19",107.419998,109.93,106.699997,109.43,3073300,101.869019
"2021-02-22",108.93,115.330002,108.93,112.769997,4256300,104.978241
"2021-02-23",115.379997,115.940002,110.059998,115.120003,4174400,107.165871
"2021-02-24",115.040001,121.129997,114.5,119,4698100,110.777794
"2021-02-25",119.849998,121.309998,113.650002,114.82,4935000,106.886597
"2021-02-26",113.870003,116.459999,111.260002,112.919998,3964400,105.117889
"2021-03-01",116.199997,117.849998,113.839996,113.919998,3604600,106.048782
"2021-03-02",113.839996,114.110001,111.339996,111.68,3371900,103.963562
"2021-03-03",112.099998,115.730003,112.050003,113.989998,4274600,106.113953
"2021-03-04",114.029999,115.160004,106.75,110.110001,5024200,102.502045
"2021-03-05",111.559998,112.290001,104.120003,111.169998,4576600,103.488792
"2021-03-08",112.389999,114.970001,111.169998,111.699997,3387300,103.982178
"2021-03-09",112.199997,112.75,108.709999,111,2863400,103.330551
"2021-03-10",110.940002,114.93,110.690002,114.309998,2989700,106.411842
"2021-03-11",114.459999,117.019997,113.269997,115.839996,5177900,107.836121
"2021-03-12",115.75,118.029999,115.599998,117.849998,2619900,109.707245
"2021-03-15",118.150002,121.919998,116.849998,121.010002,3816100,112.648911
"2021-03-16",121,121.110001,116.75,117.190002,3633300,109.092857
"2021-03-17",116.82,118.660004,116.459999,118.239998,2232400,110.070297
"2021-03-18",117.639999,120.82,115.629997,116.82,6079000,108.748421
"2021-03-19",117.209999,118.459999,114.110001,116.690002,4471200,108.627411
"2021-03-22",116.510002,116.879997,113.839996,115.25,2725900,107.286888
"2021-03-23",114.660004,114.959999,109.519997,110.410004,3682200,102.781311
"2021-03-24",111.120003,114.279999,109.389999,109.400002,3428000,101.841103
"2021-03-25",107.809998,114.150002,106.68,113.639999,3852100,105.788139
"2021-03-26",114.699997,116.660004,112.209999,114.669998,2674100,106.746979
"2021-03-29",114.410004,115.239998,110.959999,113.809998,3331400,105.946396
"2021-03-30",113.980003,116.449997,113.699997,115.389999,2087800,107.417229
"2021-03-31",114.610001,115.650002,113.470001,113.769997,2507100,105.909157
"2021-04-01",114.989998,115.349998,112.629997,115.199997,2858600,107.240349
"2021-04-05",116,116,113.269997,115.050003,2911900,107.100716
"2021-04-06",114.730003,116.860001,114.510002,116.489998,2500000,108.441216
"2021-04-07",117.050003,117.709999,115.120003,117.010002,2541100,108.925285
"2021-04-08",115.059998,115.639999,113.610001,114.330002,2364300,107.626213
"2021-04-09",114.690002,116.209999,114.040001,115.910004,1669900,109.113564
"2021-04-12",116.410004,116.870003,113.440002,114.739998,2994200,108.012177
"2021-04-13",113.699997,114.099998,111.300003,113.379997,3681700,106.731918
"2021-04-14",113.709999,115.75,113.559998,113.760002,2657400,107.089638
"2021-04-15",115,115.559998,113.620003,114.57,2314100,107.852135
"2021-04-16",116.510002,118.5,115.93,117.120003,3249500,110.252617
"2021-04-19",116.599998,116.889999,114.949997,116.559998,1753600,109.725449
"2021-04-20",115.510002,116.419998,113.120003,114.260002,2180100,107.56031
"2021-04-21",113.970001,117.900002,112.610001,117.629997,2467900,110.732704
"2021-04-22",117.779999,119.059998,115.57,115.650002,2591400,108.86882
"2021-04-23",116.309998,117.120003,115.410004,116.919998,2348000,110.064346
"2021-04-26",118.900002,121.699997,118.43,120.169998,3268400,113.123779
"2021-04-27",120.959999,123.300003,119.459999,122.360001,3301100,115.185371
"2021-04-28",122.669998,125.419998,122.650002,123.099998,2297900,115.881966
"2021-04-29",124.269997,125.550003,121.769997,123.330002,2281400,116.098488
"2021-04-30",122.93,123.099998,120.93,121.739998,2751900,114.601715
"2021-05-03",122.690002,123.830002,121.639999,123.199997,2627800,115.976112
"2021-05-04",123.040001,123.959999,120.400002,121.360001,2730600,114.244003
"2021-05-05",120.959999,122.650002,120.339996,120.919998,2454000,113.829803
"2021-05-06",121.139999,122.980003,120.279999,122.919998,2044200,115.712532
"2021-05-07",122.330002,125,121.800003,124.940002,2686000,117.614082
"2021-05-10",125.989998,128.25,125.639999,126.75,5105100,119.317955
"2021-05-11",121.769997,123.970001,119.57,122.639999,5664400,115.448952
"2021-05-12",122.639999,123.360001,117.209999,117.620003,3294000,110.723297
"2021-05-13",117.620003,121.309998,116.529999,117.989998,3583900,111.071602
"2021-05-14",118.75,122.949997,118.75,122.18,2477500,115.015923
"2021-05-17",122,123.18,121.209999,122.239998,1609700,115.072403
"2021-05-18",122.010002,123.849998,120.720001,122.57,2552300,115.383049
"2021-05-19",120.150002,122.32,118.410004,122.269997,2048800,115.100632
"2021-05-20",122.029999,123.089996,120.75,122.57,1669800,115.383049
"2021-05-21",122.839996,124.309998,121.949997,122.379997,1854500,115.204185
"2021-05-24",123.199997,124.980003,122.309998,124.639999,1975800,117.331665
"2021-05-25",125,126.690002,124.18,124.400002,1671900,117.105751
"2021-05-26",124.660004,127.019997,123.800003,126.699997,1765800,119.270882
"2021-05-27",127.5,128.720001,127.099998,128.289993,3172100,120.767654
"2021-05-28",128.830002,129.199997,127.660004,128.490005,1929200,120.95594
"2021-06-01",129.699997,134.210007,129.699997,134.190002,3726900,126.321709
"2021-06-02",134.380005,135.509995,132.350006,135.190002,2685700,127.263077
"2021-06-03",134.380005,134.75,132.029999,134.059998,2060900,126.199341
"2021-06-04",134.649994,134.929993,131.619995,132.270004,1952200,124.514297
"2021-06-07",132.139999,134.25,131.770004,134,1796900,126.142853
"2021-06-08",134.610001,136.699997,133.899994,135.710007,2590900,127.752586
"2021-06-09",136.410004,136.630005,135.309998,135.589996,2075600,127.639633
"2021-06-10",135.759995,136.570007,132.699997,134.539993,2225700,126.651169
"2021-06-11",134.699997,134.839996,133.320007,134.229996,1976100,126.359367
"2021-06-14",134.190002,135.199997,132.089996,133.279999,1474600,125.465057
"2021-06-15",132.649994,133.610001,130.300003,131.289993,2453700,123.591759
"2021-06-16",130.979996,132.509995,130.039993,130.729996,1820700,123.06459
"2021-06-17",130.369995,130.960007,126.050003,128.660004,2784300,121.115967
"2021-06-18",127.050003,128.210007,125.279999,125.330002,4232300,117.981224
"2021-06-21",126.919998,131.820007,126.400002,131.5,2335500,123.789436
"2021-06-22",131.190002,131.399994,129.229996,130.25,1971400,122.612724
"2021-06-23",131.339996,132.990005,130.809998,132.210007,1805300,124.457802
"2021-06-24",132.800003,132.880005,129.880005,130.619995,2019600,122.961029
"2021-06-25",131.009995,131.600006,129.850006,131.070007,2322900,123.384666
"2021-06-28",131,131.029999,128.25,130.199997,1904200,122.565666
"2021-06-29",130.610001,132.220001,130.580002,130.990005,2201500,123.309341
"2021-06-30",130.580002,132.279999,130.25,130.479996,2720200,122.829231
"2021-07-01",129.399994,132.889999,129.070007,131.539993,2550400,125.170113
"2021-07-02",131.440002,132.070007,129.179993,129.630005,1529300,123.352615
"2021-07-06",129.100006,129.350006,126.080002,127.639999,3143700,121.458977
"2021-07-07",127.120003,127.309998,124.099998,125.790001,2607600,119.698578
"2021-07-08",123.5,126.269997,122.010002,125.089996,2630900,119.032455
"2021-07-09",127,129.779999,126.68,129.690002,1790100,123.409714
"2021-07-12",128.600006,130.779999,128.059998,130.270004,1263300,123.961609
"2021-07-13",129.580002,130.039993,126.43,126.610001,1742700,120.478859
"2021-07-14",126.5,128.649994,126.150002,127.449997,1556800,121.278175
"2021-07-15",126.830002,127.809998,125.290001,126.540001,1585200,120.412239
"2021-07-16",127.620003,127.830002,124.32,124.5,1741600,118.471031
"2021-07-19",120.080002,120.57,114.720001,117.190002,5454200,111.51503
"2021-07-20",119,126.150002,118.260002,125.629997,3821600,119.546303
"2021-07-21",126.830002,129.220001,126.699997,127.93,2247900,121.734932
"2021-07-22",127.529999,127.529999,124.410004,125.099998,1709600,119.041977
"2021-07-23",126.059998,126.660004,122.849998,124.150002,1364500,118.137978
"2021-07-26",124,127.239998,123.839996,127.029999,1905400,120.87851
"2021-07-27",126.089996,126.830002,124.849998,125.870003,1960700,119.774696
"2021-07-28",126.330002,126.910004,123.910004,125.220001,1642100,119.156174
"2021-07-29",125.970001,128.300003,125.720001,125.919998,1793000,119.822273
"2021-07-30",126.080002,128.119995,125.5,126.519997,2194700,120.393211
"2021-08-02",128.199997,130.839996,126.019997,126.32,2285100,120.202896
"2021-08-03",128.990005,130.970001,127.040001,129.539993,3366800,123.266968
"2021-08-04",130.070007,132.330002,128.259995,128.699997,3112900,122.467651
"2021-08-05",130.130005,134.75,129.490005,134.029999,3351300,127.539536
"2021-08-06",134.559998,136.050003,134.020004,135.199997,2285400,128.652878
"2021-08-09",134.380005,134.449997,132.710007,132.860001,1652300,126.426208
"2021-08-10",132.690002,133.529999,131.270004,132.110001,1688300,125.712524
"2021-08-11",132.949997,134.070007,131.169998,133.509995,1415800,127.044701
"2021-08-12",133.770004,134.279999,132.25,133.850006,1832800,127.368279
"2021-08-13",134.369995,134.839996,133.179993,133.669998,1441200,127.19696
"2021-08-16",132.800003,133.669998,130.550003,130.970001,1797800,124.627724
"2021-08-17",129.229996,129.330002,125.93,128.110001,2164200,121.906219
"2021-08-18",127.5,129.660004,126.089996,128,1489400,121.801544
"2021-08-19",126.040001,129.220001,126,128.460007,1979000,122.239281
"2021-08-20",127.300003,129.429993,126.610001,128.770004,1701600,122.534256
"2021-08-23",129.619995,131.100006,128.929993,129.460007,2111900,123.190849
"2021-08-24",130.410004,132.699997,130.229996,132.559998,1851600,126.140724
"2021-08-25",132.600006,134.520004,131.630005,132.539993,1746600,126.121696
"2021-08-26",132.410004,132.740005,130.639999,131.039993,1268800,124.694328
"2021-08-27",132.580002,135.149994,132.360001,133.690002,1691700,127.216019
"2021-08-30",133.800003,134.009995,131.929993,133.410004,1428200,126.949577
"2021-08-31",133.089996,135.199997,132.759995,134.449997,2326600,127.939201
"2021-09-01",134.449997,136.449997,134.259995,135.809998,1706100,129.233353
"2021-09-02",136.089996,137.380005,135.389999,136.419998,1859700,129.813797
"2021-09-03",136.169998,136.179993,134.25,135.75,1595800,129.176254
"2021-09-07",134.960007,135.699997,133.229996,134.580002,1788300,128.062897
"2021-09-08",132.5,133.839996,130.770004,132.139999,1695600,127.158348
"2021-09-09",130.75,132.139999,129.960007,130.639999,1598800,125.71489
"2021-09-10",131.270004,131.309998,127.889999,127.900002,1879800,123.078186
"2021-09-13",129.669998,131.869995,128.350006,131.119995,1843600,126.176796
"2021-09-14",131.449997,131.990005,128.679993,129.559998,1291700,124.675606
"2021-09-15",129.479996,131.970001,128.690002,131.149994,1560900,126.205658
"2021-09-16",131.860001,133.779999,131.149994,132.669998,1297600,127.66835
"2021-09-17",132.220001,133.300003,131.149994,131.270004,3153700,126.321152
"2021-09-20",128.160004,130.360001,127.07,129.520004,2525600,124.637123
"2021-09-21",130.740005,132.600006,130.350006,130.380005,1616300,125.464699
"2021-09-22",132.399994,134.899994,131.850006,133.639999,1955500,128.601791
"2021-09-23",134.5,136.470001,134.320007,135.119995,2364000,130.026001
"2021-09-24",134.649994,136.25,133.820007,133.850006,1362200,128.803894
"2021-09-27",134.649994,137.240005,134.009995,134.149994,1960700,129.09256
"2021-09-28",134.080002,135.119995,133.190002,133.710007,1641200,128.669159
"2021-09-29",134.029999,134.509995,133.199997,133.850006,1086100,128.803894
"2021-09-30",134.5,134.5,129.419998,129.970001,3053500,125.070152
"2021-10-01",131.559998,134.160004,130.149994,133.139999,2160400,128.120636
"2021-10-04",132.690002,134,131.589996,132.25,1487600,127.264206
"2021-10-05",132.240005,132.270004,130.419998,131.389999,1499700,126.436615
"2021-10-06",130.270004,132.649994,128.600006,132.610001,2199100,127.610619
"2021-10-07",133.020004,136.199997,132.949997,134.009995,1798500,128.95784
"2021-10-08",133.979996,135.100006,131.759995,132.080002,1715200,127.100594
"2021-10-11",131.759995,133.679993,131.020004,132.619995,1081800,127.620247
"2021-10-12",132.279999,135.25,131.330002,134.770004,1324400,129.689194
"2021-10-13",135,137.559998,134.220001,137.149994,2994100,131.979446
"2021-10-14",138.25,139.899994,137.509995,139.330002,2281500,134.077286
"2021-10-15",140,141.660004,139.330002,140.220001,2443400,134.933731
"2021-10-18",140.279999,144.789993,139.899994,144.529999,3335500,139.081238
"2021-10-19",145,145.009995,142.690002,142.839996,1709400,137.454956
"2021-10-20",142.199997,144.979996,142.070007,144.960007,1543800,139.495041
"2021-10-21",144.5,145.039993,143.380005,143.960007,1367500,138.53273
"2021-10-22",144.779999,145.600006,144,145.139999,1217800,139.668243
"2021-10-25",145,146.899994,143.75,146.830002,1537200,141.294525
"2021-10-26",147,147.770004,145.479996,146.369995,1973700,140.851868
"2021-10-27",146.350006,146.460007,143.699997,143.929993,1178000,138.503845
"2021-10-28",144.550003,147.229996,143.839996,147.119995,1627900,141.573593
"2021-10-29",146.449997,147.740005,145.679993,146.580002,2778300,141.053955
"2021-11-01",147.410004,149.410004,147.190002,149.360001,2605400,143.729156
"2021-11-02",157,159.970001,154.449997,158.990005,5642000,152.996109
"2021-11-03",158.940002,166.789993,158.740005,166.240005,4226300,159.972778
"2021-11-04",166.440002,167.669998,164.520004,165.710007,2282800,159.462753
"2021-11-05",168.429993,170.910004,167.270004,170.5,2501600,164.072174
"2021-11-08",170.649994,171.009995,166.259995,167.389999,1642700,161.079422
"2021-11-09",167.320007,167.580002,165.539993,167.490005,1383600,161.175659
"2021-11-10",166.690002,167.690002,163.779999,163.970001,1824700,157.788361
"2021-11-11",164.5,166.309998,163.910004,165.440002,1175700,159.202942
"2021-11-12",166.25,166.550003,163.899994,164.800003,1182600,158.587067
"2021-11-15",165.169998,166.320007,164.229996,166.289993,1677300,160.020889
"2021-11-16",165.75,166.289993,164.339996,164.869995,1221100,158.654419
"2021-11-17",164.229996,167.869995,162.839996,167.490005,1503100,161.175659
"2021-11-18",169.139999,171.119995,167.369995,169.380005,2459400,162.9944
"2021-11-19",167.910004,168.479996,165.860001,166.740005,1816500,160.453918
"2021-11-22",168.130005,170.649994,167.009995,167.990005,2039300,161.656815
"2021-11-23",167.889999,170.710007,167.199997,169.029999,1392500,162.657608
"2021-11-24",168.020004,169.240005,166.630005,169.029999,1358800,162.657608
"2021-11-26",160.320007,162.800003,158.279999,160.479996,2875400,154.429932
"2021-11-29",163.869995,164.679993,157.440002,159.940002,2890700,153.910294
"2021-11-30",157.649994,157.809998,151.75,152.839996,4264900,147.077957
"2021-12-01",156.559998,158.830002,147.639999,147.720001,3711400,142.15097
"2021-12-02",149.940002,153.979996,148.369995,151.860001,4506500,146.134903
"2021-12-03",152,152.789993,147.360001,149.190002,3639600,143.565567
"2021-12-06",152.130005,155.509995,151.520004,152.600006,2858400,146.847015
"2021-12-07",155.770004,158.699997,154.949997,156.25,2650100,150.359406
"2021-12-08",156.25,158.440002,155.380005,157.449997,2681300,151.51416
"2021-12-09",154.940002,155.580002,152.199997,152.240005,1946600,148.052094
"2021-12-10",153.479996,153.649994,150.039993,152.419998,1378300,148.227127
"2021-12-13",151.580002,152.070007,147.539993,151.100006,2416900,146.943451
"2021-12-14",151.089996,152.210007,149.850006,150.929993,2000300,146.778122
"2021-12-15",151.440002,152.190002,147.210007,152.039993,2121800,147.85759
"2021-12-16",152.75,154.839996,151.039993,151.660004,2750900,147.488052
"2021-12-17",151.509995,152.860001,148.429993,150.729996,4124800,146.583618
"2021-12-20",147.660004,148.690002,143.630005,146.270004,2665000,142.246323
"2021-12-21",148.199997,154.889999,148.070007,154.470001,2011200,150.220734
"2021-12-22",153.910004,156.009995,153.529999,155.529999,1077500,151.251587
"2021-12-23",156.5,157.380005,155.259995,155.460007,2259900,151.183517
"2021-12-27",155.449997,158.479996,154.479996,158.429993,994400,154.071808
"2021-12-28",157.559998,159.25,156.75,157.770004,966400,153.429977
"2021-12-29",158,159.300003,156.770004,158.759995,953000,154.392731
"2021-12-30",158.759995,161.869995,158.539993,160.039993,1085400,155.637512
"2021-12-31",159.990005,161.690002,159.509995,159.770004,1194700,155.374954
"2022-01-03",160.479996,162.600006,158.869995,160.300003,2128100,155.890366
"2022-01-04",162.229996,163.880005,161.800003,162.979996,1834100,158.496643
"2022-01-05",163.860001,165.830002,160.960007,161.029999,2324400,156.600281
"2022-01-06",161.830002,164.520004,160.759995,163.160004,1715700,158.671707
