"","CB.Open","CB.High","CB.Low","CB.Close","CB.Volume","CB.Adjusted"
"2021-01-19",155.029999,156.149994,155,155.360001,1434500,151.404861
"2021-01-20",155.139999,156.350006,154.119995,155.820007,1446100,151.853149
"2021-01-21",156.220001,158.75,155.619995,157.169998,2042500,153.168777
"2021-01-22",155.529999,156.229996,152.429993,152.529999,1505700,148.646896
"2021-01-25",151.339996,153.029999,150.320007,152.690002,1358300,148.802826
"2021-01-26",153.130005,153.220001,149.929993,150.199997,1155200,146.376205
"2021-01-27",148.009995,149.869995,144.360001,145.100006,1581600,141.406052
"2021-01-28",146.470001,149.149994,146.210007,147.130005,1464400,143.384369
"2021-01-29",146.009995,146.669998,144,145.669998,2200500,141.961548
"2021-02-01",147.009995,148.369995,146.179993,148.039993,1714300,144.271194
"2021-02-02",149.669998,151.960007,148.270004,150.639999,1574900,146.805008
"2021-02-03",152,155.949997,151.050003,155.320007,2574200,151.365891
"2021-02-04",157.169998,162.899994,156.559998,162.729996,3183200,158.587219
"2021-02-05",163.529999,165.139999,162.380005,162.550003,2233800,158.411819
"2021-02-08",161.720001,166.279999,161.220001,166.179993,2056200,161.949387
"2021-02-09",165.570007,166.289993,164.199997,164.529999,1555500,160.341415
"2021-02-10",164.710007,165.960007,164.009995,164.279999,1520600,160.097763
"2021-02-11",163.669998,166.520004,163.389999,165.850006,1507600,161.627823
"2021-02-12",164.460007,166.139999,161.800003,164.160004,1559000,159.98082
"2021-02-16",165.550003,165.779999,162.880005,164.559998,2007700,160.370621
"2021-02-17",163.740005,166.850006,163.360001,166.380005,1382500,162.144318
"2021-02-18",165.289993,165.899994,163.339996,164.779999,1362100,160.585052
"2021-02-19",165.820007,166.190002,164.529999,164.699997,1276800,160.507065
"2021-02-22",164.089996,169.139999,163.809998,168.559998,2468200,164.268799
"2021-02-23",169.820007,171.139999,168.059998,168.75,2095900,164.453979
"2021-02-24",168.899994,171.660004,168.220001,170.660004,1839600,166.315369
"2021-02-25",170.300003,171.110001,164.619995,164.940002,1844900,160.740936
"2021-02-26",165.199997,165.800003,162.580002,162.580002,1976800,158.441055
"2021-03-01",164.059998,168.639999,164,167.360001,1403500,163.09938
"2021-03-02",166.710007,169.789993,166.169998,167.610001,1580100,163.343002
"2021-03-03",167.710007,170.410004,167.220001,167.5,2159300,163.235809
"2021-03-04",167.460007,168,163.979996,166,2068400,161.773987
"2021-03-05",168.389999,172.539993,166.419998,171.669998,2177600,167.299637
"2021-03-08",172,176.399994,170.869995,173.229996,1782800,168.819916
"2021-03-09",172.029999,173.300003,169.460007,169.649994,1784000,165.331055
"2021-03-10",170.259995,174.050003,169.960007,173.479996,1799200,169.063553
