"","RE.Open","RE.High","RE.Low","RE.Close","RE.Volume","RE.Adjusted"
"2020-12-04",233.139999,236.089996,233.139999,234.639999,263500,226.502792
"2020-12-07",232.429993,232.490005,229.220001,230.320007,230400,222.332626
"2020-12-08",232.880005,235.300003,230.600006,234.740005,293500,226.59935
"2020-12-09",235.539993,236.75,231.850006,236,251300,227.815643
"2020-12-10",234.139999,237.070007,233.320007,235.820007,229500,227.641876
"2020-12-11",233.550003,237.190002,231.600006,231.619995,196300,223.587524
"2020-12-14",234.080002,235.399994,229.149994,229.699997,247200,221.7341
"2020-12-15",230.720001,234.110001,228.779999,233.270004,201600,225.180328
"2020-12-16",233.729996,235.889999,232.25,233.369995,242700,225.276855
"2020-12-17",233.520004,235.960007,232.839996,235.160004,291100,227.004791
"2020-12-18",235.160004,236.889999,230.639999,232.529999,466000,224.465988
"2020-12-21",232,232,224.520004,229.139999,220300,221.193542
"2020-12-22",228.440002,230.25,227.5,228.139999,173800,220.22821
"2020-12-23",229.669998,232.580002,228.979996,229.550003,133100,221.589325
"2020-12-24",229.529999,229.919998,226.240005,229.179993,77800,221.232147
"2020-12-28",230.720001,232.759995,229.800003,230.779999,172100,222.776657
"2020-12-29",232.039993,232.039993,227.899994,229.330002,127600,221.376968
"2020-12-30",229.850006,231,228.559998,230.360001,128600,222.371246
"2020-12-31",230.720001,234.399994,228.669998,234.089996,118600,225.971863
"2021-01-04",235,235.910004,226.770004,228.110001,165100,220.199249
"2021-01-05",228.080002,229.679993,225.580002,226.229996,158600,218.384445
"2021-01-06",229.630005,240.509995,229.460007,239.639999,309900,231.329391
"2021-01-07",241.240005,241.809998,238.25,241.360001,259400,232.989746
"2021-01-08",241.300003,241.860001,236.009995,238.970001,209700,230.682648
"2021-01-11",237.990005,239.720001,235.919998,237.25,215400,229.022278
"2021-01-12",238.600006,241.899994,238.139999,239.419998,163400,231.11705
"2021-01-13",238.690002,241.710007,236.919998,238.240005,162900,229.977982
"2021-01-14",239.669998,239.669998,234.130005,235.199997,197900,227.043381
"2021-01-15",233.330002,235.059998,230.589996,231.199997,268500,223.182098
"2021-01-19",230.660004,234.070007,229.729996,232.740005,235900,224.668701
"2021-01-20",231.660004,237.050003,231.25,236.580002,179300,228.375534
"2021-01-21",236.479996,237.940002,231.75,231.800003,178400,223.761307
"2021-01-22",229.720001,230.070007,225.399994,228.919998,229600,220.981201
"2021-01-25",227.270004,232.380005,226.130005,228.25,186500,220.334412
"2021-01-26",228.229996,231.410004,225.789993,227.169998,266900,219.29184
"2021-01-27",224.029999,224.460007,218.509995,218.929993,308600,211.337616
"2021-01-28",220.820007,220.820007,216.470001,217.100006,290800,209.571091
"2021-01-29",215.710007,215.710007,209.630005,211.080002,316800,203.759857
