"","FIS.Open","FIS.High","FIS.Low","FIS.Close","FIS.Volume","FIS.Adjusted"
"2021-03-12",145,146.539993,144.289993,146.289993,2566700,143.525269
"2021-03-15",146.179993,146.919998,144.710007,145.75,2232600,142.995483
"2021-03-16",145.889999,146.270004,144.449997,145.839996,2496900,143.083786
"2021-03-17",145.960007,147.059998,144.690002,144.919998,2811800,142.181168
"2021-03-18",143.289993,144.919998,142.720001,143.419998,2309500,140.709503
"2021-03-19",143.360001,144.089996,141.619995,141.740005,3778100,139.061264
"2021-03-22",141.559998,142.600006,140.600006,141.179993,2208600,138.511826
"2021-03-23",141.25,142.949997,141.110001,142.029999,2256900,139.345795
"2021-03-24",142.080002,144.220001,142.009995,143.399994,2365300,140.68988
"2021-03-25",143,143.660004,142.050003,142.820007,2936700,140.12085
"2021-03-26",142.869995,146.550003,142.580002,146.419998,3643400,143.652817
"2021-03-29",144.740005,145.550003,142.740005,143.970001,3098100,141.249146
"2021-03-30",144.929993,145.199997,142.210007,142.509995,2705700,139.816696
"2021-03-31",142.529999,143.389999,140.520004,140.610001,3237400,137.952637
"2021-04-01",141.630005,144.089996,140.639999,144.050003,2824100,141.327606
"2021-04-05",145,146.809998,144.279999,146.070007,2401400,143.309433
"2021-04-06",145.009995,146.070007,144.360001,145.479996,2559900,142.730576
"2021-04-07",145.589996,147.320007,145.589996,146.880005,2676400,144.104141
"2021-04-08",147.169998,150,147.100006,148.880005,4535500,146.066345
"2021-04-09",148.949997,149.970001,148.470001,149.929993,2639200,147.096466
"2021-04-12",149.350006,150.339996,148.910004,150.070007,2112700,147.233841
"2021-04-13",149.75,150.5,149.520004,150.139999,1782600,147.302505
"2021-04-14",149.770004,150.949997,148.259995,149.990005,1647800,147.15535
"2021-04-15",150.979996,153.100006,150.410004,152.759995,3045400,149.872986
"2021-04-16",153.580002,153.919998,151.789993,152.619995,2297100,149.735657
"2021-04-19",152.899994,153.179993,151.860001,152.220001,1615500,149.343201
"2021-04-20",152.360001,153.440002,151.75,151.779999,2858900,148.91153
"2021-04-21",152.759995,153.410004,151.610001,152.440002,2897900,149.559052
"2021-04-22",151.970001,153.679993,151.270004,152.529999,2823900,149.647339
"2021-04-23",152.270004,153.970001,152.220001,153.009995,2308500,150.118271
"2021-04-26",153.309998,155.350006,153.240005,153.839996,2319100,150.932587
"2021-04-27",154.220001,154.220001,151.919998,152.809998,2654500,149.922043
"2021-04-28",152.940002,154.789993,152.789993,154.429993,1720900,151.511429
"2021-04-29",154.550003,155.960007,153.869995,155.690002,1950500,152.747635
"2021-04-30",154.949997,155.360001,151.070007,152.899994,2740200,150.010345
"2021-05-03",153.720001,154.270004,151.820007,151.889999,2675300,149.01944
"2021-05-04",151.029999,151.710007,148.720001,150.460007,3219800,147.61647
"2021-05-05",151.550003,151.600006,147.940002,148.339996,3021900,145.53653
"2021-05-06",148.550003,153.130005,146.289993,151.800003,4422800,148.931152
"2021-05-07",152.110001,153.399994,149.779999,151.589996,3095500,148.725113
"2021-05-10",151.600006,152.330002,149.419998,149.460007,2568800,146.635361
"2021-05-11",148,148.800003,147.100006,148.039993,2580200,145.242188
"2021-05-12",146.990005,147.820007,144.470001,144.789993,3178100,142.053619
"2021-05-13",145.559998,149.440002,145.039993,148.550003,2848200,145.742554
"2021-05-14",149.649994,150.970001,149.410004,150,2315400,147.165161
"2021-05-17",149.039993,149.839996,148.289993,148.949997,1671000,146.13501
"2021-05-18",149.300003,150.100006,148.160004,148.210007,2162100,145.408997
"2021-05-19",146.949997,147.610001,145.559998,147.570007,1888300,144.781082
