"","BSX.Open","BSX.High","BSX.Low","BSX.Close","BSX.Volume","BSX.Adjusted"
"2021-03-11",39.290001,39.34,38.619999,38.650002,6470600,38.650002
"2021-03-12",38.619999,39.040001,38.509998,38.849998,5276300,38.849998
"2021-03-15",39,39.48,38.560001,39.400002,7045800,39.400002
"2021-03-16",39.330002,39.52,38.599998,38.860001,6172500,38.860001
"2021-03-17",38.950001,39.240002,38.669998,38.880001,6665600,38.880001
"2021-03-18",38.849998,38.970001,38.16,38.189999,8349700,38.189999
"2021-03-19",38.189999,38.630001,37.610001,38.169998,12334400,38.169998
"2021-03-22",38.169998,38.630001,37.950001,38.23,5845500,38.23
"2021-03-23",38.220001,38.220001,37.150002,37.240002,6119600,37.240002
"2021-03-24",37.23,38.009998,37.200001,37.580002,7334500,37.580002
"2021-03-25",37.68,37.98,37.130001,37.919998,5708600,37.919998
"2021-03-26",37.950001,38.25,37.529999,38.220001,7624400,38.220001
"2021-03-29",38.040001,38.82,38,38.59,6090900,38.59
"2021-03-30",38.400002,39.060001,38.259998,38.959999,5900600,38.959999
"2021-03-31",39,39.099998,38.529999,38.650002,5811100,38.650002
"2021-04-01",38.610001,38.779999,38,38.580002,5615300,38.580002
"2021-04-05",38.869999,39.130001,38.73,39.040001,4954600,39.040001
"2021-04-06",39.200001,39.25,38.849998,38.950001,7676500,38.950001
"2021-04-07",38.959999,39.220001,38.740002,38.849998,4861400,38.849998
"2021-04-08",38.93,39.119999,38.650002,38.720001,3992100,38.720001
"2021-04-09",38.77,39.330002,38.549999,39.32,5426100,39.32
"2021-04-12",39.259998,39.470001,38.880001,39.34,4140700,39.34
"2021-04-13",39.220001,39.48,39.099998,39.41,6582100,39.41
"2021-04-14",39.34,39.98,39.330002,39.669998,4093900,39.669998
"2021-04-15",39.880001,41.060001,39.84,40.860001,8608100,40.860001
"2021-04-16",41.139999,41.18,40.59,40.91,7527600,40.91
"2021-04-19",40.790001,40.970001,40.52,40.880001,6539400,40.880001
"2021-04-20",40.82,41.73,40.709999,41.130001,10522600,41.130001
"2021-04-21",41.240002,42.540001,41,42.310001,14811400,42.310001
"2021-04-22",42.310001,42.799999,42.029999,42.57,12019300,42.57
"2021-04-23",42.599998,42.939999,42.580002,42.73,9905800,42.73
"2021-04-26",42.810001,42.91,42.23,42.27,11175800,42.27
"2021-04-27",41.990002,42.759998,41.59,42.41,8400800,42.41
"2021-04-28",43.860001,44.630001,43.75,44.240002,16088200,44.240002
"2021-04-29",44.279999,44.299999,43.630001,44.099998,8810700,44.099998
"2021-04-30",43.84,43.959999,43.360001,43.599998,12645600,43.599998
"2021-05-03",43.599998,43.790001,43.439999,43.630001,7610600,43.630001
"2021-05-04",43.5,43.5,43.09,43.330002,9076400,43.330002
"2021-05-05",43.470001,43.669998,43.049999,43.09,6829900,43.09
"2021-05-06",43.029999,43.110001,42.619999,43.040001,8257500,43.040001
"2021-05-07",43.099998,43.830002,42.990002,43.130001,6089300,43.130001
"2021-05-10",43.16,43.610001,43.080002,43.25,6078400,43.25
