"","ADI.Open","ADI.High","ADI.Low","ADI.Close","ADI.Volume","ADI.Adjusted"
"2020-12-21",141.729996,143.389999,141.309998,142.589996,1827200,138.924011
"2020-12-22",142.729996,144.679993,142.669998,144.279999,2161600,140.570572
"2020-12-23",144.800003,145.619995,143.080002,143.220001,2200900,139.537811
"2020-12-24",144.110001,144.479996,143.009995,144.470001,466400,140.755676
"2020-12-28",146.410004,147.479996,144.440002,144.679993,1630800,140.960251
"2020-12-29",145.179993,145.240005,142.740005,143.660004,1130900,139.966507
"2020-12-30",144.649994,146.610001,144.5,146.179993,1138800,142.421707
"2020-12-31",146.5,147.830002,145.699997,147.729996,1626800,143.931854
"2021-01-04",148.449997,150.539993,144.619995,146.020004,2496600,142.265839
"2021-01-05",145.770004,148.669998,145.139999,148.630005,1513700,144.808716
"2021-01-06",147.729996,152.289993,147.110001,149.300003,2498200,145.461487
"2021-01-07",151.830002,156.210007,151.139999,155.610001,2661100,151.609253
"2021-01-08",156.020004,159.809998,155.820007,156.740005,4204900,152.71022
"2021-01-11",156.130005,159.199997,155.009995,158.300003,2609400,154.230103
"2021-01-12",157.009995,159.339996,156.520004,159.089996,2573800,154.999786
"2021-01-13",160,161.779999,158.149994,158.479996,2622900,154.405472
"2021-01-14",159.179993,160.820007,159.179993,159.460007,2028100,155.360291
"2021-01-15",158.029999,159.059998,155.529999,157.75,2338000,153.694244
"2021-01-19",158.460007,160.970001,158.300003,160.539993,2992100,156.412491
"2021-01-20",161.429993,162.979996,159.580002,159.830002,2296100,155.720764
"2021-01-21",160.610001,160.929993,157.559998,159.289993,2469500,155.194626
"2021-01-22",157.729996,158.940002,155.419998,155.580002,3147200,151.580032
"2021-01-25",157,157.289993,152.490005,153.720001,3697100,149.767853
"2021-01-26",153.929993,155.529999,152.029999,154.940002,2329100,150.956497
"2021-01-27",151.089996,152.820007,146.75,147.479996,5644400,143.688278
"2021-01-28",150.369995,151.860001,148.449997,149.210007,4352000,145.373795
"2021-01-29",148.580002,149.529999,146.649994,147.330002,3512700,143.542145
"2021-02-01",148.339996,152.259995,147.320007,151.880005,2958500,147.975159
"2021-02-02",153.020004,154.25,150.990005,151.869995,2536500,147.965424
"2021-02-03",152,152.410004,147.460007,147.580002,2703600,143.785706
"2021-02-04",147.830002,150.649994,147,150.520004,2027600,146.650131
"2021-02-05",151.720001,151.929993,148.610001,148.759995,2169300,144.935364
"2021-02-08",150.160004,153.300003,148.759995,153.199997,2295700,149.26123
"2021-02-09",152.699997,153.509995,151.729996,152.850006,1689300,148.920242
"2021-02-10",154.699997,154.789993,151.600006,153.229996,1761800,149.290436
"2021-02-11",154.610001,159.009995,154.610001,158.800003,2981500,154.717239
"2021-02-12",158.990005,161.399994,157.910004,160.779999,2387900,156.646347
"2021-02-16",162.850006,163.949997,160.360001,160.490005,3172400,156.363815
"2021-02-17",157.149994,162.110001,155,159.75,3815900,155.642822
"2021-02-18",157.940002,158.770004,155.660004,158.089996,3807700,154.025497
"2021-02-19",160.630005,164.399994,160,163.800003,2944000,159.588684
"2021-02-22",162.309998,163.410004,158.470001,159.240005,3510200,155.14595
"2021-02-23",157.360001,158.669998,153.309998,157.699997,3022200,153.645523
"2021-02-24",156.520004,161.919998,155.160004,161.759995,2748700,157.601135
"2021-02-25",158.699997,160.149994,153.289993,153.679993,3282600,150.370285
"2021-02-26",156.559998,157.75,152.259995,155.820007,5574200,152.464218
"2021-03-01",157.080002,158.779999,155.029999,158.589996,3385500,155.174576
"2021-03-02",159.410004,159.410004,154.029999,154.289993,3016500,150.967148
"2021-03-03",153.169998,155,149.520004,149.940002,2665700,146.710861
"2021-03-04",149.190002,149.589996,142.25,144.520004,4870000,141.407562
"2021-03-05",149,149.619995,143.389999,148.880005,4040100,145.67366
"2021-03-08",147.770004,149.559998,143.770004,144.059998,3996300,140.957474
"2021-03-09",148.729996,151.110001,148.169998,149.429993,5203400,146.211838
"2021-03-10",151.330002,151.520004,147.089996,147.110001,3137300,143.941788
"2021-03-11",150.350006,152.119995,149.990005,151.029999,4462100,147.777359
"2021-03-12",148.600006,149.830002,147.550003,149.539993,3658500,146.319443
"2021-03-15",149.619995,151.110001,147.960007,151,2113200,147.748032
"2021-03-16",152.339996,154.509995,151.940002,153.080002,2324600,149.783234
"2021-03-17",150.419998,154.869995,150.070007,154.160004,2852800,150.839966
"2021-03-18",151.350006,153.279999,149.279999,149.449997,3853400,146.2314
"2021-03-19",149.399994,153.210007,147.740005,151.910004,4624900,148.638428
"2021-03-22",153.220001,156.320007,153.220001,154.5,3321600,151.172653
"2021-03-23",154.589996,154.970001,149.630005,150.490005,2505200,147.249008
"2021-03-24",152.339996,153.970001,150.199997,150.440002,2792800,147.200089
"2021-03-25",148.440002,150.910004,146.509995,149.899994,2725300,146.671707
"2021-03-26",148.419998,157.369995,148,157.110001,3686200,153.726425
"2021-03-29",155.029999,156.210007,152.020004,153.850006,2779000,150.536652
"2021-03-30",152.149994,153.429993,151.5,152.610001,2114000,149.323364
"2021-03-31",154.220001,156.110001,153.610001,155.080002,3457000,151.740158
"2021-04-01",157.380005,160.490005,156.880005,160.380005,3345800,156.925995
"2021-04-05",162.160004,163.899994,160.600006,163.490005,2628400,159.96904
"2021-04-06",162.300003,163.089996,159.759995,161.710007,2422100,158.227371
"2021-04-07",161.679993,161.979996,158.630005,159.449997,2062700,156.016052
"2021-04-08",161.619995,162.229996,159.5,162.119995,2599500,158.62854
"2021-04-09",160.800003,161.970001,160.169998,161.240005,2250400,157.767487
"2021-04-12",160.639999,160.889999,158.960007,159.729996,2026700,156.290009
"2021-04-13",160.550003,160.949997,157.360001,159.160004,1704600,155.7323
"2021-04-14",157.710007,160.630005,157.649994,158.460007,1596400,155.047363
"2021-04-15",160,161.320007,158.690002,160.710007,1816000,157.248901
"2021-04-16",160.990005,161.330002,159.139999,159.509995,1861900,156.074738
"2021-04-19",158.479996,159,155.699997,156.910004,3405000,153.530746
"2021-04-20",154.899994,156.259995,153.570007,154.470001,2339700,151.143295
"2021-04-21",155.490005,158.339996,154.119995,158.289993,2713100,154.881012
"2021-04-22",157.270004,158.130005,154.910004,155.369995,2487900,152.023895
"2021-04-23",156.699997,159.970001,156.110001,159.020004,3415500,155.595306
"2021-04-26",158.630005,161.899994,158.270004,160.639999,2705500,157.180405
"2021-04-27",161.339996,161.919998,159.470001,159.550003,3232400,156.113876
"2021-04-28",158.5,158.759995,155.039993,156.059998,3304600,152.699051
"2021-04-29",156.539993,158.110001,154.009995,158.009995,5833000,154.607056
"2021-04-30",155.539993,156.309998,152.570007,153.160004,4035000,149.861511
"2021-05-03",154,154.179993,150.699997,151.320007,3265500,148.061127
"2021-05-04",150,152,148.550003,151.910004,3849600,148.638428
"2021-05-05",153.279999,155.220001,152.300003,153.929993,4415400,150.614914
"2021-05-06",153.990005,156.479996,152.860001,155.419998,4775100,152.072815
"2021-05-07",156.669998,158.350006,156.020004,157.259995,2706500,153.873199
"2021-05-10",156.830002,157.169998,150.759995,150.789993,4132300,147.542542
"2021-05-11",148.339996,152.089996,147.850006,150.839996,4643100,147.591446
"2021-05-12",147.399994,149.009995,145.649994,146.050003,4733000,142.904633
"2021-05-13",147.610001,149.330002,145.619995,146.630005,4053200,143.472153
"2021-05-14",147.990005,150.770004,146.630005,149.610001,4852100,146.38797
"2021-05-17",148.369995,148.820007,145.830002,148.100006,5079800,144.910477
"2021-05-18",149.610001,149.789993,145.809998,145.889999,4223000,142.748062
"2021-05-19",145.789993,153.330002,144.070007,153.119995,7065800,149.822372
"2021-05-20",155.369995,161.199997,154.869995,159.470001,5986500,156.035614
"2021-05-21",159.690002,160.770004,158.979996,159.360001,3526700,155.927979
"2021-05-24",160.990005,162.990005,160.729996,162.509995,3434600,159.010132
"2021-05-25",164.309998,165.169998,162.690002,163.720001,3327300,160.194077
"2021-05-26",163.720001,165.160004,162.669998,163.880005,4016300,160.350616
"2021-05-27",163.190002,165.350006,162.940002,163.210007,3469200,160.370285
"2021-05-28",163.729996,165.619995,163.080002,164.600006,2750200,161.736115
"2021-06-01",163.759995,166.320007,162.169998,163.690002,2981800,160.841934
"2021-06-02",163.860001,165.320007,163.360001,164.5,2071800,161.637848
"2021-06-03",161.639999,163.729996,161.020004,162.070007,2553700,159.250122
"2021-06-04",162.389999,166.149994,162.389999,165.580002,2443000,162.699066
"2021-06-07",164.660004,165.570007,164.009995,164.479996,1999200,161.618195
"2021-06-08",166.509995,166.509995,163.240005,164.910004,2437100,162.04071
"2021-06-09",165.419998,166.910004,164.940002,166.369995,3245400,163.475296
"2021-06-10",167.190002,167.869995,164.690002,167.339996,2905800,164.428421
"2021-06-11",167.690002,167.740005,166.440002,167.600006,2383300,164.683914
"2021-06-14",167.770004,168.440002,165.779999,168.440002,2755500,165.509293
"2021-06-15",168.429993,168.929993,167.089996,167.619995,2377800,164.703552
"2021-06-16",168.059998,168.630005,164.449997,166.020004,2360900,163.131409
"2021-06-17",166.020004,168.220001,165.089996,166.220001,2391500,163.327927
"2021-06-18",165.339996,165.339996,161.470001,162.190002,3936500,159.368027
"2021-06-21",162.570007,164.309998,162.179993,164.149994,2973200,161.293915
"2021-06-22",163.539993,164.199997,162.429993,163.669998,2983800,160.822281
"2021-06-23",163.630005,164.929993,163,163.630005,2257000,160.782974
"2021-06-24",166.199997,167.270004,165.240005,167.039993,2059900,164.133652
"2021-06-25",167.529999,169.470001,167.070007,167.660004,2959500,164.742859
"2021-06-28",168.940002,171.160004,168.440002,170.570007,2265900,167.602249
"2021-06-29",170.279999,171.839996,169.899994,171.399994,2121400,168.417786
"2021-06-30",171.149994,172.449997,170.199997,172.160004,2954400,169.164566
"2021-07-01",172.029999,172.089996,168.889999,169.169998,2865100,166.226578
"2021-07-02",170.289993,171.229996,169.630005,170.669998,1563500,167.7005
"2021-07-06",171.529999,171.529999,166.75,168.320007,2293400,165.391373
"2021-07-07",169.270004,169.429993,164.639999,165.429993,4204600,162.551651
"2021-07-08",162.309998,164.300003,160.179993,163.910004,3152500,161.058105
"2021-07-09",163.960007,166.610001,162.740005,166.270004,2346200,163.377045
"2021-07-12",166.520004,167.619995,165.669998,167.550003,2074000,164.634781
"2021-07-13",167.020004,168.360001,165.979996,167.259995,2127100,164.349808
"2021-07-14",168.669998,170,165.869995,166.160004,2012800,163.268967
"2021-07-15",165.910004,165.910004,162.320007,163.660004,3505900,160.812454
"2021-07-16",163.990005,164.75,160.259995,160.440002,2284100,157.648483
"2021-07-19",158.720001,159.610001,156.550003,158.979996,2772000,156.213867
"2021-07-20",159.339996,161.809998,157.919998,160.910004,2831100,158.110306
"2021-07-21",161.289993,164.839996,160.779999,164.839996,2076000,161.971924
"2021-07-22",162.259995,163.029999,160.830002,162.020004,3250900,159.201004
"2021-07-23",163.229996,163.839996,161.669998,163.550003,2178700,160.704376
"2021-07-26",161.270004,164.339996,161.270004,163.899994,1733600,161.048264
"2021-07-27",163.509995,163.75,159.539993,162.589996,4077700,159.761078
"2021-07-28",163.320007,164.649994,162.839996,164.039993,3632400,161.185837
"2021-07-29",164.779999,167.160004,164.539993,166.539993,3164400,163.642349
"2021-07-30",165.580002,168.199997,165.139999,167.419998,2678800,164.507034
"2021-08-02",168.639999,171.330002,167.369995,167.619995,2822000,164.703552
"2021-08-03",168.369995,169.020004,165.589996,168.679993,3271200,165.745102
"2021-08-04",168.740005,175.25,168.600006,172.580002,10201100,169.57724
"2021-08-05",173.559998,173.770004,168.830002,169.929993,3468300,166.973358
"2021-08-06",168.830002,171.889999,168.369995,171.130005,3164200,168.152481
"2021-08-09",171.059998,172.529999,169.389999,171.309998,2580800,168.329346
"2021-08-10",171.309998,171.639999,169,171,1943800,168.02475
"2021-08-11",172.039993,172.089996,168.679993,170.460007,1946400,167.494156
"2021-08-12",169.5,169.710007,166.559998,168.580002,2562100,165.646835
"2021-08-13",169.350006,170.770004,168.389999,170.080002,2040700,167.120773
"2021-08-16",169.630005,171.559998,169.470001,171.070007,2163200,168.093536
"2021-08-17",170.139999,170.139999,165.660004,166.300003,4593000,163.406525
"2021-08-18",164.899994,168.039993,161.289993,165.779999,5452700,162.895554
"2021-08-19",165.119995,166.970001,163.550003,166.789993,3451100,163.888
"2021-08-20",166.869995,168.179993,165.070007,166.639999,2913000,163.740601
"2021-08-23",170.240005,172.800003,166.059998,169.630005,13465500,166.678604
"2021-08-24",169.839996,170.360001,164.75,165.850006,8137000,162.964355
"2021-08-25",166.110001,167.929993,163.080002,164,19156400,161.14653
"2021-08-26",165,168.479996,163.690002,167.360001,7306300,165.142883
"2021-08-27",167.300003,169.809998,166.169998,166.479996,9136200,164.274536
"2021-08-30",166.970001,168.270004,166.649994,166.979996,4901600,164.767914
"2021-08-31",166.149994,166.520004,161.339996,162.949997,9136300,160.791321
"2021-09-01",163.770004,164.199997,161.039993,161.110001,6513600,158.975693
"2021-09-02",162.130005,162.940002,161.220001,162.619995,4514700,160.465668
"2021-09-03",162.520004,163.5,161.740005,162.440002,2385600,160.288055
"2021-09-07",162.660004,163.740005,162.149994,163.270004,5132100,161.107071
"2021-09-08",163.710007,165.669998,162.399994,163.669998,4620100,161.50177
"2021-09-09",163.270004,170.130005,163.270004,168.809998,7601800,166.573685
"2021-09-10",169.600006,172.089996,169.550003,169.940002,4280800,167.688705
"2021-09-13",171.589996,173.139999,170.300003,172.809998,7431700,170.520676
"2021-09-14",173.539993,174.100006,171.539993,173.470001,5335200,171.171951
"2021-09-15",173.940002,174.460007,172.080002,174.080002,4498500,171.773865
"2021-09-16",172.429993,174.460007,172.429993,173.210007,4582700,170.915405
"2021-09-17",171.399994,173.020004,170.289993,171.520004,13056400,169.247787
"2021-09-20",170.100006,170.759995,167.029999,169.479996,10189700,167.234802
"2021-09-21",170.820007,171.639999,168.240005,170.570007,4011300,168.310379
"2021-09-22",172,174.259995,171.229996,173.850006,3484500,171.546921
"2021-09-23",174.5,177.789993,174.149994,177.229996,3391900,174.882126
"2021-09-24",176.550003,178.839996,175.839996,178.529999,2393300,176.164917
"2021-09-27",177.270004,178.130005,175.600006,176.910004,4497200,174.566376
"2021-09-28",172.279999,174.880005,171.179993,171.289993,5494000,169.020813
"2021-09-29",170.539993,171.830002,168.119995,168.839996,3498400,166.603271
"2021-09-30",170.360001,171.259995,167.360001,167.479996,4820600,165.261292
"2021-10-01",167.830002,168.880005,164.759995,167.369995,3549200,165.15274
"2021-10-04",166.740005,167.699997,163.649994,164.259995,5377500,162.083939
"2021-10-05",165.240005,166.729996,163.960007,165.369995,2899100,163.17923
"2021-10-06",163.779999,166.270004,163.139999,166.050003,2754000,163.850235
"2021-10-07",167.429993,169.289993,166.740005,166.979996,2174100,164.767914
"2021-10-08",168.479996,168.949997,166.679993,168.619995,3145900,166.3862
"2021-10-11",168.119995,171.539993,167.800003,167.899994,1964800,165.675735
"2021-10-12",168.509995,169.570007,163.820007,164.020004,3018000,161.847137
"2021-10-13",165.960007,166.710007,163.570007,164.350006,3416600,162.172775
"2021-10-14",166.520004,168.600006,166.130005,168.199997,5043100,165.971756
"2021-10-15",170.029999,172.100006,169.720001,172.039993,2887000,169.76088
"2021-10-18",170.380005,173.660004,169.720001,173.330002,2541500,171.033798
"2021-10-19",173.740005,176.75,172.550003,176.630005,3336700,174.290085
"2021-10-20",176.910004,177.860001,175.919998,176.919998,3025800,174.576233
"2021-10-21",176.660004,179.050003,176.139999,178.809998,2744000,176.441208
"2021-10-22",179.240005,180.770004,177.679993,178.419998,3074300,176.056366
"2021-10-25",178.580002,181.100006,178.419998,180.520004,2498200,178.128555
"2021-10-26",181.970001,182.389999,179.639999,179.880005,2209200,177.49704
"2021-10-27",174.110001,175,170,170.460007,6263900,168.201828
"2021-10-28",172.259995,174.350006,171.529999,172.460007,2781100,170.175339
"2021-10-29",171.399994,173.860001,170.589996,173.490005,3137400,171.191681
"2021-11-01",173.179993,175.25,172.910004,174.990005,2180700,172.671814
"2021-11-02",174.990005,178.25,174.699997,177.940002,2405800,175.582733
"2021-11-03",177.419998,179.270004,175.869995,178.800003,1997700,176.431335
"2021-11-04",179,180.960007,176.25,180.729996,5252700,178.33577
"2021-11-05",183.75,186.100006,182.199997,184.179993,3415700,181.740051
"2021-11-08",183.470001,185.940002,183.360001,184.460007,2582300,182.016373
"2021-11-09",184.320007,185.889999,182.820007,185,2508500,182.549194
"2021-11-10",183,185.5,180.039993,180.860001,2735500,178.46405
"2021-11-11",183.229996,183.369995,180.429993,183.100006,1703300,180.674377
"2021-11-12",183.570007,185.699997,181.550003,184.789993,1847600,182.341965
"2021-11-15",185.720001,185.720001,183.740005,185.059998,1337200,182.608398
"2021-11-16",184.580002,187.850006,184.5,187.669998,2126300,185.183823
"2021-11-17",188.029999,188.100006,185.539993,187.039993,2242300,184.56218
"2021-11-18",188.100006,188.690002,185.990005,188.089996,2091800,185.598267
"2021-11-19",188.089996,190,187.720001,188.800003,3299800,186.298874
"2021-11-22",190,191.949997,185.360001,185.5,5228600,183.042587
"2021-11-23",186.25,188,180.229996,182.449997,4976400,180.03299
"2021-11-24",181.449997,182.509995,179.669998,182.470001,2914800,180.052734
"2021-11-26",179,180.410004,176.779999,178,2539100,175.641937
"2021-11-29",180.539993,183.690002,178.449997,183.199997,4374800,180.773041
"2021-11-30",182.610001,184.259995,178.910004,180.25,4561800,177.862122
"2021-12-01",182.279999,188.199997,180.649994,180.839996,4831300,178.444305
"2021-12-02",180,182.529999,178,180.630005,3795600,178.919785
"2021-12-03",182.970001,183.949997,178.710007,180.789993,2958600,179.078247
"2021-12-06",182.320007,182.669998,176.190002,181.059998,3938200,179.345703
"2021-12-07",183.669998,187.690002,183.589996,186.639999,4850000,184.872864
"2021-12-08",185.759995,186.520004,184.330002,186.259995,3167800,184.49646
"2021-12-09",184.929993,187.660004,183.479996,183.679993,3457800,181.940887
"2021-12-10",186.410004,186.5,181.130005,183.429993,2570800,181.693237
"2021-12-13",183.449997,184.660004,178.220001,178.470001,4457700,176.780212
"2021-12-14",176.949997,178.240005,173.589996,176.279999,3770900,174.610947
"2021-12-15",177.610001,179.679993,174.139999,179.529999,3598700,177.830185
"2021-12-16",180.149994,180.800003,172.160004,172.600006,4817300,170.96579
"2021-12-17",171.119995,172.419998,169.039993,170.110001,7659800,168.499374
"2021-12-20",166.839996,169.119995,166.350006,168.320007,4087400,166.726334
"2021-12-21",170.119995,172.339996,168.929993,172.080002,3018100,170.450729
"2021-12-22",171.649994,172.619995,170.979996,172.289993,2025500,170.658722
"2021-12-23",172.800003,174.440002,172.570007,172.660004,2026200,171.025223
"2021-12-27",173.009995,175.529999,173.009995,175.470001,2134900,173.808624
"2021-12-28",176.419998,176.789993,174.029999,174.380005,1634800,172.728943
"2021-12-29",174.529999,176.550003,174.529999,175.520004,1685500,173.858154
"2021-12-30",176,176.960007,174.470001,174.779999,1638600,173.125153
"2021-12-31",174.75,176.660004,174.580002,175.770004,1917200,174.105774
"2022-01-03",175.169998,177.600006,174.75,177.149994,2667500,175.472702
