"","DLR.Open","DLR.High","DLR.Low","DLR.Close","DLR.Volume","DLR.Adjusted"
"2021-01-28",147.119995,149.089996,144.699997,144.869995,3027600,137.969467
"2021-01-29",143.830002,147.380005,141.850006,143.949997,3433600,137.093292
"2021-02-01",144.399994,148.25,143.389999,148.210007,1954200,141.150375
"2021-02-02",149,150.429993,147.899994,148.610001,1231100,141.531342
"2021-02-03",148.360001,148.360001,145.990005,147.320007,1283000,140.302795
"2021-02-04",147.139999,147.339996,142.860001,145.050003,2725400,138.1409
"2021-02-05",145.050003,147,144.649994,145.559998,1478600,138.626602
"2021-02-08",145.020004,146.660004,144.210007,146.369995,1025400,139.398026
"2021-02-09",146.369995,148.350006,145.809998,148.240005,1220800,141.178955
"2021-02-10",149.5,149.960007,146.059998,147.529999,801900,140.502777
"2021-02-11",147.190002,148.75,143.940002,144.820007,1521700,137.92186
"2021-02-12",144,145,138.350006,140.059998,1957100,133.388596
"2021-02-16",140.830002,140.860001,135.800003,137.199997,2529600,130.664795
"2021-02-17",136.919998,138.660004,136.729996,138.279999,1203100,131.69339
"2021-02-18",137.660004,139,137.130005,137.940002,1011900,131.369568
"2021-02-19",138.059998,139.460007,136.410004,136.449997,1446600,129.950546
"2021-02-22",135.550003,138.059998,134.5,137.600006,1647200,131.045776
"2021-02-23",138.360001,138.850006,135.839996,137.300003,1776700,130.76004
"2021-02-24",136.729996,137.639999,134.699997,135.149994,1243500,128.712448
"2021-02-25",135,137.210007,133.169998,134.369995,1386600,127.969597
"2021-02-26",134.929993,138,134.509995,134.729996,2722100,128.312469
"2021-03-01",135.589996,137.020004,132.300003,132.960007,1930900,126.626793
"2021-03-02",132.880005,133.809998,129.880005,131.119995,1761900,124.87442
"2021-03-03",130.5,131,125.120003,125.660004,2075700,119.674507
"2021-03-04",126.150002,131.039993,124.650002,129,2959700,122.855408
"2021-03-05",129,132.589996,126.330002,132,2783300,125.712509
"2021-03-08",131.970001,135,130.029999,132.179993,2053600,125.883919
"2021-03-09",133.539993,137.449997,133.25,135.080002,1728900,128.645798
"2021-03-10",135.619995,136.779999,134.279999,135.350006,1811900,128.902939
"2021-03-11",135.649994,137.229996,134.389999,134.850006,1648800,128.426773
"2021-03-12",131.600006,134.320007,130.220001,134.190002,2864000,128.907074
"2021-03-15",134.580002,135.649994,134.089996,135.070007,2388700,129.752411
"2021-03-16",135.5,136.410004,135.110001,135.679993,1737300,130.338394
"2021-03-17",135.25,135.729996,134.029999,134.679993,1782900,129.377777
"2021-03-18",133.679993,135.059998,132.259995,134.160004,1174300,128.87825
"2021-03-19",134.160004,137.589996,133.399994,133.509995,2355000,128.25383
"2021-03-22",133.839996,136.809998,133.509995,136.550003,1422300,131.174164
"2021-03-23",137.130005,140.199997,136.580002,140,1629100,134.488327
"2021-03-24",139.190002,141.089996,138.110001,140.089996,2166100,134.574799
"2021-03-25",140.070007,140.729996,137.770004,138.360001,1763100,132.912903
"2021-03-26",138.270004,143.100006,137.639999,142.910004,1867300,137.283768
"2021-03-29",142.949997,145.050003,141.070007,144.550003,1270500,138.859207
"2021-03-30",143.669998,144.119995,140.759995,141.240005,1322800,135.67952
"2021-03-31",140.669998,142.369995,138.699997,140.839996,1600700,135.295273
"2021-04-01",141.660004,143.369995,140.550003,143.25,1334100,137.610397
"2021-04-05",143.539993,145.869995,142.720001,145.770004,1268000,140.031174
"2021-04-06",145.410004,145.649994,143.070007,144.669998,1266600,138.974503
"2021-04-07",145.259995,145.350006,142.520004,142.899994,1726700,137.274155
"2021-04-08",144.050003,145.809998,141.660004,141.880005,1510700,136.294327
"2021-04-09",142,142.050003,140.320007,141.259995,1385000,135.698715
"2021-04-12",141.490005,143.669998,140.289993,143.520004,974400,137.869766
"2021-04-13",143.600006,146.460007,143.339996,146.190002,1288800,140.434631
"2021-04-14",145.75,146.289993,143.419998,143.619995,725000,137.965836
"2021-04-15",144.479996,147.399994,144.410004,147.240005,965800,141.443314
"2021-04-16",147.559998,147.779999,145.509995,145.960007,1292200,140.213715
"2021-04-19",146.199997,147.979996,145.399994,147.759995,774500,141.942825
"2021-04-20",148.009995,151.779999,148.009995,150.940002,1382100,144.997635
"2021-04-21",151.929993,152.300003,150.300003,150.820007,1434100,144.88237
"2021-04-22",150.309998,150.660004,148.970001,149.050003,1066500,143.182037
"2021-04-23",148.880005,149.820007,147.720001,149.039993,697400,143.172424
"2021-04-26",149.509995,149.509995,147.740005,148.229996,1345800,142.394302
"2021-04-27",148.899994,148.899994,146.690002,147.929993,1082500,142.106125
"2021-04-28",148.389999,148.5,146.589996,147.169998,1151600,141.376053
"2021-04-29",147.529999,149.039993,145.270004,149.039993,1656100,143.172424
"2021-04-30",150,154.559998,149.660004,154.309998,2837200,148.23497
"2021-05-03",153.419998,153.770004,150.570007,151.669998,1607800,145.698898
"2021-05-04",151.649994,154.130005,151.539993,153.009995,1553100,146.98616
"2021-05-05",152.220001,152.600006,149.649994,150.160004,1453600,144.248337
"2021-05-06",150,150.910004,148.199997,149.529999,1129600,143.643143
"2021-05-07",150.050003,151.399994,148.850006,151.179993,1312400,145.228195
"2021-05-10",151.880005,152.509995,150.740005,151.029999,954300,145.084091
"2021-05-11",150.539993,150.539993,147.789993,148.649994,1118300,142.797791
"2021-05-12",148.050003,148.979996,146.309998,147.119995,1094600,141.328033
"2021-05-13",147.25,149.990005,146.119995,148.940002,1847400,143.076355
"2021-05-14",149.309998,149.910004,148.080002,148.880005,555700,143.018753
"2021-05-17",149.020004,150.479996,148.110001,148.220001,791400,142.384705
"2021-05-18",147.699997,150.539993,146.759995,149.910004,907300,144.008179
"2021-05-19",150.039993,151.160004,148.210007,150.009995,763700,144.104248
"2021-05-20",150.160004,153.139999,149.639999,151.25,822700,145.295425
"2021-05-21",150.339996,151.889999,150.25,150.899994,644400,144.959198
"2021-05-24",151.600006,152.229996,150.559998,151.220001,913200,145.266602
"2021-05-25",151.220001,152.720001,150,152.440002,775800,146.438583
"2021-05-26",152.770004,153.369995,150.740005,150.960007,887000,145.016861
"2021-05-27",150.960007,151.839996,149.580002,150.169998,979200,144.257965
"2021-05-28",151.330002,152.710007,150.169998,151.559998,800600,145.593231
"2021-06-01",152.179993,153.169998,151.559998,153.149994,815700,147.120621
"2021-06-02",153.610001,154.809998,152.720001,154.759995,1536200,148.667252
"2021-06-03",155,156.130005,153.630005,155.429993,1683400,149.310867
"2021-06-04",156.199997,156.580002,155,155.179993,1030100,149.070724
"2021-06-07",156.059998,159.100006,155.5,158.5,1543600,152.259995
"2021-06-08",158.979996,160.869995,158.399994,160.020004,1680100,153.720184
"2021-06-09",161.240005,162.139999,160.190002,160.880005,1424200,154.54631
"2021-06-10",160.190002,164.039993,159.100006,163.940002,1123900,157.48584
"2021-06-11",163.059998,163.5,161.440002,162.199997,1185500,155.814346
"2021-06-14",161.139999,162.399994,160.369995,162.330002,1062100,157.062485
"2021-06-15",162.050003,162.440002,159.270004,159.369995,1034800,154.198517
"2021-06-16",160.270004,161.940002,157.449997,157.570007,2547000,152.456955
"2021-06-17",157,157.759995,155.009995,156.690002,2104600,151.605499
"2021-06-18",156.830002,157.529999,154.070007,154.199997,4174800,149.196289
"2021-06-21",154.570007,156.289993,153.100006,155.679993,1593700,150.628281
"2021-06-22",155.570007,156.619995,154.889999,154.889999,1185000,149.863922
"2021-06-23",154.429993,154.529999,149.960007,151.949997,1944100,147.019302
"2021-06-24",151.949997,152.929993,149.699997,150.029999,1543900,145.161606
"2021-06-25",150.179993,152.440002,149.710007,152.210007,1041000,147.270889
"2021-06-28",152.690002,153.419998,151.820007,152.690002,1066500,147.735291
"2021-06-29",152.259995,153.889999,151.720001,152.410004,929200,147.464371
"2021-06-30",152.339996,153.580002,150.259995,150.460007,1333500,145.577682
"2021-07-01",150.580002,151.559998,149.740005,149.839996,1556900,144.977783
"2021-07-02",150.380005,151.619995,149.660004,150.270004,1187100,145.393829
"2021-07-06",150.270004,152.520004,149.880005,152.320007,1398100,147.377304
"2021-07-07",152.589996,154.630005,151.139999,153.889999,1648100,148.896362
"2021-07-08",153.710007,155.410004,153.309998,154.580002,1072800,149.563965
"2021-07-09",155.100006,155.820007,154.539993,155.759995,1279700,150.705673
"2021-07-12",156.229996,158.059998,155.5,157.679993,1021800,152.56337
"2021-07-13",157.600006,158,154.990005,155.490005,774000,150.444443
"2021-07-14",155.389999,157.75,155.119995,157.360001,733700,152.253769
"2021-07-15",157.889999,158.5,156.100006,157.089996,624100,151.992508
"2021-07-16",157.380005,158.759995,156.770004,157.320007,738700,152.215073
"2021-07-19",157.520004,158.580002,155.100006,156.320007,1557500,151.247498
