"","FANG.Open","FANG.High","FANG.Low","FANG.Close","FANG.Volume","FANG.Adjusted"
"2020-12-22",45.029999,45.139999,43.709999,44.049999,3080500,41.945583
"2020-12-23",44.880001,48.389999,44.619999,47.799999,4810500,45.516438
"2020-12-24",47.77,48.439999,46.549999,48.25,1609100,45.944939
"2020-12-28",48.650002,48.759998,47.200001,47.630001,2515600,45.354561
"2020-12-29",47.900002,48.389999,46.189999,47,2121700,44.754658
"2020-12-30",46.869999,49.630001,46.740002,49.27,2914400,46.916214
"2020-12-31",49,49.619999,48.25,48.400002,2210900,46.087776
"2021-01-04",49,50.09,47.560001,48.939999,2820800,46.601978
"2021-01-05",49.779999,55.950001,49.560001,53.669998,6028500,51.106014
"2021-01-06",54.869999,57.790001,53.919998,56.32,4451400,53.62941
"2021-01-07",57.459999,59.07,56.169998,56.790001,3259900,54.076954
"2021-01-08",57.209999,58.400002,55.630001,56.759998,2749400,54.048386
"2021-01-11",54.689999,58.610001,54.099998,58.299999,2167500,55.51482
"2021-01-12",59.32,63.130001,58.810001,62.869999,4213900,59.866497
"2021-01-13",62.700001,62.75,61.209999,61.540001,2484200,58.600033
"2021-01-14",62.490002,64.07,61.540001,61.93,3008600,58.971405
"2021-01-15",61.07,61.150002,58.419998,59.240002,2840000,56.409916
"2021-01-19",60.5,61.110001,59.799999,60.02,1922800,57.152645
"2021-01-20",60.360001,61.639999,59.91,60.619999,2348200,57.723984
"2021-01-21",60.099998,61.09,57.5,60.779999,4382700,57.876339
"2021-01-22",58.630001,63.990002,57.810001,63.740002,4518300,60.694939
"2021-01-25",62.349998,64.900002,59.450001,61.330002,3581000,58.400066
"2021-01-26",62.32,64.110001,59.34,59.610001,2928500,56.762238
"2021-01-27",57.759998,60.16,56.130001,56.59,4006700,53.886513
"2021-01-28",57.900002,60.66,57.02,60.310001,3635000,57.428795
"2021-01-29",59.790001,60.91,56.360001,56.689999,3138200,53.981731
"2021-02-01",58.369999,58.75,56.349998,57.98,1934800,55.210102
"2021-02-02",59.900002,60.48,58.290001,58.419998,1886200,55.629082
"2021-02-03",59.189999,64.349998,58.639999,63.580002,4214000,60.542583
"2021-02-04",64.720001,65.889999,63.049999,65.349998,2928500,62.228012
"2021-02-05",66.669998,66.669998,64.239998,64.449997,1912800,61.371014
"2021-02-08",65.970001,69.599998,65.650002,68.93,2660700,65.636986
"2021-02-09",68.5,68.650002,66.519997,66.970001,2409400,63.770622
"2021-02-10",67.540001,69.900002,66.690002,68.879997,2186400,65.589371
"2021-02-11",68.339996,69.230003,65.559998,67.769997,1815400,64.532402
"2021-02-12",66.980003,69.699997,66.629997,69.120003,1991300,65.817917
"2021-02-16",70.550003,72.150002,68.830002,68.970001,2524100,65.675079
"2021-02-17",69.169998,70.190002,67.400002,68.839996,1951300,65.551285
"2021-02-18",68.230003,68.660004,64.690002,65.139999,2338300,62.028053
"2021-02-19",65.449997,66.949997,65.169998,65.57,2293800,62.437504
"2021-02-22",67.370003,70.779999,66.279999,68.400002,3405900,65.132309
