"","CAH.Open","CAH.High","CAH.Low","CAH.Close","CAH.Volume","CAH.Adjusted"
"2020-12-16",54.709999,54.860001,54.119999,54.240002,1139100,50.958412
"2020-12-17",54.610001,54.66,53.66,54.220001,3102600,50.939625
"2020-12-18",54.18,55.029999,53.82,54.959999,2925400,51.634846
"2020-12-21",54,54.439999,53.299999,54.02,1740500,50.751724
"2020-12-22",54.099998,54.419998,53.549999,53.630001,1171800,50.385319
"2020-12-23",53.77,54.290001,53.639999,53.860001,925200,50.601406
"2020-12-24",53.93,54.07,53.310001,53.799999,349600,50.545029
"2020-12-28",54.09,54.43,53.310001,53.66,975300,50.413502
"2020-12-29",53.880001,54.09,53.139999,53.5,925300,50.263184
"2020-12-30",53.57,53.84,53.119999,53.490002,1122200,50.253788
"2020-12-31",52.950001,53.630001,52.639999,53.560001,1251800,50.780945
"2021-01-04",53.880001,54.040001,52.110001,52.93,2861000,50.183632
"2021-01-05",53.07,53.650002,51.93,53.119999,1846300,50.363773
"2021-01-06",53.389999,55.200001,53.23,55.060001,2775800,52.203114
"2021-01-07",55.209999,56.560001,55.060001,56.310001,3344600,53.388252
"2021-01-08",56.650002,56.990002,55.549999,55.91,2137500,53.009007
"2021-01-11",55.599998,56.330002,55.470001,55.740002,1271500,52.847824
"2021-01-12",55.900002,56.240002,55.470001,55.990002,1277900,53.084858
"2021-01-13",55.91,56.240002,55.389999,55.400002,994000,52.525471
"2021-01-14",55.34,55.91,54.759998,55.389999,1681300,52.515987
"2021-01-15",55.330002,55.580002,54.200001,55.439999,1257700,52.563393
"2021-01-19",55.630001,55.73,54.540001,54.810001,1674900,51.966084
"2021-01-20",54.82,55.029999,54.189999,54.59,1605900,51.7575
"2021-01-21",54.450001,55.310001,53.150002,55.07,1995100,52.212593
"2021-01-22",54.880001,55.73,54.700001,55.389999,1326200,52.515987
"2021-01-25",54.939999,55.299999,54.380001,55.029999,1429800,52.174664
"2021-01-26",55.150002,55.849998,54.939999,55.48,893600,52.601318
"2021-01-27",54.98,55.619999,54.709999,55.290001,2733800,52.421173
"2021-01-28",55.450001,56.32,55.25,55.57,1856000,52.686646
"2021-01-29",55.630001,55.810001,53.220001,53.73,2622100,50.94212
"2021-02-01",53.93,54.880001,53.82,54.48,1593100,51.653198
"2021-02-02",55.799999,56.27,54.470001,54.540001,1571600,51.710087
"2021-02-03",54.189999,54.57,53.709999,54.400002,1312400,51.577358
"2021-02-04",54.709999,56.470001,54.360001,55.98,2823600,53.075371
"2021-02-05",55.200001,55.75,53.009998,54.259998,3019000,51.444614
"2021-02-08",54.349998,54.5,51.810001,52.91,4018600,50.164669
"2021-02-09",53.150002,53.48,52.240002,52.950001,2216900,50.202591
"2021-02-10",53.200001,53.509998,52.830002,53.060001,1797800,50.306885
"2021-02-11",53.119999,53.18,51.849998,52.41,1754500,49.690609
"2021-02-12",52,52.41,51.540001,51.860001,1983500,49.169147
"2021-02-16",52.130001,52.189999,51.459999,51.75,2043100,49.064857
"2021-02-17",51.5,52.110001,50.779999,51.720001,2137900,49.036415
"2021-02-18",51.5,51.669998,51.099998,51.369999,2042200,48.704575
"2021-02-19",51.34,52.130001,51.27,52,2368100,49.301884
"2021-02-22",52.02,52.34,51.529999,52.130001,1741000,49.425144
"2021-02-23",52.34,52.599998,51.509998,51.98,2201600,49.282921
"2021-02-24",52.049999,53.16,51.950001,52.549999,2366700,49.823345
"2021-02-25",52.73,53.439999,51.880001,52.139999,2040300,49.434616
"2021-02-26",52.150002,52.220001,51.380001,51.52,2850400,48.846786
"2021-03-01",51.939999,53.040001,51.830002,52.75,1887000,50.01297
"2021-03-02",53.060001,53.34,52.759998,52.970001,1984100,50.221554
"2021-03-03",52.779999,53.48,52.48,53.25,2180000,50.487022
"2021-03-04",53.02,53.349998,51.630001,52.200001,2486800,49.491505
"2021-03-05",52.5,53.68,51.93,53.490002,2485400,50.714573
"2021-03-08",54.060001,55.169998,53.619999,54.700001,1744300,51.861794
"2021-03-09",54.759998,55.540001,54.299999,54.310001,1839600,51.492027
"2021-03-10",54.779999,56.419998,54.139999,56.169998,1840600,53.255516
"2021-03-11",56.169998,56.580002,55.380001,55.720001,2276100,52.828869
"2021-03-12",56.169998,57.68,55.91,57.349998,2233200,54.374283
"2021-03-15",57.259998,58.080002,57.119999,58,1523100,54.990566
"2021-03-16",57.849998,58.080002,57.27,57.27,1516900,54.298443
"2021-03-17",57.630001,58.400002,57.41,57.939999,1797600,54.933681
"2021-03-18",57.810001,58.889999,57.810001,58.279999,1606500,55.256031
"2021-03-19",58.09,59.389999,58.009998,58.68,3672100,55.635281
"2021-03-22",58.509998,59.220001,58.130001,59.139999,2037000,56.071415
"2021-03-23",59.02,59.189999,57.549999,57.700001,1900500,54.706131
"2021-03-24",57.810001,60.150002,57.73,59.110001,2048900,56.042969
"2021-03-25",59.32,60.66,58.610001,60.389999,1816500,57.256554
"2021-03-26",61,61.900002,60.849998,61.860001,1926200,58.65028
"2021-03-29",61.709999,62.759998,61.549999,62.459999,1989300,59.219147
"2021-03-30",62.509998,62.959999,61.950001,62.279999,1550200,59.048489
"2021-03-31",61.799999,62.07,60.73,60.75,2311800,58.050869
"2021-04-01",60.580002,60.93,59.41,60.880001,1610400,58.175091
"2021-04-05",61.049999,61.209999,60.07,60.540001,1871400,57.850201
"2021-04-06",60.790001,61.080002,60.169998,60.240002,1410500,57.563534
"2021-04-07",60.360001,60.779999,60.139999,60.700001,1288100,58.00309
"2021-04-08",60.290001,60.59,58.82,59.25,1708900,56.617516
"2021-04-09",59.43,60.049999,59.34,60.049999,1284200,57.381969
"2021-04-12",60.049999,61.16,60.049999,60.860001,1645300,58.155983
"2021-04-13",60.73,60.73,59.380001,60.139999,1824500,57.467972
"2021-04-14",59.970001,61.119999,59.959999,60.82,1343200,58.11776
"2021-04-15",60.549999,61.09,60.41,60.869999,1776900,58.165539
"2021-04-16",61.049999,61.459999,60.43,61.310001,1660300,58.585987
"2021-04-19",61.580002,61.77,60.889999,61.23,1480500,58.509544
"2021-04-20",60.5,61.299999,60.41,61.049999,1198000,58.337543
"2021-04-21",61.529999,62.110001,61.330002,61.709999,1413900,58.96822
"2021-04-22",61.720001,61.950001,60.599998,60.689999,1867800,57.993538
"2021-04-23",60.700001,61.57,60.189999,61.41,1350900,58.681549
"2021-04-26",61.57,61.57,60.290001,60.48,1527600,57.792866
"2021-04-27",60.259998,60.259998,59.419998,59.759998,1742400,57.104855
"2021-04-28",59.59,60.790001,59.560001,60.080002,1418800,57.410637
"2021-04-29",60.299999,60.73,60.290001,60.66,1279700,57.96487
"2021-04-30",60.880001,60.91,60.119999,60.34,2070900,57.659088
"2021-05-03",60.900002,61.860001,60.549999,61.549999,2192300,58.815327
"2021-05-04",61.599998,62.040001,61.27,62.02,1909900,59.264446
"2021-05-05",61.400002,61.41,59.450001,60.830002,2991400,58.127316
"2021-05-06",55.689999,56.650002,54.130001,56.540001,7120500,54.02792
"2021-05-07",56.549999,58.73,56.549999,58.16,3158300,55.575943
"2021-05-10",56.860001,59.52,56.860001,58.330002,3285000,55.738396
"2021-05-11",58,58.189999,55.950001,56.169998,2441300,53.674358
"2021-05-12",56.369999,56.82,55.549999,55.810001,2666700,53.330357
"2021-05-13",55.799999,56.59,55.599998,56.099998,2565900,53.607471
"2021-05-14",56.25,56.439999,55.91,56.34,2137100,53.836807
"2021-05-17",56.18,56.810001,55.77,56.450001,1964200,53.941917
"2021-05-18",56.27,56.549999,55.650002,56.27,1782200,53.76992
"2021-05-19",55.950001,56.459999,55.240002,55.939999,3432500,53.454578
"2021-05-20",55.98,57.450001,55.759998,57.049999,2246700,54.515263
"2021-05-21",57.360001,58.279999,57.189999,57.34,1697900,54.792377
"2021-05-24",57.639999,57.639999,56.619999,56.630001,1260500,54.113922
"2021-05-25",56.41,56.68,55.529999,55.619999,2077000,53.1488
"2021-05-26",55.580002,56.23,54.77,56.080002,2531200,53.58836
"2021-05-27",56.41,56.639999,55.959999,56.07,3727200,53.578804
"2021-05-28",56.349998,56.389999,55.91,56.07,1612900,53.578804
"2021-06-01",56.099998,56.259998,55.279999,55.560001,1808700,53.091465
"2021-06-02",55.93,56.459999,55.439999,56.189999,2220400,53.693466
"2021-06-03",55.889999,56.619999,55.889999,56.349998,1373300,53.846363
"2021-06-04",56.580002,56.639999,56.220001,56.560001,1789700,54.047035
"2021-06-07",56.869999,59.09,56.740002,58.900002,3846000,56.28307
"2021-06-08",58.950001,59.490002,58.139999,58.84,3566700,56.225739
"2021-06-09",59.049999,59.369999,58.509998,58.560001,1735500,55.958172
"2021-06-10",58.849998,60.16,58.540001,60.009998,2860200,57.343746
"2021-06-11",60.32,60.380001,59.119999,59.310001,3762500,56.674854
"2021-06-14",59.09,59.330002,57.73,58.330002,2781200,55.738396
"2021-06-15",58.380001,58.630001,57.950001,58.27,1812300,55.681057
"2021-06-16",58.259998,58.560001,57.330002,57.5,2118600,54.945271
"2021-06-17",57.830002,57.830002,56.310001,57.389999,2345900,54.840157
"2021-06-18",56.759998,57.009998,55.939999,56.049999,4153000,53.559692
"2021-06-21",56.299999,56.91,56.139999,56.68,2025800,54.161701
"2021-06-22",56.650002,56.84,56.029999,56.689999,2349400,54.171253
"2021-06-23",56.82,56.830002,55.630001,56.279999,2425300,53.779469
"2021-06-24",56.380001,56.509998,55.91,56.189999,1421800,53.693466
"2021-06-25",56.209999,57.599998,55.91,57.279999,5591700,54.735039
"2021-06-28",57.279999,57.509998,56.700001,57.25,1705500,54.706375
"2021-06-29",57.459999,58.150002,57.259998,57.400002,2040500,54.849712
"2021-06-30",57,57.209999,56.57,57.09,2120300,55.024158
"2021-07-01",57.139999,58.400002,57.139999,57.939999,1628500,55.843403
"2021-07-02",57.82,58.009998,57.189999,57.880001,1436700,55.785576
"2021-07-06",57.630001,57.689999,56.25,56.950001,2097700,54.889229
"2021-07-07",56.900002,57.43,56.66,57.02,1859700,54.956696
"2021-07-08",56.57,56.869999,55.939999,56.619999,2203200,54.571167
"2021-07-09",57.130001,57.490002,56.939999,57.18,1299700,55.110905
"2021-07-12",56.939999,57.700001,56.740002,57.439999,1296100,55.361492
"2021-07-13",57.349998,57.689999,56.860001,57.099998,1347400,55.033798
"2021-07-14",57.139999,57.360001,56.740002,57.07,1189400,55.004887
"2021-07-15",56.709999,57.169998,56.709999,56.77,975000,54.715744
"2021-07-16",56.779999,57.290001,56.439999,56.82,1332700,54.763927
"2021-07-19",56.400002,56.75,55.5,56.02,1718300,53.992882
"2021-07-20",57.880001,59.869999,57.419998,57.689999,4505900,55.602448
"2021-07-21",57.93,58.619999,57.66,58.599998,4156900,56.479519
"2021-07-22",58.450001,59.139999,58.119999,59.029999,2037400,56.893959
"2021-07-23",59.450001,59.709999,59.080002,59.200001,1466100,57.057808
"2021-07-26",59.23,59.939999,58.75,58.98,1556100,56.845768
"2021-07-27",58.799999,59.779999,58.389999,59.419998,1498600,57.269848
"2021-07-28",59.360001,59.959999,59.060001,59.650002,1614300,57.491528
"2021-07-29",60,60.240002,59.740002,59.990002,1185400,57.819225
"2021-07-30",59.990002,60.380001,59.150002,59.380001,4612000,57.231297
"2021-08-02",59.43,59.93,59.09,59.57,2136400,57.414421
"2021-08-03",59.509998,59.790001,58.650002,59.630001,3234400,57.472248
"2021-08-04",59.169998,59.93,58.91,58.98,2574900,56.845768
"2021-08-05",54.91,55.200001,50.52,50.57,9623800,48.740089
"2021-08-06",50.459999,51.619999,50.18,50.990002,4583100,49.144897
"2021-08-09",50.98,52.209999,50.389999,50.700001,3165600,48.865387
"2021-08-10",50.450001,51.060001,49.369999,51.009998,4340300,49.164162
"2021-08-11",51.200001,52.040001,50.880001,51.689999,3448900,49.819561
"2021-08-12",51.599998,52.09,50.990002,52.080002,1807500,50.195454
"2021-08-13",52.080002,52.290001,51.639999,51.700001,1835600,49.829201
"2021-08-16",51.700001,52.549999,51.419998,52.43,2395800,50.532787
"2021-08-17",52.299999,52.669998,51.700001,52.610001,1701700,50.706272
"2021-08-18",52.549999,52.549999,51.52,51.529999,1796000,49.665348
"2021-08-19",51.310001,52.040001,50.990002,51.32,2251200,49.462948
"2021-08-20",51.09,51.880001,50.849998,51.389999,2980400,49.530418
"2021-08-23",51.619999,52.389999,51.490002,52.18,2216200,50.291832
"2021-08-24",52.189999,52.209999,51.490002,51.77,2122900,49.896667
"2021-08-25",51.759998,52.049999,51,51.77,1899300,49.896667
"2021-08-26",51.59,51.740002,50.919998,51.299999,2169600,49.443676
"2021-08-27",51.470001,52.080002,51.299999,51.740002,1786600,49.86776
"2021-08-30",51.75,51.959999,51.5,51.509998,1725700,49.646076
"2021-08-31",51.380001,52.560001,51.34,52.490002,2920300,50.590618
"2021-09-01",52.400002,52.470001,51.52,52.400002,2801300,50.503876
"2021-09-02",52.400002,53.689999,52.400002,53.57,2025800,51.631535
"2021-09-03",53.560001,53.860001,53.369999,53.639999,1629600,51.699001
"2021-09-07",53.599998,53.959999,53.139999,53.720001,2133000,51.776108
"2021-09-08",53.549999,53.880001,53.209999,53.490002,1663200,51.554432
"2021-09-09",53.470001,53.73,53.130001,53.290001,1626400,51.361664
"2021-09-10",53.400002,53.529999,52.540001,52.82,2330700,50.908672
"2021-09-13",53,53.5,52.779999,52.950001,2460200,51.033966
"2021-09-14",53.07,53.349998,52.040001,52.130001,3163600,50.243645
"2021-09-15",52.009998,53.099998,51.689999,53.02,2591600,51.101433
"2021-09-16",53.130001,53.389999,52.43,52.73,2703700,50.82193
"2021-09-17",52.59,53.470001,52.349998,52.57,7119400,50.667717
"2021-09-20",52,52.32,51.009998,51.549999,3503400,49.684628
"2021-09-21",51.849998,52.189999,50.849998,51.040001,2935300,49.193085
"2021-09-22",51.419998,51.73,50.990002,51.009998,2271800,49.164162
"2021-09-23",51.130001,51.950001,51.049999,51.360001,1964300,49.501507
"2021-09-24",51.369999,51.82,51.16,51.189999,2031300,49.33765
"2021-09-27",51.209999,51.889999,51.209999,51.5,3299600,49.636436
"2021-09-28",51.5,51.84,50.959999,51.169998,5819400,49.318382
"2021-09-29",51.439999,51.790001,51.110001,51.59,6371400,49.723183
"2021-09-30",51.5,51.619999,49.439999,49.459999,6558400,48.128307
"2021-10-01",49.68,50.18,48.84,50.009998,7010300,48.663502
"2021-10-04",49.810001,50.790001,49.189999,49.529999,7179600,48.196426
"2021-10-05",49.57,49.93,48.91,49.18,4246800,47.85585
"2021-10-06",48.860001,49.02,47.75,48.66,4004200,47.34985
"2021-10-07",48.880001,49.759998,48.849998,49,2773800,47.680702
"2021-10-08",48.959999,49.32,48.68,48.709999,2257900,47.398502
"2021-10-11",48.610001,49.25,48.599998,48.720001,2738400,47.408237
"2021-10-12",48.759998,48.84,47.990002,48.060001,3006100,46.766006
"2021-10-13",47.939999,48.150002,47.200001,47.740002,3613200,46.454628
"2021-10-14",48.380001,48.689999,48,48.630001,3027300,47.320663
"2021-10-15",48.869999,49.259998,48.529999,48.540001,2014200,47.233086
"2021-10-18",48.279999,48.279999,47.330002,47.630001,2818200,46.347584
"2021-10-19",47.93,48.759998,47.860001,48.630001,3783100,47.320663
"2021-10-20",48.73,49.560001,48.720001,49.259998,5149900,47.933697
"2021-10-21",49.279999,49.419998,48.529999,49.060001,3644400,47.739086
"2021-10-22",49.110001,49.599998,49.009998,49.57,2198200,48.235352
"2021-10-25",49.73,49.73,48.68,48.73,2409800,47.417969
"2021-10-26",48.98,49,48.279999,48.700001,2417100,47.388775
"2021-10-27",48.93,48.93,47.41,47.439999,3435000,46.162701
"2021-10-28",47.580002,48.029999,47.150002,47.720001,4778600,46.435162
"2021-10-29",47.5,48.09,47.48,47.810001,8410500,46.522736
"2021-11-01",47.709999,48.75,47.529999,48.619999,4073700,47.310925
"2021-11-02",49.299999,49.91,48.41,48.889999,4505000,47.573658
"2021-11-03",48.889999,50.529999,48.709999,50.400002,4167700,49.043007
"2021-11-04",50.290001,50.349998,48.91,49.16,2798900,47.836388
"2021-11-05",49.459999,50.25,49.200001,49.540001,2707100,48.206161
"2021-11-08",49.540001,50.150002,49.540001,49.630001,3651900,48.293732
"2021-11-09",50.470001,50.549999,48.709999,49.32,3696600,47.992081
"2021-11-10",49.23,50.400002,49.23,50.299999,3367800,48.945698
"2021-11-11",50.110001,50.32,49.509998,49.880001,3614900,48.537003
"2021-11-12",50.349998,51.48,50.209999,51.439999,3776400,50.055
"2021-11-15",51.41,51.48,50.349998,50.459999,2539900,49.101387
"2021-11-16",50.5,50.82,50.02,50.040001,2274400,48.692699
"2021-11-17",49.990002,50.240002,49.720001,49.73,2000900,48.391041
"2021-11-18",49.77,49.77,49.080002,49.330002,2254800,48.001816
"2021-11-19",49.349998,49.91,48.43,48.439999,3982500,47.135773
"2021-11-22",48.41,48.939999,47.759998,48.290001,3304700,46.989811
"2021-11-23",48.220001,49.330002,48.169998,49.139999,3642400,47.816929
"2021-11-24",49.139999,49.700001,48.619999,48.779999,2478700,47.466621
"2021-11-26",48.200001,48.25,47.139999,47.599998,2473600,46.31839
"2021-11-29",47.759998,48.25,47.279999,47.470001,3151900,46.191895
"2021-11-30",47.099998,47.57,46.200001,46.23,7108300,44.985275
"2021-12-01",46.91,47.110001,45.849998,45.869999,3842800,44.634968
"2021-12-02",46.369999,47.25,46.279999,46.810001,3424400,45.549667
"2021-12-03",46.990002,47.709999,46.790001,47.02,2664900,45.754009
"2021-12-06",47.709999,48.360001,47.509998,47.700001,3106000,46.415703
"2021-12-07",47.799999,48.400002,47.540001,48.099998,3773600,46.804928
"2021-12-08",48.290001,48.709999,47.970001,48.25,3112600,46.95089
"2021-12-09",48.259998,48.84,48.080002,48.48,2103100,47.174698
"2021-12-10",48.709999,48.830002,48.02,48.490002,2087800,47.184433
"2021-12-13",48.34,48.790001,48.009998,48.439999,2404600,47.135773
"2021-12-14",48.369999,49.470001,48.34,48.93,3750500,47.612583
"2021-12-15",49.07,49.400002,48.75,49.209999,2891400,47.885044
"2021-12-16",49.310001,50.07,49.279999,49.439999,2870100,48.108849
"2021-12-17",49.59,49.889999,48.919998,49.650002,6852700,48.313202
"2021-12-20",49.41,49.470001,48.41,49.130001,4162900,47.807198
"2021-12-21",49.5,50.259998,49.48,49.720001,3221700,48.38131
"2021-12-22",49.799999,50.25,49.290001,50.18,2545600,48.828926
"2021-12-23",50.380001,51.23,50.209999,50.75,2051000,49.383579
"2021-12-27",50.799999,51.41,50.709999,51.360001,1419500,49.977158
"2021-12-28",51.220001,51.880001,51.220001,51.720001,1405600,50.327465
"2021-12-29",51.669998,52.220001,51.669998,52.049999,1430700,50.648579
"2021-12-30",52.34,52.48,52.099998,52.169998,1639900,50.765347
"2021-12-31",51.779999,52.009998,51.490002,51.490002,1727200,50.579685
"2022-01-03",51.52,52.040001,51.23,52.009998,2378800,51.090492
"2022-01-04",52.040001,52.869999,52.029999,52.599998,3477400,51.670059
"2022-01-05",52.619999,54.450001,52.619999,53.32,5112400,52.377331
"2022-01-06",53.66,53.790001,52.43,52.509998,2894900,51.58165
"2022-01-07",52.619999,54.389999,52.57,54.240002,3665500,53.281067
"2022-01-10",50.880001,51.27,48.419998,51.029999,8772300,50.127819
"2022-01-11",50.950001,52.77,50.240002,52.709999,4485400,51.778118
"2022-01-12",52.580002,52.580002,51.16,51.68,4126600,50.766327
"2022-01-13",51.639999,52.450001,51.450001,52.240002,2977300,51.316429
