"","MCHP.Open","MCHP.High","MCHP.Low","MCHP.Close","MCHP.Volume","MCHP.Adjusted"
"2021-02-08",73.169998,76.345001,73.169998,76.235001,4955000,74.807587
"2021-02-09",75.900002,76.845001,75.334999,76.025002,5413800,74.601532
"2021-02-10",76.220001,77.260002,74.720001,75.82,3733600,74.400368
"2021-02-11",76.260002,78.889999,75.82,78.815002,3829400,77.339302
"2021-02-12",78.285004,79.949997,77.900002,79.775002,3389200,78.281319
"2021-02-16",80.404999,81.434998,79.919998,81.120003,4353800,79.601143
"2021-02-17",83.305,83.334999,80.495003,81.525002,9182400,79.99855
"2021-02-18",79.989998,80.464996,77.459999,78.269997,5391000,76.804497
"2021-02-19",79.470001,81.449997,79.050003,81.175003,3551600,79.85405
"2021-02-22",79.599998,80.535004,77.260002,77.595001,3952800,76.332314
"2021-02-23",76.5,78.074997,73.599998,77.464996,4710000,76.204414
"2021-02-24",76.275002,78.875,75.919998,78.625,5496200,77.345551
"2021-02-25",77.790001,78.214996,73.364998,73.860001,4946400,72.658081
"2021-02-26",75.120003,77.355003,73.214996,76.315002,6220200,75.073143
"2021-03-01",77.495003,79.18,76.82,79.050003,4041400,77.763634
"2021-03-02",78.025002,78.785004,75.940002,76.044998,3318000,74.807518
"2021-03-03",75.699997,77.019997,73.815002,74.184998,5643200,72.977791
"2021-03-04",74.084999,74.605003,69.349998,70.044998,5098200,68.905159
"2021-03-05",72.019997,72.980003,67.760002,72.720001,6643800,71.536636
"2021-03-08",72.169998,73.220001,68.25,68.375,4570400,67.262352
"2021-03-09",71.014999,73.339996,70.535004,72.730003,4899800,71.546471
"2021-03-10",74.190002,74.199997,70.635002,70.660004,3930200,69.510162
"2021-03-11",72.925003,74.724998,72.5,74.105003,5517000,72.899101
"2021-03-12",72.455002,73.910004,71.864998,73.724998,2962000,72.525284
"2021-03-15",73.184998,74.955002,73.025002,74.779999,3279400,73.56311
"2021-03-16",75.389999,76.760002,74.300003,74.949997,4376400,73.730347
"2021-03-17",73.809998,77.160004,73.339996,76.910004,3583200,75.658455
"2021-03-18",74.800003,75.794998,72.629997,72.745003,4120800,71.561226
"2021-03-19",73,76.144997,71.625,75.029999,10437200,73.809044
"2021-03-22",76.440002,78.285004,76.32,77.43,4816600,76.169991
"2021-03-23",79.120003,79.120003,74.214996,74.989998,4933400,73.769691
"2021-03-24",76.324997,76.540001,73.345001,73.379997,3509400,72.18589
"2021-03-25",72.209999,74.099998,71.154999,73.580002,3459000,72.382652
"2021-03-26",73.355003,77.855003,73.135002,77.709999,4342600,76.445442
"2021-03-29",76.565002,77.135002,74.404999,75.425003,3425200,74.197617
"2021-03-30",75.059998,75.639999,74.334999,75.055,2794200,73.833641
"2021-03-31",76.099998,78.110001,75.82,77.610001,4103400,76.347061
"2021-04-01",78.75,80.190002,78.400002,80.084999,4140600,78.781784
"2021-04-05",81.620003,82.239998,80.455002,81.910004,4198200,80.577087
"2021-04-06",81.220001,82.139999,80.040001,80.370003,2843600,79.062157
"2021-04-07",80.599998,80.974998,79.43,79.855003,2248800,78.555527
"2021-04-08",80.654999,80.949997,79.364998,80.894997,2926000,79.578598
"2021-04-09",80.364998,81.254997,79.964996,80.864998,2659200,79.549088
"2021-04-12",80.175003,80.364998,78.519997,79.385002,2724600,78.093178
"2021-04-13",79.849998,80.279999,77.144997,78.68,3042000,77.399651
"2021-04-14",78.254997,79.739998,77.699997,78.160004,2167400,76.888115
"2021-04-15",79.394997,80.410004,78.580002,80.209999,2732800,78.904755
"2021-04-16",80.040001,80.294998,79.055,79.144997,2504600,77.857079
"2021-04-19",78.849998,79.029999,76.349998,77.014999,2946000,75.761742
"2021-04-20",76.375,76.745003,74.345001,74.864998,3369000,73.646729
"2021-04-21",74.690002,77.470001,73.949997,77.324997,3761600,76.066696
"2021-04-22",77.150002,77.574997,75.235001,75.684998,3307800,74.453384
"2021-04-23",76.485001,78.610001,76.379997,78.190002,4632400,76.917625
"2021-04-26",78.089996,79.980003,77.860001,79.580002,3840600,78.285004
"2021-04-27",79.699997,80.709999,78.650002,78.745003,3685200,77.463593
