"","AMAT.Open","AMAT.High","AMAT.Low","AMAT.Close","AMAT.Volume","AMAT.Adjusted"
"2020-12-11",87.050003,88.589996,86.589996,88.300003,5776400,87.305466
"2020-12-14",88.5,90.519997,88.32,88.5,6425500,87.503197
"2020-12-15",89.900002,90.610001,87.949997,88.470001,6179500,87.473541
"2020-12-16",88.309998,89.25,87.290001,88.550003,5808100,87.552643
"2020-12-17",89.129997,89.239998,87.129997,87.5,5559400,86.514465
"2020-12-18",87.660004,88.150002,85.339996,86.089996,14603100,85.120346
"2020-12-21",84.389999,86.529999,83.800003,86.410004,5226600,85.436745
"2020-12-22",86.550003,86.610001,85.540001,85.639999,3901200,84.675415
"2020-12-23",86.300003,86.5,83.959999,84.029999,4585900,83.083542
"2020-12-24",84.739998,85.389999,84.199997,85.330002,1409200,84.368912
"2020-12-28",86.370003,86.739998,84.559998,84.870003,3018300,83.914085
"2020-12-29",85.019997,85.120003,83.529999,84.269997,4518000,83.320847
"2020-12-30",85.379997,87.57,85.160004,86.980003,6294300,86.000336
"2020-12-31",86.989998,87.059998,85.169998,86.300003,5715900,85.32798
"2021-01-04",87.239998,89.300003,86.150002,86.870003,8449900,85.891571
"2021-01-05",86.400002,89.620003,86.400002,89.599998,6987200,88.590813
"2021-01-06",88.290001,91.900002,88.279999,90.830002,9818000,89.806953
"2021-01-07",92.129997,95.059998,91.989998,94.559998,8784100,93.494934
"2021-01-08",96.290001,97.800003,94.879997,95.559998,9059700,94.483681
"2021-01-11",94.620003,98.300003,94.18,97.959999,8357500,96.856636
"2021-01-12",98.529999,100.870003,98.199997,100.010002,7186100,98.88356
"2021-01-13",100.489998,100.489998,97.959999,98.050003,5310000,96.945641
"2021-01-14",102.830002,106.599998,102.699997,105.800003,11663000,104.608345
"2021-01-15",105.160004,105.419998,101.150002,103.139999,8981200,101.978302
"2021-01-19",105.099998,109.580002,104.389999,109.220001,9362200,107.989822
"2021-01-20",110.110001,110.879997,105.160004,107.839996,9926000,106.625374
"2021-01-21",109.110001,109.279999,106.269997,107.970001,7271400,106.753891
"2021-01-22",108.050003,109.75,106.25,106.330002,6207600,105.132378
"2021-01-25",107.510002,110.099998,107,108.120003,8437500,106.902222
"2021-01-26",108.849998,108.900002,105.269997,105.529999,6029800,104.341393
"2021-01-27",102.099998,104.059998,98.080002,98.580002,9782700,97.469666
"2021-01-28",101.190002,103.349998,99.970001,101.150002,7433000,100.010719
"2021-01-29",100.230003,100.459999,96.07,96.68,7943400,95.591064
"2021-02-01",99.25,102.150002,97.68,101.209999,9083600,100.070045
"2021-02-02",102.989998,103.940002,101.769997,103.589996,5108600,102.423225
"2021-02-03",104.32,104.410004,99.82,99.870003,5399200,98.74514
"2021-02-04",100.209999,103.730003,100.209999,103.239998,6356300,102.077187
"2021-02-05",104.860001,105.199997,100.690002,100.709999,6349300,99.575676
"2021-02-08",101.849998,106.25,101.760002,106.190002,6621400,104.99395
"2021-02-09",106.209999,107.360001,104.779999,105.379997,5769200,104.193069
"2021-02-10",106.940002,108.199997,105.029999,105.879997,5001700,104.687439
"2021-02-11",107.43,114.300003,107.290001,113,12147100,111.727249
"2021-02-12",113,117.82,111.690002,116.699997,8157500,115.385582
"2021-02-16",118.510002,121.129997,117.690002,118.349998,9260100,117.016991
"2021-02-17",116.459999,117.059998,112.089996,115.709999,7225200,114.406723
"2021-02-18",114,115.629997,112.440002,113.43,8239600,112.152405
"2021-02-19",121.610001,124.5,118.900002,119.459999,21054100,118.114494
"2021-02-22",117.970001,119.870003,114.620003,115.230003,7850600,113.932129
"2021-02-23",112.860001,117.800003,110.690002,116.139999,9387900,114.831886
"2021-02-24",115.050003,123.019997,114.419998,122.809998,10098100,121.657204
"2021-02-25",121.169998,121.220001,113.599998,113.93,11352800,112.860565
"2021-02-26",116.529999,120.25,113.440002,118.190002,11626500,117.080582
"2021-03-01",121.18,122.480003,119.459999,122.25,7003000,121.10247
"2021-03-02",121.839996,121.910004,117.239998,117.5,6505000,116.397064
"2021-03-03",118.279999,119.849998,115.099998,115.440002,7257100,114.3564
"2021-03-04",115.339996,116.489998,107.129997,108.239998,12433400,107.223969
"2021-03-05",111.589996,114.339996,105.650002,113.449997,9962700,112.385071
"2021-03-08",112.800003,114.120003,105.5,105.68,12091500,104.688004
"2021-03-09",110.260002,114.949997,109.410004,114.220001,12040800,113.14785
"2021-03-10",115.800003,116.5,112.580002,112.68,8820300,111.622299
"2021-03-11",117.260002,117.849998,115.639999,117.190002,7715500,116.089973
"2021-03-12",114.550003,116.449997,113.330002,114.290001,7426000,113.217186
"2021-03-15",114.629997,115.43,113.099998,114.879997,7061200,113.801651
"2021-03-16",117.029999,121.269997,116.919998,118.5,10383000,117.387672
"2021-03-17",116.190002,121.139999,114.900002,119.900002,8342600,118.774536
"2021-03-18",117.860001,118.779999,114.110001,114.279999,9040500,113.207283
"2021-03-19",114.510002,117.059998,112.139999,114.860001,13044700,113.781837
