"","EW.Open","EW.High","EW.Low","EW.Close","EW.Volume","EW.Adjusted"
"2020-12-22",85.790001,88.440002,85.279999,88,2183600,88
"2020-12-23",88.5,90.059998,88.269997,88.279999,1598300,88.279999
"2020-12-24",88.519997,88.989998,88.150002,88.629997,441500,88.629997
"2020-12-28",88.889999,90.779999,88.889999,90.580002,1451400,90.580002
"2020-12-29",91.389999,92.080002,89.93,90,1476500,90
"2020-12-30",90.5,90.760002,89.290001,89.639999,1115800,89.639999
"2020-12-31",89.760002,91.330002,89.370003,91.230003,1100300,91.230003
"2021-01-04",91.5,91.730003,87.879997,88.919998,2368200,88.919998
"2021-01-05",88.849998,89.419998,88.010002,88.440002,2720500,88.440002
"2021-01-06",87.68,88.449997,86.599998,87.199997,3185800,87.199997
"2021-01-07",87.529999,89.599998,86.790001,89.440002,2494000,89.440002
"2021-01-08",90.040001,91.370003,89.620003,90.669998,1997700,90.669998
"2021-01-11",90.209999,90.330002,89.139999,89.370003,2107100,89.370003
"2021-01-12",89.279999,89.660004,87.599998,87.849998,2193700,87.849998
"2021-01-13",87.550003,89.519997,87.349998,89.260002,1809600,89.260002
"2021-01-14",89.309998,89.650002,87.300003,87.489998,2881200,87.489998
"2021-01-15",87.269997,88.150002,86.839996,87.870003,3128600,87.870003
"2021-01-19",88.669998,89.43,87.800003,87.910004,1976600,87.910004
"2021-01-20",88.32,88.639999,87.370003,88.099998,3561800,88.099998
"2021-01-21",88.169998,88.889999,86.550003,87.230003,1796200,87.230003
"2021-01-22",86.980003,87.379997,85.209999,85.519997,3278900,85.519997
"2021-01-25",85.389999,86.309998,84.599998,85.889999,3297700,85.889999
"2021-01-26",84.599998,87.839996,84.029999,86.540001,2186600,86.540001
"2021-01-27",85.800003,85.989998,84.230003,84.839996,3290000,84.839996
"2021-01-28",82.059998,85.599998,82.010002,83.379997,5277400,83.379997
"2021-01-29",83.010002,83.5,81.620003,82.580002,4292000,82.580002
"2021-02-01",83.540001,83.870003,81.849998,81.919998,2126100,81.919998
"2021-02-02",82.220001,84.720001,82.010002,83.970001,2515000,83.970001
"2021-02-03",83.510002,84.120003,82.449997,83.860001,2174600,83.860001
"2021-02-04",84.540001,86.160004,84.019997,85.43,2441700,85.43
"2021-02-05",85.959999,86.190002,85.019997,85.099998,1969500,85.099998
"2021-02-08",85.150002,86.32,84.610001,86.080002,2167800,86.080002
"2021-02-09",86.300003,86.93,85.370003,85.800003,1486200,85.800003
"2021-02-10",86.010002,86.739998,85.620003,86.389999,2713600,86.389999
"2021-02-11",86.809998,88.110001,86.220001,88.07,2220700,88.07
"2021-02-12",87.269997,87.82,86.68,87.650002,2094000,87.650002
"2021-02-16",88.199997,88.199997,86.129997,86.980003,2274500,86.980003
