"","NOC.Open","NOC.High","NOC.Low","NOC.Close","NOC.Volume","NOC.Adjusted"
"2021-10-29",352,359.660004,352,357.220001,1351100,352.944946
"2021-11-01",357,360.799988,352.920013,354.850006,777800,350.603333
"2021-11-02",357,358.269989,350.339996,353.200012,933300,348.973083
"2021-11-03",350.019989,354.75,349.5,354.109985,675300,349.872162
"2021-11-04",353.269989,359.540009,353.269989,356.660004,988900,352.391663
"2021-11-05",361,366.540009,358.529999,364.369995,1105800,360.009399
"2021-11-08",365,365.459991,360.359985,363.269989,523900,358.922577
"2021-11-09",363.700012,365.950012,360.630005,364.519989,550400,360.157593
"2021-11-10",363.790009,366.899994,361.369995,362.100006,562500,357.766571
"2021-11-11",361.049988,361.600006,357,359.940002,475400,355.632385
"2021-11-12",359.609985,360.880005,358.380005,359.649994,493300,355.345917
"2021-11-15",360.5,361.589996,359.269989,360,961600,355.691681
"2021-11-16",360.459991,361.230011,354.570007,354.600006,801100,350.356323
"2021-11-17",355.440002,356.779999,353.76001,353.959991,784800,349.723999
"2021-11-18",354.359985,354.359985,345.899994,351.420013,1438900,347.214417
"2021-11-19",351.630005,354.5,347.690002,353.130005,789000,348.9039
"2021-11-22",354.440002,365.339996,353.329987,363.149994,943000,358.803986
"2021-11-23",363.589996,368.25,362.01001,364.209991,776000,359.851318
"2021-11-24",364.390015,368.299988,360.799988,361.369995,607000,357.045319
"2021-11-26",352.790009,357.290009,351.730011,353.980011,524200,351.269867
"2021-11-29",355.320007,358.799988,352.630005,356.390015,532700,353.661438
"2021-11-30",354.109985,354.790009,348.329987,348.799988,1276200,346.129486
"2021-12-01",349.619995,352.920013,345.910004,345.980011,712000,343.331116
"2021-12-02",348.440002,355.799988,347.869995,352.570007,700700,349.870667
"2021-12-03",352.600006,358.160004,352.600006,357.839996,746400,355.100311
"2021-12-06",361.220001,367.359985,360.01001,363.959991,1096000,361.173462
"2021-12-07",363.130005,365.070007,360.75,362.670013,919200,359.893341
"2021-12-08",363.540009,367.329987,362.359985,364.089996,467400,361.30246
"2021-12-09",362.589996,368.350006,360.890015,367.859985,753700,365.043579
"2021-12-10",368.200012,371.859985,366,371.059998,480300,368.219086
"2021-12-13",371.220001,378.950012,370.899994,377.329987,904700,374.441071
"2021-12-14",376.649994,382.320007,375.480011,376.220001,906700,373.3396
"2021-12-15",376.73999,379.660004,374.200012,378.820007,672000,375.919708
"2021-12-16",380.190002,383.070007,377.519989,378.720001,721400,375.820465
"2021-12-17",379.480011,380.540009,376.529999,377.459991,1139400,374.570099
"2021-12-20",376.209991,377.170013,367,369.950012,860800,367.117584
"2021-12-21",371.429993,380.190002,370.980011,378.48999,798300,375.592194
"2021-12-22",378.48999,381,378.48999,379.809998,715200,376.9021
"2021-12-23",380.519989,384.170013,380.01001,381.170013,610500,378.251709
"2021-12-27",381.48999,384.820007,381.190002,384.209991,362200,381.268402
"2021-12-28",382.700012,387.950012,382.01001,385.329987,307800,382.379822
"2021-12-29",385.329987,386.75,384.220001,384.98999,365200,382.042419
"2021-12-30",385.75,387.730011,384.200012,384.529999,375900,381.585968
