"","MU.Open","MU.High","MU.Low","MU.Close","MU.Volume","MU.Adjusted"
"2020-09-01",45.529999,45.790001,45.060001,45.759998,14079800,45.496082
"2020-09-02",46.43,48.189999,46.279999,47.830002,24636200,47.554146
"2020-09-03",47.759998,47.830002,45.849998,46.330002,20632800,46.062798
"2020-09-04",46.189999,46.950001,44.889999,46.48,20608500,46.211929
"2020-09-08",44.990002,46.23,44.529999,45.029999,20893600,44.770287
"2020-09-09",45.880001,45.880001,44.450001,45.150002,17529100,44.889603
"2020-09-10",45.470001,45.950001,44.689999,44.869999,13744700,44.611214
"2020-09-11",45.23,46.48,44.959999,46.09,18365500,45.824184
"2020-09-14",48.349998,49.59,48.299999,49.029999,26715400,48.747223
"2020-09-15",49.369999,49.66,48.700001,49.049999,14456000,48.767105
"2020-09-16",49.110001,51.220001,48.959999,50.209999,23542200,49.920414
"2020-09-17",49.16,51.290001,48.810001,50.98,20556900,50.685978
"2020-09-18",51.5,52.169998,49.970001,50.740002,25549000,50.447361
"2020-09-21",49.610001,49.779999,47.889999,49.150002,21257500,48.866531
"2020-09-22",49.27,49.779999,48.779999,49.700001,10845300,49.413364
"2020-09-23",51.009998,51.610001,49.639999,49.849998,19160000,49.562496
"2020-09-24",49.52,50.360001,49.09,49.470001,13842300,49.184685
"2020-09-25",49.57,49.599998,47.779999,49.139999,17773000,48.856586
"2020-09-28",49.639999,49.77,48.130001,49.720001,18904000,49.433243
"2020-09-29",49.709999,51.380001,49.59,50.709999,35676600,50.417534
"2020-09-30",48.950001,49.27,46.830002,46.959999,55392600,46.689163
"2020-10-01",47.099998,48.18,47.049999,47.919998,24460000,47.643623
"2020-10-02",46.860001,47.52,46.5,46.549999,20277500,46.281525
"2020-10-05",46.990002,47.73,46.98,47.599998,16933700,47.32547
"2020-10-06",47.549999,48.830002,47.220001,47.32,17926200,47.047085
"2020-10-07",48.419998,49,48.32,48.41,13889300,48.130798
"2020-10-08",48.990002,50,48.220001,49.900002,14569700,49.612209
"2020-10-09",50.240002,50.599998,49.310001,49.889999,13933700,49.602261
"2020-10-12",50.580002,50.84,50.080002,50.68,13108800,50.387707
"2020-10-13",51.889999,52.75,51.639999,51.849998,22179400,51.550953
"2020-10-14",52.009998,52.25,51.349998,51.630001,15899400,51.33223
"2020-10-15",50.759998,51.970001,50.32,51.939999,14000600,51.640434
"2020-10-16",52.150002,52.549999,51.580002,51.610001,14225400,51.312344
"2020-10-19",51.970001,54,51.299999,52.630001,24176200,52.326462
"2020-10-20",53.139999,54.200001,52.75,53.529999,17343400,53.221268
"2020-10-21",53.299999,53.959999,53.18,53.310001,12922200,53.002541
"2020-10-22",53.290001,54.849998,53.080002,54.380001,14842600,54.066368
"2020-10-23",54.09,54.119999,52.380001,52.849998,16175700,52.545189
"2020-10-26",52.400002,52.889999,51.400002,52.139999,11678900,51.839283
"2020-10-27",52.029999,52.32,51.540001,51.959999,8964800,51.660324
"2020-10-28",50.75,50.849998,49.57,50,15463700,49.711628
"2020-10-29",49.709999,50.91,49.380001,50.48,12420700,50.188858
"2020-10-30",50.009998,50.43,49.299999,50.34,15955700,50.049667
"2020-11-02",50.790001,50.790001,49.439999,49.709999,13103200,49.423298
"2020-11-03",50.130001,51.59,50.009998,51.080002,11429500,50.785397
"2020-11-04",51.73,52.5,50.93,51.959999,13554400,51.660324
"2020-11-05",52.880001,54.779999,52.779999,54.580002,16373600,54.265213
"2020-11-06",54.459999,55.41,54.330002,55.16,13922600,54.841869
"2020-11-09",56.470001,57.830002,55.869999,55.959999,20968500,55.637253
"2020-11-10",55.130001,55.939999,54.360001,55.41,14502100,55.090424
"2020-11-11",55.970001,56.939999,55.849998,56.360001,14765500,56.034946
"2020-11-12",56.599998,56.970001,55.889999,56.25,13785600,55.925583
"2020-11-13",56.790001,58.189999,56.75,57.93,14318800,57.595894
"2020-11-16",59.720001,61.91,59.610001,61.860001,31397200,61.503223
"2020-11-17",61,62.200001,60.299999,61.990002,17703600,61.632477
"2020-11-18",61.5,62.040001,60.630001,60.740002,18734500,60.389687
"2020-11-19",60.040001,61.970001,59.650002,61.830002,12723600,61.4734
"2020-11-20",61.48,62.639999,61.349998,61.400002,14115700,61.045879
"2020-11-23",62.610001,64.5,62.299999,64.18,20612600,63.809845
"2020-11-24",64.290001,64.290001,62.889999,63.950001,22625600,63.581177
"2020-11-25",63.66,64,62.610001,63.43,12468500,63.064175
"2020-11-27",63.830002,64.800003,63.509998,64.230003,7500200,63.859558
"2020-11-30",64.559998,65.25,63.580002,64.089996,20373500,63.720364
"2020-12-01",65.25,68.629997,65.139999,67.080002,36160400,66.693123
"2020-12-02",67.610001,69.389999,66.760002,69.110001,23298900,68.711418
"2020-12-03",70.57,71.120003,69.550003,69.900002,20462300,69.496857
"2020-12-04",71.110001,74.379997,70.540001,73.339996,31860800,72.917015
"2020-12-07",73.290001,73.400002,71.480003,72.610001,17460600,72.191231
"2020-12-08",72,73.550003,71.980003,73.190002,15431100,72.767883
"2020-12-09",73.150002,74.610001,70.779999,71.410004,18367300,70.998146
"2020-12-10",70.139999,71.949997,69.669998,71.279999,15610600,70.868896
"2020-12-11",70.379997,71.32,69.400002,70.529999,15322000,70.123222
"2020-12-14",71.400002,72.199997,71.029999,71.540001,13573700,71.127396
"2020-12-15",72.809998,73.370003,72.330002,73.150002,11538300,72.728119
"2020-12-16",74.190002,74.349998,72.629997,72.989998,13889300,72.569031
"2020-12-17",73.589996,73.739998,71.760002,72.260002,11988100,71.843246
"2020-12-18",72.699997,73.449997,71.059998,71.459999,23912500,71.047859
"2020-12-21",70,71.699997,69.650002,71.470001,13180400,71.057808
"2020-12-22",71.510002,71.779999,69.760002,70.440002,11154200,70.033737
"2020-12-23",70.470001,71.059998,69.889999,69.949997,8524000,69.546562
"2020-12-24",70.309998,70.639999,69.760002,70.580002,4848500,70.172935
"2020-12-28",71.790001,72.110001,70.470001,70.660004,8345200,70.25248
"2020-12-29",71,71.400002,69.139999,70.209999,9403400,69.805069
"2020-12-30",70.419998,72.650002,70.370003,71.919998,11620300,71.505211
"2020-12-31",72.389999,75.68,72.370003,75.18,23214500,74.746399
"2021-01-04",76.480003,78.610001,73.75,74.050003,31155900,73.622932
"2021-01-05",76.440002,78.690002,76.029999,77.260002,33418200,76.814407
"2021-01-06",76.360001,78.449997,76.099998,77.110001,22390900,76.665268
"2021-01-07",78.059998,80.080002,78.050003,79.110001,27945300,78.65374
"2021-01-08",82.540001,84.160004,77.07,77.419998,51272100,76.97348
"2021-01-11",76.589996,79.790001,76.419998,78.669998,19920800,78.216278
"2021-01-12",79.190002,79.620003,77.82,79.459999,18231000,79.001717
"2021-01-13",78.949997,80.389999,78.550003,79.910004,15067700,79.449127
"2021-01-14",80.010002,82.209999,79.550003,81.300003,17639300,80.831108
"2021-01-15",80.919998,81.879997,79.529999,80.720001,14322600,80.254448
"2021-01-19",81.279999,85.68,80.959999,85.5,26602500,85.006882
"2021-01-20",85.93,87.25,83.230003,83.5,21191700,83.018417
"2021-01-21",84,85.099998,82.510002,85.010002,14696200,84.519707
"2021-01-22",84.080002,84.949997,82.230003,82.279999,14229500,81.805458
"2021-01-25",83.190002,83.5,78.889999,81.279999,19283400,80.811226
"2021-01-26",81.790001,81.980003,79.010002,79.510002,13678000,79.051437
"2021-01-27",77.330002,77.589996,74.330002,75.089996,23513400,74.656914
"2021-01-28",77.199997,80.18,76.720001,78.389999,18351400,77.937889
"2021-01-29",78.360001,79.370003,76.949997,78.269997,17934400,77.818581
"2021-02-01",79.589996,81.089996,78.480003,80.43,14900200,79.966125
"2021-02-02",81.260002,81.739998,79.919998,81.620003,11386200,81.149269
