"","CBRE.Open","CBRE.High","CBRE.Low","CBRE.Close","CBRE.Volume","CBRE.Adjusted"
"2021-02-02",64.540001,65.849998,63.630001,65.440002,1620700,65.440002
"2021-02-03",64.839996,66.080002,64.389999,65.669998,1630500,65.669998
"2021-02-04",65.769997,67.900002,65.57,67.660004,1712500,67.660004
"2021-02-05",68.110001,68.190002,66.910004,67.419998,1038000,67.419998
"2021-02-08",67.5,67.970001,66.870003,67.93,811000,67.93
"2021-02-09",68.339996,69.220001,67.419998,67.440002,1107500,67.440002
"2021-02-10",67.57,68.389999,66.989998,68.099998,842900,68.099998
"2021-02-11",68.360001,70.669998,68.07,70.349998,1656000,70.349998
"2021-02-12",69.779999,71.440002,69.739998,71.330002,1693200,71.330002
"2021-02-16",71.519997,71.730003,70.269997,70.559998,2395100,70.559998
"2021-02-17",70.389999,70.419998,69.400002,69.720001,1230800,69.720001
"2021-02-18",69.199997,70.129997,68.720001,69.809998,2134300,69.809998
"2021-02-19",70.540001,73.099998,70.379997,72.739998,2254800,72.739998
"2021-02-22",71.709999,75.949997,71.550003,75.25,3540400,75.25
"2021-02-23",77.910004,82.050003,76.040001,77.879997,5021000,77.879997
"2021-02-24",77.879997,78.290001,76.980003,77.18,2471300,77.18
"2021-02-25",77.32,77.800003,74.080002,74.57,2719900,74.57
"2021-02-26",75.050003,76.650002,74.720001,75.769997,2695900,75.769997
"2021-03-01",76.720001,78.080002,76.190002,77.550003,2273800,77.550003
"2021-03-02",77.760002,78.779999,77,77.989998,2371200,77.989998
"2021-03-03",77.910004,79.400002,77.300003,77.910004,2068100,77.910004
"2021-03-04",78.139999,78.559998,75.330002,76.629997,2262100,76.629997
"2021-03-05",77.120003,78.110001,74.769997,77.279999,1728000,77.279999
"2021-03-08",77.480003,77.769997,75.980003,76.690002,1464500,76.690002
"2021-03-09",77.360001,77.629997,74.900002,74.949997,1980500,74.949997
"2021-03-10",76.040001,77.400002,75.059998,76.809998,1699600,76.809998
"2021-03-11",77.129997,79.120003,76.32,78.559998,1585400,78.559998
