"","JNJ.Open","JNJ.High","JNJ.Low","JNJ.Close","JNJ.Volume","JNJ.Adjusted"
"2020-11-04",139.490005,142.539993,138.699997,139.399994,10263500,133.31694
"2020-11-05",140.550003,141.830002,139.259995,139.759995,8016200,133.661255
"2020-11-06",140.399994,143.190002,139.649994,142.25,5942500,136.042572
"2020-11-09",148.429993,148.990005,144.919998,146.080002,12351600,139.705444
"2020-11-10",147.25,148.75,146.259995,148.279999,7386500,141.809464
"2020-11-11",149.169998,149.199997,146.860001,147.800003,6382400,141.350403
"2020-11-12",147.610001,148.649994,146.75,148.300003,4710300,141.828568
"2020-11-13",149.089996,150.410004,148.410004,149.899994,5893500,143.358734
"2020-11-16",150.919998,151.300003,149.800003,150.850006,6266400,144.267319
"2020-11-17",150,150.630005,149.119995,149.350006,7297700,142.832764
"2020-11-18",148.869995,149.759995,147.369995,147.369995,6661000,140.939148
"2020-11-19",147.300003,147.460007,145.589996,147.139999,7987700,140.719193
"2020-11-20",147.050003,147.940002,146.130005,146.360001,6354900,139.973206
"2020-11-23",146.009995,146.009995,143.039993,143.869995,7318300,138.547974
"2020-11-24",144,144.759995,143.610001,143.869995,11034800,138.547974
"2020-11-25",144.059998,144.169998,142.860001,143.679993,7594600,138.365005
"2020-11-27",144.5,144.660004,143.220001,144,3059000,138.673172
"2020-11-30",144.229996,144.860001,143.059998,144.679993,15663200,139.327988
"2020-12-01",146.289993,149.130005,145.860001,147.449997,9738200,141.995544
"2020-12-02",147.850006,149.710007,147.699997,148.139999,7745500,142.660019
"2020-12-03",148.039993,149.580002,147.690002,149,7310500,143.488205
"2020-12-04",149.789993,150.309998,149.270004,150.270004,6747100,144.711243
"2020-12-07",149.350006,149.910004,148.509995,148.970001,6634700,143.459305
"2020-12-08",150,152.139999,149.550003,151.550003,8339800,145.943893
"2020-12-09",152.830002,153.5,151.759995,153.100006,8440100,147.436554
"2020-12-10",152.820007,152.979996,151.679993,152.25,7392900,146.617966
"2020-12-11",151.529999,153.410004,151.229996,152.949997,5977400,147.292084
"2020-12-14",153.25,153.479996,148.990005,149.070007,8547300,143.555618
"2020-12-15",150,150.75,149.529999,150.570007,7612600,145.000122
"2020-12-16",150.199997,150.919998,149.550003,149.669998,8486100,144.133438
"2020-12-17",150.089996,153.889999,149.960007,153.619995,9920300,147.937286
"2020-12-18",153.649994,155.100006,151.669998,154.509995,17137200,148.794388
"2020-12-21",152.009995,153.410004,150.050003,153.020004,7893400,147.359482
"2020-12-22",152.399994,153.899994,151.860001,152.720001,4699500,147.070602
"2020-12-23",152.800003,153.600006,151.899994,151.940002,4607300,146.319443
"2020-12-24",151.850006,153.039993,151.820007,152.470001,2114900,146.829849
"2020-12-28",153.320007,153.869995,152.300003,153.190002,3855500,147.523224
"2020-12-29",154.110001,154.929993,153.800003,154.139999,5212000,148.43808
"2020-12-30",154.740005,156.380005,154.600006,156.050003,5412800,150.27742
"2020-12-31",156.529999,157.660004,155.110001,157.380005,5099900,151.558228
"2021-01-04",157.240005,157.380005,154.130005,156.5,11765900,150.710785
"2021-01-05",156.25,158.759995,155.070007,158.339996,9602300,152.482712
"2021-01-06",157.240005,160.229996,156.720001,159.830002,8230100,153.917587
"2021-01-07",159,161.029999,158.350006,160.369995,7747200,154.437607
"2021-01-08",160.509995,161.100006,159.880005,160.039993,8228900,154.119827
"2021-01-11",160.559998,161.320007,158.770004,159.369995,7066200,153.474609
"2021-01-12",159.149994,159.660004,157.330002,158.130005,6903200,152.280487
"2021-01-13",158.229996,158.460007,156.75,157.889999,6643100,152.049347
"2021-01-14",160.449997,161.949997,159.610001,160.649994,10030800,154.707245
"2021-01-15",160.300003,161.410004,159.110001,160.300003,7630800,154.370209
"2021-01-19",162,163.039993,161.100006,162.779999,9057600,156.758453
"2021-01-20",163.199997,164.139999,161.800003,162.380005,6839900,156.37326
"2021-01-21",161.320007,162.479996,160.059998,161.729996,6818000,155.747299
"2021-01-22",162.360001,165.160004,161.869995,163.550003,8137000,157.499969
"2021-01-25",165.009995,166.089996,163.660004,165.979996,9924400,159.840088
"2021-01-26",169.699997,173.649994,169.389999,170.479996,14205700,164.173615
"2021-01-27",169.119995,170.919998,167.449997,167.880005,14207300,161.6698
"2021-01-28",168.199997,170.860001,167.800003,169.160004,8944400,162.902451
"2021-01-29",164.259995,166,160.550003,163.130005,22505900,157.095535
"2021-02-01",165.309998,165.309998,162.600006,162.710007,9971400,156.691071
"2021-02-02",163.380005,163.660004,161.179993,161.25,11443300,155.285049
"2021-02-03",160.940002,161.520004,159.570007,160.5,8601900,154.562805
"2021-02-04",161,162.089996,159.759995,161.990005,7758100,155.997681
"2021-02-05",164.860001,165.440002,163.860001,164.449997,9495300,158.366684
"2021-02-08",165.029999,165.919998,163.880005,164.919998,6035300,158.81929
"2021-02-09",165.199997,166.589996,164.970001,166.270004,5544200,160.11937
"2021-02-10",167.889999,167.940002,165.699997,166.809998,5921300,160.639389
"2021-02-11",167,167.380005,165.600006,166.059998,4871300,159.917114
"2021-02-12",164.399994,166.850006,164,166.580002,4413100,160.417892
"2021-02-16",166.580002,167.050003,164.639999,165.070007,5656100,158.96376
"2021-02-17",164.970001,166.089996,164.360001,165.660004,6676700,159.531952
