"","YUM.Open","YUM.High","YUM.Low","YUM.Close","YUM.Volume","YUM.Adjusted"
"2020-11-13",101.129997,103.019997,100.879997,102.870003,1345500,99.761383
"2020-11-16",103.709999,105.889999,103.480003,104.760002,1575500,101.594276
"2020-11-17",103.480003,104.309998,103.010002,104.040001,1000200,100.896042
"2020-11-18",104.419998,105.019997,103.769997,104.169998,1288000,101.02211
"2020-11-19",104.160004,105.400002,103.82,105.269997,1081500,102.08886
"2020-11-20",105.160004,105.459999,104.68,104.989998,1541200,101.817314
"2020-11-23",105.589996,105.839996,104.489998,105,1449100,101.827011
"2020-11-24",105.68,107.309998,105.25,107.190002,1439900,104.418228
"2020-11-25",106.910004,107.279999,105.910004,106.610001,1376700,103.853226
"2020-11-27",107,107.699997,106.800003,107.18,801200,104.408501
"2020-11-30",106.199997,106.489998,105.010002,105.800003,2902800,103.064178
"2020-12-01",106.839996,106.989998,105.519997,106.339996,1726200,103.590202
"2020-12-02",105.870003,105.970001,104.800003,104.980003,1298100,102.265381
"2020-12-03",104.669998,105.230003,104.32,104.519997,1329900,101.817276
"2020-12-04",105.089996,106.150002,104.769997,105.860001,897000,103.122627
"2020-12-07",105.529999,105.690002,104.669998,105.239998,1507200,102.518661
"2020-12-08",104.599998,105.629997,104.480003,105.150002,1421200,102.430992
"2020-12-09",105.599998,106.910004,105.099998,106.57,1431700,103.81427
"2020-12-10",106.160004,107.080002,105.900002,106.459999,1347800,103.707108
"2020-12-11",105.879997,106.5,105.349998,105.989998,1538300,103.249268
"2020-12-14",106.889999,106.889999,105.330002,105.5,2015300,102.771935
"2020-12-15",106.379997,107.650002,105.970001,107.379997,2357700,104.603325
"2020-12-16",107.510002,108.639999,107.169998,107.419998,2412400,104.642288
"2020-12-17",108.730003,108.879997,107.849998,108.790001,2842700,105.97686
"2020-12-18",108.82,110.169998,108.800003,109.779999,4513800,106.941261
"2020-12-21",108.120003,109.449997,106.669998,108.629997,1288900,105.820992
"2020-12-22",108.059998,108.32,107.019997,107.400002,1199300,104.622803
"2020-12-23",107.160004,107.93,106.790001,106.790001,884700,104.028572
"2020-12-24",107.220001,107.690002,106.940002,107.540001,340400,104.759186
"2020-12-28",108.489998,109.849998,107.379997,109.779999,1822900,106.941261
"2020-12-29",109.629997,110.559998,109.400002,109.449997,1818300,106.619789
"2020-12-30",109.349998,110.660004,109.330002,109.510002,1267900,106.678238
"2020-12-31",108.739998,109.18,107.379997,108.559998,1651700,105.7528
"2021-01-04",109.019997,109.019997,104.860001,105.82,2058200,103.083664
"2021-01-05",105.639999,106.349998,105.199997,105.830002,1475300,103.093407
"2021-01-06",105.629997,106.699997,105.389999,106.410004,1352700,103.658409
"2021-01-07",106.5,106.989998,105.279999,105.599998,2222900,102.869354
"2021-01-08",105.809998,107.449997,105.620003,107.150002,1252200,104.379272
"2021-01-11",106.800003,108.040001,106.589996,107.669998,1329100,104.885818
"2021-01-12",107.489998,108.449997,106.480003,107.669998,1182600,104.885818
"2021-01-13",107.120003,107.730003,106.279999,107.150002,1538800,104.379272
"2021-01-14",107.779999,109.660004,107.309998,107.779999,1497600,104.992973
"2021-01-15",107.519997,107.519997,106,106.620003,1163500,103.862976
"2021-01-19",106.959999,108,106.75,107.389999,1748400,104.613068
"2021-01-20",107.650002,109.629997,107.419998,109.410004,1543700,106.580826
"2021-01-21",109.5,109.5,107.870003,107.879997,1199400,105.090378
"2021-01-22",107.360001,107.610001,106.07,107.089996,951400,104.320816
"2021-01-25",106.290001,106.379997,104.260002,105.260002,1495200,102.538147
"2021-01-26",105.650002,107.230003,103.93,106.339996,1834400,103.590202
"2021-01-27",105.540001,105.660004,101.790001,102.019997,1914700,99.38192
"2021-01-28",102.25,104.199997,102.080002,102.529999,1827300,99.878746
"2021-01-29",102.089996,103.239998,101.18,101.489998,1901300,98.865623
