"","GE.Open","GE.High","GE.Low","GE.Close","GE.Volume","GE.Adjusted"
"2021-07-29",105.519997,107.040001,104.720001,106.32,6784563,105.922707
"2021-07-30",105.279999,105.760002,103.360001,103.599998,7507838,103.212868
"2021-08-02",104.480003,107.209999,100.43,100.599998,24885500,100.224083
"2021-08-03",100.199997,103.199997,98.110001,103.059998,14440000,102.674896
"2021-08-04",101.809998,103.449997,101.459999,102.910004,14144300,102.525452
"2021-08-05",103,104.639999,102.519997,103.019997,8130800,102.635033
"2021-08-06",103.360001,105.260002,103.360001,104.519997,10988200,104.129433
"2021-08-09",103.559998,104.269997,102.029999,103.709999,7954700,103.322456
"2021-08-10",103.809998,106.330002,103.199997,106.080002,8056100,105.683609
"2021-08-11",106.209999,106.209999,103.82,106.040001,8305100,105.643761
"2021-08-12",106.190002,107.230003,105.239998,106.519997,6398700,106.121956
"2021-08-13",106.5,106.620003,104.580002,104.919998,5619900,104.527939
"2021-08-16",104.230003,104.300003,102.239998,103.349998,6916200,102.963806
"2021-08-17",102.540001,103.269997,100.360001,101.620003,8177400,101.24028
"2021-08-18",101.080002,103.470001,100.760002,101.410004,6496500,101.031067
"2021-08-19",100,100.82,98.599998,99.419998,10805700,99.048492
"2021-08-20",99.589996,100.669998,99.099998,100.050003,6356700,99.67614
"2021-08-23",100.599998,101.480003,100.269997,100.970001,6007400,100.592705
"2021-08-24",101.290001,103.510002,101.059998,103.269997,6857700,102.884109
"2021-08-25",103.360001,105.129997,102.550003,104.699997,7867100,104.308762
"2021-08-26",104.459999,104.620003,102.839996,103.379997,8166500,102.993698
"2021-08-27",103.900002,106.150002,103.900002,106.089996,7771000,105.693565
"2021-08-30",106.330002,106.459999,104.800003,105.190002,7145700,104.796936
"2021-08-31",104.940002,106.360001,104.459999,105.410004,10990800,105.016113
"2021-09-01",105.360001,105.470001,103.260002,103.660004,7968100,103.272652
"2021-09-02",104,106.339996,103.980003,106.260002,8493700,105.862946
"2021-09-03",106,107.360001,104.080002,104.75,7616900,104.358574
"2021-09-07",104.5,104.940002,102.309998,103.290001,10989500,102.904037
"2021-09-08",102.949997,104.730003,100.419998,102.580002,12001300,102.196693
"2021-09-09",102.360001,104.919998,102.110001,103.290001,9386500,102.904037
"2021-09-10",103.290001,103.949997,101.779999,102,9563600,101.618851
"2021-09-13",102.650002,104.860001,102.019997,104.459999,12484200,104.069656
"2021-09-14",104.540001,104.550003,100.07,100.379997,16022600,100.004913
"2021-09-15",100.790001,102.470001,100.690002,102.160004,8103700,101.778259
"2021-09-16",102.389999,102.699997,100.82,101.339996,5981900,100.961319
"2021-09-17",101.150002,101.860001,100.129997,100.470001,10718000,100.094582
"2021-09-20",98.5,99.870003,97.269997,99.809998,10103800,99.437027
"2021-09-21",99.900002,99.989998,96.209999,96.82,15788600,96.458214
"2021-09-22",97.669998,99.029999,97.660004,98.540001,11216100,98.171783
"2021-09-23",99.529999,104.080002,99.519997,102.959999,11601100,102.575264
"2021-09-24",102.660004,104.199997,102.599998,103.800003,6559500,103.492546
"2021-09-27",104.550003,106.330002,104.389999,105.349998,8081500,105.037949
"2021-09-28",105.290001,106.75,104.730003,105.730003,12551700,105.41684
"2021-09-29",106,107,105.309998,106.279999,7399200,105.965202
"2021-09-30",106.360001,107.089996,102.949997,103.029999,8944200,102.724823
"2021-10-01",104.18,106.389999,103.669998,105.82,8094500,105.506554
"2021-10-04",105.400002,107.080002,104.599998,104.900002,7656200,104.589287
