"","CINF.Open","CINF.High","CINF.Low","CINF.Close","CINF.Volume","CINF.Adjusted"
"2020-09-22",75.110001,76.910004,74.669998,75.879997,980500,72.86274
"2020-09-23",76.010002,77.330002,74.760002,74.949997,1803300,71.969711
"2020-09-24",75.68,77.919998,74.010002,76.309998,6e+05,73.275642
"2020-09-25",75.370003,77.120003,74.540001,76.870003,627600,73.813385
"2020-09-28",78.32,80.07,77.559998,79.019997,793000,75.877892
"2020-09-29",78.239998,78.730003,76.68,77.889999,576400,74.792824
"2020-09-30",78.519997,79.370003,77.330002,77.970001,787800,74.869629
"2020-10-01",77.93,78.769997,76.050003,76.489998,667700,73.448479
"2020-10-02",75.129997,78.209999,75.129997,77.779999,499400,74.687187
"2020-10-05",80.989998,82.790001,80.360001,82.029999,837300,78.768196
"2020-10-06",82.489998,82.709999,79.599998,79.919998,735400,76.742096
"2020-10-07",80.339996,81.209999,78.43,79.440002,697400,76.281197
"2020-10-08",80.019997,81.379997,79.32,80.639999,423900,77.433464
"2020-10-09",81.360001,81.629997,79.330002,79.690002,592600,76.521248
"2020-10-12",80.110001,82.150002,79.830002,81.220001,492300,77.99041
"2020-10-13",80.910004,81.760002,78.790001,79.150002,553200,76.002724
"2020-10-14",79.639999,80.559998,78.75,78.769997,385800,75.637825
"2020-10-15",77.830002,79.209999,77,78.82,613100,75.685837
"2020-10-16",79.040001,79.519997,78.099998,78.580002,539200,75.455383
"2020-10-19",78.900002,79.32,77.580002,77.669998,453100,74.581573
"2020-10-20",78.809998,80.150002,78.050003,79.82,556500,76.64608
"2020-10-21",79.82,84.589996,79.82,84.290001,652800,80.938332
"2020-10-22",81,81,76.099998,76.739998,1820100,73.688553
"2020-10-23",77.300003,78.589996,76.400002,77.400002,1589500,74.322311
"2020-10-26",77.139999,77.400002,76.160004,76.809998,1070600,73.755753
"2020-10-27",77.540001,79.379997,73.599998,73.849998,1209400,70.913467
"2020-10-28",74.629997,74.629997,70.690002,71.169998,1207800,68.340027
"2020-10-29",71.120003,73.120003,70.129997,71.650002,841000,68.800949
"2020-10-30",71.059998,72.260002,69.919998,70.739998,1306600,67.927132
"2020-11-02",72.330002,72.629997,71.199997,72.220001,590500,69.348282
"2020-11-03",73.860001,74.940002,73.290001,73.690002,666400,70.759842
"2020-11-04",71.870003,73.720001,71.209999,72.290001,775800,69.415489
"2020-11-05",72.220001,75.300003,72.010002,74.550003,476700,71.585625
"2020-11-06",74.839996,75.089996,73.709999,74.25,420300,71.297562
"2020-11-09",81.879997,87.900002,81.629997,85.730003,1371900,82.321075
"2020-11-10",85.25,87.099998,84.669998,86.639999,994300,83.194885
