"","FRC.Open","FRC.High","FRC.Low","FRC.Close","FRC.Volume","FRC.Adjusted"
"2020-12-04",131.309998,131.720001,129.399994,129.490005,704000,128.267395
"2020-12-07",129.279999,130.229996,128.75,130.130005,1003000,128.901352
"2020-12-08",129.5,130.270004,129,130.130005,749300,128.901352
"2020-12-09",130.770004,131.059998,128.929993,129.770004,722000,128.544754
"2020-12-10",128.649994,130.509995,128.600006,130.320007,780900,129.089539
"2020-12-11",128.860001,130.389999,128.729996,129.630005,645500,128.406067
"2020-12-14",131.360001,131.490005,129.199997,129.259995,770500,128.039566
"2020-12-15",130.539993,134.210007,130.289993,134.160004,1005200,132.893311
"2020-12-16",134.190002,135.779999,133.529999,135.279999,1417500,134.002731
"2020-12-17",135.490005,138.330002,134.610001,138.100006,920200,136.796112
"2020-12-18",138.160004,138.300003,134.919998,135.779999,1912700,134.498001
"2020-12-21",135.869995,136.639999,133.070007,135.75,972300,134.468262
"2020-12-22",136.220001,137.850006,135.570007,136.649994,854700,135.359772
"2020-12-23",137.589996,140.559998,137.220001,140.460007,625900,139.13382
"2020-12-24",140.5,140.809998,139.130005,140.529999,185700,139.20314
"2020-12-28",141.979996,143.229996,140.740005,142.669998,684600,141.322952
"2020-12-29",142.449997,143.009995,141.029999,142.399994,653500,141.055481
"2020-12-30",142.880005,145.020004,142.619995,144.809998,707800,143.442734
"2020-12-31",144.869995,147.240005,143.710007,146.929993,683800,145.542725
"2021-01-04",147.25,147.940002,144.029999,147.220001,1012500,145.829987
"2021-01-05",146.729996,149.160004,145.800003,148.669998,843200,147.266296
"2021-01-06",152,157.270004,151.669998,156.149994,1651100,154.675659
"2021-01-07",158.119995,161.160004,158.119995,160.119995,1154500,158.6082
"2021-01-08",160.080002,162.160004,159.080002,161.889999,853200,160.361465
"2021-01-11",160.380005,163.990005,158.660004,163.630005,926300,162.085068
"2021-01-12",164.220001,164.919998,161.960007,163.300003,1241800,161.758179
"2021-01-13",162.660004,162.839996,160.639999,161.25,1926400,159.727509
"2021-01-14",164.419998,166.820007,157.350006,158.039993,1685800,156.547806
"2021-01-15",155.520004,156.470001,151.649994,153.710007,1085000,152.258713
"2021-01-19",153.970001,156.149994,153.320007,155,1558800,153.536514
"2021-01-20",154.869995,155.800003,153.679993,155.589996,920200,154.120956
"2021-01-21",155.660004,155.729996,153.449997,154.059998,957200,152.605408
"2021-01-22",152.710007,156.75,152.710007,156.529999,1092500,155.052078
"2021-01-25",155.119995,156.649994,153.470001,156.440002,909700,154.962952
"2021-01-26",156.979996,157.729996,152.639999,152.729996,411300,151.287964
"2021-01-27",149.910004,150.770004,146.259995,147.050003,846900,145.852585
"2021-01-28",148.220001,150.089996,147.529999,147.639999,1022000,146.437775
"2021-01-29",147.320007,148.149994,143.600006,144.990005,1114600,143.809372
"2021-02-01",146.610001,146.960007,144.960007,146.270004,836900,145.078949
"2021-02-02",147.729996,152.380005,147.339996,152.139999,748000,150.901138
"2021-02-03",151.630005,153.470001,150.929993,152.75,892700,151.506165
"2021-02-04",153.130005,157.020004,153.130005,156.210007,816400,154.938019
"2021-02-05",157.100006,157.889999,155.770004,155.789993,497300,154.521408
"2021-02-08",156.830002,156.830002,154.339996,156.339996,709200,155.066956
"2021-02-09",155.880005,156.759995,155.110001,155.300003,743100,154.035431
"2021-02-10",155.779999,158.360001,154.490005,155.779999,719500,154.51152
"2021-02-11",156.339996,157.399994,153.559998,155,607600,153.737854
"2021-02-12",155.399994,156.119995,154.369995,155.389999,625500,154.124695
"2021-02-16",157.270004,163.570007,157.259995,163.100006,1063100,161.771896
"2021-02-17",162.470001,164.449997,161.669998,163.149994,999900,161.821487
"2021-02-18",162.300003,164.570007,161.589996,161.720001,820400,160.403137
"2021-02-19",162.320007,167.449997,162.100006,166.940002,1617800,165.580627
"2021-02-22",166.940002,170.029999,166.490005,169.800003,1149700,168.417358
"2021-02-23",171.479996,173.839996,169.970001,172.710007,1342700,171.30365
"2021-02-24",173.830002,178.460007,172.869995,178.229996,1268100,176.778671
"2021-02-25",179.589996,180.350006,172.259995,172.899994,1455400,171.492096
"2021-02-26",171.389999,172.380005,164.559998,164.75,1658400,163.408478
"2021-03-01",167.479996,173.339996,165.889999,172.520004,867200,171.115204
"2021-03-02",166.399994,167.809998,165,165.5,1946400,164.152359
"2021-03-03",166.919998,167.490005,164.660004,165.029999,1324900,163.686188
"2021-03-04",164.699997,168.740005,163.350006,166.369995,1518000,165.015259
"2021-03-05",170,170.320007,163.330002,167.100006,1260900,165.739319
"2021-03-08",169.029999,176.5,168.429993,172.729996,1306700,171.323471
"2021-03-09",172.25,172.669998,166.889999,169.770004,767500,168.387589
"2021-03-10",170.059998,174,169.800003,170.699997,723600,169.310013
"2021-03-11",169.419998,171.289993,169.259995,171,713800,169.607559
"2021-03-12",173.5,174.940002,172.419998,174.160004,686500,172.741852
"2021-03-15",174.100006,174.210007,169.100006,170.580002,708200,169.190979
"2021-03-16",170.820007,170.880005,168.190002,170.360001,858200,168.972778
"2021-03-17",171.880005,172.279999,167.490005,170.039993,813500,168.65538
"2021-03-18",172.570007,174.309998,169.720001,170.75,904400,169.359619
"2021-03-19",168.880005,170.820007,166.080002,168.929993,2060600,167.554428
"2021-03-22",168.449997,168.449997,165.5,166.960007,1008100,165.600494
"2021-03-23",165.339996,167.729996,163.880005,164.850006,960100,163.50766
"2021-03-24",166.800003,168.710007,165.389999,165.470001,746800,164.12262
"2021-03-25",165.679993,169.199997,163.380005,168.220001,589200,166.85022
"2021-03-26",170.139999,170.539993,168.039993,170.089996,857800,168.705002
"2021-03-29",167.240005,168.720001,165.089996,165.899994,851500,164.549088
"2021-03-30",166.929993,169.880005,166.830002,168.070007,631600,166.701447
"2021-03-31",167.899994,168.899994,166.470001,166.75,790100,165.392181
"2021-04-01",166.199997,167.979996,165.550003,167.940002,608200,166.572479
"2021-04-05",169.419998,170.350006,166.419998,167.470001,465500,166.106323
"2021-04-06",167.990005,169.710007,167.440002,169.039993,510200,167.663513
"2021-04-07",169.869995,169.869995,168.139999,169.009995,447300,167.633774
"2021-04-08",168.039993,171.520004,167.440002,170.220001,782900,168.833923
"2021-04-09",172.139999,173.550003,171.080002,171.800003,551300,170.401062
"2021-04-12",171.990005,174.029999,171.839996,173.119995,774300,171.710312
"2021-04-13",171.990005,172.720001,169.679993,169.929993,1150600,168.546265
"2021-04-14",168.110001,174.839996,167.520004,173.110001,841300,171.700378
"2021-04-15",172.600006,176.910004,170.550003,176.830002,1043600,175.390091
"2021-04-16",178,180.259995,178,179.619995,844600,178.157379
"2021-04-19",179.490005,180.979996,175.259995,175.639999,639400,174.209793
"2021-04-20",174.259995,175.509995,171.339996,172.619995,792300,171.214371
"2021-04-21",171.850006,174.910004,171.449997,174.759995,717600,173.336945
"2021-04-22",174.539993,175.419998,172.289993,172.660004,713700,171.254074
"2021-04-23",172.240005,180.309998,172.240005,179.119995,820200,177.661438
"2021-04-26",180.350006,182.509995,180.210007,181.130005,504400,179.65509
"2021-04-27",181.460007,182.380005,179.710007,181.970001,492400,180.488251
"2021-04-28",182.380005,184.100006,181.800003,182.960007,520700,181.68985
"2021-04-29",185.020004,187.149994,184.399994,186.160004,584200,184.86763
"2021-04-30",184.559998,185.880005,182.690002,183.240005,768500,181.967911
"2021-05-03",185.059998,185.630005,181.130005,181.259995,465300,180.001633
"2021-05-04",181.100006,184.380005,178.660004,184.130005,511500,182.851715
"2021-05-05",184.270004,186.899994,182.5,186.490005,460700,185.195343
"2021-05-06",186.679993,187.979996,185.179993,186.910004,546100,185.612411
"2021-05-07",184.25,188.770004,183.800003,187.869995,435600,186.565735
"2021-05-10",189.229996,191.759995,188.550003,188.639999,625900,187.330414
"2021-05-11",187.119995,190.179993,185.179993,186.320007,588200,185.02652
"2021-05-12",189.479996,189.490005,182.929993,183.029999,672600,181.759354
"2021-05-13",181.75,188.630005,181.75,187.559998,562600,186.257904
"2021-05-14",187.669998,190.089996,187.210007,188.770004,637700,187.459503
"2021-05-17",187.470001,190.449997,187.229996,190.070007,398700,188.750488
"2021-05-18",190.080002,191.479996,187,187.059998,392600,185.761353
"2021-05-19",185.960007,185.960007,182.330002,185.759995,802300,184.470398
"2021-05-20",186.279999,187.589996,183.660004,186.649994,387400,185.354233
"2021-05-21",187.5,190.850006,187.130005,189.669998,545200,188.353241
"2021-05-24",190.160004,191.419998,188.75,190.460007,464300,189.137756
"2021-05-25",190.710007,192.050003,187.869995,188.270004,516700,186.962982
"2021-05-26",189.710007,189.710007,187.429993,188.529999,401100,187.221161
"2021-05-27",190.729996,192.160004,190.380005,191.660004,499100,190.329453
"2021-05-28",192.259995,192.759995,189.910004,191.440002,472800,190.110977
"2021-06-01",194.520004,194.520004,190.729996,191.580002,624400,190.25
"2021-06-02",193.779999,193.779999,191.339996,192.889999,457400,191.550903
"2021-06-03",192.600006,195.380005,192.580002,194.119995,500700,192.772354
"2021-06-04",193.910004,195.289993,193.020004,195.020004,317500,193.666107
"2021-06-07",195.320007,195.550003,193.800003,194.479996,346100,193.129868
"2021-06-08",193.360001,195.789993,192.100006,195.029999,439200,193.676041
"2021-06-09",193.440002,195.259995,192.850006,194.649994,509300,193.29866
"2021-06-10",196.770004,197.380005,191.919998,191.929993,583200,190.597549
"2021-06-11",192.179993,193.070007,190.139999,190.770004,643700,189.445618
"2021-06-14",190.259995,190.509995,184.759995,186.179993,1110400,184.887482
"2021-06-15",186.410004,187.589996,184.279999,187.320007,663200,186.019577
"2021-06-16",186.110001,187.610001,183.350006,186.610001,1032700,185.314499
"2021-06-17",187.949997,188.020004,180.339996,181.389999,974100,180.130753
"2021-06-18",178.580002,180.199997,177.419998,178.350006,1507700,177.111862
"2021-06-21",180.339996,184.229996,179.759995,183.600006,779400,182.325409
"2021-06-22",183.589996,185.100006,181.800003,183.940002,901500,182.663025
"2021-06-23",184.979996,185.990005,183.149994,184.5,500400,183.219162
