"","LLY.Open","LLY.High","LLY.Low","LLY.Close","LLY.Volume","LLY.Adjusted"
"2021-02-18",205.300003,205.419998,200.949997,201.119995,3919400,197.452332
"2021-02-19",201.130005,202.880005,200.330002,200.919998,3434900,197.255966
"2021-02-22",199.179993,201.610001,197.960007,200.679993,2263600,197.020325
"2021-02-23",200.309998,204.309998,198.679993,202.479996,3287700,198.787506
"2021-02-24",201.669998,206.460007,201.630005,204.520004,2848800,200.790298
"2021-02-25",203.570007,205.550003,201.75,203.820007,2386700,200.103088
"2021-02-26",206.699997,206.990005,202.059998,204.889999,3887900,201.153549
"2021-03-01",205.779999,208.240005,204.779999,206.470001,2797400,202.704758
"2021-03-02",208.889999,209.949997,204.100006,204.139999,3445300,200.417252
"2021-03-03",203.369995,204.309998,199.710007,202,3660300,198.316269
"2021-03-04",203.789993,204.740005,198.610001,200.539993,4308400,196.882889
"2021-03-05",201.020004,207.669998,200.880005,206.919998,3875900,203.14653
"2021-03-08",207,210.889999,206.320007,207.029999,3300300,203.254532
"2021-03-09",208.339996,212.160004,206.059998,206.110001,4227300,202.351318
"2021-03-10",206.889999,208.039993,204.389999,205.449997,3400200,201.703339
"2021-03-11",206.509995,207.25,204.270004,205.210007,4037300,201.467728
"2021-03-12",204.889999,208.460007,202.279999,208.080002,4541400,204.285385
"2021-03-15",193.009995,193.179993,188.199997,189.160004,12388500,185.710419
"2021-03-16",191.539993,191.619995,187.229996,190.899994,6194200,187.418686
"2021-03-17",189.729996,189.830002,186.559998,186.729996,5134200,183.324738
"2021-03-18",186.020004,187.089996,183.800003,183.929993,4240000,180.57579
"2021-03-19",184.699997,185.800003,183.880005,184.289993,6048600,180.92923
"2021-03-22",184.050003,185.910004,183.199997,185.839996,2666600,182.450958
"2021-03-23",185.350006,186.660004,183.25,183.679993,3284700,180.330353
"2021-03-24",183.699997,183.839996,179.820007,180.169998,3931500,176.884369
"2021-03-25",181,183.639999,180.220001,183.089996,2630500,179.751129
"2021-03-26",184.050003,185.910004,182.630005,185.309998,2868200,181.930618
"2021-03-29",184.660004,187.669998,183.509995,186.339996,3002600,182.941833
"2021-03-30",185.529999,186.860001,184.710007,185.5,2523600,182.117172
"2021-03-31",185.570007,187.940002,185.259995,186.820007,3621300,183.413116
"2021-04-01",186.820007,188.070007,184.660004,185.240005,2340400,181.861923
"2021-04-05",185.589996,185.899994,183.100006,184.889999,2864800,181.51828
"2021-04-06",184.690002,185.630005,182.490005,182.800003,2488400,179.466415
"2021-04-07",182.899994,183.179993,181.220001,182.320007,3406600,178.995163
"2021-04-08",182.949997,183.970001,182.470001,182.610001,2393200,179.279861
"2021-04-09",182.529999,185.139999,182.410004,184.490005,2611200,181.125595
"2021-04-12",183.429993,183.940002,180.880005,181.820007,2876100,178.504288
"2021-04-13",181.179993,183.639999,181.179993,182.529999,3089100,179.20134
"2021-04-14",182.589996,184.470001,182.050003,183,2002100,179.66275
"2021-04-15",183.789993,187.720001,183.410004,185.919998,2586600,182.52951
"2021-04-16",187.380005,190.300003,186.880005,189.25,3731800,185.798767
"2021-04-19",189.240005,190.880005,188.070007,189.639999,2966400,186.181671
"2021-04-20",190.410004,193.5,190.169998,190.610001,2460900,187.133987
"2021-04-21",191.559998,193.009995,189.800003,190.949997,2219800,187.467773
"2021-04-22",190,191.270004,186.75,187.050003,2982600,183.638931
"2021-04-23",187.029999,189.130005,187.029999,188.720001,2482800,185.278458
"2021-04-26",188.570007,188.649994,186.059998,187.220001,2797500,183.805801
"2021-04-27",184,185.869995,180.789993,182.210007,6838700,178.887161
"2021-04-28",181.449997,182,178.580002,180.550003,4682800,177.257446
"2021-04-29",181.059998,182.630005,180,182.199997,2432500,178.877335
