"","MSI.Open","MSI.High","MSI.Low","MSI.Close","MSI.Volume","MSI.Adjusted"
"2021-03-30",188.350006,188.949997,185.889999,186.610001,495500,183.506393
"2021-03-31",187.399994,189.470001,186.610001,188.050003,680900,184.922455
"2021-04-01",188.330002,189.460007,187,188.360001,582000,185.227295
"2021-04-05",189.869995,192.839996,188.759995,191.339996,780500,188.15773
"2021-04-06",189.800003,190.389999,187.809998,188.699997,634300,185.561615
"2021-04-07",189.360001,191.720001,188.5,189.929993,617400,186.771164
"2021-04-08",190.229996,190.789993,188.470001,190.460007,598500,187.292374
"2021-04-09",190.809998,191.270004,189.460007,191.059998,604200,187.88237
"2021-04-12",189.580002,190.669998,187.100006,187.789993,771700,184.666763
"2021-04-13",187.179993,188.830002,185.699997,188.490005,698900,185.355133
"2021-04-14",188.809998,188.809998,185.809998,187.350006,693000,184.2341
"2021-04-15",187.449997,189.649994,186.979996,188.169998,580000,185.040466
"2021-04-16",189.5,189.5,187.830002,188.600006,601900,185.463303
"2021-04-19",189.110001,189.110001,187.160004,187.660004,572200,184.53894
"2021-04-20",186.070007,186.820007,184.660004,185.270004,593400,182.18869
"2021-04-21",185.800003,187.300003,185.229996,186.479996,681800,183.378571
"2021-04-22",185.919998,188.490005,185.029999,187.429993,513100,184.312744
"2021-04-23",188.889999,190.839996,187.279999,189.979996,540600,186.820343
"2021-04-26",189.940002,190.320007,188.190002,190.199997,527900,187.036713
"2021-04-27",189.380005,190.839996,188.770004,189.75,645200,186.594177
"2021-04-28",189.979996,190.970001,188.130005,188.600006,524800,185.463303
"2021-04-29",189.220001,190.050003,188.869995,189.229996,453500,186.082809
"2021-04-30",188.449997,189.160004,186.970001,188.300003,729400,185.168274
"2021-05-03",188.779999,189.029999,187.130005,188.759995,737100,185.620636
"2021-05-04",188.039993,188.809998,186.020004,186.559998,580400,183.457214
"2021-05-05",187.240005,187.550003,184.869995,185.759995,759100,182.670532
"2021-05-06",185.429993,188.449997,184.550003,188.029999,822400,184.902756
"2021-05-07",189.259995,199.399994,189.229996,199.070007,1440900,195.759171
"2021-05-10",199.940002,203.179993,199.210007,200.410004,1063700,197.076889
"2021-05-11",198.410004,202.050003,198.360001,201.710007,977000,198.355286
"2021-05-12",200.080002,200.639999,194.199997,194.339996,988400,191.107834
"2021-05-13",195.479996,198.389999,193.929993,197.539993,842100,194.254593
"2021-05-14",199.029999,202.940002,197.639999,201.880005,520500,198.52243
"2021-05-17",200.600006,202.350006,199.570007,200.649994,387600,197.312897
