"","SO.Open","SO.High","SO.Low","SO.Close","SO.Volume","SO.Adjusted"
"2021-03-04",57.810001,58.689999,57.02,57.41,4843400,54.600857
"2021-03-05",57.57,58.639999,57.060001,58.349998,4435200,55.494862
"2021-03-08",59.150002,59.869999,58.610001,59.610001,7440100,56.693211
"2021-03-09",59.700001,59.959999,59.240002,59.41,4703100,56.502995
"2021-03-10",59.41,60.200001,59.290001,59.779999,4075700,56.854889
"2021-03-11",59.57,60.150002,59.25,59.279999,3351000,56.379353
"2021-03-12",59.580002,60.220001,59.330002,59.84,4062400,56.911957
"2021-03-15",60,61.130001,59.860001,60.98,3470200,57.996174
"2021-03-16",60.779999,61.450001,60.619999,61.25,4410500,58.25296
"2021-03-17",61.25,61.279999,60.669998,60.700001,3850300,57.729874
"2021-03-18",60.709999,60.91,59.82,60.400002,4042900,57.444557
"2021-03-19",59.799999,60.279999,58.529999,59.700001,8891400,56.778805
"2021-03-22",59.5,59.889999,59.279999,59.689999,3026900,56.769295
"2021-03-23",59.759998,60.970001,59.52,60.630001,3601400,57.6633
"2021-03-24",60.279999,61.290001,60.189999,60.689999,3485600,57.720364
"2021-03-25",61,61.810001,60.720001,61.380001,4303700,58.376602
"2021-03-26",61.34,61.740002,60.869999,61.66,2929100,58.642902
"2021-03-29",61.66,62.599998,61.580002,62.32,4505600,59.270607
"2021-03-30",62.02,62.029999,61.150002,61.540001,3008300,58.52877
"2021-03-31",61.630001,62.279999,61.5,62.16,4346900,59.118435
"2021-04-01",62.25,62.330002,61.580002,62.330002,3396300,59.280125
"2021-04-05",62.200001,62.970001,62.200001,62.66,3104000,59.593967
"2021-04-06",62.450001,63.150002,62.259998,63.110001,2879900,60.021957
"2021-04-07",63.139999,63.360001,62.599998,62.799999,2311400,59.727119
"2021-04-08",62.939999,63.330002,62.68,62.860001,3717500,59.784184
"2021-04-09",62.970001,63.139999,62.68,62.73,2641800,59.660545
"2021-04-12",62.82,63.220001,62.630001,62.889999,3240900,59.812717
"2021-04-13",62.5,63.860001,62.5,63.560001,4413500,60.449936
"2021-04-14",63.380001,63.93,63.259998,63.889999,3455000,60.763783
"2021-04-15",63.919998,64.610001,63.68,64.489998,4773900,61.334423
"2021-04-16",65,65.260002,64.57,65.010002,5307800,61.828983
"2021-04-19",65.019997,65.139999,64.400002,64.919998,3555000,61.743385
"2021-04-20",64.910004,66.400002,64.82,66.089996,4870900,62.856133
"2021-04-21",66.18,66.400002,65.389999,65.730003,3331700,62.513748
"2021-04-22",65.629997,65.940002,65.050003,65.099998,3975400,61.914574
"2021-04-23",65.18,65.639999,65.050003,65.330002,3885800,62.133324
"2021-04-26",65.459999,65.459999,64.519997,64.660004,3924700,61.496109
"2021-04-27",64.580002,64.650002,64.18,64.330002,2967900,61.182255
"2021-04-28",64.389999,64.629997,64.089996,64.339996,3610200,61.191765
"2021-04-29",64.190002,65.339996,64.099998,65.160004,5034800,61.971649
"2021-04-30",65.370003,66.230003,65.010002,66.169998,5414000,62.93222
"2021-05-03",66.18,66.699997,65.830002,66.050003,3764600,62.818092
"2021-05-04",66.220001,66.709999,65.849998,66.419998,3815300,63.169991
"2021-05-05",66.209999,66.300003,64.870003,65.449997,4259400,62.247448
"2021-05-06",65.589996,66.169998,65.230003,66.050003,3333600,62.818092
"2021-05-07",65.919998,66.510002,65.800003,66.260002,3608800,63.017811
"2021-05-10",66.449997,66.93,66.290001,66.309998,3753400,63.065365
"2021-05-11",66.300003,66.459999,65.43,65.800003,4057700,62.58033
"2021-05-12",65.650002,65.730003,64.309998,64.360001,3781500,61.210789
"2021-05-13",64.510002,66.160004,64.400002,65.730003,3533700,62.513748
"2021-05-14",65.160004,65.559998,65.050003,65.110001,3859600,62.552177
"2021-05-17",65.110001,65.669998,64.400002,64.440002,4449900,61.908501
"2021-05-18",64.449997,64.779999,64.099998,64.160004,4955800,61.6395
"2021-05-19",63.720001,64,63.02,63.98,4758900,61.466572
"2021-05-20",64,64.57,63.790001,64.059998,3520000,61.543427
"2021-05-21",64.260002,64.589996,63.849998,64.379997,6245500,61.850853
"2021-05-24",64.629997,64.779999,64.220001,64.419998,2566200,61.889278
"2021-05-25",64.400002,64.43,63.73,64.080002,3634500,61.562641
"2021-05-26",63.990002,64.059998,63.599998,63.720001,2895300,61.216785
"2021-05-27",63.939999,63.970001,63.529999,63.66,5675000,61.159138
"2021-05-28",64,64.139999,63.73,63.919998,3754600,61.408928
"2021-06-01",64.129997,64.18,63.310001,63.43,4008900,60.938175
