"","PM.Open","PM.High","PM.Low","PM.Close","PM.Volume","PM.Adjusted"
"2021-11-03",93.910004,94.809998,93.519997,94.730003,2463500,91.067192
"2021-11-04",94.410004,94.510002,93.309998,93.720001,2332400,90.096245
"2021-11-05",94.25,95.25,94.129997,94.300003,2784100,90.653816
"2021-11-08",94.580002,94.830002,92.790001,92.889999,4623600,89.298332
"2021-11-09",93.269997,94.349998,92.580002,93.669998,4050800,90.048172
"2021-11-10",94.190002,94.57,93.860001,94.379997,3450400,90.730721
"2021-11-11",94.650002,95.169998,94.410004,95,3580700,91.326752
"2021-11-12",95.459999,95.940002,94.720001,94.760002,3110200,91.096024
"2021-11-15",95,95.529999,94.830002,95.360001,2543100,91.672829
"2021-11-16",95.129997,95.339996,92.980003,93.07,3960000,89.471375
"2021-11-17",93.050003,93.900002,92.849998,93.589996,5320300,89.971268
"2021-11-18",93.260002,93.419998,90.980003,91.550003,5606700,88.010147
"2021-11-19",91.839996,91.839996,89.470001,90.400002,5700900,86.90461
"2021-11-22",90.790001,91.410004,89.099998,89.779999,8059100,86.308586
"2021-11-23",90,90.239998,89.360001,89.650002,6103400,86.183617
"2021-11-24",89.809998,91.110001,89.610001,90.029999,5066500,86.54892
"2021-11-26",88.910004,89,88.029999,88.68,2668800,85.251114
"2021-11-29",88.110001,88.709999,86.720001,87.349998,7245500,83.972542
"2021-11-30",86.279999,86.959999,85.639999,85.940002,7378500,82.617065
"2021-12-01",86.980003,88.809998,86.660004,86.870003,6109900,83.511101
"2021-12-02",87.639999,88.879997,87.32,87.839996,5763000,84.443588
"2021-12-03",88.629997,89.510002,87.949997,89.379997,7368200,85.924049
"2021-12-06",90.059998,91.800003,90.010002,91.389999,6774300,87.856339
"2021-12-07",91.360001,92.230003,90.269997,90.410004,6151000,86.91423
"2021-12-08",90.82,91.029999,89.550003,89.889999,5111100,86.41433
"2021-12-09",89.540001,90.169998,89.209999,89.5,4594000,86.039406
"2021-12-10",89.849998,90.57,89.849998,90.040001,4885900,86.558533
"2021-12-13",89.860001,92.309998,89.669998,91.669998,8055600,88.125504
"2021-12-14",91.43,92.599998,90.75,91.919998,10371700,88.365829
"2021-12-15",92,93.199997,91.809998,92.730003,6460800,89.144524
"2021-12-16",92.830002,94.57,92.75,94.379997,6832400,90.730721
"2021-12-17",93.919998,94.650002,92.949997,93.449997,10263400,89.836678
"2021-12-20",92.809998,92.970001,91.769997,92.860001,4284500,89.269493
"2021-12-21",93.510002,93.779999,92.879997,93.040001,4583500,89.442535
"2021-12-22",91.610001,92.949997,91.419998,92.910004,4877400,90.53389
"2021-12-23",93,93.5,92.639999,92.93,2926800,90.553375
"2021-12-27",92.870003,93.559998,92.610001,93.540001,2036600,91.147774
"2021-12-28",93.389999,94.150002,93.290001,93.860001,2622100,91.459595
"2021-12-29",93.949997,94.690002,93.75,94.300003,3238600,91.888344
"2021-12-30",94.459999,94.720001,94.209999,94.260002,2973800,91.849365
"2021-12-31",94.209999,95.190002,94.050003,95,3219400,92.570442
"2022-01-03",94.889999,95.800003,94.440002,95.730003,4790300,93.281776
