"","EQR.Open","EQR.High","EQR.Low","EQR.Close","EQR.Volume","EQR.Adjusted"
"2020-12-09",62.560001,62.810001,60.709999,61.27,2260600,57.923252
"2020-12-10",60.799999,61.580002,59.759998,59.790001,2850600,56.52409
"2020-12-11",59.310001,59.990002,58.509998,58.939999,2352400,55.720528
"2020-12-14",59.369999,59.900002,57.900002,57.900002,2201500,54.737331
"2020-12-15",58.209999,59.330002,57.389999,59.32,3224600,56.079765
"2020-12-16",59.200001,60.200001,58.25,59.049999,4229000,55.824512
"2020-12-17",59.5,60.200001,58.639999,59.639999,3216400,56.382286
"2020-12-18",59.369999,59.860001,57.150002,57.650002,5468700,54.500992
"2020-12-21",56.650002,57.959999,56.080002,57.860001,3801700,54.699516
"2020-12-22",57.880001,58,57.27,57.849998,2737400,54.690063
"2020-12-23",58,58.759998,57.02,57.07,1332400,53.952671
"2020-12-24",57.48,58.27,57.049999,58.200001,638100,55.020943
"2020-12-28",58.380001,59.450001,58.119999,59.419998,1648200,56.174305
"2020-12-29",59.52,59.82,58.290001,58.360001,2182000,55.172207
"2020-12-30",58.389999,59.16,58.349998,58.959999,1357300,55.739437
"2020-12-31",58.639999,59.330002,57.82,59.279999,1423100,56.621029
"2021-01-04",59.380001,60.080002,57.220001,57.5,4564500,54.920872
"2021-01-05",57.439999,57.720001,56.790001,57.049999,2481700,54.491055
"2021-01-06",57.599998,59.049999,57.299999,58.610001,2667600,55.981083
"2021-01-07",58.290001,58.330002,57.52,57.900002,2243700,55.302933
"2021-01-08",57.990002,58.389999,57.59,58.259998,2095600,55.646778
"2021-01-11",58.150002,58.369999,57.080002,58.049999,2628800,55.446205
"2021-01-12",58.049999,58.779999,57.43,58.549999,2550500,55.923775
"2021-01-13",58.709999,59.779999,58.369999,59.57,1679700,56.898018
"2021-01-14",59.93,60.880001,59.57,60.389999,3212700,57.68124
"2021-01-15",60.459999,61.68,60.080002,61.59,3297400,58.827415
"2021-01-19",61.959999,61.959999,60.259998,60.310001,2090800,57.604832
"2021-01-20",60.310001,62.43,59.880001,61.669998,2321300,58.903828
"2021-01-21",61.110001,62,60.610001,61.810001,2282400,59.037552
"2021-01-22",61.5,62.209999,61.18,61.560001,1721700,58.798763
"2021-01-25",61.220001,62.169998,60.59,61.669998,1626200,58.903828
"2021-01-26",61.810001,63.099998,61.669998,62.630001,2258400,59.82077
"2021-01-27",62.110001,62.830002,60.540001,60.799999,2372300,58.072853
"2021-01-28",60.860001,63.389999,60.630001,62.360001,2493700,59.562881
"2021-01-29",61.830002,63.080002,61.09,61.639999,3771700,58.875175
"2021-02-01",61.860001,62.169998,60.369999,62.169998,2432400,59.381397
"2021-02-02",62.27,62.709999,61.59,61.880001,1897100,59.104404
"2021-02-03",61.57,63.209999,61.09,63.080002,2651400,60.250584
"2021-02-04",62.869999,64.720001,62.23,64.120003,4483700,61.243938
"2021-02-05",64.489998,65.129997,63.82,64.959999,3066400,62.046257
"2021-02-08",64.959999,66.360001,64.330002,66.080002,3881000,63.116024
"2021-02-09",67.510002,67.510002,65.720001,65.940002,1925700,62.9823
"2021-02-10",66,67.07,65.629997,66.809998,2179800,63.813263
"2021-02-11",67.389999,67.82,65.110001,67.760002,3302600,64.720673
"2021-02-12",67.209999,67.779999,66.669998,67.480003,1974100,64.453224
"2021-02-16",67.480003,67.5,66.540001,67.18,1983200,64.166672
"2021-02-17",67.059998,67.059998,66.260002,66.860001,1479800,63.861031
"2021-02-18",66.550003,66.879997,66.150002,66.489998,1202000,63.507622
"2021-02-19",66.610001,67.389999,66.339996,66.970001,2193200,63.966091
"2021-02-22",66.809998,67.599998,66.360001,66.879997,2122200,63.880131
"2021-02-23",67.419998,68.93,66.879997,68.519997,2543300,65.446571
"2021-02-24",68.68,69.800003,68.239998,69.349998,2713700,66.239342
"2021-02-25",69.25,69.5,66.32,66.730003,2885300,63.73687
"2021-02-26",66.730003,66.910004,65.370003,65.410004,3725400,62.476082
"2021-03-01",66.580002,67.75,66.330002,66.75,2725900,63.755962
"2021-03-02",66.339996,67.410004,65.93,67,2957800,63.994755
"2021-03-03",67.080002,69.07,67.019997,68.57,4312100,65.494339
"2021-03-04",68.599998,69.050003,66.949997,67.720001,2336100,64.682449
"2021-03-05",68.059998,69.07,67.010002,68.860001,1889000,65.771324
"2021-03-08",69.260002,71.650002,68.629997,70.93,3717600,67.748482
"2021-03-09",70.910004,71.720001,70.529999,70.830002,2493300,67.652962
"2021-03-10",71.160004,71.93,69.279999,71.419998,1830900,68.216492
"2021-03-11",70.889999,72.550003,70.889999,71.610001,2377500,68.39798
"2021-03-12",72.029999,73.489998,72.029999,73.440002,2740800,70.145889
"2021-03-15",73.57,75.510002,72.949997,75.059998,3464500,71.69323
"2021-03-16",76.129997,76.129997,73.330002,73.779999,4730300,70.47065
"2021-03-17",73.790001,74.330002,73.089996,73.879997,2773900,70.566147
"2021-03-18",73.589996,73.959999,73.120003,73.5,2998100,70.203201
"2021-03-19",73.269997,73.290001,71.379997,71.43,4741400,68.226051
"2021-03-22",71.150002,72.260002,70.760002,72.029999,1873400,68.799133
"2021-03-23",72.260002,72.400002,71.379997,71.809998,2899500,68.588997
"2021-03-24",70.489998,72.57,70.099998,71.529999,3121500,68.321564
"2021-03-25",71.260002,72.32,70.639999,72.110001,2669100,68.875549
"2021-03-26",71.940002,72.769997,71.5,72.68,3082000,70.005379
"2021-03-29",72.269997,72.75,71.599998,72.279999,2530900,69.620094
"2021-03-30",72.300003,73,72.139999,72.830002,1344700,70.149857
"2021-03-31",72.160004,72.660004,71.410004,71.629997,2316700,68.994019
"2021-04-01",72.010002,72.620003,71.43,72.510002,1753800,69.841629
"2021-04-05",72.82,72.949997,71.269997,72.150002,2412300,69.494888
"2021-04-06",71.910004,72.129997,71.220001,71.599998,3748400,68.965126
"2021-04-07",71.900002,72.559998,71.379997,72.339996,1717700,69.677895
"2021-04-08",72.110001,72.440002,71.580002,71.760002,1482500,69.11924
"2021-04-09",71.779999,72.089996,71.290001,71.690002,1621000,69.051804
"2021-04-12",71.82,72.029999,70.900002,71.779999,1713000,69.138496
"2021-04-13",71.339996,72.209999,71.010002,72.139999,1344200,69.485252
"2021-04-14",72.120003,72.510002,71.339996,71.389999,1089000,68.762848
"2021-04-15",71.709999,72.349998,71.589996,72.230003,1974100,69.571953
"2021-04-16",72.589996,72.82,71.889999,72.620003,2071200,69.947594
"2021-04-19",72.93,73.089996,72.309998,73.029999,1429400,70.342506
"2021-04-20",72.870003,74.339996,72.830002,74.089996,2100500,71.363495
"2021-04-21",74.230003,75.150002,73.639999,74.870003,1626800,72.114799
"2021-04-22",74.879997,75.099998,73.889999,73.980003,1688200,71.257545
"2021-04-23",74.059998,74.910004,73.550003,74.580002,2009000,71.835464
"2021-04-26",75,75.43,74.639999,74.720001,1609200,71.970314
"2021-04-27",74.75,74.75,73.900002,74.379997,2088500,71.642822
"2021-04-28",74.230003,74.400002,73.400002,73.629997,1747400,70.920418
"2021-04-29",74.07,74.599998,73.010002,73.540001,3295500,70.833733
"2021-04-30",73.43,74.360001,73.110001,74.230003,1872900,71.498344
"2021-05-03",74.730003,74.779999,73.190002,73.400002,1641400,70.698891
"2021-05-04",73.449997,73.940002,71.870003,72.330002,2865100,69.668266
"2021-05-05",72,72.050003,70.980003,71.93,1971900,69.282982
"2021-05-06",72.290001,73.769997,72.190002,73.580002,1499600,70.872269
"2021-05-07",73.290001,74.400002,73.279999,74.050003,1593000,71.324974
"2021-05-10",74.529999,75.269997,74.169998,74.599998,1089600,71.854729
"2021-05-11",74.169998,74.760002,73.449997,74.190002,1464100,71.459824
"2021-05-12",74.510002,74.510002,71.620003,71.980003,2618700,69.331146
"2021-05-13",72,74.379997,71.910004,73.82,1951000,71.103432
"2021-05-14",73.949997,74.360001,73.529999,74.07,1652100,71.344231
"2021-05-17",74.050003,74.339996,73.57,73.970001,1709300,71.24791
"2021-05-18",73.519997,74.870003,73.220001,74.489998,2147900,71.748772
"2021-05-19",74.059998,74.120003,72.660004,73.5,1792500,70.795204
"2021-05-20",73.449997,74.690002,73.269997,74.519997,1304700,71.777664
"2021-05-21",74.599998,75.169998,74.43,75,2522700,72.240013
"2021-05-24",75.529999,76.739998,75.370003,76.18,2591900,73.376587
"2021-05-25",76.209999,76.480003,75.839996,76.160004,2043500,73.357323
"2021-05-26",76,76.860001,75.910004,76.389999,1902000,73.57885
"2021-05-27",76.68,76.959999,76.480003,76.690002,8639200,73.867813
"2021-05-28",77.089996,77.769997,76.699997,77.449997,2286500,74.599838
"2021-06-01",78.230003,79.25,77.830002,79.220001,2165200,76.304718
"2021-06-02",79.620003,80.080002,79.129997,80,2736600,77.056
"2021-06-03",79.739998,79.940002,79.230003,79.510002,2279100,76.584045
"2021-06-04",79.650002,79.800003,78.779999,78.879997,2774400,75.977211
"2021-06-07",79.18,79.769997,78.889999,79.459999,2459400,76.535881
"2021-06-08",79.739998,80.470001,79.550003,79.669998,1471500,76.738152
"2021-06-09",80.059998,80.059998,79.18,79.349998,1510000,76.429932
"2021-06-10",79.519997,82.050003,79.209999,80.800003,3180300,77.826561
"2021-06-11",80.800003,80.910004,80.190002,80.75,1974000,77.778404
"2021-06-14",80.209999,80.940002,80.029999,80.910004,1285100,77.932518
"2021-06-15",80.629997,80.849998,79.660004,79.709999,1640600,76.77668
"2021-06-16",79.730003,80.120003,79.120003,79.190002,3237000,76.275818
"2021-06-17",79.169998,79.18,78.349998,78.989998,2450900,76.083168
"2021-06-18",78.629997,79.529999,77.540001,77.629997,4093000,74.773216
"2021-06-21",78.110001,79.769997,77.879997,79.360001,1898200,76.43956
"2021-06-22",79.440002,79.559998,78.779999,79.059998,2144700,76.150589
"2021-06-23",79.129997,79.440002,78.839996,79.040001,1571400,76.13134
"2021-06-24",78.980003,79.220001,78.029999,78.5,1921200,75.611214
"2021-06-25",77.900002,78.599998,77.629997,78.57,2378700,76.264465
"2021-06-28",78.57,78.699997,77.040001,77.739998,1358700,75.458809
"2021-06-29",77.639999,78.169998,77.5,77.559998,1593800,75.284088
"2021-06-30",77.739998,78.279999,76.809998,77,2074900,74.740532
"2021-07-01",77.120003,78.709999,76.889999,78.019997,1867600,75.730598
"2021-07-02",78.199997,78.879997,78.010002,78.449997,1661800,76.14798
"2021-07-06",78.410004,79.059998,77.620003,78.910004,2081300,76.59449
"2021-07-07",78.599998,79.800003,78.330002,79.57,2264800,77.235115
"2021-07-08",79.199997,80.379997,78.559998,80.360001,1388200,78.00193
"2021-07-09",80.949997,81.760002,80.480003,81.709999,1431400,79.312309
"2021-07-12",81.540001,82.489998,81.279999,82.410004,1266500,79.991776
"2021-07-13",82.239998,82.239998,80.720001,81.25,1054700,78.865814
"2021-07-14",81.349998,82.910004,81.349998,82.760002,1556100,80.331512
"2021-07-15",82.75,83.379997,82.5,83.220001,1165900,80.778008
"2021-07-16",83.449997,84.029999,83.400002,83.760002,1985100,81.30217
"2021-07-19",82.860001,83.300003,81.610001,82.400002,1890600,79.982079
"2021-07-20",82.75,85.260002,82.449997,84.879997,2260800,82.38929
"2021-07-21",85.029999,85.470001,84.550003,84.709999,1300400,82.224289
"2021-07-22",84.269997,84.5,83.510002,83.900002,1587100,81.438057
"2021-07-23",84.300003,84.919998,83.970001,84.82,1191900,82.331062
"2021-07-26",84.550003,85.199997,83.860001,84.489998,1210200,82.010742
"2021-07-27",84.580002,85.32,83.910004,84.839996,1425100,82.350479
"2021-07-28",84.830002,85.830002,84,84.160004,2267800,81.690437
"2021-07-29",84.519997,85.019997,84.18,84.470001,1256400,81.991333
"2021-07-30",84.82,85.75,84.120003,84.129997,2843600,81.661301
"2021-08-02",84.769997,85.489998,83.720001,83.919998,1906400,81.457466
"2021-08-03",84,84.379997,83.360001,84.339996,1066500,81.865143
"2021-08-04",84.25,84.449997,83.739998,84,975800,81.535126
"2021-08-05",84.82,84.93,83.730003,84.620003,1218500,82.13694
"2021-08-06",85.290001,85.580002,84.440002,84.68,875200,82.195168
"2021-08-09",84.260002,84.43,83.400002,83.629997,816000,81.17598
"2021-08-10",83.559998,83.730003,82.059998,82.099998,1430400,79.69088
"2021-08-11",82.510002,82.550003,81.489998,81.940002,1436600,79.535568
"2021-08-12",82.239998,82.379997,81.68,81.989998,1057300,79.584106
"2021-08-13",82.139999,82.809998,81.82,82.660004,735600,80.234444
"2021-08-16",82.389999,83.330002,81.949997,82.629997,707200,80.205322
"2021-08-17",82.150002,82.620003,81.610001,82.540001,758000,80.117966
"2021-08-18",82.260002,82.510002,81.660004,81.730003,1026100,79.331734
"2021-08-19",81.360001,82.849998,81.059998,82.379997,1119100,79.962662
"2021-08-20",82.160004,83.050003,81.599998,82.510002,1418800,80.088844
"2021-08-23",82.599998,83.040001,81.900002,82.339996,959100,79.923828
"2021-08-24",82.480003,82.480003,81.040001,81.769997,942300,79.370552
"2021-08-25",81.769997,82.639999,81.269997,81.959999,1876600,79.554985
"2021-08-26",82.330002,83.290001,82.160004,82.790001,1282500,80.360634
"2021-08-27",83.360001,83.860001,82.580002,83.349998,1013100,80.904198
"2021-08-30",83.379997,84.529999,83.209999,84.360001,1172200,81.88456
"2021-08-31",84.230003,84.410004,83.849998,84.07,2131600,81.603073
"2021-09-01",84,85.620003,83.739998,85.559998,2072400,83.049339
"2021-09-02",85.800003,86.040001,84.839996,85.980003,2007800,83.457024
"2021-09-03",85.650002,85.839996,84.459999,85.589996,1227900,83.078468
"2021-09-07",85.480003,85.480003,82.599998,83.339996,1468700,80.894493
"2021-09-08",82.879997,84.489998,82.599998,84.019997,1452900,81.554535
"2021-09-09",83.529999,83.68,82.360001,82.470001,1273700,80.050026
"2021-09-10",82.75,82.75,81.400002,81.410004,1411000,79.021126
"2021-09-13",81.940002,83.010002,81.75,81.949997,1338800,79.54528
"2021-09-14",82.25,82.589996,81.339996,81.779999,1322400,79.380272
"2021-09-15",81.839996,82.580002,81.559998,81.980003,1384500,79.574394
"2021-09-16",81.980003,82.410004,81.32,81.779999,1602200,79.380272
"2021-09-17",81.5,82.190002,80.230003,80.260002,4448400,77.904869
"2021-09-20",79.709999,80.800003,79.300003,80.620003,2692600,78.254303
"2021-09-21",81.150002,81.900002,80.639999,80.699997,1508400,78.331947
"2021-09-22",81.540001,82.129997,81.260002,81.370003,1649400,78.9823
"2021-09-23",82.120003,83.269997,81.959999,82.43,1639000,80.0112
"2021-09-24",81.440002,82.610001,81.440002,81.540001,1283400,79.73056
"2021-09-27",81.82,82.449997,80.059998,80.089996,1810700,78.312737
"2021-09-28",79.550003,80.790001,78.860001,80.370003,1662400,78.586525
"2021-09-29",80.559998,82.510002,80.559998,81.550003,1426400,79.740341
"2021-09-30",81.870003,81.989998,80.120003,80.919998,1999900,79.124321
"2021-10-01",81.620003,81.800003,80.209999,81.550003,1804700,79.740341
"2021-10-04",81.349998,83.349998,81.279999,82.989998,1796100,81.148376
"2021-10-05",83.389999,83.699997,82.290001,83.18,2115600,81.334167
"2021-10-06",82.839996,83.919998,81.010002,83.739998,1496600,81.881737
"2021-10-07",84,84.669998,83.43,83.629997,1605800,81.774178
"2021-10-08",83.489998,84.139999,82.589996,82.730003,1092600,80.89415
"2021-10-11",83.139999,83.309998,81.730003,82.739998,1225600,80.903931
"2021-10-12",82.760002,83.910004,82.639999,83.230003,1389700,81.383064
"2021-10-13",83.07,84.220001,82.459999,84.029999,1064700,82.165306
"2021-10-14",84.519997,85.370003,84.459999,85.239998,982600,83.348457
"2021-10-15",85.639999,85.870003,84.089996,84.580002,1540300,82.70311
"2021-10-18",84.089996,85.18,84.010002,84.809998,2212900,82.927994
"2021-10-19",84.900002,84.900002,83.910004,84,803800,82.135971
"2021-10-20",84.269997,85.279999,83.900002,85.239998,941200,83.348457
"2021-10-21",85.360001,85.360001,84.589996,85.089996,792600,83.201782
"2021-10-22",85.449997,86.089996,85.099998,85.410004,1341700,83.514687
"2021-10-25",85.57,85.730003,84.599998,85.260002,1037800,83.368011
"2021-10-26",85.220001,86.470001,84.68,86.010002,947000,84.101364
"2021-10-27",85.639999,87.779999,85.639999,87.150002,2257500,85.216064
"2021-10-28",87.260002,88.080002,86.959999,88.010002,2357500,86.056992
"2021-10-29",87.790001,88.040001,86.010002,86.400002,1978200,84.482719
"2021-11-01",86.209999,86.389999,84.150002,85.139999,1272200,83.250664
"2021-11-02",85.440002,85.669998,83.660004,84.419998,1571200,82.546646
"2021-11-03",84.550003,85.029999,84.059998,84.620003,1292700,82.742218
"2021-11-04",84.75,84.889999,83.139999,83.540001,1145600,81.686172
"2021-11-05",84.510002,85.43,84.120003,84.459999,1543100,82.585762
"2021-11-08",84.580002,84.75,83.379997,84.739998,977700,82.859543
"2021-11-09",84.919998,85.709999,84.449997,85.660004,967400,83.75914
"2021-11-10",85.540001,85.980003,85.290001,85.489998,791700,83.592911
"2021-11-11",85.660004,86.029999,85.089996,86.010002,621500,84.101364
"2021-11-12",86.260002,86.959999,85.769997,86.440002,927500,84.521828
"2021-11-15",86.470001,88.019997,86.339996,88,768500,86.047211
"2021-11-16",88,88.089996,86.519997,86.690002,1227900,84.766289
"2021-11-17",86.379997,87.290001,83.75,87.169998,1512300,85.235626
"2021-11-18",87.25,88.07,86.849998,88.010002,1275900,86.056992
"2021-11-19",87.879997,87.879997,85.470001,86.040001,1511300,84.130707
"2021-11-22",86,86.389999,85.199997,85.220001,1581800,83.328903
"2021-11-23",85.480003,87.139999,85.190002,86.660004,881800,84.736946
"2021-11-24",86.599998,88.080002,86.510002,87.82,1067900,85.871208
"2021-11-26",86.449997,86.779999,84.019997,84.269997,1231100,82.399971
"2021-11-29",85.110001,86.779999,84.660004,86.220001,1837300,84.306709
"2021-11-30",85.589996,86.760002,85.040001,85.309998,3748200,83.416901
"2021-12-01",86.389999,86.5,82.599998,82.660004,2299000,80.825714
"2021-12-02",83.089996,85.839996,82.690002,85.510002,2023400,83.612465
"2021-12-03",85.529999,85.830002,84.110001,85.040001,1395500,83.152893
"2021-12-06",85.839996,87.059998,85.139999,86.160004,1081600,84.248039
"2021-12-07",86.43,86.989998,83.699997,86.150002,2564600,84.238266
"2021-12-08",86.339996,87.830002,85.849998,87.589996,1475900,85.646301
"2021-12-09",87.540001,87.540001,86.440002,86.629997,1573400,84.707603
"2021-12-10",87.120003,87.43,86.260002,86.860001,1344600,84.932503
"2021-12-13",86.769997,88.360001,86.379997,87.970001,1853800,86.017883
"2021-12-14",88.169998,88.349998,86.160004,87.059998,2905400,85.128067
"2021-12-15",87.459999,89.550003,87.150002,89.230003,2099100,87.249916
"2021-12-16",90,90,87.43,88.129997,1673700,86.174316
"2021-12-17",88.160004,88.629997,87.290001,87.650002,2847200,85.704979
"2021-12-20",86.660004,87.510002,85.910004,86.730003,1338200,84.805397
"2021-12-21",87.209999,88.709999,87.209999,87.980003,1195300,86.027649
"2021-12-22",88.120003,88.879997,87.82,88.449997,1307400,86.487213
"2021-12-23",88.610001,89.110001,87.57,88.18,1276000,86.223213
"2021-12-27",88.379997,89.410004,87.900002,89.379997,986100,87.396584
"2021-12-28",89.260002,90.139999,89.099998,89.900002,752500,87.905045
"2021-12-29",90.110001,90.68,89.220001,90.550003,668800,88.540627
"2021-12-30",90.449997,91.139999,90.230003,90.540001,793800,88.530838
"2021-12-31",90.099998,91.199997,90.059998,90.5,1113400,89.085037
"2022-01-03",90.779999,91.190002,89.190002,91.059998,1430500,89.636284
"2022-01-04",91.519997,93.029999,91.379997,92.25,1551500,90.807678
"2022-01-05",92.25,92.5,90.25,90.459999,1949500,89.045662
"2022-01-06",91.040001,91.449997,90.25,90.720001,1509700,89.301598
"2022-01-07",90.239998,90.800003,89.43,89.650002,1426700,88.248337
"2022-01-10",89.330002,90.610001,88.940002,89.68,1698900,88.277863
