"","FBHS.Open","FBHS.High","FBHS.Low","FBHS.Close","FBHS.Volume","FBHS.Adjusted"
"2021-02-09",91,92.519997,90.769997,91.769997,852500,90.138
"2021-02-10",92.260002,92.449997,89.410004,90.120003,768600,88.517342
"2021-02-11",90.57,91.010002,88.949997,90.419998,480000,88.812012
"2021-02-12",89.800003,90.82,88.529999,89.839996,942900,88.242325
"2021-02-16",89.790001,89.870003,85.940002,86,875100,84.470612
"2021-02-17",86.089996,86.410004,84.25,85.739998,1222500,84.215233
"2021-02-18",85.760002,86.699997,85.080002,85.830002,635200,84.30365
"2021-02-19",86.32,87.879997,86.040001,87.550003,484200,85.993057
"2021-02-22",86.57,88.309998,86.080002,86.940002,688400,85.393898
"2021-02-23",86.309998,87.75,84.519997,87.540001,982200,85.983223
"2021-02-24",86.889999,88.480003,86.120003,87.25,972100,85.69838
"2021-02-25",86.660004,87.290001,83.010002,83.480003,1249600,82.240501
"2021-02-26",83.830002,84.779999,83.080002,83.139999,1665200,81.905548
"2021-03-01",83.989998,87.419998,83.989998,86.209999,832400,84.92997
"2021-03-02",86.440002,86.629997,84.43,85.220001,1018200,83.954666
"2021-03-03",84.910004,85.419998,83.25,83.419998,1073200,82.181389
"2021-03-04",83.150002,84.739998,80.400002,82.410004,986500,81.186394
"2021-03-05",83.18,86.160004,81.639999,85.760002,981800,84.486641
"2021-03-08",86,88.089996,85.169998,86.959999,1033800,85.668831
"2021-03-09",87.279999,88.459999,87.019997,87.5,656600,86.200806
"2021-03-10",88,90.650002,87.279999,89.889999,778400,88.555321
"2021-03-11",90.720001,91.339996,89.129997,89.449997,755200,88.121857
"2021-03-12",89.099998,90.160004,88.82,89.540001,614900,88.210518
"2021-03-15",89.260002,90.690002,87.790001,90.589996,491700,89.244926
"2021-03-16",90.669998,90.860001,89.040001,89.489998,742900,88.161255
"2021-03-17",89.870003,91.370003,88.690002,91.349998,895800,89.993645
"2021-03-18",91.099998,93.32,90.769997,91.639999,1428200,90.279343
"2021-03-19",91.839996,92.360001,90.519997,91.5,1415200,90.141418
"2021-03-22",91.5,91.589996,88.699997,90.709999,849200,89.363144
"2021-03-23",89.779999,91.25,87.209999,87.519997,715000,86.22052
"2021-03-24",88.199997,90.169998,88.040001,88.370003,726900,87.057899
"2021-03-25",88.279999,90.940002,87.199997,90.730003,564300,89.382858
"2021-03-26",91,94.120003,90.650002,93.989998,965400,92.594444
"2021-03-29",94,94.970001,93.510002,94.059998,1126200,92.663406
"2021-03-30",93.660004,96.25,93.620003,96,1088900,94.574608
"2021-03-31",96.080002,97.129997,95.800003,95.82,1128100,94.397278
"2021-04-01",96.220001,97.279999,95.82,97.150002,1005300,95.707535
"2021-04-05",98.260002,98.75,96.699997,97.779999,714100,96.328171
"2021-04-06",97.900002,98.660004,97.220001,98.550003,846100,97.086746
"2021-04-07",98.68,98.809998,97.739998,98.360001,750000,96.899567
"2021-04-08",98.400002,98.800003,97.769997,98.440002,856900,96.978378
"2021-04-09",99,101.599998,98.290001,100.690002,766100,99.194977
"2021-04-12",100.669998,101.760002,100.669998,101.019997,674900,99.520065
"2021-04-13",100.849998,100.849998,98.709999,99.910004,522500,98.426552
"2021-04-14",99.580002,100.669998,99.279999,99.980003,658400,98.495522
"2021-04-15",100.599998,101.629997,100.459999,101.300003,954700,99.795921
"2021-04-16",102.160004,103.730003,102.010002,103.220001,771300,101.687401
"2021-04-19",103.470001,103.559998,101.699997,102.510002,709900,100.987946
"2021-04-20",102.07,102.720001,99.279999,100.639999,768400,99.145714
"2021-04-21",100.589996,102.339996,100.589996,101.989998,731900,100.47567
"2021-04-22",102.309998,103.400002,101.599998,102.529999,867700,101.007652
"2021-04-23",102.809998,105.139999,102.489998,104.900002,808400,103.342461
"2021-04-26",105.459999,106.379997,104.43,104.879997,1041500,103.322746
"2021-04-27",104.940002,106.150002,104.910004,105.110001,642200,103.549332
"2021-04-28",105.120003,105.220001,103.650002,103.779999,762800,102.239082
