"","MAS.Open","MAS.High","MAS.Low","MAS.Close","MAS.Volume","MAS.Adjusted"
"2020-10-26",54.209999,54.310001,53.049999,53.950001,1932700,52.675663
"2020-10-27",54.119999,54.16,52.869999,53.57,2629500,52.304638
"2020-10-28",53.23,56.639999,52.740002,53.77,3158400,52.499916
"2020-10-29",53.990002,54.41,52.889999,53.970001,1998000,52.69519
"2020-10-30",53.990002,54.400002,52.139999,53.599998,2374500,52.333927
"2020-11-02",54.169998,55.16,53.93,54.740002,1802500,53.447002
"2020-11-03",55.290001,56.330002,55.049999,55.959999,1355200,54.63818
"2020-11-04",56.130001,58.16,55.580002,57.32,1672900,55.966057
"2020-11-05",58.200001,58.790001,57.580002,57.669998,1384500,56.307793
"2020-11-06",57.889999,58.23,57.200001,58.07,2002800,56.698345
"2020-11-09",60.02,60.049999,53.720001,53.740002,3089400,52.470623
"2020-11-10",53.619999,54.380001,52.990002,53.57,3255900,52.304638
"2020-11-11",54.060001,54.759998,53.34,54.650002,2445900,53.359127
"2020-11-12",54.529999,54.919998,53.700001,54.080002,1609200,52.802593
"2020-11-13",54.450001,55.490002,54.439999,55.150002,1331600,53.847317
"2020-11-16",55.540001,56.099998,55.029999,55.290001,1783700,53.984016
"2020-11-17",55.130001,56.029999,54.619999,55.720001,1656100,54.403851
"2020-11-18",55.799999,55.860001,54.560001,55.029999,1696100,53.730148
"2020-11-19",54.759998,55.860001,54.66,55.240002,985000,53.935196
"2020-11-20",55.130001,55.240002,54,54.599998,1638600,53.310307
"2020-11-23",54.900002,55.400002,54.23,55.200001,1488800,53.896137
"2020-11-24",55.5,55.740002,54.560001,54.630001,2254000,53.3396
"2020-11-25",54.639999,55.009998,53.619999,54.16,1374400,52.880699
"2020-11-27",54.290001,54.700001,53.889999,54.240002,763200,52.958809
"2020-11-30",53.91,54.43,52.990002,53.669998,2379900,52.402271
"2020-12-01",54.16,54.689999,53.759998,53.830002,2808300,52.558498
"2020-12-02",53.549999,53.810001,51.580002,51.82,2878400,50.59597
"2020-12-03",51.709999,52.689999,51.549999,52.060001,1808100,50.830303
"2020-12-04",52.200001,52.360001,51.529999,51.59,2175000,50.371407
"2020-12-07",51.880001,52.68,51.689999,52.630001,2493400,51.386845
"2020-12-08",52.560001,52.740002,52.040001,52.130001,1982900,50.898655
"2020-12-09",52.759998,54.07,52.360001,54.049999,3145800,52.773296
"2020-12-10",53.84,54.5,53.139999,54.459999,3085500,53.173615
"2020-12-11",54.259998,55.139999,54.099998,54.349998,3305200,53.066216
"2020-12-14",54.459999,55.290001,54.459999,55.060001,2966300,53.759445
"2020-12-15",55.119999,55.299999,54.490002,54.75,2147500,53.456764
"2020-12-16",54.889999,55.91,54.459999,54.509998,2478600,53.222431
"2020-12-17",54.59,55.799999,54.41,55.279999,1593600,53.974243
"2020-12-18",55.060001,55.740002,54.869999,55.59,3934200,54.276924
"2020-12-21",54.93,55.98,54.419998,55.77,2062000,54.452675
"2020-12-22",55.849998,57.240002,55.830002,56.630001,2295800,55.292355
"2020-12-23",56.540001,57.009998,56.169998,56.23,1609500,54.901802
"2020-12-24",56.610001,56.830002,56.23,56.790001,674600,55.448582
"2020-12-28",57.349998,57.349998,55.32,55.389999,1524800,54.08165
"2020-12-29",55.66,55.849998,54.169998,54.650002,1296300,53.359127
