"","HLT.Open","HLT.High","HLT.Low","HLT.Close","HLT.Volume","HLT.Adjusted"
"2020-10-02",84.910004,88.019997,84.610001,87.959999,1644000,87.859848
"2020-10-05",88.449997,90.010002,87.860001,89.300003,1342600,89.198326
"2020-10-06",90.279999,92.389999,89.379997,89.599998,2128000,89.497978
"2020-10-07",90.410004,92.150002,90.410004,91.720001,2108500,91.61557
"2020-10-08",92.279999,92.93,91.139999,92.540001,2202500,92.434631
"2020-10-09",93,94.099998,91.260002,91.370003,1654800,91.265968
"2020-10-12",91.440002,91.779999,90.389999,91.349998,1411700,91.245987
"2020-10-13",90.800003,91.300003,88.190002,88.639999,2085700,88.53907
"2020-10-14",89,90.230003,87.800003,88.300003,2230200,88.199463
"2020-10-15",87.360001,88.699997,86.419998,88.68,1330100,88.579025
"2020-10-16",88.879997,90.099998,88.519997,89.5,1901800,89.398094
"2020-10-19",89.650002,90.839996,86.970001,87.550003,1557500,87.450317
"2020-10-20",88.529999,90.470001,87.769997,89.57,2279200,89.46801
"2020-10-21",89.330002,89.629997,88.199997,88.970001,3418900,88.868698
"2020-10-22",90.209999,94.43,89.709999,94.389999,4377300,94.282524
"2020-10-23",94.800003,95.669998,94.160004,94.610001,2407400,94.502274
"2020-10-26",92.919998,93,88.470001,90.379997,2002800,90.277084
"2020-10-27",90.25,90.459999,87.470001,87.669998,1667000,87.570175
"2020-10-28",85.980003,86.650002,83.839996,84.019997,2279500,83.924332
"2020-10-29",84.019997,87.449997,83.620003,86.510002,2546300,86.411499
"2020-10-30",85.760002,88.080002,84.779999,87.809998,2336000,87.710014
"2020-11-02",88,88.510002,86.519997,88,2352800,87.899803
"2020-11-03",88.75,91.949997,88.75,90.650002,3040800,90.546783
"2020-11-04",91.269997,96.620003,90.580002,93.089996,2985200,92.984001
"2020-11-05",93.330002,96.080002,93.07,94.080002,2397600,93.972878
"2020-11-06",93.650002,95.059998,92.279999,92.839996,2858900,92.734283
"2020-11-09",112.389999,116.730003,102.599998,104.190002,9584600,104.071365
"2020-11-10",105,106.449997,102.739998,104.239998,4420000,104.121307
"2020-11-11",104.650002,104.760002,101.449997,103.75,3696100,103.631866
"2020-11-12",102.330002,103.269997,100.830002,102.050003,2702600,101.933807
"2020-11-13",102.910004,105.919998,102.650002,105.800003,2637000,105.679535
"2020-11-16",109.470001,109.709999,106.260002,106.580002,4475400,106.458649
"2020-11-17",104.559998,105.209999,102.540001,103.339996,2732800,103.222328
"2020-11-18",103.370003,105.629997,102.900002,103.349998,1901600,103.232323
"2020-11-19",102.330002,103.580002,102.010002,102.800003,3284000,102.682953
"2020-11-20",102.849998,103.370003,101.449997,101.760002,2302700,101.644135
"2020-11-23",102.889999,105.050003,102.410004,105.050003,3428200,104.930389
"2020-11-24",107.970001,109.620003,107.029999,108.940002,2827100,108.815964
"2020-11-25",108,108.150002,106.220001,106.300003,1847300,106.17897
"2020-11-27",106.620003,107,104.169998,104.410004,1008700,104.291122
"2020-11-30",104.040001,104.279999,101.769997,103.629997,2952700,103.512001
"2020-12-01",105.260002,105.639999,103.870003,104.839996,1946700,104.720619
"2020-12-02",104.300003,107.190002,103.800003,106.75,2069100,106.628448
"2020-12-03",107.129997,111.540001,107.129997,109.160004,3119200,109.035713
"2020-12-04",109.870003,111.239998,108.629997,110.849998,1261700,110.723785
"2020-12-07",110.279999,110.410004,108.330002,109.830002,1622600,109.704948
"2020-12-08",108.639999,110.760002,108.610001,109.050003,1838500,108.925835
"2020-12-09",109.5,109.959999,105.699997,106.699997,2165100,106.578506
"2020-12-10",106.25,107.849998,105.199997,107.360001,2360100,107.237755
"2020-12-11",106.809998,107.610001,104.300003,104.739998,2302600,104.620735
"2020-12-14",106.389999,106.389999,102.980003,103.040001,2034900,102.922676
"2020-12-15",105.550003,105.900002,102.910004,104.970001,1923400,104.850479
"2020-12-16",104.970001,105.360001,103.300003,104.410004,1955900,104.291122
"2020-12-17",105.040001,105.349998,103.550003,104.699997,2410700,104.58078
"2020-12-18",105.010002,106.919998,104.419998,104.610001,5231600,104.490891
"2020-12-21",101.949997,104.860001,101.330002,103.989998,3331300,103.87159
"2020-12-22",104.040001,104.559998,102.650002,102.949997,2393000,102.832779
"2020-12-23",104.019997,106.830002,103.32,106.510002,2196200,106.388725
"2020-12-24",106.559998,106.889999,105.650002,106.889999,822400,106.768295
"2020-12-28",107.989998,109.400002,107.120003,107.379997,1575100,107.257729
"2020-12-29",108.18,109.650002,107.510002,107.949997,1428000,107.82708
"2020-12-30",108.099998,110.839996,108.099998,110.18,1405100,110.054543
"2020-12-31",109.68,111.610001,108.690002,111.260002,1571400,111.133316
"2021-01-04",110.970001,111.309998,106.010002,107.459999,2759300,107.337639
"2021-01-05",107,109.080002,106.879997,107.949997,2564200,107.82708
"2021-01-06",108.07,112.080002,108.059998,110.769997,1868200,110.643867
"2021-01-07",111.449997,113.889999,111.25,113.290001,2640400,113.161003
"2021-01-08",113.919998,115.669998,113.029999,114.160004,4065100,114.030022
"2021-01-11",112.489998,113.709999,111.32,113.18,1527600,113.051132
"2021-01-12",113.18,114.089996,112.129997,112.330002,1792900,112.202103
"2021-01-13",112.279999,113.18,110.650002,111.870003,2041800,111.742622
"2021-01-14",112.559998,113.68,111.110001,112.110001,2360600,111.982346
"2021-01-15",111.43,111.639999,108.07,108.410004,2169400,108.286568
"2021-01-19",108.410004,109.510002,107.589996,107.93,1839600,107.807106
"2021-01-20",108.019997,108.589996,105.809998,107.699997,2771500,107.57737
"2021-01-21",107.68,109.919998,107.139999,108.82,1799700,108.696091
"2021-01-22",107.510002,107.889999,104.669998,104.959999,2894100,104.840492
"2021-01-25",104.099998,105.730003,102.589996,105.120003,5310200,105.000313
"2021-01-26",105.730003,106.269997,104.610001,104.669998,2800900,104.550819
"2021-01-27",102.949997,103.82,98.57,98.669998,4592600,98.557648
"2021-01-28",100.879997,104.839996,100.879997,104,6544200,103.881584
"2021-01-29",103.230003,103.239998,99.019997,101.389999,4844100,101.274551
"2021-02-01",102.379997,103.82,101.839996,101.919998,2860800,101.803947
"2021-02-02",103.18,107.050003,102.730003,105.790001,2556300,105.669548
"2021-02-03",105.809998,108.32,105.699997,106.599998,2373600,106.478622
"2021-02-04",107.389999,110.529999,107.339996,110.519997,2091400,110.394157
"2021-02-05",111.300003,112.599998,110.339996,111.669998,2279900,111.542847
"2021-02-08",112.690002,113.160004,110.620003,112.32,2061000,112.192108
"2021-02-09",112.239998,112.510002,110.18,110.349998,1590500,110.22435
"2021-02-10",110.169998,110.489998,108.809998,109.339996,2750400,109.2155
"2021-02-11",110.139999,111.169998,108.720001,109.5,1792200,109.37532
"2021-02-12",109.120003,112.410004,108.870003,112.139999,2128300,112.012314
"2021-02-16",112.830002,114.019997,112,113.610001,2927800,113.480644
"2021-02-17",110.830002,115.330002,108.809998,111.43,3816200,111.303123
"2021-02-18",108.970001,115.209999,108.5,114.120003,2695900,113.990059
"2021-02-19",114.959999,117.790001,114.510002,116.910004,3463300,116.776886
"2021-02-22",118.75,122.129997,117.540001,119.959999,4374200,119.82341
"2021-02-23",121.580002,122.309998,118.290001,121.949997,3703300,121.811142
