"","PNC.Open","PNC.High","PNC.Low","PNC.Close","PNC.Volume","PNC.Adjusted"
"2020-12-16",143.850006,145.479996,142.880005,145.25,1767700,138.223969
"2020-12-17",144.970001,145.690002,143.580002,145.020004,1565800,138.005112
"2020-12-18",144.979996,145.490005,143.229996,144.910004,4523400,137.900421
"2020-12-21",146.050003,147.229996,142.660004,144.600006,2646500,137.605423
"2020-12-22",144.910004,145.179993,142.5,143.729996,2197200,136.777496
"2020-12-23",144.789993,147.669998,144.160004,146.699997,1317100,139.603836
"2020-12-24",146.429993,146.690002,144.669998,146.149994,518800,139.080444
"2020-12-28",147.020004,148.380005,145.850006,146.539993,1686800,139.451553
"2020-12-29",146.589996,146.669998,144.639999,144.869995,1015400,137.86235
"2020-12-30",145.470001,147.339996,145.080002,146.889999,1002600,139.784653
"2020-12-31",146.75,149.309998,145.830002,149,1353900,141.792572
"2021-01-04",149.679993,149.759995,146.050003,149.149994,2229500,141.935318
"2021-01-05",149.199997,150.570007,147.289993,148.360001,2907500,141.183533
"2021-01-06",152.309998,158.25,152.149994,156.509995,3067000,148.939316
"2021-01-07",159.110001,162.740005,158.949997,159,2520800,151.308868
"2021-01-08",158.479996,159.220001,156.100006,158.190002,1842300,150.53804
"2021-01-11",157.199997,159.960007,155.460007,159.380005,1978600,151.670517
"2021-01-12",161,162.649994,159.580002,161.729996,2025100,153.906799
"2021-01-13",160.059998,161.5,158.279999,159.100006,1986900,151.404037
"2021-01-14",160.110001,162.070007,159.539993,161.5,2036900,153.687912
"2021-01-15",157.179993,158.740005,154.369995,154.779999,3289200,148.349335
"2021-01-19",155.759995,156.520004,154.210007,156,2560800,149.518661
"2021-01-20",156,156.429993,154.660004,156.259995,1635900,149.767853
"2021-01-21",156.289993,156.289993,152.990005,153.690002,2286000,147.304626
"2021-01-22",151.470001,153.059998,151.330002,152.570007,1835400,146.231171
"2021-01-25",150.360001,151.100006,146.869995,150.470001,2043900,144.218399
"2021-01-26",151.369995,151.699997,147.820007,148.059998,1775500,141.908554
"2021-01-27",145.830002,145.830002,141.600006,144.440002,2958700,138.438965
"2021-01-28",146.759995,148.779999,145.479996,147.789993,1515900,141.649765
"2021-01-29",147.669998,147.770004,142.979996,143.520004,2686800,137.557175
"2021-02-01",144.740005,146.300003,143.690002,145.860001,1481900,139.799957
"2021-02-02",147.830002,152.899994,147.559998,150.399994,1778100,144.151321
"2021-02-03",149.949997,152.5,149.899994,152.199997,1784200,145.876541
"2021-02-04",153.389999,156.759995,153.330002,156.679993,1569600,150.17041
"2021-02-05",158.020004,158.5,155.880005,156.940002,1260300,150.419601
"2021-02-08",156.809998,158.830002,156.690002,158.789993,1310700,152.192719
"2021-02-09",157.979996,158.660004,156.619995,158.139999,1555700,151.569733
"2021-02-10",159.429993,160.979996,157.910004,160.110001,1628300,153.457901
"2021-02-11",159.820007,161.300003,157.710007,159.309998,1387500,152.691147
"2021-02-12",159.589996,162.5,159.330002,162.270004,1230800,155.528168
"2021-02-16",163.520004,171,162.75,169.910004,2947500,162.850739
"2021-02-17",169.360001,170.119995,166.679993,167.550003,2224100,160.588791
"2021-02-18",166.210007,167.449997,164.460007,166.910004,1266800,159.975403
"2021-02-19",167.320007,171.220001,167.070007,170.410004,1380600,163.329971
"2021-02-22",169.979996,172.009995,169.600006,170.520004,1850600,163.435379
"2021-02-23",173.520004,174.009995,170.160004,173.220001,2449400,166.023224
"2021-02-24",173.669998,179.360001,173.669998,178.479996,2008300,171.064667
"2021-02-25",180.300003,180.850006,173.199997,173.259995,1793100,166.061554
"2021-02-26",172.130005,172.619995,168.279999,168.360001,2749400,161.365158
"2021-03-01",171.369995,174.479996,169.710007,173.070007,2142900,165.879471
"2021-03-02",173.220001,177.809998,171.850006,173.089996,1806800,165.898621
"2021-03-03",174.539993,176.869995,173,173.350006,2099200,166.147827
"2021-03-04",173.139999,174.869995,169.080002,172.580002,2060900,165.40979
"2021-03-05",175.399994,176.899994,169.639999,176.460007,2086500,169.128616
"2021-03-08",177.740005,181.350006,177.080002,178.820007,2029300,171.390564
"2021-03-09",175.259995,176.979996,172.039993,173.630005,2345800,166.416183
"2021-03-10",173.539993,178.380005,173.149994,177.779999,1549300,170.393753
"2021-03-11",176.369995,178.320007,175.039993,176.929993,1298700,169.579056
