"","TMO.Open","TMO.High","TMO.Low","TMO.Close","TMO.Volume","TMO.Adjusted"
"2021-02-19",489.140015,489.899994,478.059998,478.859985,1918000,477.353821
"2021-02-22",474.769989,476.25,461.76001,463.279999,2127200,461.822784
"2021-02-23",460.880005,461.390015,453.049988,458.809998,2055400,457.366882
"2021-02-24",470.829987,473.359985,454.600006,456.660004,2426700,455.223633
"2021-02-25",457.75,458,448.540009,451.470001,2147900,450.049957
"2021-02-26",454.720001,455.910004,448.829987,450.079987,2153100,448.664337
"2021-03-01",454.190002,460.600006,453.940002,459.559998,1309000,458.114532
"2021-03-02",460,467.309998,458.079987,462.109985,1718700,460.656494
"2021-03-03",462.220001,465,450.700012,450.959991,2001100,449.541565
"2021-03-04",446.079987,451.929993,439,441.459991,2508900,440.071411
"2021-03-05",445,448.850006,433.519989,446.869995,2749200,445.464417
"2021-03-08",445.609985,454.089996,439.450012,439.850006,1572100,438.466522
"2021-03-09",450,461.059998,447.720001,448.109985,2863300,446.700531
"2021-03-10",456.700012,459.779999,440.730011,441.089996,2759800,439.702606
"2021-03-11",450,463.230011,448.01001,460.519989,2617100,459.071472
"2021-03-12",454.980011,457.119995,447.5,450.48999,1577300,449.073059
"2021-03-15",447.420013,455.190002,445.75,452.820007,1701800,451.656433
"2021-03-16",455.290009,455.720001,442,446.429993,2402400,445.282837
"2021-03-17",442.809998,445.899994,440.209991,442.609985,1876300,441.472626
"2021-03-18",440.970001,453.519989,438.329987,445.75,2126800,444.604584
"2021-03-19",447.160004,450.390015,444.769989,445.01001,2693100,443.866486
"2021-03-22",445.01001,456.390015,443.100006,454.660004,1431800,453.491699
"2021-03-23",454.109985,458.130005,450.5,452.01001,1156400,450.84845
"2021-03-24",450.480011,454.730011,444.98999,445.369995,1547700,444.225555
"2021-03-25",444.790009,444.790009,434.630005,442.290009,1680700,441.153473
"2021-03-26",444.600006,460.630005,442.26001,460.059998,1750900,458.877777
"2021-03-29",456.48999,460.950012,450.230011,458.570007,1926900,457.391663
"2021-03-30",455.029999,458.350006,450.730011,451.470001,1448200,450.309845
"2021-03-31",456.079987,460.839996,453,456.380005,1563600,455.207245
"2021-04-01",461.25,462.119995,456.089996,456.299988,993200,455.127472
"2021-04-05",460.230011,467.450012,460.230011,465.390015,1509600,464.194122
"2021-04-06",467.950012,473,463.589996,468.73999,1150700,467.535461
"2021-04-07",467,470.820007,462.450012,466.380005,1801800,465.18158
"2021-04-08",471.850006,475.790009,469.790009,471.51001,1339400,470.29837
"2021-04-09",472.470001,479.140015,471.049988,478.880005,1147500,477.649445
"2021-04-12",478.130005,481.209991,474.559998,475.980011,1163100,474.756866
"2021-04-13",478.589996,487.700012,478.049988,484.850006,1837300,483.604095
"2021-04-14",484,493.200012,473.450012,478.040009,1744500,476.811646
"2021-04-15",485,498.059998,484,494.380005,2380000,493.109589
"2021-04-16",498.079987,499,490.910004,492.920013,2590500,491.653381
"2021-04-19",490,494.75,486.079987,487.640015,1677200,486.386963
"2021-04-20",487.700012,490,481.869995,482.359985,1464500,481.120514
"2021-04-21",484.25,485.910004,476.480011,480.410004,1312400,479.175507
"2021-04-22",479.519989,488.829987,478.890015,484.209991,1087200,482.965729
"2021-04-23",485.410004,490.369995,484.170013,488.089996,1210800,486.835785
"2021-04-26",489.059998,496.25,486.589996,494.040009,1671400,492.770508
"2021-04-27",495.600006,496.519989,490.109985,490.220001,978300,488.960297
"2021-04-28",489.559998,491.589996,485.049988,485.799988,1140500,484.551697
"2021-04-29",477.630005,479.779999,461.600006,464.390015,3359200,463.196686
"2021-04-30",465.470001,475.170013,465,470.230011,2094800,469.021698
"2021-05-03",471.779999,473.130005,465.140015,467.380005,1581300,466.178986
"2021-05-04",463.929993,465.769989,459.630005,465.279999,1703100,464.084381
"2021-05-05",468.600006,473.5,464.820007,467.769989,1586000,466.567963
"2021-05-06",469.040009,470.579987,462.309998,470.140015,1530900,468.931885
"2021-05-07",473.440002,478.98999,467.899994,468.450012,1442000,467.246246
"2021-05-10",468.019989,469.950012,462.399994,463.470001,1502700,462.279053
"2021-05-11",457.73999,464.140015,455.5,464,1568700,462.807648
"2021-05-12",457.700012,464,454.059998,454.779999,1454500,453.611389
