"","NUE.Open","NUE.High","NUE.Low","NUE.Close","NUE.Volume","NUE.Adjusted"
"2020-09-29",45.610001,45.790001,44.560001,44.740002,1190700,43.265862
"2020-09-30",45.119999,45.75,44.580002,44.860001,1468200,43.381905
"2020-10-01",45.02,45.549999,44.790001,45.049999,1812000,43.565647
"2020-10-02",44.349998,46.580002,44.200001,46.040001,2110200,44.523022
"2020-10-05",46.560001,47.650002,46.259998,47.279999,2120400,45.722168
"2020-10-06",47.540001,48.23,46.650002,46.93,2280000,45.383698
"2020-10-07",47.669998,49,47.41,48.650002,1861200,47.04702
"2020-10-08",48.93,49.490002,48.68,49.439999,1719400,47.810993
"2020-10-09",49.869999,49.900002,48.509998,48.860001,2080700,47.250114
"2020-10-12",48.810001,49.580002,48.740002,49.279999,1909900,47.656269
"2020-10-13",49,49.34,48.349998,48.669998,1616700,47.066368
"2020-10-14",48.439999,49.68,48.439999,49.380001,1563300,47.752979
"2020-10-15",48.459999,49.290001,48.02,49.259998,1475000,47.636929
"2020-10-16",49.48,49.73,48.990002,49.330002,1366100,47.704624
"2020-10-19",49.549999,50.330002,48.830002,48.970001,1712000,47.356487
"2020-10-20",49.389999,49.77,48.48,48.509998,2604200,46.911636
"2020-10-21",48.720001,49.259998,48.43,48.439999,1866600,46.843945
"2020-10-22",48.110001,50.220001,48.110001,49.900002,2073100,48.255844
"2020-10-23",50.279999,50.700001,49.610001,50.189999,1845700,48.536282
"2020-10-26",49.599998,49.610001,48.029999,48.279999,1764400,46.689224
"2020-10-27",48.119999,48.790001,47.93,48.220001,1487200,46.631199
"2020-10-28",47.310001,47.540001,46.169998,46.580002,2562500,45.045238
"2020-10-29",46.34,48.330002,46,47.939999,1911100,46.360416
"2020-10-30",47.400002,47.939999,46.779999,47.759998,3114200,46.186348
"2020-11-02",48.610001,49.029999,47.66,48.869999,1791400,47.259781
"2020-11-03",49.689999,50.330002,49.27,50.049999,1422700,48.400898
"2020-11-04",49.639999,49.639999,46.900002,46.950001,2370200,45.403042
"2020-11-05",47.459999,49.599998,47.459999,48.799999,1716000,47.192085
"2020-11-06",49.32,49.470001,48.200001,48.419998,1350200,46.824608
"2020-11-09",51.599998,52.900002,50.720001,50.759998,2250100,49.087502
"2020-11-10",51.029999,52.150002,50.799999,51.779999,1572300,50.073898
"2020-11-11",51.830002,51.830002,50.610001,50.810001,2111400,49.13586
"2020-11-12",50.209999,50.5,49.110001,49.610001,1413400,47.975399
"2020-11-13",50.25,51.919998,50.150002,51.66,1510700,49.957851
"2020-11-16",53.209999,54.740002,52.099998,54.299999,3099700,52.51086
"2020-11-17",53.52,54.220001,53.200001,53.860001,1662200,52.085361
"2020-11-18",54.23,54.380001,52.91,52.919998,1442100,51.176334
"2020-11-19",52.639999,53.470001,52.349998,52.830002,1332100,51.089306
"2020-11-20",52.639999,52.93,52.299999,52.549999,1016000,50.818523
"2020-11-23",53.360001,53.950001,52.740002,53.669998,1559300,51.901619
"2020-11-24",54.389999,56.5,54.34,56.419998,2232700,54.561012
"2020-11-25",55.619999,55.919998,54.52,54.779999,2703900,52.975048
"2020-11-27",54.959999,55.73,54.73,55.07,1052600,53.255493
"2020-11-30",54.700001,55.34,53.689999,53.700001,2847200,51.930637
"2020-12-01",55.150002,55.669998,54.75,54.93,1873500,53.120106
"2020-12-02",55.029999,55.959999,54.830002,55.099998,1839500,53.284504
"2020-12-03",55.299999,55.93,54.549999,54.799999,1791800,52.994392
"2020-12-04",55.68,57,55.18,56.419998,1675100,54.561012
"2020-12-07",55.990002,56.73,55.599998,55.939999,1769800,54.096825
"2020-12-08",55.419998,57.5,55.419998,56.540001,2055900,54.677063
"2020-12-09",57.029999,57.389999,56,56.43,1458000,54.570683
"2020-12-10",56.16,57.220001,55.759998,57.110001,1443200,55.228283
"2020-12-11",56.549999,56.919998,55.450001,56.639999,1492600,54.773762
"2020-12-14",57.349998,57.419998,55.48,55.66,1888700,53.826054
"2020-12-15",56.52,56.77,55.639999,56.57,1456200,54.706066
"2020-12-16",56.509998,56.77,55.779999,56.439999,1476300,54.580349
"2020-12-17",56.970001,57.029999,55.400002,55.450001,1973500,53.622974
"2020-12-18",55.459999,55.459999,53.73,53.93,4603400,52.153057
"2020-12-21",53,54.23,52.77,54.139999,1450300,52.35614
"2020-12-22",54.209999,54.389999,52.799999,53.09,1677700,51.340733
"2020-12-23",53.360001,53.549999,52.43,52.57,1564300,50.837868
"2020-12-24",52.939999,52.959999,52.009998,52.439999,620100,50.712151
"2020-12-28",52.599998,53.029999,52.029999,52.110001,1425200,50.393021
"2020-12-29",52.209999,52.93,51.959999,52.080002,1222600,50.364014
"2020-12-30",51.810001,53.139999,51.779999,52.939999,1582400,51.596916
"2020-12-31",52.950001,53.380001,52.23,53.189999,1283400,51.840576
"2021-01-04",54.18,54.650002,52.240002,52.509998,2308900,51.17783
"2021-01-05",52.52,54.529999,52.470001,54.07,2223500,52.69825
"2021-01-06",56.360001,57.549999,55.68,57.02,3291300,55.57341
"2021-01-07",57.639999,57.75,55.669998,56.189999,2229400,54.764469
"2021-01-08",56.209999,56.599998,54.759998,56.02,2720800,54.598782
"2021-01-11",54.950001,57.52,54.639999,56.799999,1857200,55.35899
"2021-01-12",57,58.52,56.279999,58.099998,2308400,56.626011
"2021-01-13",57.799999,57.959999,56.369999,56.709999,1876000,55.271275
"2021-01-14",57.439999,57.5,56.639999,56.68,1207300,55.242039
"2021-01-15",55.790001,55.950001,54.240002,55.470001,1613600,54.062737
"2021-01-19",55.959999,57.02,55.830002,55.880001,1606700,54.462334
"2021-01-20",56.119999,56.389999,55.150002,55.759998,2232000,54.345375
"2021-01-21",55.59,55.84,54.400002,54.419998,1724200,53.039371
"2021-01-22",53.970001,55.07,53.57,54.779999,1522100,53.390236
"2021-01-25",54.939999,54.939999,53.599998,54.52,1984600,53.136833
"2021-01-26",55,55.200001,52.779999,52.799999,2531300,51.460472
"2021-01-27",51.799999,51.900002,50.830002,51.330002,3166000,50.027763
"2021-01-28",51.880001,51.990002,49.02,50.330002,3985200,49.053135
"2021-01-29",50.25,50.439999,47.939999,48.73,5113700,47.493729
"2021-02-01",49.349998,49.84,48.060001,49.02,2445500,47.776367
"2021-02-02",49.259998,50.950001,49.049999,50.470001,3365700,49.189587
"2021-02-03",51.459999,52.330002,50.900002,51.66,2854100,50.349392
"2021-02-04",51.369999,52.630001,51.150002,52.02,2675700,50.700256
"2021-02-05",52.650002,53.490002,52.610001,52.98,1811100,51.635906
"2021-02-08",53.66,54.380001,53.330002,53.700001,1680700,52.337635
"2021-02-09",55.299999,55.619999,54.02,54.68,2877500,53.292778
"2021-02-10",55.099998,55.299999,54.049999,54.959999,2180900,53.565674
"2021-02-11",54.849998,55.07,53.740002,54.849998,1421600,53.458462
"2021-02-12",54.59,56.43,54.560001,56.34,2363400,54.910664
"2021-02-16",56.939999,58.040001,56.650002,57.34,3784600,55.885292
"2021-02-17",58.310001,58.380001,56.970001,57,3737700,55.553921
"2021-02-18",56.779999,57.380001,56.080002,56.5,2739500,55.066601
"2021-02-19",56.830002,58.529999,56.73,58.040001,3627000,56.567535
"2021-02-22",58,60.959999,58,59.869999,3802000,58.351105
"2021-02-23",60.529999,61,60,60.860001,3668600,59.31599
"2021-02-24",61.189999,63.119999,61.119999,63.029999,3423600,61.430939
"2021-02-25",63.029999,63.48,61.240002,61.509998,1883500,59.949497
"2021-02-26",61.029999,61.549999,59.52,59.82,2876200,58.302372
"2021-03-01",61.299999,61.900002,60.93,61.52,4016900,59.959244
"2021-03-02",61.75,62.509998,61.299999,61.810001,2396000,60.241886
"2021-03-03",62.119999,63.48,61.459999,62.299999,3116600,60.71946
"2021-03-04",62.299999,62.560001,59.459999,60.400002,2052000,58.867661
"2021-03-05",61.330002,63.23,60.599998,62.919998,2240700,61.32373
"2021-03-08",63.139999,66.629997,62.919998,66.370003,2925400,64.686211
"2021-03-09",65.43,66.900002,64.32,65.860001,2751400,64.189148
"2021-03-10",65.870003,67.860001,65.25,67.459999,2048200,65.74855
"2021-03-11",68.519997,68.910004,67.599998,67.830002,2150400,66.109169
"2021-03-12",68.489998,70.080002,68.360001,69.760002,2346700,67.990204
"2021-03-15",69.849998,69.949997,67.599998,69.5,2839600,67.736794
"2021-03-16",69.589996,69.790001,68.309998,68.910004,2074000,67.161774
"2021-03-17",68.849998,70.610001,68.68,70.239998,2061500,68.458023
"2021-03-18",70.290001,72.220001,70.029999,70.400002,2598400,68.613968
"2021-03-19",70.419998,71.68,68.260002,71.32,6491300,69.51062
"2021-03-22",71.389999,71.389999,69.419998,69.550003,3280800,67.785522
"2021-03-23",69,69.730003,66.919998,67.510002,2948700,65.797287
"2021-03-24",68.910004,71.489998,68.839996,69.470001,3282600,67.707558
"2021-03-25",69.540001,72.989998,69.050003,72.82,4329800,70.972557
"2021-03-26",74.860001,79.339996,74.449997,79.300003,7677100,77.28817
"2021-03-29",80,82.760002,78.389999,78.75,6114000,76.752121
"2021-03-30",78.739998,80.970001,78.610001,80.389999,4304600,78.755547
"2021-03-31",81.709999,82.470001,79.120003,80.269997,5532700,78.637985
"2021-04-01",79.25,79.980003,77.050003,79.879997,4185300,78.255913
"2021-04-05",81.209999,81.970001,80.370003,80.510002,2633000,78.873108
"2021-04-06",79.75,80.860001,78.910004,79.839996,2740100,78.216721
"2021-04-07",79.879997,80.300003,79.050003,79.809998,2298200,78.187325
