"","WEC.Open","WEC.High","WEC.Low","WEC.Close","WEC.Volume","WEC.Adjusted"
"2020-10-01",96.989998,98.309998,96.870003,98.25,996100,93.371613
"2020-10-02",97.660004,98.32,96.760002,97.709999,1218400,92.858421
"2020-10-05",97.93,98.459999,96.82,98.139999,1149600,93.267082
"2020-10-06",98.150002,99.580002,97.330002,98.510002,1486700,93.618698
"2020-10-07",98.779999,99.480003,97.459999,98.050003,898700,93.181549
"2020-10-08",98.43,99.089996,98.160004,99.029999,1020100,94.112885
"2020-10-09",99.419998,99.879997,98.620003,99.440002,840500,94.502518
"2020-10-12",99.599998,101,99.330002,99.830002,679700,94.873169
"2020-10-13",99.190002,99.849998,97.660004,99.099998,950000,94.179398
"2020-10-14",99.169998,99.760002,98.440002,99.589996,862600,94.645073
"2020-10-15",99.129997,100.610001,98.629997,99.959999,975400,94.996712
"2020-10-16",100.110001,101.879997,99.919998,101.559998,1253600,96.517258
"2020-10-19",102.110001,102.110001,100.010002,100.400002,1072700,95.414871
"2020-10-20",100.870003,101.339996,99.949997,100.629997,1445100,95.63343
"2020-10-21",100.830002,101.830002,100.440002,101.089996,935600,96.070595
"2020-10-22",100.870003,101.980003,100.550003,101.800003,738800,96.745346
"2020-10-23",102.260002,102.559998,101.599998,102.160004,672400,97.087479
"2020-10-26",101.949997,102.449997,100.730003,102.209999,616300,97.134995
"2020-10-27",102.330002,103.510002,101.699997,102.470001,754300,97.382072
"2020-10-28",101.309998,102.830002,99.610001,99.760002,1378300,94.806648
"2020-10-29",99.519997,101.690002,98.269997,100.419998,1026000,95.433861
"2020-10-30",99.919998,101,99.040001,100.550003,1393600,95.557411
"2020-11-02",101.68,103.470001,101.059998,103.139999,1219300,98.018806
"2020-11-03",104.089996,105.349998,103.379997,104.25,1499700,99.0737
"2020-11-04",103.779999,105.599998,101.800003,101.809998,1483200,96.754837
"2020-11-05",102.720001,104.139999,101.199997,101.599998,1556400,96.555275
"2020-11-06",101.959999,103.110001,101.290001,102.360001,659400,97.277542
"2020-11-09",104.699997,106.849998,103.629997,103.830002,1314900,98.674553
"2020-11-10",103.879997,106,103.769997,104.849998,1251000,99.643906
"2020-11-11",105.309998,105.970001,103.860001,104.43,1005500,99.244759
"2020-11-12",103.57,103.580002,101.720001,102.449997,909400,97.956841
"2020-11-13",102.980003,103.529999,101.800003,102.139999,930100,97.660416
"2020-11-16",103.120003,104.150002,101.93,104.029999,1587500,99.467537
"2020-11-17",102.849998,103.540001,99.970001,100.18,1145700,95.786392
"2020-11-18",100.800003,100.800003,96.68,96.75,1526700,92.506821
"2020-11-19",96.300003,96.360001,94.379997,95.550003,1254200,91.359451
"2020-11-20",95.830002,97.290001,95.650002,96.099998,1710000,91.885323
"2020-11-23",96.349998,96.519997,95.230003,95.800003,1268200,91.598488
"2020-11-24",96.309998,96.589996,95.150002,96.239998,1360700,92.019188
"2020-11-25",96.599998,97.370003,94.830002,96,1412900,91.789719
"2020-11-27",96.050003,96.349998,94.910004,95.739998,840100,91.541107
"2020-11-30",95.230003,95.459999,94.129997,94.949997,3320300,90.785767
"2020-12-01",95.739998,96.550003,95.160004,95.599998,1315600,91.407249
"2020-12-02",95.239998,95.779999,93.93,95.760002,1050200,91.560249
"2020-12-03",95.18,95.779999,94.099998,94.379997,1267500,90.240753
"2020-12-04",94.099998,94.639999,92.75,93.290001,925800,89.19857
"2020-12-07",92.889999,94.089996,92.889999,93.650002,843600,89.542786
"2020-12-08",93.339996,94.290001,92.610001,93.43,1285800,89.332428
"2020-12-09",93.43,93.809998,92.080002,92.739998,1013200,88.672684
"2020-12-10",92.93,93.160004,91.440002,91.980003,1195900,87.946022
"2020-12-11",91.589996,92.32,91.150002,92.239998,1217500,88.194618
"2020-12-14",92.650002,93.660004,91.559998,91.580002,1131400,87.56356
"2020-12-15",92,93.75,91.18,92.919998,1120300,88.844795
"2020-12-16",93.099998,94.110001,92.169998,92.269997,1167700,88.223282
"2020-12-17",92.769997,93.580002,92.07,92.220001,1203800,88.175491
"2020-12-18",92.230003,92.699997,90.610001,91.32,2501500,87.314972
"2020-12-21",90.379997,90.690002,88.959999,90.059998,1278400,86.110237
"2020-12-22",89.970001,90.199997,89.169998,89.470001,1009400,85.546112
"2020-12-23",89.860001,90.040001,88.269997,88.68,1331500,84.790756
"2020-12-24",88.730003,89.510002,88.339996,89.43,498900,85.507851
"2020-12-28",90.18,90.5,89.459999,90.480003,955600,86.51181
"2020-12-29",90.580002,91.389999,90.089996,90.309998,882600,86.349258
"2020-12-30",90.129997,90.940002,90.129997,90.550003,790400,86.578735
"2020-12-31",90.5,92.080002,90.190002,92.029999,1177100,87.99382
"2021-01-04",92.099998,92.129997,89.989998,90.379997,1532900,86.416199
"2021-01-05",90.360001,90.75,88.970001,90.089996,1584200,86.138901
"2021-01-06",89.989998,91.769997,89.400002,91.230003,1624200,87.22892
"2021-01-07",91.279999,91.540001,88.110001,88.260002,1555000,84.389183
"2021-01-08",88.480003,88.800003,86.940002,87.949997,1488600,84.092766
"2021-01-11",87.830002,88.099998,86.059998,86.959999,878300,83.146179
"2021-01-12",85.760002,86.489998,84.440002,85.269997,1159200,81.530304
"2021-01-13",86.220001,88.269997,85.459999,87.860001,1310600,84.006706
"2021-01-14",87.989998,88.120003,86.110001,86.860001,1134200,83.050575
"2021-01-15",86.82,89.010002,86.410004,88.690002,1354100,84.800316
"2021-01-19",89.010002,89.239998,87.699997,87.870003,1133000,84.016273
"2021-01-20",87.620003,88.779999,87.220001,88.349998,1232700,84.475212
"2021-01-21",87.660004,88.309998,87.32,87.830002,999800,83.978035
"2021-01-22",87.949997,87.949997,86.830002,87.379997,1189000,83.547752
"2021-01-25",87.18,89.900002,86.82,89.440002,1306600,85.517426
"2021-01-26",89.139999,89.68,87.589996,89.339996,1170400,85.421799
"2021-01-27",88.919998,93.050003,88.540001,90.839996,3078100,86.85601
"2021-01-28",90.559998,92.300003,89.480003,89.5,1622400,85.574783
"2021-01-29",89.059998,90.139999,88.190002,88.900002,1163500,85.001099
"2021-02-01",89.239998,89.610001,87.910004,88.550003,887400,84.666451
"2021-02-02",88.629997,89.440002,87.550003,87.790001,1261300,83.939781
"2021-02-03",87.610001,87.949997,86.75,87.220001,1307900,83.394783
"2021-02-04",87.18,88.199997,86.050003,86.75,1578800,82.945396
"2021-02-05",87.199997,88.099998,86.5,86.82,1324100,83.012329
"2021-02-08",86.739998,86.82,85.050003,85.169998,1012900,81.434677
"2021-02-09",85.459999,85.809998,84.190002,85.459999,1001000,81.711975
"2021-02-10",86.190002,86.900002,85.010002,85.889999,1160400,82.123116
"2021-02-11",85.07,85.550003,83.82,83.949997,1144300,80.90686
"2021-02-12",83.699997,84.07,82.43,83.050003,1262500,80.039482
"2021-02-16",82.919998,82.93,80.809998,81.18,1497100,78.237274
"2021-02-17",81.419998,82.279999,81.309998,82.029999,1142300,79.05645
"2021-02-18",82.239998,83.82,81.82,83.480003,1938500,80.453896
"2021-02-19",83.480003,83.93,82.75,83.230003,2412400,80.212967
"2021-02-22",83.110001,83.43,81.360001,82.040001,1818700,79.066093
"2021-02-23",82.639999,84.690002,82.120003,84.019997,2056200,80.974312
"2021-02-24",83.620003,83.699997,81.889999,81.93,1552200,78.960083
"2021-02-25",81.779999,82.220001,80.550003,81.779999,1646800,78.815506
"2021-02-26",82.010002,83.809998,80.620003,80.639999,2261800,77.716843
"2021-03-01",81.239998,84.129997,81.07,82.790001,2062500,79.78891
"2021-03-02",82.790001,83.339996,81.699997,83.029999,1530300,80.020203
