"","UNP.Open","UNP.High","UNP.Low","UNP.Close","UNP.Volume","UNP.Adjusted"
"2021-05-24",222.520004,224.389999,221.910004,223.559998,2021400,218.001862
"2021-05-25",224.449997,225.389999,221.779999,221.940002,2372400,216.422165
"2021-05-26",224.360001,224.820007,221.830002,223.850006,5997100,218.284668
"2021-05-27",223.740005,225.440002,223.119995,223.899994,3558900,219.382065
"2021-05-28",225.279999,225.809998,224.350006,224.729996,1663800,220.195313
"2021-06-01",226.350006,227.380005,224.940002,225.029999,2133100,220.489258
"2021-06-02",224.240005,226.350006,223.690002,224.449997,2244600,219.920959
"2021-06-03",223.470001,226.809998,222.880005,224.949997,2260400,220.410873
"2021-06-04",226.509995,227.100006,224.529999,226.169998,1842500,221.606262
"2021-06-07",226.710007,226.710007,222.820007,222.949997,1926800,218.451218
"2021-06-08",222.179993,223.470001,219.639999,221.830002,2511500,217.353821
"2021-06-09",221.580002,222.520004,220.309998,221.5,2117300,217.030472
"2021-06-10",222.330002,223.169998,219.399994,219.589996,3077100,215.159027
"2021-06-11",220.830002,222.210007,220.690002,221.330002,2029900,216.863922
"2021-06-14",220.580002,222.75,220.199997,222.619995,1764200,218.127869
"2021-06-15",223.470001,223.889999,222.179993,222.839996,2030100,218.343445
"2021-06-16",223.580002,223.580002,220.380005,222.059998,2903500,217.579193
"2021-06-17",221.919998,222.479996,217.160004,219.070007,2962800,214.649521
"2021-06-18",216.350006,217.289993,214.509995,214.809998,4791300,210.475479
"2021-06-21",216.029999,218.850006,215.570007,217.509995,2962000,213.121002
"2021-06-22",216.720001,219.369995,216.029999,218.990005,2311100,214.571152
"2021-06-23",219.839996,221.399994,218.740005,219.110001,2625800,214.688721
"2021-06-24",219.550003,219.850006,216.979996,218.470001,3485900,214.06163
"2021-06-25",219,221.5,218.289993,221.270004,4337900,216.80513
"2021-06-28",221.25,221.520004,218.119995,219.130005,2133400,214.708328
"2021-06-29",219.889999,220.380005,217.949997,218.649994,2203300,214.237991
"2021-06-30",218.539993,220.729996,217.770004,219.929993,2828400,215.492172
"2021-07-01",221.520004,223.669998,221.309998,223.550003,2363900,219.039124
"2021-07-02",224.100006,225.929993,223.419998,224.720001,1706600,220.185516
"2021-07-06",225.229996,225.5,221.309998,223.809998,2263600,219.293869
"2021-07-07",222.820007,228.740005,222.509995,228.350006,2610100,223.742279
"2021-07-08",222.100006,223.220001,217.410004,218.339996,5669000,213.93425
"2021-07-09",220,222.649994,219.729996,221.690002,4229900,217.216644
"2021-07-12",221,222.130005,219.660004,221.220001,3412700,216.756149
"2021-07-13",220.869995,221.399994,219,219.179993,3465700,214.757309
"2021-07-14",219.919998,221.410004,219.25,220.050003,4597300,215.609756
"2021-07-15",218.839996,220.880005,217.910004,219.940002,2070200,215.501984
"2021-07-16",219.889999,220.820007,217.809998,218.419998,2958100,214.012634
