"","FTNT.Open","FTNT.High","FTNT.Low","FTNT.Close","FTNT.Volume","FTNT.Adjusted"
"2020-10-16",26.436001,26.576,26.278,26.308001,5020000,26.308001
"2020-10-19",26.166,26.702,25.716,25.764,3249000,25.764
"2020-10-20",26.598,26.988001,26.4,26.504,7949000,26.504
"2020-10-21",26.462,26.52,25.889999,25.996,6566500,25.996
"2020-10-22",26.066,26.129999,25.354,25.632,3509500,25.632
"2020-10-23",25.601999,26.082001,25.524,26.076,4755500,26.076
"2020-10-26",25.832001,26.143999,24.436001,24.636,7145500,24.636
"2020-10-27",24.955999,25.120001,24.698,24.846001,6607000,24.846001
"2020-10-28",24.608,24.632,23.766001,23.790001,7046500,23.790001
"2020-10-29",23.954,24.188,23.6,23.6,7171500,23.6
"2020-10-30",23.615999,23.615999,21.35,22.073999,21500500,22.073999
"2020-11-02",22.195999,22.288,21.976,22.118,7638000,22.118
"2020-11-03",22.087999,22.771999,21.854,22.482,6807500,22.482
"2020-11-04",22.940001,23.573999,22.698,23.247999,6221000,23.247999
"2020-11-05",23.6,23.978001,23.559999,23.902,5230000,23.902
"2020-11-06",23.906,23.906,23.375999,23.441999,5631000,23.441999
"2020-11-09",23.572001,24.591999,23.318001,23.422001,8039000,23.422001
"2020-11-10",23.190001,23.271999,21.986,22.26,8156500,22.26
"2020-11-11",22.676001,23.059999,22.474001,22.917999,4570000,22.917999
"2020-11-12",23.098,23.334,22.469999,22.719999,4701500,22.719999
"2020-11-13",23.007999,23.23,22.790001,23.184,4454000,23.184
"2020-11-16",23.16,23.464001,23.063999,23.344,4475500,23.344
"2020-11-17",23.48,23.931999,23.372,23.684,4635000,23.684
"2020-11-18",24.024,24.104,23.312,23.336,5245500,23.336
"2020-11-19",23.246,23.572001,23.034,23.406,4193000,23.406
"2020-11-20",23.294001,23.912001,23.214001,23.624001,5416000,23.624001
"2020-11-23",23.700001,23.799999,23.18,23.416,4932000,23.416
"2020-11-24",23.562,23.780001,23.142,23.718,7229000,23.718
"2020-11-25",23.872,24.288,23.799999,23.972,4804500,23.972
"2020-11-27",24.214001,24.822001,24.148001,24.757999,3675000,24.757999
"2020-11-30",24.73,24.82,24.028,24.646,8603000,24.646
"2020-12-01",24.862,24.862,24.073999,24.528,4694000,24.528
"2020-12-02",24.43,24.648001,24.136,24.576,3399000,24.576
"2020-12-03",24.728001,25.502001,24.6,25.218,6235500,25.218
"2020-12-04",25.370001,25.712,25.188,25.559999,3082500,25.559999
"2020-12-07",25.722,25.875999,25.52,25.615999,3370500,25.615999
"2020-12-08",25.365999,26.370001,25.365999,26.332001,5277500,26.332001
"2020-12-09",26.006001,26.164,24.896,25.068001,6565000,25.068001
"2020-12-10",24.976,25.601999,24.832001,25.511999,5188000,25.511999
"2020-12-11",25.459999,25.705999,25.224001,25.672001,5363000,25.672001
"2020-12-14",25.636,26.441999,25.566,26.138,5782500,26.138
"2020-12-15",26.378,26.398001,25.884001,26.364,5198500,26.364
"2020-12-16",26.402,26.978001,26.25,26.666,4483000,26.666
"2020-12-17",26.858,27.296,26.792,27.284,5362500,27.284
"2020-12-18",27.313999,29.290001,27.284,29.17,15225000,29.17
"2020-12-21",28.677999,29.472,28.236,29.191999,6782000,29.191999
"2020-12-22",29.15,30.666,29.082001,30.43,7536000,30.43
"2020-12-23",30.511999,30.629999,29.993999,30.048,5029000,30.048
"2020-12-24",29.993999,30.299999,29.708,29.958,2128000,29.958
"2020-12-28",30.132,30.298,29.681999,29.858,3542500,29.858
"2020-12-29",30,30.167999,29.298,29.506001,3430500,29.506001
"2020-12-30",29.743999,29.950001,29.532,29.604,3064500,29.604
"2020-12-31",29.728001,29.799999,29.450001,29.705999,2425500,29.705999
"2021-01-04",29.914,29.931999,28.572001,29.112,5391000,29.112
"2021-01-05",28.312,28.535999,27.966,28.348,6130000,28.348
"2021-01-06",27.464001,28.122,27.462,27.622,6531000,27.622
"2021-01-07",27.826,28.724001,27.822001,28.65,6856000,28.65
"2021-01-08",28.902,29.698,28.818001,29.628,6301000,29.628
"2021-01-11",29.384001,30.108,28.870001,29.634001,6874500,29.634001
"2021-01-12",30.132,31.062,29.868,30.582001,8461500,30.582001
"2021-01-13",30.73,30.738001,29.408001,29.58,6425000,29.58
"2021-01-14",29.823999,30.194,29.214001,29.506001,4193500,29.506001
"2021-01-15",29.5,29.827999,29.166,29.306,4314000,29.306
"2021-01-19",29.492001,29.860001,29.292,29.642,4119500,29.642
"2021-01-20",30,30.426001,29.827999,30.058001,3346000,30.058001
"2021-01-21",30.271999,30.322001,29.813999,29.952,2597500,29.952
"2021-01-22",30.598,30.598,30.112,30.246,4033000,30.246
"2021-01-25",30.506001,30.902,29.736,30.364,3263500,30.364
"2021-01-26",30.438,30.73,29.903999,29.93,3397000,29.93
"2021-01-27",29.6,29.893999,28.726,29.164,5509500,29.164
"2021-01-28",29.402,29.968,29.290001,29.705999,2935000,29.705999
"2021-01-29",29.426001,29.695999,28.841999,28.950001,6455000,28.950001
"2021-02-01",29.275999,29.742001,29.106001,29.677999,3457000,29.677999
"2021-02-02",29.892,30.808001,29.872,30.761999,4579500,30.761999
"2021-02-03",30.822001,30.91,29.879999,30.184,5534000,30.184
"2021-02-04",30.274,31.414,30.266001,31.398001,9949500,31.398001
"2021-02-05",31.483999,31.666,30.4,31.096001,9607000,31.096001
"2021-02-08",31.441999,32.186001,31.299999,31.886,6622500,31.886
"2021-02-09",31.908001,32.099998,31.525999,31.992001,5432000,31.992001
