"","BK.Open","BK.High","BK.Low","BK.Close","BK.Volume","BK.Adjusted"
"2020-12-04",40.240002,40.799999,40.240002,40.650002,5224300,38.707924
"2020-12-07",40.279999,40.57,39.869999,40.34,4652300,38.412731
"2020-12-08",40.029999,40.849998,40.009998,40.779999,4657900,38.831711
"2020-12-09",41.049999,41.509998,40.700001,40.790001,5833300,38.841232
"2020-12-10",40.360001,41.5,40.279999,41.360001,6598400,39.384003
"2020-12-11",40.73,40.900002,40.139999,40.240002,6298400,38.317513
"2020-12-14",40.830002,40.98,39.799999,39.830002,4456200,37.927097
"2020-12-15",40.369999,40.509998,39.720001,40.189999,4741400,38.269894
"2020-12-16",40.290001,40.669998,40.099998,40.450001,4771000,38.517475
"2020-12-17",40.59,40.689999,40.16,40.41,4896500,38.479389
"2020-12-18",40.330002,40.91,40.23,40.790001,10343600,38.841232
"2020-12-21",41.529999,42.139999,40.400002,41.419998,7362300,39.441132
"2020-12-22",41.349998,41.360001,40.25,40.279999,4172700,38.355595
"2020-12-23",40.540001,41.32,40.43,40.98,3833900,39.022156
"2020-12-24",41.150002,41.200001,40.619999,41.040001,1254800,39.079292
"2020-12-28",41.34,41.889999,41.07,41.439999,3294400,39.460182
"2020-12-29",41.580002,41.68,41.209999,41.439999,3244700,39.460182
"2020-12-30",41.48,41.869999,41.389999,41.689999,2824900,39.698238
"2020-12-31",41.689999,42.490002,41.580002,42.439999,2956600,40.412399
"2021-01-04",42.5,42.639999,41.23,41.689999,5710200,39.698238
"2021-01-05",41.689999,42.43,41.34,42.16,4592400,40.145779
"2021-01-06",43.52,45.419998,43.43,45.009998,8467200,42.859619
"2021-01-07",45.59,46.040001,45.240002,45.279999,5079000,43.116714
"2021-01-08",45.349998,45.459999,44.43,44.799999,3621000,42.659653
"2021-01-11",44.43,45.57,44.099998,45.560001,4590200,43.383343
"2021-01-12",45.91,46.669998,45.849998,46.560001,4933700,44.335567
"2021-01-13",46.52,46.84,46.189999,46.32,4343300,44.107029
"2021-01-14",46.360001,46.84,45.810001,46.529999,3362300,44.306995
"2021-01-15",45.959999,46.130001,45.32,45.57,4330800,43.392868
"2021-01-19",45.75,46.330002,45.23,45.82,6427800,43.630924
"2021-01-20",43.720001,44,42.259998,42.490002,10494500,40.460014
"2021-01-21",42.529999,42.790001,41.700001,42.259998,8669700,40.240997
"2021-01-22",41.810001,42.279999,41.470001,41.93,5509000,39.926765
"2021-01-25",41.5,41.700001,41.110001,41.299999,8239300,39.326866
