"","CAT.Open","CAT.High","CAT.Low","CAT.Close","CAT.Volume","CAT.Adjusted"
"2020-10-19",168.740005,170.020004,166.800003,167.529999,2757700,160.425934
"2020-10-20",168.199997,171.259995,167.910004,168.990005,3007100,161.82402
"2020-10-21",169.809998,170.520004,166.740005,167.399994,2502000,160.301437
"2020-10-22",167.979996,169.850006,166.889999,169.660004,2356800,162.465622
"2020-10-23",169.369995,170.649994,167.559998,168.589996,2857300,162.427063
"2020-10-26",166.639999,166.639999,160.830002,163.199997,4506600,157.2341
"2020-10-27",160.960007,161.850006,157.009995,157.910004,4857900,152.137482
"2020-10-28",153.800003,155.429993,150.520004,151.160004,5645100,145.634247
"2020-10-29",150.600006,155.509995,149.630005,154.669998,3867200,149.015915
"2020-10-30",153.960007,157.289993,153.039993,157.050003,4373500,151.308914
"2020-11-02",159.199997,163.850006,157.649994,163.270004,4072400,157.301559
"2020-11-03",165,169,163.070007,167.690002,4843600,161.559982
"2020-11-04",159.179993,162.380005,155.229996,155.229996,9081700,149.55545
"2020-11-05",157.669998,164.960007,157.600006,163.089996,4821600,157.128128
"2020-11-06",163.940002,165.539993,160.759995,161.289993,2983000,155.393906
"2020-11-09",174.029999,176.369995,170.119995,170.820007,5969600,164.575562
"2020-11-10",171.899994,174.990005,170.770004,172.300003,3499100,166.00145
"2020-11-11",172.380005,172.740005,167.470001,169.460007,2345500,163.265289
"2020-11-12",168.830002,171.100006,167.649994,169.130005,2185500,162.947327
"2020-11-13",170.300003,172.220001,169.190002,171.710007,2120200,165.433029
"2020-11-16",175,175,171.830002,173.190002,3902400,166.858932
"2020-11-17",172.169998,172.479996,170.190002,171.910004,2110800,165.625717
"2020-11-18",172.039993,175.380005,172.039993,172.740005,3165100,166.425354
"2020-11-19",172.5,173.25,170.710007,172.899994,2012100,166.579498
"2020-11-20",172.449997,173.119995,171.309998,172.229996,2449800,165.934021
"2020-11-23",173.759995,175.5,173.240005,174.779999,2403500,168.390808
"2020-11-24",176.25,178.320007,175.270004,176.899994,3447000,170.433273
"2020-11-25",176.460007,176.479996,172.779999,174.630005,2506400,168.246292
"2020-11-27",174.410004,175.919998,173.880005,175.080002,976900,168.679825
"2020-11-30",173.610001,174.880005,172.429993,173.589996,2382600,167.244293
"2020-12-01",175.389999,176.570007,172.940002,173.259995,2710200,166.926361
"2020-12-02",173.259995,174.419998,172.279999,173.869995,1971000,167.514038
"2020-12-03",173.869995,175.080002,173.279999,174.630005,2903900,168.246292
"2020-12-04",175.919998,183.809998,175.619995,182.210007,6086200,175.549194
"2020-12-07",180.389999,180.389999,176.559998,178.710007,4587400,172.177155
