"","HIG.Open","HIG.High","HIG.Low","HIG.Close","HIG.Volume","HIG.Adjusted"
"2020-12-15",46.049999,46.150002,44.970001,45.75,3174900,44.232338
"2020-12-16",45.990002,46.540001,45.619999,46.290001,2523500,44.754425
"2020-12-17",46.25,46.919998,45.970001,46.779999,2206500,45.228172
"2020-12-18",46.689999,47.75,46.650002,47.650002,6120000,46.069313
"2020-12-21",47.43,47.619999,46.509998,47.5,3493200,45.924286
"2020-12-22",47.529999,47.779999,47.360001,47.639999,2475900,46.059647
"2020-12-23",47.950001,48.75,47.950001,48.27,1562700,46.668747
"2020-12-24",48.169998,48.419998,47.720001,48.41,490700,46.8041
"2020-12-28",48.599998,48.799999,48.099998,48.200001,1866700,46.601067
"2020-12-29",48.330002,48.419998,47.360001,47.529999,1748700,45.953293
"2020-12-30",47.630001,48.380001,47.630001,47.939999,1345500,46.349686
"2020-12-31",48.07,49.060001,47.66,48.98,1775800,47.355186
"2021-01-04",49.630001,49.810001,48.02,48.290001,2963900,46.688076
"2021-01-05",48.400002,48.599998,47.66,47.970001,2612500,46.378696
"2021-01-06",49.009998,51.060001,48.91,50.860001,2535300,49.172825
"2021-01-07",50.75,51.169998,50.080002,50.400002,2556200,48.728081
"2021-01-08",50.41,50.529999,48.990002,49.889999,2032100,48.235001
"2021-01-11",49.450001,50.68,49.369999,50.25,1804800,48.583057
"2021-01-12",50.700001,51.950001,50.57,51.860001,2872700,50.139648
"2021-01-13",51.59,52.48,51.369999,51.900002,2381500,50.178322
"2021-01-14",52.09,52.959999,51.77,52.369999,1669200,50.632736
"2021-01-15",51.790001,52.09,51.150002,51.669998,1804600,49.955952
"2021-01-19",52.439999,52.959999,51.619999,52.66,1897700,50.913116
"2021-01-20",52.380001,53.040001,52.099998,52.490002,1478400,50.748753
"2021-01-21",52.32,52.919998,50.950001,51.02,2624400,49.327515
"2021-01-22",50.84,50.84,49.43,50.369999,1831500,48.699078
"2021-01-25",49.68,50.799999,49.52,50.700001,1582800,49.018131
"2021-01-26",51,51.130001,49.889999,49.91,1117500,48.254337
"2021-01-27",49.23,49.639999,47.709999,48.009998,1753700,46.417366
"2021-01-28",48.529999,49.439999,48.360001,48.990002,1356000,47.364857
"2021-01-29",48.599998,48.880001,47.470001,48.02,1572500,46.427032
"2021-02-01",48.369999,48.700001,47.900002,48.34,1380800,46.73642
"2021-02-02",48.82,49.540001,48.639999,49.27,2066900,47.635574
"2021-02-03",49.040001,49.650002,48.98,49.43,1527000,47.790264
"2021-02-04",49.779999,51.09,49.48,50.939999,2600100,49.250172
"2021-02-05",50.599998,51.330002,50,50.439999,2965300,48.766754
"2021-02-08",50.5,50.549999,49.59,50.310001,1868700,48.641071
"2021-02-09",50.25,50.470001,49.720001,50.240002,1909200,48.573391
"2021-02-10",50.200001,50.779999,50.009998,50.549999,1535900,48.873112
"2021-02-11",50.580002,51.59,50.169998,50.360001,1414200,48.689415
"2021-02-12",49.91,50.389999,48.84,49.610001,2104000,47.964287
"2021-02-16",49.970001,50,48.740002,48.799999,2707500,47.18116
"2021-02-17",48.66,50.389999,48.599998,50.099998,3598900,48.438034
"2021-02-18",49.639999,50.009998,49.369999,49.419998,1943900,47.780594
"2021-02-19",49.799999,50.099998,49.470001,49.860001,2333700,48.205997
"2021-02-22",49.990002,51.099998,49.860001,51.029999,1626400,49.337177
"2021-02-23",51.560001,52.560001,51.27,51.869999,2731700,50.149319
"2021-02-24",51.970001,53.790001,51.91,53.150002,2515700,51.38686
"2021-02-25",53.450001,53.950001,51.860001,51.889999,2277900,50.168652
"2021-02-26",51.490002,51.669998,50.369999,50.689999,2611100,49.34127
"2021-03-01",51.450001,52.43,51.450001,51.959999,1828700,50.577484
"2021-03-02",51.810001,52.009998,51.549999,51.599998,1885300,50.227058
"2021-03-03",51.799999,53.139999,51.610001,52.419998,2205500,51.025238
"2021-03-04",52.48,52.82,50.630001,52.049999,2270500,50.665085
"2021-03-05",52.68,53.860001,52.259998,53.619999,2234500,52.193314
"2021-03-08",54.259998,55.869999,53.790001,54.790001,2475000,53.332184
"2021-03-09",54.119999,55.5,53.66,54.41,2615700,52.962292
"2021-03-10",54.549999,55.09,54.139999,54.709999,1483300,53.254314
"2021-03-11",54.330002,55.080002,54.18,54.41,1613500,52.962292
"2021-03-12",55.27,55.830002,54.790001,55.450001,1557200,53.974621
"2021-03-15",55.32,57.540001,55.02,57.5,3641000,55.970074
"2021-03-16",56.939999,57.18,55.880001,56.700001,2795000,55.19136
"2021-03-17",57.09,57.599998,56.139999,57.41,2257000,55.882473
