"","TSCO.Open","TSCO.High","TSCO.Low","TSCO.Close","TSCO.Volume","TSCO.Adjusted"
"2020-11-25",133.889999,134.580002,132.160004,133.899994,1231000,131.208344
"2020-11-27",134.990005,139.570007,134.339996,139.369995,1116600,136.568375
"2020-11-30",138.850006,141.369995,137.529999,140.809998,2894600,137.979431
"2020-12-01",140.850006,143.630005,138.669998,139.669998,1349300,136.862366
"2020-12-02",139.669998,139.949997,136.660004,136.770004,1006000,134.02066
"2020-12-03",136.25,137.190002,133.610001,134.800003,1052600,132.090271
"2020-12-04",135.630005,136.089996,133.679993,134.380005,1053300,131.67868
"2020-12-07",134.660004,137.759995,134.130005,137.220001,1424000,134.461609
"2020-12-08",136.990005,137.610001,135.050003,136.559998,983600,133.81488
"2020-12-09",136,137.380005,134.130005,135.580002,881000,132.854584
"2020-12-10",135.380005,136.720001,133.600006,135.949997,750200,133.217117
"2020-12-11",135.309998,139.029999,135.179993,138.660004,1158500,135.872665
"2020-12-14",139.449997,141.619995,138.880005,140.529999,1332300,137.705048
"2020-12-15",141.059998,142.910004,140.169998,141.130005,1035100,138.292999
"2020-12-16",141.149994,144.820007,141.149994,144.229996,1111600,141.330658
"2020-12-17",144.759995,146.179993,143.809998,145.509995,1861400,142.58493
"2020-12-18",146.660004,147.690002,145.320007,147.080002,2318100,144.123398
"2020-12-21",145.25,149.339996,143.759995,148.669998,1166800,145.681442
"2020-12-22",148.490005,150.690002,147.979996,149.770004,1299000,146.759338
"2020-12-23",149.800003,150.330002,145.960007,146.899994,835900,143.947006
"2020-12-24",147.020004,148,146.210007,146.880005,369100,143.927414
"2020-12-28",147.929993,148.100006,143.279999,143.289993,764000,140.409576
"2020-12-29",143.979996,144.720001,141.130005,143,828800,140.125412
"2020-12-30",143.410004,144.710007,141.740005,142.759995,629400,139.890228
"2020-12-31",143.220001,143.220001,140.449997,140.580002,713700,137.754059
"2021-01-04",140.899994,141.649994,138.139999,139.710007,1398400,136.90155
"2021-01-05",139.220001,140.800003,138.210007,140.690002,856800,137.861862
"2021-01-06",139.350006,145.949997,138.740005,145.869995,1102900,142.937729
"2021-01-07",145.679993,147.539993,145.080002,147.119995,919200,144.162582
"2021-01-08",147.160004,149.460007,145.75,149.309998,1069900,146.308548
"2021-01-11",148.839996,151.580002,147.020004,149.5,1307600,146.494751
"2021-01-12",149.179993,152.100006,148.970001,151.75,1127200,148.699509
"2021-01-13",152.490005,154.130005,150.75,153.179993,1630100,150.100769
"2021-01-14",153.559998,157.080002,153.399994,156.440002,1534100,153.295242
"2021-01-15",156.479996,160.830002,156.279999,157.479996,1850000,154.314331
"2021-01-19",158.509995,159.339996,156.710007,157.449997,1207500,154.284927
"2021-01-20",157.570007,157.570007,154.100006,155.350006,948500,152.227158
"2021-01-21",155.399994,157.990005,154.910004,155.179993,750700,152.060562
"2021-01-22",155.710007,157.339996,154.190002,155.619995,1239600,152.491714
"2021-01-25",156.199997,158.539993,155.5,156.139999,1154900,153.001282
"2021-01-26",156.25,157,151.089996,151.889999,1058600,148.8367
"2021-01-27",151.75,155.440002,146.509995,153.720001,2174500,150.629929
"2021-01-28",150.229996,155.440002,145.490005,149.440002,2115600,146.435959
"2021-01-29",150.289993,150.929993,141.580002,141.740005,2122200,138.890732
"2021-02-01",142.139999,145.690002,139.110001,139.720001,1430900,136.911346
