"","TTWO.Open","TTWO.High","TTWO.Low","TTWO.Close","TTWO.Volume","TTWO.Adjusted"
"2021-07-02",180.300003,180.970001,176.029999,177.300003,737800,177.300003
"2021-07-06",177.399994,177.839996,171.630005,174.070007,1176400,174.070007
"2021-07-07",174.369995,175.059998,172.639999,173.690002,712700,173.690002
"2021-07-08",171.399994,171.830002,170.080002,170.669998,940500,170.669998
"2021-07-09",170.669998,171.169998,169.179993,170.369995,917400,170.369995
"2021-07-12",172.369995,173.479996,171.479996,172.100006,875300,172.100006
"2021-07-13",172.580002,175.25,172.089996,173.550003,1207200,173.550003
"2021-07-14",173.869995,174.550003,170.020004,171.880005,692600,171.880005
"2021-07-15",171.660004,171.720001,167.059998,168.240005,1030200,168.240005
"2021-07-16",168.259995,170.899994,168.259995,170.520004,899800,170.520004
"2021-07-19",169.940002,172.229996,166.610001,168.960007,2109700,168.960007
"2021-07-20",170.910004,171.100006,167.970001,170.020004,861600,170.020004
"2021-07-21",170.470001,171.570007,170.139999,170.899994,903400,170.899994
"2021-07-22",170.679993,171.589996,169.199997,171.279999,606200,171.279999
"2021-07-23",171.149994,174.089996,169.270004,173.289993,1253500,173.289993
"2021-07-26",173.699997,173.699997,171.119995,172.899994,816900,172.899994
"2021-07-27",172.839996,173.259995,164.630005,167.5,1481500,167.5
"2021-07-28",168.649994,173.110001,168.169998,171.279999,1153300,171.279999
"2021-07-29",171.199997,172.990005,168.850006,169.990005,1037500,169.990005
"2021-07-30",168.970001,174.199997,168.580002,173.419998,1940700,173.419998
"2021-08-02",175.669998,176.820007,173.009995,173.210007,2372600,173.210007
"2021-08-03",162.990005,162.990005,155.399994,159.860001,5935500,159.860001
"2021-08-04",161.080002,163.619995,158.139999,158.75,2136400,158.75
"2021-08-05",158.830002,159.070007,155.710007,156.779999,2643200,156.779999
"2021-08-06",156.309998,159.779999,156.029999,158.300003,2279900,158.300003
"2021-08-09",158.279999,161.600006,158.229996,160.570007,1145400,160.570007
"2021-08-10",160.559998,161.160004,159.089996,159.679993,1113500,159.679993
"2021-08-11",161.130005,161.289993,158.759995,159.929993,1068600,159.929993
"2021-08-12",158.75,160.869995,158.279999,160.369995,1116400,160.369995
"2021-08-13",161.059998,162.660004,159.960007,160.350006,926100,160.350006
"2021-08-16",159.149994,160.600006,158.979996,160.350006,816000,160.350006
"2021-08-17",159.369995,163.630005,158.449997,163.470001,1311500,163.470001
"2021-08-18",163.649994,164.869995,161.550003,161.619995,1164100,161.619995
"2021-08-19",161.389999,163.789993,160.759995,162.270004,767300,162.270004
"2021-08-20",161.979996,163.690002,159.410004,160.960007,1040400,160.960007
"2021-08-23",161.119995,163.929993,160.429993,163.360001,782400,163.360001
"2021-08-24",164.160004,164.559998,163.119995,163.820007,677600,163.820007
"2021-08-25",164.070007,164.619995,160.5,160.660004,893400,160.660004
"2021-08-26",160.619995,160.960007,158.559998,158.880005,916300,158.880005
"2021-08-27",159.339996,161.300003,158.669998,160.029999,1524900,160.029999
"2021-08-30",158.990005,159.570007,156.619995,158.139999,1106200,158.139999
"2021-08-31",158.830002,161.990005,158.25,161.220001,1257500,161.220001
"2021-09-01",162.350006,163.429993,160.149994,161.929993,878700,161.929993
"2021-09-02",162.550003,163.690002,161.630005,162.029999,730500,162.029999
"2021-09-03",161.720001,162.130005,160.350006,160.559998,559500,160.559998
"2021-09-07",160.699997,161.039993,158.089996,159.110001,795300,159.110001
"2021-09-08",159.360001,160.179993,157.570007,159.449997,605600,159.449997
"2021-09-09",158.270004,158.880005,156.699997,157.029999,833700,157.029999
"2021-09-10",153.100006,156,151.710007,153.940002,2895700,153.940002
"2021-09-13",154.630005,156.399994,152.279999,152.929993,1144800,152.929993
"2021-09-14",152.539993,153.539993,151.389999,152.149994,1350900,152.149994
"2021-09-15",152.139999,153.850006,150.410004,152.690002,1080600,152.690002
"2021-09-16",152.110001,153.210007,151.320007,151.889999,863000,151.889999
"2021-09-17",149.490005,151.990005,148.869995,151.660004,2074700,151.660004
"2021-09-20",150.320007,151.949997,147.119995,148.839996,1030400,148.839996
"2021-09-21",149.190002,149.220001,145.600006,145.720001,1040600,145.720001
"2021-09-22",145.910004,147.100006,144.580002,145.25,1650600,145.25
"2021-09-23",147.529999,149.210007,145.75,146.679993,1180500,146.679993
"2021-09-24",146.520004,148.070007,145.770004,147.360001,1023800,147.360001
"2021-09-27",146.880005,148.869995,145.419998,148.649994,1048800,148.649994
"2021-09-28",148.289993,152.149994,148.160004,149.110001,1867100,149.110001
"2021-09-29",148.740005,152.699997,148.5,151.600006,1429000,151.600006
"2021-09-30",152.720001,155.360001,152.490005,154.070007,1480300,154.070007
"2021-10-01",154.380005,160.029999,151.860001,158.539993,1868500,158.539993
"2021-10-04",157.720001,157.910004,155.410004,157.130005,991900,157.130005
"2021-10-05",157.179993,162.279999,156.979996,162.020004,1712200,162.020004
"2021-10-06",161.529999,166.279999,160.470001,165.440002,2267600,165.440002
"2021-10-07",166.100006,172.229996,165.949997,170.770004,1926900,170.770004
"2021-10-08",171.360001,175.550003,169.119995,173.690002,1824800,173.690002
"2021-10-11",173.320007,173.919998,169.779999,170.720001,1137500,170.720001
"2021-10-12",171.270004,172.410004,170.089996,171.350006,652300,171.350006
"2021-10-13",171.580002,172.339996,170.240005,170.600006,940700,170.600006
"2021-10-14",171.169998,172.100006,168.460007,169.380005,933300,169.380005
"2021-10-15",169.539993,172.699997,169.020004,170.559998,1057500,170.559998
"2021-10-18",170.539993,172.940002,169.380005,171.75,607400,171.75
"2021-10-19",172.380005,173.809998,171.080002,172.039993,925700,172.039993
"2021-10-20",172.690002,174.869995,171.520004,173.5,628700,173.5
"2021-10-21",173.929993,182.740005,173.080002,182.059998,1949000,182.059998
"2021-10-22",181.759995,182.5,178.520004,180.75,1207000,180.75
"2021-10-25",180.330002,183.130005,179.070007,182.990005,806300,182.990005
"2021-10-26",183.460007,184.740005,181.130005,182.539993,761000,182.539993
"2021-10-27",182.660004,183.929993,180.020004,180.910004,887300,180.910004
"2021-10-28",180.259995,187.130005,177.5,181.110001,1628700,181.110001
"2021-10-29",181.350006,184.470001,179.740005,181,1075600,181
"2021-11-01",181.509995,185.220001,181.220001,183.800003,1518500,183.800003
"2021-11-02",183,184.380005,181.600006,183.940002,1083200,183.940002
"2021-11-03",181.210007,184.789993,179.600006,184.160004,1692000,184.160004
"2021-11-04",189.009995,193.339996,186.419998,192.910004,2941600,192.910004
"2021-11-05",192.259995,195.830002,185.669998,187.199997,1736100,187.199997
"2021-11-08",187.5,187.550003,181.679993,185.139999,1219200,185.139999
"2021-11-09",186.990005,189.889999,185.919998,186.809998,873600,186.809998
"2021-11-10",186.289993,186.289993,181.070007,182.75,1021900,182.75
"2021-11-11",183.190002,186.440002,182.589996,185.710007,775000,185.710007
"2021-11-12",185.630005,189.509995,183.449997,187.830002,1116000,187.830002
"2021-11-15",185.190002,185.190002,174.820007,177.600006,2128200,177.600006
"2021-11-16",177.809998,181.449997,177.600006,179.690002,1441600,179.690002
"2021-11-17",178.990005,180.520004,176.279999,177.039993,1490000,177.039993
"2021-11-18",176.910004,176.990005,171.440002,174,1562600,174
"2021-11-19",175.820007,177.139999,170.270004,170.5,1651600,170.5
"2021-11-22",170.259995,170.520004,164.220001,164.910004,1660400,164.910004
"2021-11-23",164.270004,166.910004,162.210007,165.130005,1172300,165.130005
"2021-11-24",164.5,165.160004,162.470001,164.309998,858400,164.309998
"2021-11-26",166.699997,171.789993,166.289993,169.660004,1308100,169.660004
"2021-11-29",168.720001,171.449997,164.559998,169.600006,1153400,169.600006
"2021-11-30",170.149994,171.770004,165.389999,165.880005,2341500,165.880005
"2021-12-01",165.800003,168.429993,160.229996,160.350006,824000,160.350006
"2021-12-02",159.539993,163.740005,159.5,161.380005,1215200,161.380005
"2021-12-03",161.479996,165.990005,159.820007,165.779999,1344300,165.779999
"2021-12-06",165.5,165.690002,162.199997,164.399994,969500,164.399994
"2021-12-07",166.360001,168.910004,165.5,167.289993,1067900,167.289993
"2021-12-08",166.910004,171.080002,165.559998,170.550003,1082500,170.550003
"2021-12-09",170.759995,173.199997,165.119995,166.380005,845700,166.380005
"2021-12-10",166.380005,167.029999,163.350006,165.600006,632600,165.600006
"2021-12-13",165.600006,166.690002,164.009995,166.259995,768800,166.259995
"2021-12-14",164.360001,167.759995,163.479996,167.630005,676600,167.630005
"2021-12-15",167.630005,171.520004,165.720001,171.149994,839800,171.149994
"2021-12-16",171.149994,174.089996,169.199997,172.740005,1106400,172.740005
"2021-12-17",171.949997,178.440002,171.460007,175.740005,2879300,175.740005
"2021-12-20",174.699997,179.039993,173.610001,178.350006,1107200,178.350006
"2021-12-21",178.240005,179.970001,176.440002,179.440002,869900,179.440002
"2021-12-22",179.789993,180.369995,176.389999,177.619995,1078800,177.619995
"2021-12-23",177.940002,178.509995,176.360001,177.960007,621300,177.960007
"2021-12-27",178.029999,179.690002,177.350006,179.559998,582500,179.559998
