"","BIIB.Open","BIIB.High","BIIB.Low","BIIB.Close","BIIB.Volume","BIIB.Adjusted"
"2020-10-14",292.98999,292.98999,286,289.019989,976400,289.019989
"2020-10-15",284.850006,286.380005,280.100006,280.630005,852900,280.630005
"2020-10-16",282.429993,284.48999,279.51001,280.01001,843100,280.01001
"2020-10-19",279.269989,280.049988,268.209991,268.769989,1207900,268.769989
"2020-10-20",270.450012,271.980011,266.089996,267.119995,1155400,267.119995
"2020-10-21",264.98999,271.040009,260.299988,268.910004,1848600,268.910004
"2020-10-22",268.75,269.190002,262.5,266.799988,1280300,266.799988
"2020-10-23",267.230011,267.230011,262.170013,265,1016200,265
"2020-10-26",263.51001,264.179993,255.830002,256.76001,1241000,256.76001
"2020-10-27",256.329987,258.700012,254.929993,255.300003,1105400,255.300003
"2020-10-28",251.029999,253.210007,244.179993,244.259995,1647700,244.259995
"2020-10-29",244.970001,247.940002,243.25,245.479996,1223300,245.479996
"2020-10-30",247.259995,252.210007,243.729996,252.070007,1413500,252.070007
"2020-11-02",253.639999,255.800003,248.259995,248.990005,1469500,248.990005
"2020-11-03",250.520004,251.800003,243.570007,247.009995,1449800,247.009995
"2020-11-04",253.199997,363.920013,251.75,355.630005,14591500,355.630005
"2020-11-05",348,348,321.5,328.899994,5070300,328.899994
"2020-11-06",328.899994,328.899994,328.899994,328.899994,600,328.899994
"2020-11-09",230.820007,239.5,223.25,236.259995,9252600,236.259995
"2020-11-10",241.240005,244.839996,234.559998,236.339996,3224100,236.339996
"2020-11-11",239.800003,249.440002,238.080002,244.029999,2332100,244.029999
"2020-11-12",244.710007,246.740005,240.710007,241.550003,1586800,241.550003
"2020-11-13",243.649994,249.130005,241.889999,248.589996,1697600,248.589996
"2020-11-16",250.289993,254.270004,247.059998,250.960007,1607200,250.960007
"2020-11-17",251.179993,254.410004,247.910004,248.809998,1371600,248.809998
"2020-11-18",248.809998,251.509995,240.770004,240.979996,1829100,240.979996
"2020-11-19",241.419998,245.550003,240.5,244.009995,1222000,244.009995
"2020-11-20",243.869995,246.479996,243,244.149994,1334800,244.149994
"2020-11-23",245,245.720001,241.169998,243.380005,1251200,243.380005
"2020-11-24",243.339996,244.860001,240.070007,242.509995,1605800,242.509995
"2020-11-25",243.100006,244.470001,239.729996,241.75,1122400,241.75
"2020-11-27",242,244.330002,241,243.779999,699200,243.779999
"2020-11-30",243.460007,244.190002,239.559998,240.169998,2193500,240.169998
"2020-12-01",241.229996,244.369995,240.509995,243.160004,1164200,243.160004
"2020-12-02",246.889999,249.75,244.800003,246.919998,1317000,246.919998
"2020-12-03",248.380005,249.210007,243.199997,244.089996,897100,244.089996
"2020-12-04",244.860001,248.960007,244.100006,245.869995,961300,245.869995
"2020-12-07",246.300003,248.050003,243.169998,243.679993,1082000,243.679993
"2020-12-08",244.630005,246.880005,243.529999,246.429993,1228400,246.429993
"2020-12-09",248,249.449997,242.839996,244.75,1364600,244.75
"2020-12-10",247.449997,247.449997,242,242.979996,1276400,242.979996
"2020-12-11",242.639999,245.990005,240.350006,241.429993,1140300,241.429993
"2020-12-14",242.979996,250.880005,242.979996,245.25,1561000,245.25
"2020-12-15",246.490005,249.779999,244.039993,248.729996,1231500,248.729996
"2020-12-16",249.070007,251.229996,246.199997,248.190002,1154900,248.190002
"2020-12-17",247.160004,251.610001,245.669998,250.240005,1279000,250.240005
"2020-12-18",251.779999,254,248.5,249.619995,3455400,249.619995
"2020-12-21",246.75,249,242.589996,248.320007,1279800,248.320007
"2020-12-22",246.440002,249.380005,244.600006,247.869995,934600,247.869995
"2020-12-23",247,253.410004,247,251.199997,972300,251.199997
"2020-12-24",250.270004,251.199997,247.509995,248.889999,459500,248.889999
"2020-12-28",248.479996,249.110001,243.029999,244.149994,1234200,244.149994
"2020-12-29",245.360001,246.240005,242.539993,243.460007,1007000,243.460007
"2020-12-30",244.5,245.059998,242.360001,243.580002,750000,243.580002
"2020-12-31",243.470001,245.190002,241.100006,244.860001,978100,244.860001
"2021-01-04",245.740005,246.399994,238.399994,242.949997,1563400,242.949997
"2021-01-05",243.880005,247.259995,240.339996,246.389999,1166300,246.389999
"2021-01-06",244.699997,248.039993,243.020004,247.75,1279100,247.75
"2021-01-07",247.449997,251.440002,247.059998,250.440002,1118600,250.440002
"2021-01-08",249.880005,252.639999,248.800003,252.539993,988700,252.539993
"2021-01-11",255.860001,275.48999,253.309998,267.519989,2999200,267.519989
"2021-01-12",268.779999,268.779999,263.329987,267.390015,1097200,267.390015
"2021-01-13",269.609985,269.730011,265.040009,266.670013,943300,266.670013
"2021-01-14",269.48999,280.48999,268,280.290009,1520400,280.290009
"2021-01-15",280,282.600006,275.429993,275.839996,1765000,275.839996
"2021-01-19",276.75,282.429993,272.570007,273.839996,1213900,273.839996
"2021-01-20",274.309998,274.540009,267.670013,270.279999,1293300,270.279999
"2021-01-21",270.25,270.679993,267.769989,270.119995,806500,270.119995
"2021-01-22",270.339996,272.709991,268.480011,269.440002,691100,269.440002
"2021-01-25",271.790009,277.019989,271,275.540009,806800,275.540009
"2021-01-26",274.5,275.75,268.290009,271.670013,777200,271.670013
"2021-01-27",267.700012,268.660004,262.98999,265.149994,1116300,265.149994
"2021-01-28",265.130005,270.890015,264.769989,267.869995,979600,267.869995
"2021-01-29",294.429993,296.380005,281.51001,282.609985,4789400,282.609985
"2021-02-01",283.200012,284.75,274.720001,278.459991,1445700,278.459991
"2021-02-02",281.299988,282.5,276.829987,277.720001,1194000,277.720001
"2021-02-03",269.98999,278.549988,262.079987,263.25,2521700,263.25
"2021-02-04",262.160004,270.390015,260.970001,267.390015,1663200,267.390015
"2021-02-05",268.140015,268.140015,263.890015,265.089996,1061000,265.089996
"2021-02-08",266.559998,270.170013,265,268.929993,1045900,268.929993
"2021-02-09",268.230011,269.390015,265.899994,269.309998,749600,269.309998
"2021-02-10",271.450012,277.25,268.459991,275,1353800,275
"2021-02-11",278.51001,282.75,276.690002,278.809998,1214200,278.809998
"2021-02-12",278.119995,280.220001,274.829987,278.029999,1033900,278.029999
"2021-02-16",275,283,275,279.320007,1303600,279.320007
"2021-02-17",276.070007,280.059998,273.700012,276.670013,960300,276.670013
"2021-02-18",274.850006,277.970001,272,275.899994,933000,275.899994
"2021-02-19",278.540009,281.450012,275.859985,278.350006,1254000,278.350006
"2021-02-22",276.059998,288.079987,274.529999,284.630005,1397700,284.630005
"2021-02-23",281.98999,284.869995,275.670013,279.079987,1306200,279.079987
"2021-02-24",278.75,285.709991,276.679993,282.73999,889300,282.73999
"2021-02-25",284.26001,284.399994,274.709991,277.26001,1023800,277.26001
"2021-02-26",278.279999,278.920013,269.309998,272.880005,1535100,272.880005
"2021-03-01",274.420013,275.649994,271.390015,273.23999,1060100,273.23999
"2021-03-02",273,275.640015,269.5,269.850006,1258200,269.850006
"2021-03-03",267.799988,269.279999,263.799988,266.600006,1037100,266.600006
"2021-03-04",266.570007,270.299988,262.480011,263.570007,1291500,263.570007
"2021-03-05",265.829987,273.329987,262.450012,270.709991,1062500,270.709991
"2021-03-08",270.700012,278.869995,267.48999,270.01001,1163800,270.01001
"2021-03-09",272.589996,278.23999,266.390015,266.48999,1769100,266.48999
"2021-03-10",269.519989,269.519989,262.600006,262.609985,1736400,262.609985
"2021-03-11",263.059998,268,260.549988,267.440002,1596300,267.440002
"2021-03-12",266.660004,267.48999,261.720001,266.130005,1034300,266.130005
"2021-03-15",268.019989,271.429993,250.419998,260.130005,2829400,260.130005
"2021-03-16",261.809998,265.98999,258.070007,259.920013,1421600,259.920013
"2021-03-17",258.5,267.290009,257.220001,264.149994,1092900,264.149994
"2021-03-18",262.01001,267.029999,261.519989,262.269989,885100,262.269989
"2021-03-19",261.429993,269.350006,261.119995,267.070007,2117900,267.070007
"2021-03-22",267.339996,273.859985,266,272.339996,1169000,272.339996
"2021-03-23",272.730011,273.100006,266,267.209991,888100,267.209991
"2021-03-24",267.040009,270.75,265.660004,265.690002,951800,265.690002
"2021-03-25",267.470001,280,264.359985,273.970001,1685100,273.970001
"2021-03-26",272.209991,277.109985,271.029999,276.630005,665300,276.630005
"2021-03-29",275.75,278.600006,273.140015,276.079987,794700,276.079987
"2021-03-30",273.790009,279.450012,273.070007,276.01001,882100,276.01001
"2021-03-31",276.320007,280.829987,274.390015,279.75,1135800,279.75
"2021-04-01",280,281.880005,278,278.709991,996300,278.709991
"2021-04-05",279.23999,279.920013,276.630005,277.880005,744900,277.880005
"2021-04-06",276.170013,276.5,271.299988,271.76001,1006500,271.76001
"2021-04-07",272,272,267.179993,268.019989,851400,268.019989
"2021-04-08",272.200012,272.200012,265.369995,265.730011,800900,265.730011
"2021-04-09",265.730011,268.589996,263.5,268.170013,874100,268.170013
"2021-04-12",267.309998,268.269989,262.549988,262.799988,753600,262.799988
"2021-04-13",264.910004,266.970001,262.420013,266.190002,823300,266.190002
"2021-04-14",267.440002,270.380005,264.630005,265.790009,697400,265.790009
"2021-04-15",265.709991,272,265.709991,270.440002,986300,270.440002
"2021-04-16",270.609985,273.829987,269.790009,270.309998,1014800,270.309998
"2021-04-19",269.549988,270.769989,265.440002,269.049988,884700,269.049988
"2021-04-20",269.01001,274.809998,268.209991,273.200012,841100,273.200012
"2021-04-21",272.630005,273.390015,266.5,269.850006,1053000,269.850006
"2021-04-22",260,264.519989,257.029999,259,2411300,259
"2021-04-23",260.329987,263.940002,258.290009,262.630005,911400,262.630005
"2021-04-26",264.450012,270.48999,261.220001,269.459991,1115700,269.459991
"2021-04-27",269.070007,270.679993,265.880005,267.390015,749800,267.390015
"2021-04-28",268.25,270.859985,265.809998,267.600006,691800,267.600006
"2021-04-29",268.420013,269.119995,264.399994,265.329987,530400,265.329987
"2021-04-30",264.380005,269.709991,264.019989,267.329987,894500,267.329987
"2021-05-03",267.869995,275.549988,267.730011,275.309998,981800,275.309998
"2021-05-04",273.700012,273.700012,269.940002,271.019989,954800,271.019989
"2021-05-05",271,273.320007,269.470001,271.570007,787600,271.570007
"2021-05-06",268.670013,273.029999,268.5,272.109985,929600,272.109985
"2021-05-07",270.660004,279.200012,270.660004,274.040009,936100,274.040009
"2021-05-10",274.859985,278.730011,273.690002,275.609985,895000,275.609985
"2021-05-11",274.26001,281.529999,273.5,278.390015,950900,278.390015
"2021-05-12",277.170013,280.690002,273.070007,274.019989,929700,274.019989
"2021-05-13",274.26001,283.160004,274.26001,281.709991,1039500,281.709991
"2021-05-14",281.470001,282.079987,276.029999,280.209991,991000,280.209991
"2021-05-17",281.170013,284.570007,279.299988,280.399994,944400,280.399994
"2021-05-18",282.48999,283.5,278.820007,281.01001,725900,281.01001
"2021-05-19",278.369995,281.899994,276.070007,281.75,723100,281.75
"2021-05-20",281,290.359985,280.01001,286.570007,1094300,286.570007
"2021-05-21",288.23999,289.910004,282.779999,283.190002,940200,283.190002
"2021-05-24",285.600006,287.269989,277.959991,278.859985,838200,278.859985
"2021-05-25",279.959991,280.269989,272.959991,273.450012,946700,273.450012
"2021-05-26",273.299988,274.350006,266.230011,267.839996,1777500,267.839996
"2021-05-27",269.100006,269.100006,266,267.369995,1792800,267.369995
"2021-05-28",269,271.98999,266,267.480011,957000,267.480011
"2021-06-01",272.350006,272.350006,264.119995,267.149994,1340800,267.149994
"2021-06-02",269.269989,271.859985,267.779999,269.350006,1187500,269.350006
"2021-06-03",271.48999,272.869995,266.429993,272.549988,1311600,272.549988
"2021-06-04",274.170013,291.709991,273.369995,286.140015,2956200,286.140015
"2021-06-07",295.350006,468.549988,286,395.850006,17954100,395.850006
"2021-06-08",389.100006,399.070007,373,395.369995,12209300,395.369995
"2021-06-09",395,414.799988,390.839996,406.940002,6196900,406.940002
"2021-06-10",406.940002,426.820007,404.25,414.709991,4753800,414.709991
"2021-06-11",423.329987,427.5,395.329987,396.640015,4221600,396.640015
"2021-06-14",396.23999,409.880005,395.140015,406.140015,2102600,406.140015
"2021-06-15",403.5,410.410004,393.910004,396.079987,1905100,396.079987
"2021-06-16",394.299988,403.01001,388.519989,391.309998,1572800,391.309998
"2021-06-17",391.309998,396.890015,380.170013,383.519989,1832800,383.519989
"2021-06-18",387.190002,391,381.649994,388.440002,2873600,388.440002
"2021-06-21",388.859985,390.98999,379.109985,380.910004,1897900,380.910004
"2021-06-22",379.950012,381,369.48999,374.399994,1770000,374.399994
"2021-06-23",376.01001,376.01001,364.299988,371.899994,1778500,371.899994
"2021-06-24",349.959991,358.369995,346.350006,349.160004,4647600,349.160004
"2021-06-25",348.670013,353.570007,345.130005,347.929993,2251600,347.929993
"2021-06-28",343,343.459991,333.279999,340.269989,1942700,340.269989
"2021-06-29",338.869995,346.709991,336.720001,345.720001,1427500,345.720001
"2021-06-30",345,349.5,342.75,346.269989,1067000,346.269989
"2021-07-01",346,350.380005,345.459991,348.920013,998000,348.920013
"2021-07-02",349.540009,350.070007,343.850006,348.720001,811800,348.720001
"2021-07-06",347.600006,347.709991,340.269989,344.890015,1041300,344.890015
"2021-07-07",344.950012,355.820007,344.390015,355.329987,1377600,355.329987
"2021-07-08",350.070007,370.059998,350.070007,369.049988,2344900,369.049988
"2021-07-09",371.859985,372.119995,351.01001,358.160004,2720100,358.160004
"2021-07-12",357.029999,357.98999,348.600006,349.040009,1188600,349.040009
"2021-07-13",349.089996,357.23999,347.5,351.920013,974200,351.920013
"2021-07-14",351.329987,358.769989,349.679993,352.059998,1237100,352.059998
"2021-07-15",341.850006,343.040009,323.709991,328.160004,3031700,328.160004
"2021-07-16",323.970001,331.109985,323,324.619995,1534800,324.619995
"2021-07-19",323.079987,326.970001,320.109985,324.160004,1036300,324.160004
"2021-07-20",324.700012,327.519989,317.26001,322.48999,1384600,322.48999
"2021-07-21",321.410004,324.519989,318.290009,322.959991,1126300,322.959991
"2021-07-22",320.040009,330.640015,319.230011,326.359985,1485600,326.359985
"2021-07-23",322.100006,328.149994,319.850006,325.399994,1015900,325.399994
"2021-07-26",324.410004,335,322.51001,331.929993,1269500,331.929993
"2021-07-27",332.070007,334.5,326.5,333.959991,929300,333.959991
"2021-07-28",333.75,336.950012,329.820007,334.179993,713600,334.179993
"2021-07-29",334.98999,336.920013,329,329.170013,660200,329.170013
"2021-07-30",326.369995,331.450012,325.399994,326.730011,942800,326.730011
"2021-08-02",327.040009,336.079987,326.26001,331.700012,962600,331.700012
"2021-08-03",331.809998,338.359985,325.089996,338,1326700,338
"2021-08-04",336.920013,342.859985,335.029999,338.100006,1216600,338.100006
"2021-08-05",336.829987,340.5,334.420013,336.589996,714900,336.589996
"2021-08-06",335.75,342.160004,333,340,822200,340
"2021-08-09",339.98999,347.339996,338,340.200012,1046800,340.200012
"2021-08-10",339.089996,340.73999,334.679993,337.220001,801200,337.220001
"2021-08-11",337.390015,342,336.390015,339.049988,784100,339.049988
"2021-08-12",335.869995,341,334.609985,340.679993,806400,340.679993
"2021-08-13",340.339996,345.079987,339.019989,342.25,744500,342.25
"2021-08-16",341.920013,344,337.200012,343.5,836700,343.5
"2021-08-17",340.899994,350.070007,340.76001,349.790009,1139400,349.790009
"2021-08-18",349.429993,351.859985,341.309998,341.869995,668600,341.869995
"2021-08-19",341.880005,347.790009,337.679993,338.619995,954600,338.619995
"2021-08-20",339.720001,345.73999,337.079987,341.73999,794100,341.73999
"2021-08-23",342.329987,349.630005,341.160004,346.429993,810000,346.429993
"2021-08-24",346.75,350.450012,345.890015,349.399994,628900,349.399994
"2021-08-25",347.23999,347.690002,341.5,342.75,791000,342.75
"2021-08-26",343.279999,347.130005,342.019989,342.23999,717200,342.23999
"2021-08-27",341.809998,347.73999,338.519989,343.190002,614800,343.190002
"2021-08-30",342.920013,345.779999,340.75,344.420013,555100,344.420013
"2021-08-31",344.619995,345.609985,337.899994,338.910004,984400,338.910004
"2021-09-01",340.779999,341.290009,336.440002,338.23999,791500,338.23999
"2021-09-02",338.670013,338.690002,327.799988,335.570007,1221600,335.570007
"2021-09-03",336.799988,337.799988,333.059998,333.600006,549200,333.600006
"2021-09-07",331.309998,332.869995,325.220001,327.23999,967300,327.23999
"2021-09-08",330.220001,330.220001,318.070007,321.549988,1142400,321.549988
"2021-09-09",322,322.48999,295.220001,300.149994,3549600,300.149994
"2021-09-10",299.970001,302.470001,295.25,299.809998,1380200,299.809998
"2021-09-13",301.869995,306.459991,300,301.940002,797500,301.940002
"2021-09-14",301.679993,301.980011,294.339996,295.950012,1039000,295.950012
"2021-09-15",298.98999,302.420013,296.359985,299.209991,1125800,299.209991
"2021-09-16",300.790009,302.929993,296.769989,299.690002,752200,299.690002
"2021-09-17",300.850006,300.850006,296.559998,300.190002,1680000,300.190002
"2021-09-20",297.940002,301.579987,296.309998,298.48999,932000,298.48999
"2021-09-21",300.970001,304.209991,292.730011,295.540009,738000,295.540009
"2021-09-22",289.440002,292.170013,285.399994,289.320007,1420100,289.320007
"2021-09-23",293.690002,299.829987,292.100006,293.200012,919300,293.200012
"2021-09-24",289.859985,293.470001,289,291.709991,817500,291.709991
"2021-09-27",290.549988,291,286.160004,286.619995,704300,286.619995
"2021-09-28",290.820007,291.540009,284.25,284.709991,785100,284.709991
"2021-09-29",285.76001,289.329987,284.640015,285.559998,700700,285.559998
"2021-09-30",286.230011,287.799988,282.640015,282.98999,793900,282.98999
"2021-10-01",281.350006,285.410004,279.23999,283.940002,925800,283.940002
"2021-10-04",281.440002,284.559998,277.410004,278.320007,924900,278.320007
"2021-10-05",278.339996,282.26001,278.339996,280.440002,1010500,280.440002
"2021-10-06",280.119995,285.570007,279.119995,283.549988,978600,283.549988
"2021-10-07",285.519989,290.76001,284.579987,287.769989,879900,287.769989
"2021-10-08",287.440002,288.98999,284,285.829987,629600,285.829987
"2021-10-11",284.649994,288.769989,283.450012,285.589996,620600,285.589996
"2021-10-12",285.480011,288.589996,283.790009,284.790009,616200,284.790009
"2021-10-13",284.899994,285.299988,280.5,283.649994,521400,283.649994
"2021-10-14",286,287.929993,282.649994,285.26001,705300,285.26001
"2021-10-15",285.339996,286,278.570007,281.190002,1299600,281.190002
"2021-10-18",279.420013,279.5,269.190002,269.730011,1496100,269.730011
"2021-10-19",270,271.660004,266.299988,268.130005,1801700,268.130005
"2021-10-20",270.109985,277.869995,264.779999,266.570007,2153000,266.570007
"2021-10-21",266.299988,271.940002,266.290009,270.209991,1374200,270.209991
"2021-10-22",269.380005,270.369995,264.350006,264.799988,873200,264.799988
"2021-10-25",266,271.51001,265,269.940002,1092900,269.940002
"2021-10-26",269.880005,273.640015,267.019989,271.119995,1453800,271.119995
"2021-10-27",270.170013,270.600006,259.630005,259.950012,1276200,259.950012
"2021-10-28",260.450012,266.5,260.450012,264.869995,1273500,264.869995
"2021-10-29",264.410004,268.320007,262.019989,266.679993,947600,266.679993
"2021-11-01",266.149994,274.75,265.5,272.100006,1222600,272.100006
"2021-11-02",272.269989,274.5,264.579987,272.51001,1839100,272.51001
"2021-11-03",271.529999,279.809998,269.980011,279.589996,1041500,279.589996
"2021-11-04",279.589996,280.619995,275.320007,280.410004,949100,280.410004
"2021-11-05",279.309998,284.589996,276.420013,278.679993,833800,278.679993
"2021-11-08",279.51001,279.709991,268.269989,272.700012,1151900,272.700012
"2021-11-09",272,274.690002,267,270.029999,894700,270.029999
"2021-11-10",270.029999,273.920013,266.049988,266.929993,708800,266.929993
"2021-11-11",266.619995,267.609985,264,266.570007,637700,266.570007
"2021-11-12",270.670013,272.549988,267.519989,270.429993,845000,270.429993
"2021-11-15",273.820007,276.5,270.700012,271.820007,756300,271.820007
"2021-11-16",268.269989,268.720001,260.859985,261.549988,1159500,261.549988
"2021-11-17",254.559998,261.410004,252.020004,258.380005,1497000,258.380005
"2021-11-18",259.980011,260.730011,253.179993,256.790009,975800,256.790009
"2021-11-19",257.709991,260.160004,254.570007,257.190002,898800,257.190002
"2021-11-22",257.970001,258.890015,250.669998,252.210007,1290300,252.210007
"2021-11-23",252.070007,254.449997,249.520004,254.149994,799100,254.149994
"2021-11-24",253.179993,253.179993,247.660004,250.130005,1579800,250.130005
"2021-11-26",250.779999,250.779999,242.020004,242.899994,1300400,242.899994
"2021-11-29",245.360001,245.5,235.179993,236.110001,2229100,236.110001
"2021-11-30",236.5,239.770004,228.679993,235.740005,3294300,235.740005
"2021-12-01",236.979996,239.580002,228.880005,229.5,1672700,229.5
"2021-12-02",228.550003,229.470001,224.460007,228.520004,1276200,228.520004
"2021-12-03",227.690002,229.039993,221.720001,223.919998,1427700,223.919998
"2021-12-06",223.199997,226.220001,222.149994,224.110001,1101800,224.110001
"2021-12-07",225.169998,228.800003,223.649994,226.830002,941300,226.830002
"2021-12-08",227.179993,235.220001,225.899994,234.720001,1419100,234.720001
"2021-12-09",232.860001,236.889999,230.809998,232.429993,1365200,232.429993
"2021-12-10",232.800003,233.690002,229.520004,232.619995,998800,232.619995
"2021-12-13",231.679993,235.800003,230.179993,234.5,1236600,234.5
"2021-12-14",233.929993,236.630005,230.169998,230.759995,1232500,230.759995
"2021-12-15",230.199997,236.369995,228.949997,235.880005,1262400,235.880005
"2021-12-16",237.289993,243.429993,234.860001,235.520004,1252200,235.520004
"2021-12-17",233,239.899994,232.580002,237.429993,2262900,237.429993
"2021-12-20",239.75,240,234.25,236.960007,1127700,236.960007
"2021-12-21",235.050003,237.600006,230.050003,234.649994,1030200,234.649994
"2021-12-22",236.259995,236.479996,231.289993,234.479996,783300,234.479996
"2021-12-23",232.949997,236.210007,232.039993,235.410004,1003300,235.410004
"2021-12-27",235.229996,236.699997,232.360001,234.190002,1744600,234.190002
"2021-12-28",233.339996,236.960007,233.020004,235.990005,775000,235.990005
"2021-12-29",235,265.540009,234.130005,258.309998,6869700,258.309998
"2021-12-30",245.190002,247,237.050003,240,4423100,240
"2021-12-31",239.759995,243.710007,239.5,239.919998,1532700,239.919998
"2022-01-03",240.149994,247.509995,238.070007,244.139999,1642200,244.139999
"2022-01-04",245.130005,245.449997,239,241.729996,1283400,241.729996
"2022-01-05",241.729996,249,239.179993,239.270004,1167400,239.270004
"2022-01-06",240.300003,242.449997,236.850006,237.300003,1036900,237.300003
"2022-01-07",235.550003,236.899994,231.619995,232.600006,1394900,232.600006
"2022-01-10",232.75,235.550003,230.539993,235.309998,1754000,235.309998
"2022-01-11",235.399994,243.710007,235,241.520004,1557700,241.520004
"2022-01-12",223.100006,227.589996,217.100006,225.339996,7511100,225.339996
"2022-01-13",225.300003,239.639999,225.300003,236.669998,3781400,236.669998
"2022-01-14",235.080002,239.470001,233.800003,239.300003,1768000,239.300003
