"","FISV.Open","FISV.High","FISV.Low","FISV.Close","FISV.Volume","FISV.Adjusted"
"2020-10-22",99.5,101.059998,98.400002,100.879997,3174300,100.879997
"2020-10-23",101.410004,101.900002,100.190002,101.18,2232900,101.18
"2020-10-26",99.889999,100.050003,96.720001,98.379997,4897700,98.379997
"2020-10-27",98.510002,99.529999,96.25,96.610001,6889300,96.610001
"2020-10-28",97,98.25,93.209999,93.519997,9223300,93.519997
"2020-10-29",93.620003,96.730003,92.809998,95.769997,5087400,95.769997
"2020-10-30",94.75,95.559998,93.349998,95.470001,6677200,95.470001
"2020-11-02",96.919998,97.879997,95.949997,97.290001,3533100,97.290001
"2020-11-03",98.029999,99.889999,97.620003,98.949997,3593200,98.949997
"2020-11-04",101.470001,102.5,100.760002,101.190002,5508700,101.190002
"2020-11-05",102.199997,103.580002,101.779999,102.160004,3678700,102.160004
"2020-11-06",102.209999,103.400002,101.739998,103.07,2825900,103.07
"2020-11-09",109.75,117.529999,109.040001,109.099998,8323900,109.099998
"2020-11-10",108.099998,108.529999,106.360001,106.800003,5180100,106.800003
"2020-11-11",108.010002,108.389999,105.419998,107.360001,3031900,107.360001
"2020-11-12",106.550003,107.190002,105.220001,105.699997,2760600,105.699997
"2020-11-13",106.800003,109.25,106.269997,108.849998,2620200,108.849998
"2020-11-16",110.769997,111.440002,108.610001,109.709999,3215000,109.709999
"2020-11-17",108.790001,110.419998,108.169998,109.949997,2524700,109.949997
"2020-11-18",109.75,110.360001,107.910004,107.970001,2861800,107.970001
"2020-11-19",111.370003,113.199997,109.260002,113.019997,6914600,113.019997
"2020-11-20",112.690002,114.139999,112.339996,113.07,4370600,113.07
"2020-11-23",114.129997,114.199997,111.559998,112.099998,2896600,112.099998
"2020-11-24",113.830002,115,113.120003,114.879997,4376300,114.879997
"2020-11-25",114.809998,115.309998,112.300003,114.980003,3663300,114.980003
"2020-11-27",115.080002,115.809998,114.68,115.529999,1707000,115.529999
"2020-11-30",114.629997,115.330002,112.889999,115.18,3734800,115.18
"2020-12-01",116.470001,117.349998,115.550003,115.790001,3635600,115.790001
"2020-12-02",115.440002,116.489998,114.330002,115.519997,2478900,115.519997
"2020-12-03",115.129997,117.330002,114.949997,116.050003,3347900,116.050003
"2020-12-04",116.519997,117.699997,115.290001,117.129997,3444800,117.129997
"2020-12-07",117.940002,118.190002,116.639999,116.93,3686000,116.93
"2020-12-08",120,121.830002,117.489998,117.989998,4837600,117.989998
"2020-12-09",116,116.43,113.970001,114.580002,6430300,114.580002
"2020-12-10",112.339996,115.599998,112.25,114.830002,10790200,114.830002
"2020-12-11",114.25,115.389999,113.57,114.82,3786200,114.82
"2020-12-14",115.540001,115.800003,113.529999,113.629997,3691800,113.629997
"2020-12-15",114.480003,114.839996,113.25,114.68,3164100,114.68
"2020-12-16",114.650002,115.449997,113.699997,114.169998,3659800,114.169998
"2020-12-17",114.730003,115.040001,113.660004,114.699997,3944300,114.699997
"2020-12-18",115.389999,115.489998,113.129997,114.809998,6349100,114.809998
"2020-12-21",112.470001,113.139999,110.349998,112.489998,4212400,112.489998
