"","STT.Open","STT.High","STT.Low","STT.Close","STT.Volume","STT.Adjusted"
"2021-08-27",92.519997,94.519997,92.220001,94.279999,1509500,91.687515
"2021-08-30",94.559998,94.639999,92.110001,92.510002,1070300,89.966194
"2021-08-31",92.419998,93.330002,92.32,92.910004,2270300,90.355194
"2021-09-01",93.129997,93.129997,91.610001,91.870003,1614500,89.343796
"2021-09-02",92.230003,92.959999,91.980003,92.690002,1212900,90.141243
"2021-09-03",92.580002,93.400002,92.279999,92.889999,1873400,90.335739
"2021-09-07",92.860001,92.870003,88.449997,89.43,4181700,86.970886
"2021-09-08",89.800003,89.82,87.110001,87.309998,3881600,84.90918
"2021-09-09",87,89.5,86.529999,87.889999,2179500,85.473228
"2021-09-10",88.440002,88.529999,87.239998,87.559998,8363800,85.152306
"2021-09-13",88.25,88.959999,87.440002,88.300003,3545000,85.871964
"2021-09-14",88.849998,88.849998,86.309998,86.57,4651400,84.189522
"2021-09-15",86.940002,88.5,86.730003,87.919998,3266800,85.502411
"2021-09-16",88.32,88.800003,86.889999,87.050003,2752800,84.656334
"2021-09-17",87.290001,87.650002,84.089996,84.82,7099000,82.487648
"2021-09-20",82.389999,83.239998,80.830002,82.449997,3496800,80.182808
"2021-09-21",83.099998,83.349998,81.510002,81.690002,1810500,79.44371
"2021-09-22",82.900002,84.18,82.779999,83.150002,1833700,80.863571
"2021-09-23",84.120003,87.160004,84.07,85.860001,2587100,83.499046
"2021-09-24",85.720001,86.82,85.540001,85.739998,5686800,83.382347
"2021-09-27",86.989998,89.220001,86.989998,88.470001,2313200,86.037285
"2021-09-28",88.400002,89.550003,86.730003,86.809998,2122200,84.422928
"2021-09-29",87.290001,87.529999,85.760002,86.540001,1285100,84.160355
"2021-09-30",86.540001,87,84.690002,84.720001,1408600,82.936661
"2021-10-01",85,87.139999,84.510002,86.410004,1428800,84.591087
"2021-10-04",86.370003,87.459999,85.699997,86.120003,1544600,84.307198
"2021-10-05",86.709999,89.050003,86.410004,88.720001,2983900,86.852463
"2021-10-06",87.510002,88.730003,86.970001,88.470001,2148900,86.607727
"2021-10-07",90.370003,90.589996,89.019997,89.080002,1972500,87.204887
"2021-10-08",89.230003,91.919998,89.209999,91.199997,1857000,89.280258
"2021-10-11",91.290001,92.650002,90.779999,90.970001,1884900,89.055115
"2021-10-12",91.18,91.940002,90.260002,90.629997,2350900,88.72226
"2021-10-13",90.919998,90.919998,88.739998,89.610001,2116600,87.723732
"2021-10-14",90.779999,92.139999,90.160004,91.709999,1557000,89.779533
"2021-10-15",92.18,93.919998,91.800003,92.730003,3815000,90.778069
"2021-10-18",93,98,92.849998,94.790001,6501900,92.794701
"2021-10-19",95.309998,97.400002,93.620003,97.059998,3427000,95.016907
"2021-10-20",97.099998,99.449997,96.449997,99.370003,2609000,97.27829
"2021-10-21",99.309998,100.360001,97.620003,98.139999,2328500,96.074181
"2021-10-22",98.739998,100.449997,98.309998,99.400002,2029100,97.307655
"2021-10-25",99.440002,99.989998,97.970001,98.599998,1111300,96.524498
"2021-10-26",98.739998,98.970001,97.900002,98.269997,1329600,96.201431
"2021-10-27",97.379997,98.019997,96.220001,96.239998,1960000,94.214165
"2021-10-28",96.410004,98.860001,96.269997,98.82,1422100,96.739861
"2021-10-29",98.790001,99.540001,97.889999,98.550003,1709600,96.475548
"2021-11-01",99.389999,99.919998,98.610001,99.330002,1155500,97.239136
"2021-11-02",99.150002,100.269997,99,99.440002,1347700,97.346817
"2021-11-03",98.809998,100.690002,98.349998,99.599998,1541500,97.503448
"2021-11-04",99.349998,99.349998,95.610001,96.529999,2063900,94.498062
"2021-11-05",97.57,97.910004,95.489998,95.669998,2510800,93.656166
"2021-11-08",96.330002,96.93,95.900002,96.629997,1372000,94.595963
"2021-11-09",95.739998,96.690002,95.209999,96.029999,1172300,94.008591
"2021-11-10",95.800003,98.330002,95.610001,97.550003,1708400,95.496597
"2021-11-11",97.440002,99.139999,97.150002,98.480003,1337300,96.407021
"2021-11-12",98.699997,99.279999,98.089996,99.07,2585900,96.984604
"2021-11-15",99.419998,99.93,98.860001,99.919998,1384500,97.816711
"2021-11-16",99.580002,99.720001,98.559998,98.610001,1740300,96.534286
"2021-11-17",98.32,98.360001,95.989998,96.190002,1367900,94.165222
"2021-11-18",96.43,96.68,94.849998,95.239998,1156100,93.235222
"2021-11-19",94.43,95.099998,93.419998,94.75,1229000,92.755531
"2021-11-22",96.269997,98.160004,95.75,97.25,1467000,95.202911
"2021-11-23",97.760002,98.419998,97.190002,98.199997,1518600,96.132912
"2021-11-24",97.650002,98.68,97.040001,98.260002,1096300,96.19165
"2021-11-26",93.400002,94.07,92.470001,93.349998,1330400,91.385002
"2021-11-29",95.040001,95.349998,92.610001,93.190002,1872500,91.228378
"2021-11-30",91.25,91.43,88.610001,88.970001,4767100,87.097206
"2021-12-01",91.169998,92.440002,88.559998,88.620003,2753400,86.75457
"2021-12-02",89.68,93,89.370003,92.389999,2494600,90.445213
"2021-12-03",92.559998,92.980003,89.120003,90.010002,2634600,88.115311
"2021-12-06",91.889999,94.629997,91.610001,93.610001,4280600,91.639534
